,sensor0,,,,,,,,,,,,,,sensor1,,,,,,,,,,,,,,sensor2,,,,,,,,,,,,,,sensor3,,,,,,,,,,,,,,sensor4
時刻(ms),相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag
468288.0,0.0984,-0.0001,-0.0001,-0.0001,0.0,0.0,-0.06,-0.05,0.15,-0.01,0.0,3.0,3.0,3.0,0.0809,0.0003,-0.0195,0.9965,-0.19,0.44,-0.37,-0.09,0.1,-0.03,0.0,3.0,3.0,3.0,-0.0601,-0.0017,-0.0192,0.998,-0.06,0.0,-0.37,0.02,0.01,-0.01,2.0,3.0,3.0,3.0,0.0985,-0.0001,-0.0001,-0.0001,0.12,0.0,-0.31,0.02,0.18,0.02,0.0,3.0,3.0,3.0,-0.0134,-0.0001,-0.0001,-0.0001,-0.12,0.06,-0.06,-0.07,0.13,-0.08,2.0,3.0,3.0,3.0
468338.0,0.0984,-0.0001,-0.0001,-0.0001,-0.12,0.06,0.06,-0.02,0.07,-0.01,0.0,3.0,3.0,3.0,0.0809,0.0003,-0.0195,0.9965,-0.19,0.0,0.37,-0.07,-0.17,0.02,0.0,3.0,3.0,3.0,-0.0601,-0.0017,-0.0192,0.998,-0.19,-0.37,0.31,0.01,-0.01,-0.01,2.0,3.0,3.0,3.0,0.0985,-0.0001,-0.0001,-0.0001,-0.06,-0.06,0.5,-0.02,-0.01,-0.03,0.0,3.0,3.0,3.0,-0.0134,-0.0001,-0.0001,-0.0001,-0.19,-0.06,0.44,0.08,-0.14,-0.08,2.0,3.0,3.0,3.0
468388.0,0.0983,-0.0001,-0.0001,-0.0001,-0.25,-0.12,0.69,0.02,-0.01,-0.01,0.0,3.0,3.0,3.0,0.0807,0.0003,-0.0195,0.9965,0.31,-0.06,0.63,0.09,0.09,-0.01,0.0,3.0,3.0,3.0,-0.0601,-0.0017,-0.0192,0.998,0.12,-0.12,0.5,-0.02,0.07,-0.01,2.0,3.0,3.0,3.0,0.0983,-0.0001,-0.0001,-0.0001,0.06,-0.19,0.44,-0.02,-0.1,-0.03,0.0,3.0,3.0,3.0,-0.0135,-0.0001,-0.0001,-0.0001,0.0,-0.06,-0.06,-0.04,0.08,-0.09,2.0,3.0,3.0,3.0
468439.0,0.0983,-0.0001,-0.0001,-0.0001,-0.12,0.12,-0.06,0.01,-0.01,-0.01,0.0,3.0,3.0,3.0,0.0807,0.0003,-0.0001,-0.0001,-0.25,0.12,-0.37,0.05,0.0,0.0,0.0,3.0,3.0,3.0,-0.0601,-0.0017,-0.0192,0.998,0.06,0.12,-0.06,0.0,0.03,-0.01,2.0,3.0,3.0,3.0,0.0983,-0.0001,-0.0001,-0.0001,0.06,-0.12,-0.25,0.03,-0.08,-0.04,0.0,3.0,3.0,3.0,-0.0135,-0.0001,-0.0001,-0.0001,0.0,0.0,-0.06,-0.04,-0.05,-0.13,2.0,3.0,3.0,3.0
468489.0,0.0983,-0.0001,-0.0001,-0.0001,0.0,0.06,-0.06,0.0,0.02,-0.01,0.0,3.0,3.0,3.0,0.0807,0.0003,-0.0001,-0.0001,0.12,0.0,-0.37,-0.02,-0.01,-0.02,0.0,3.0,3.0,3.0,-0.0601,-0.0017,-0.0192,0.998,0.0,-0.06,-0.12,0.01,-0.01,-0.01,2.0,3.0,3.0,3.0,0.0983,-0.0001,-0.0001,-0.0001,0.19,-0.06,-0.25,0.0,0.05,-0.04,0.0,3.0,3.0,3.0,-0.0135,-0.0001,-0.0001,-0.0001,0.06,0.0,-0.06,0.04,0.06,-0.1,2.0,3.0,3.0,3.0
468539.0,0.0983,-0.0001,-0.0001,-0.0001,-0.12,-0.12,-0.06,-0.01,0.07,-0.01,0.0,3.0,3.0,3.0,0.0807,0.0003,-0.0001,-0.0001,-0.06,-0.12,-0.12,0.0,0.02,-0.02,0.0,3.0,3.0,3.0,-0.0601,-0.0017,-0.0192,0.998,-0.19,-0.19,-0.06,0.03,0.06,-0.01,2.0,3.0,3.0,3.0,0.0983,-0.0001,-0.0001,-0.0001,0.0,0.0,-0.19,0.01,0.06,-0.04,0.0,3.0,3.0,3.0,-0.0135,-0.0001,-0.0001,-0.0001,0.0,-0.06,-0.06,-0.03,0.06,-0.12,2.0,3.0,3.0,3.0
468588.0,0.0983,-0.0001,-0.0001,-0.0001,-0.12,0.0,0.0,0.0,0.01,-0.01,0.0,3.0,3.0,3.0,0.0807,0.0003,-0.0001,-0.0001,-0.19,0.19,0.0,0.0,-0.07,-0.03,0.0,3.0,3.0,3.0,-0.0601,-0.0017,-0.0192,0.998,-0.12,-0.12,0.12,0.04,-0.01,-0.01,2.0,3.0,3.0,3.0,0.0983,-0.0001,-0.0001,-0.0001,0.0,-0.19,0.19,0.03,-0.04,-0.05,0.0,3.0,3.0,3.0,-0.0135,-0.0001,-0.0001,-0.0001,0.06,0.06,0.19,0.0,-0.06,-0.09,2.0,3.0,3.0,3.0
468638.0,0.0983,-0.0001,-0.0001,-0.0001,-0.12,-0.12,0.25,0.01,-0.01,-0.01,0.0,3.0,3.0,3.0,0.0807,0.0003,-0.0001,-0.0001,0.06,-0.31,0.19,0.04,0.02,-0.01,0.0,3.0,3.0,3.0,-0.0601,-0.0017,-0.0192,0.998,0.06,-0.06,0.12,0.0,0.03,-0.01,2.0,3.0,3.0,3.0,0.0983,-0.0001,-0.0001,-0.0001,0.0,-0.12,0.12,0.0,-0.03,-0.06,0.0,3.0,3.0,3.0,-0.0135,-0.0001,-0.0001,-0.0001,-0.06,0.0,0.06,0.04,0.03,-0.09,2.0,3.0,3.0,3.0
468689.0,0.0983,-0.0001,-0.0001,-0.0001,-0.06,0.12,-0.06,0.01,0.0,-0.01,0.0,3.0,3.0,3.0,0.0807,0.0003,-0.0001,-0.0001,-0.12,0.19,-0.31,0.01,0.0,-0.02,0.0,3.0,3.0,3.0,-0.0601,-0.0017,-0.0192,0.998,-0.06,-0.12,-0.19,0.0,0.0,-0.01,2.0,3.0,3.0,3.0,0.0983,-0.0001,-0.0001,-0.0001,0.06,-0.06,-0.25,0.0,0.0,-0.04,0.0,3.0,3.0,3.0,-0.0135,-0.0001,-0.0001,-0.0001,-0.19,0.06,-0.06,-0.01,-0.03,-0.1,2.0,3.0,3.0,3.0
468740.0,0.0983,-0.0001,-0.0001,-0.0001,0.0,0.06,-0.06,-0.01,0.03,-0.01,0.0,3.0,3.0,3.0,0.0807,0.0003,-0.0001,-0.0001,-0.06,-0.06,-0.12,-0.02,-0.02,0.0,0.0,3.0,3.0,3.0,-0.0601,-0.0017,-0.0192,0.998,0.0,0.19,-0.12,-0.01,0.0,-0.01,2.0,3.0,3.0,3.0,0.0983,-0.0001,-0.0001,-0.0001,0.12,-0.19,0.0,0.02,0.01,-0.05,0.0,3.0,3.0,3.0,-0.0135,-0.0001,-0.0001,-0.0001,0.0,0.12,0.0,-0.03,0.0,-0.09,2.0,3.0,3.0,3.0
