,sensor0,,,,,,,,,,,,,,sensor1,,,,,,,,,,,,,,sensor2,,,,,,,,,,,,,,sensor3,,,,,,,,,,,,,,sensor4
時刻(ms),相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag
2463866.0,0.1715,-0.0124,-0.0001,-0.0001,0.06,0.06,0.06,-0.06,-0.02,-0.13,3.0,3.0,3.0,2.0,0.1487,-0.0121,-0.0001,-0.0001,0.0,0.0,-0.06,-0.03,-0.1,-0.13,3.0,3.0,3.0,2.0,0.1539,-0.0109,0.017,-0.9879,0.06,-0.06,0.19,-0.01,-0.1,-0.19,3.0,3.0,3.0,2.0,0.1786,-0.0095,0.0181,-0.9837,-0.12,0.0,0.31,-0.01,0.02,-0.01,3.0,3.0,3.0,2.0,0.2378,-0.0001,-0.0001,-0.0001,0.12,-0.12,0.25,-0.05,0.07,-0.21,3.0,3.0,3.0,2.0
2463918.0,0.1715,-0.0124,-0.0001,-0.0001,0.19,0.19,0.12,-0.04,0.02,-0.11,3.0,3.0,3.0,2.0,0.1487,-0.0121,-0.0001,-0.0001,-0.06,0.0,0.19,-0.04,0.06,-0.23,3.0,3.0,3.0,2.0,0.1539,-0.0109,0.017,-0.9879,0.0,0.12,0.06,-0.03,0.05,-0.14,3.0,3.0,3.0,2.0,0.1786,-0.0095,0.0181,-0.9837,0.06,0.0,-0.12,-0.05,0.01,-0.01,3.0,3.0,3.0,2.0,0.2378,-0.0001,-0.0001,-0.0001,-0.12,0.25,0.19,-0.02,-0.08,-0.24,3.0,3.0,3.0,2.0
2463967.0,0.1715,-0.0124,-0.0001,-0.0001,0.06,-0.06,-0.06,-0.01,-0.04,-0.17,3.0,3.0,3.0,2.0,0.1487,-0.0121,-0.0001,-0.0001,-0.06,-0.19,0.12,0.0,-0.01,-0.01,3.0,3.0,3.0,2.0,0.1539,-0.0109,0.017,-0.9879,0.25,0.12,0.19,-0.02,0.01,-0.18,3.0,3.0,3.0,2.0,0.1786,-0.0095,0.0181,-0.9837,0.06,-0.06,0.25,-0.01,-0.02,-0.21,3.0,3.0,3.0,2.0,0.2378,-0.0001,-0.0001,-0.0001,0.19,0.06,0.06,0.01,0.08,-0.21,3.0,3.0,3.0,2.0
2464018.0,0.1715,-0.0124,-0.0001,-0.0001,0.0,0.06,0.06,-0.02,0.0,-0.14,3.0,3.0,3.0,2.0,0.1487,-0.0121,-0.0001,-0.0001,0.0,0.0,0.0,0.0,0.11,-0.2,3.0,3.0,3.0,2.0,0.1539,-0.0109,0.017,-0.9879,-0.06,0.25,-0.37,-0.04,0.09,-0.17,3.0,3.0,3.0,2.0,0.1786,-0.0095,0.0181,-0.9837,0.0,-0.06,-0.12,-0.03,0.01,-0.01,3.0,3.0,3.0,2.0,0.2378,-0.0173,-0.0069,-0.9711,-0.06,0.06,-0.19,-0.02,0.01,-0.22,3.0,3.0,3.0,2.0
2464067.0,0.1715,-0.0124,-0.0001,-0.0001,0.0,0.0,-0.06,-0.02,-0.04,-0.15,3.0,3.0,3.0,2.0,0.1487,-0.0121,-0.0001,-0.0001,0.0,-0.06,-0.06,-0.01,-0.06,-0.15,3.0,3.0,3.0,2.0,0.1539,-0.0109,0.017,-0.9879,0.0,0.0,0.0,-0.01,-0.07,-0.18,3.0,3.0,3.0,2.0,0.1786,-0.0095,0.0181,-0.9837,-0.12,0.0,0.06,-0.01,-0.01,-0.2,3.0,3.0,3.0,2.0,0.2378,-0.0173,-0.0069,-0.9711,0.12,-0.06,0.06,-0.03,0.0,-0.23,3.0,3.0,3.0,2.0
2464117.0,0.1715,-0.0124,-0.0001,-0.0001,-0.19,-0.06,0.0,-0.04,0.02,-0.16,3.0,3.0,3.0,2.0,0.1487,-0.0121,-0.0001,-0.0001,0.06,-0.06,-0.06,-0.02,0.07,-0.01,3.0,3.0,3.0,2.0,0.1539,-0.0109,0.017,-0.9879,-0.12,0.0,-0.19,-0.04,0.04,-0.16,3.0,3.0,3.0,2.0,0.1786,-0.0095,0.0181,-0.9837,0.0,0.0,-0.12,-0.03,0.02,-0.01,3.0,3.0,3.0,2.0,0.2378,-0.0173,-0.0069,-0.9711,-0.12,0.06,0.0,-0.04,-0.03,-0.2,3.0,3.0,3.0,2.0
2464168.0,0.1715,-0.0124,-0.0001,-0.0001,-0.06,-0.19,-0.12,-0.04,-0.02,-0.14,3.0,3.0,3.0,2.0,0.1487,-0.0121,-0.0001,-0.0001,-0.19,0.0,-0.06,-0.02,-0.07,-0.17,3.0,3.0,3.0,2.0,0.1539,-0.0109,0.017,-0.9879,0.12,0.06,0.06,-0.01,-0.02,-0.2,3.0,3.0,3.0,2.0,0.1786,-0.0095,0.0181,-0.9837,-0.06,-0.12,0.25,-0.01,-0.01,-0.19,3.0,3.0,3.0,2.0,0.2378,-0.0173,-0.0069,-0.9711,0.06,0.0,0.12,-0.04,0.0,-0.21,3.0,3.0,3.0,2.0
2464219.0,0.1715,-0.0124,-0.0001,-0.0001,0.19,0.06,0.06,-0.02,0.0,-0.16,3.0,3.0,3.0,2.0,0.1487,-0.0121,-0.0001,-0.0001,0.06,0.12,0.0,-0.01,0.08,-0.01,3.0,3.0,3.0,2.0,0.1539,-0.0109,0.017,-0.9879,0.06,0.12,-0.12,-0.03,0.04,-0.17,3.0,3.0,3.0,2.0,0.1786,-0.0095,0.0181,-0.9837,0.0,0.12,0.12,-0.03,0.01,-0.01,3.0,3.0,3.0,2.0,0.2378,-0.0173,-0.0069,-0.9711,0.0,0.0,0.0,-0.02,0.03,-0.21,3.0,3.0,3.0,2.0
2464268.0,0.1715,-0.0124,-0.0001,-0.0001,0.0,-0.06,-0.06,-0.01,-0.05,-0.13,3.0,3.0,3.0,2.0,0.1487,-0.0121,-0.0001,-0.0001,0.0,-0.06,-0.06,0.0,-0.01,-0.01,3.0,3.0,3.0,2.0,0.1539,-0.0109,0.017,-0.0001,0.12,0.06,0.06,-0.01,-0.04,-0.18,3.0,3.0,3.0,2.0,0.1786,-0.0095,0.0181,-0.9837,0.06,-0.12,0.12,-0.02,-0.01,-0.19,3.0,3.0,3.0,2.0,0.2378,-0.0173,-0.0069,-0.9711,-0.06,0.0,0.06,-0.03,0.03,-0.22,3.0,3.0,3.0,2.0
2464318.0,0.1715,-0.0124,-0.0001,-0.0001,-0.12,0.0,0.0,-0.04,0.0,-0.13,3.0,3.0,3.0,2.0,0.1487,-0.0121,-0.0001,-0.0001,0.0,-0.06,-0.06,-0.01,0.06,-0.01,3.0,3.0,3.0,2.0,0.1539,-0.0109,0.017,-0.9879,0.0,0.0,0.06,-0.02,0.02,-0.17,3.0,3.0,3.0,2.0,0.1786,-0.0095,0.0181,-0.9837,-0.06,0.12,-0.06,-0.02,0.0,-0.01,3.0,3.0,3.0,2.0,0.2378,-0.0173,-0.0069,-0.9711,-0.12,-0.12,-0.06,-0.04,0.0,-0.22,3.0,3.0,3.0,2.0
