,sensor0,,,,,,,,,,,,,,sensor1,,,,,,,,,,,,,,sensor2,,,,,,,,,,,,,,sensor3,,,,,,,,,,,,,,sensor4
時刻(ms),相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag
2181684.0,0.2123,-0.0265,0.0161,-0.9767,0.06,0.12,0.06,-0.06,-0.07,-0.2,3.0,3.0,3.0,2.0,0.4209,-0.0148,-0.0001,-0.0001,-0.06,0.06,-0.06,-0.11,-0.16,-0.19,0.0,3.0,3.0,2.0,0.2562,-0.0097,0.0157,-0.0133,-0.06,0.06,0.06,-0.11,-0.1,-0.2,1.0,3.0,3.0,2.0,0.7583,-0.0114,0.0067,-0.6518,0.12,-0.12,0.06,-0.05,-0.13,-0.2,0.0,3.0,3.0,2.0,0.2602,-0.017,-0.0084,-0.9654,0.06,0.12,0.19,-0.04,-0.19,-0.16,3.0,3.0,3.0,2.0
2181734.0,0.2123,-0.0265,0.0161,-0.9767,0.06,0.0,0.06,-0.06,-0.09,-0.14,3.0,3.0,3.0,2.0,0.4209,-0.0148,0.0079,-0.9069,0.06,0.12,0.06,-0.05,-0.08,-0.19,0.0,3.0,3.0,2.0,0.2562,-0.0097,0.0157,-0.0133,0.0,-0.06,-0.06,-0.06,-0.09,-0.21,1.0,3.0,3.0,2.0,0.7583,-0.0114,0.0067,-0.6518,-0.06,-0.12,0.12,-0.07,-0.08,-0.18,0.0,3.0,3.0,2.0,0.2602,-0.017,-0.0084,-0.9654,0.06,-0.06,0.0,-0.01,-0.09,-0.2,3.0,3.0,3.0,2.0
2181784.0,0.2123,-0.0265,0.0161,-0.9767,0.12,-0.06,-0.06,-0.07,-0.09,-0.12,3.0,3.0,3.0,2.0,0.4209,-0.0148,-0.0001,-0.0001,0.06,0.0,-0.06,-0.04,-0.1,-0.18,0.0,3.0,3.0,2.0,0.2562,-0.0097,0.0157,-0.9664,0.0,-0.06,-0.06,-0.07,-0.06,-0.2,1.0,3.0,3.0,2.0,0.7583,-0.0114,0.0067,-0.6518,-0.12,0.0,-0.06,-0.03,-0.09,-0.18,0.0,3.0,3.0,2.0,0.2602,-0.0001,-0.0001,-0.0001,0.06,0.12,0.0,-0.04,-0.11,-0.17,3.0,3.0,3.0,2.0
2181834.0,0.2123,-0.0265,0.0161,-0.9767,0.0,-0.06,-0.06,-0.04,-0.06,-0.13,3.0,3.0,3.0,2.0,0.4209,-0.0148,-0.0001,-0.0001,0.06,0.06,0.19,-0.06,-0.04,-0.15,0.0,3.0,3.0,2.0,0.2562,-0.0097,0.0157,-0.9664,0.0,0.12,-0.06,-0.08,-0.04,-0.2,1.0,3.0,3.0,2.0,0.7583,-0.0114,0.0067,-0.6518,-0.06,0.0,0.06,-0.04,-0.08,-0.2,0.0,3.0,3.0,2.0,0.2602,-0.0001,-0.0001,-0.0001,-0.06,-0.06,0.12,-0.04,-0.06,-0.22,3.0,3.0,3.0,2.0
2181884.0,0.2123,-0.0265,0.0161,-0.9767,0.0,0.0,0.0,-0.03,-0.1,-0.14,3.0,3.0,3.0,2.0,0.4209,-0.0148,-0.0001,-0.0001,0.06,0.25,0.06,-0.04,-0.07,-0.15,0.0,3.0,3.0,2.0,0.2562,-0.0097,0.0157,-0.9664,0.0,0.0,0.0,-0.07,-0.07,-0.19,1.0,3.0,3.0,2.0,0.7583,-0.0114,0.0067,-0.6518,0.0,0.06,-0.06,-0.05,-0.09,-0.2,0.0,3.0,3.0,2.0,0.2602,-0.017,-0.0084,-0.9654,0.0,0.0,0.0,-0.11,-0.09,-0.22,3.0,3.0,3.0,2.0
2181935.0,0.2123,-0.0265,0.0161,-0.9767,0.25,-0.06,-0.06,-0.03,-0.1,-0.15,3.0,3.0,3.0,2.0,0.4209,-0.0148,-0.0001,-0.0001,0.0,0.0,0.06,-0.06,-0.07,-0.17,0.0,3.0,3.0,2.0,0.2562,-0.0097,0.0157,-0.9664,0.0,0.06,0.06,-0.09,-0.07,-0.17,1.0,3.0,3.0,2.0,0.7583,-0.0114,0.0067,-0.6518,-0.12,-0.06,-0.06,-0.06,-0.09,-0.19,0.0,3.0,3.0,2.0,0.2602,-0.017,-0.0084,-0.9654,0.06,-0.12,-0.06,-0.12,-0.07,-0.21,3.0,3.0,3.0,2.0
2181985.0,0.2123,-0.0265,0.0161,-0.9767,-0.06,0.06,-0.06,-0.07,-0.09,-0.17,3.0,3.0,3.0,2.0,0.4209,-0.0148,-0.0001,-0.0001,-0.06,0.0,-0.06,-0.08,-0.11,-0.18,0.0,3.0,3.0,2.0,0.2562,-0.0097,0.0157,-0.9664,0.06,-0.06,-0.06,-0.08,-0.06,-0.17,1.0,3.0,3.0,2.0,0.7583,-0.0114,0.0067,-0.6518,0.19,0.0,0.06,-0.07,-0.1,-0.18,0.0,3.0,3.0,2.0,0.2602,-0.017,-0.0084,-0.9654,0.06,-0.06,0.06,-0.1,-0.08,-0.19,3.0,3.0,3.0,2.0
2182035.0,0.2123,-0.0265,0.0161,-0.9767,0.25,-0.06,-0.06,-0.07,-0.08,-0.15,3.0,3.0,3.0,2.0,0.4209,-0.0148,-0.0001,-0.0001,-0.06,0.06,0.0,-0.07,-0.06,-0.17,0.0,3.0,3.0,2.0,0.2562,-0.0097,0.0157,-0.9664,0.0,0.06,-0.06,-0.11,-0.07,-0.17,1.0,3.0,3.0,2.0,0.7583,-0.0114,0.0067,-0.6518,0.0,-0.06,0.0,-0.04,-0.1,-0.19,0.0,3.0,3.0,2.0,0.2602,-0.017,-0.0084,-0.9654,0.0,0.12,0.0,-0.08,-0.09,-0.21,3.0,3.0,3.0,2.0
2182085.0,0.2123,-0.0265,0.0161,-0.9767,0.06,0.0,-0.06,-0.07,-0.1,-0.16,3.0,3.0,3.0,2.0,0.4209,-0.0148,-0.0001,-0.0001,0.0,-0.19,0.0,-0.09,-0.07,-0.16,0.0,3.0,3.0,2.0,0.2562,-0.0097,0.0157,-0.9664,0.0,0.12,0.12,-0.08,-0.08,-0.18,1.0,3.0,3.0,2.0,0.7583,-0.0114,0.0067,-0.6518,0.06,-0.12,-0.12,-0.08,-0.1,-0.2,0.0,3.0,3.0,2.0,0.2602,-0.017,-0.0084,-0.9654,0.0,0.0,-0.12,-0.07,-0.09,-0.2,3.0,3.0,3.0,2.0
2182135.0,0.2123,-0.0265,0.0161,-0.9767,-0.12,0.12,-0.06,-0.08,-0.09,-0.15,3.0,3.0,3.0,2.0,0.4209,-0.0148,-0.0001,-0.0001,0.0,0.0,-0.06,-0.05,-0.07,-0.17,0.0,3.0,3.0,2.0,0.2562,-0.0097,0.0157,-0.9664,-0.06,0.0,0.06,-0.07,-0.06,-0.2,1.0,3.0,3.0,2.0,0.7583,-0.0114,0.0067,-0.6518,0.0,0.0,0.0,-0.05,-0.1,-0.2,0.0,3.0,3.0,2.0,0.2602,-0.017,-0.0084,-0.9654,-0.12,-0.12,0.06,-0.07,-0.08,-0.21,3.0,3.0,3.0,2.0
