,sensor0,,,,,,,,,,,,,,sensor1,,,,,,,,,,,,,,sensor2,,,,,,,,,,,,,,sensor3,,,,,,,,,,,,,,sensor4
時刻(ms),相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag
2602159.0,-0.9941,0.0181,0.0182,-0.1051,-0.25,-0.06,0.94,0.16,-0.14,-0.02,3.0,3.0,3.0,1.0,-0.9962,0.0072,0.0058,-0.0862,0.06,0.06,0.63,0.2,0.0,-0.13,1.0,3.0,3.0,1.0,-0.9954,0.0108,0.0026,-0.0001,0.37,0.19,0.69,0.25,-0.07,-0.24,1.0,3.0,3.0,1.0,-0.0054,-0.0001,-0.0001,-0.0001,0.5,0.19,0.75,0.2,-0.01,-0.01,3.0,3.0,3.0,1.0,-0.9796,-0.0142,0.0134,-0.2001,0.12,0.12,0.69,0.37,0.02,-0.11,1.0,3.0,3.0,1.0
2602208.0,-0.9941,0.0181,0.0183,-0.1053,0.06,0.0,0.56,0.17,0.0,-0.22,3.0,3.0,3.0,1.0,-0.9962,0.0071,0.0059,-0.0864,-0.06,0.12,0.31,0.21,0.1,-0.17,1.0,3.0,3.0,1.0,-0.9954,0.0108,0.0026,-0.0001,0.31,0.56,0.25,0.07,0.14,-0.19,1.0,3.0,3.0,1.0,-0.0054,-0.0001,-0.0001,-0.0001,-0.25,-0.25,0.19,0.12,-0.01,-0.01,3.0,3.0,3.0,1.0,-0.9796,-0.0142,0.0134,-0.2003,0.06,1.0,0.19,0.06,0.03,-0.16,1.0,3.0,3.0,1.0
2602258.0,-0.9941,0.0181,0.0186,-0.1053,-0.25,0.12,-0.06,0.09,-0.11,-0.11,3.0,3.0,3.0,1.0,-0.9962,0.0071,0.0061,-0.0864,-0.19,0.44,-0.56,0.05,-0.04,-0.17,1.0,3.0,3.0,1.0,-0.9954,0.0107,0.0026,-0.0001,-0.25,0.12,-0.37,-0.02,-0.08,-0.19,1.0,3.0,3.0,1.0,-0.0054,-0.0001,-0.0001,-0.0001,-0.37,-0.12,-0.5,0.05,-0.01,-0.01,3.0,3.0,3.0,1.0,-0.9796,-0.0142,0.0132,-0.2003,-0.25,0.75,-0.44,0.01,-0.05,-0.19,1.0,3.0,3.0,1.0
2602308.0,-0.9941,0.0182,0.0186,-0.1052,-0.25,0.0,-0.06,0.03,-0.11,-0.2,3.0,3.0,3.0,1.0,-0.9962,0.0071,0.006,-0.0861,-0.37,0.63,-0.94,0.01,-0.04,-0.18,1.0,3.0,3.0,1.0,-0.9954,0.0108,0.0026,-0.0001,-0.12,0.06,-0.81,-0.03,-0.11,-0.15,1.0,3.0,3.0,1.0,-0.0055,-0.0001,-0.0001,-0.0001,-0.63,-0.06,-0.94,0.03,-0.01,-0.01,3.0,3.0,3.0,1.0,-0.9796,-0.0141,0.0129,-0.2001,-0.06,1.0,-0.75,-0.01,-0.07,-0.2,1.0,3.0,3.0,1.0
2602358.0,-0.9941,0.0183,0.0187,-0.1047,-0.37,0.0,-0.06,0.01,-0.01,-0.15,3.0,3.0,3.0,1.0,-0.9963,0.0071,0.006,-0.0858,-0.5,0.37,-1.06,0.0,-0.03,-0.19,1.0,3.0,3.0,1.0,-0.9955,0.0109,0.0026,-0.0001,0.19,0.31,-1.25,0.0,-0.04,-0.17,1.0,3.0,3.0,1.0,-0.0056,-0.0001,-0.0001,-0.0001,-0.25,0.0,-0.06,0.06,0.0,-0.01,3.0,3.0,3.0,1.0,-0.9797,-0.014,0.0124,-0.1998,-0.25,1.0,-0.94,-0.03,0.0,-0.19,1.0,3.0,3.0,1.0
2602408.0,-0.9942,0.0183,0.0187,-0.1042,-0.31,0.0,-0.06,0.0,0.16,-0.14,3.0,3.0,3.0,1.0,-0.9963,0.0072,0.006,-0.0853,-0.5,0.19,-0.63,-0.03,0.0,-0.16,1.0,3.0,3.0,1.0,-0.9955,0.0109,0.0026,-0.0001,-0.06,0.12,-0.94,0.03,0.04,-0.21,1.0,3.0,3.0,1.0,-0.0056,-0.0001,-0.0001,-0.0001,-0.44,0.12,-0.06,0.1,0.14,-0.01,3.0,3.0,3.0,1.0,-0.9797,-0.0139,0.0118,-0.1995,-0.5,1.19,-0.5,-0.09,-0.13,-0.2,1.0,3.0,3.0,1.0
2602460.0,-0.9942,0.0182,0.0187,-0.1041,-0.5,0.12,-0.06,-0.01,-0.04,-0.13,3.0,3.0,3.0,1.0,-0.9963,0.0075,0.006,-0.0851,-0.44,0.12,0.12,-0.11,-0.35,-0.12,1.0,3.0,3.0,1.0,-0.9955,0.0109,0.0026,-0.0001,-0.31,0.0,-0.06,0.06,-0.36,-0.12,1.0,3.0,3.0,1.0,-0.0056,-0.0001,-0.0001,-0.0001,-0.37,-0.25,0.19,0.12,-0.01,-0.01,3.0,3.0,3.0,1.0,-0.9797,-0.0137,0.0117,-0.1995,0.19,0.56,0.56,0.19,-0.22,-0.17,1.0,3.0,3.0,1.0
2602510.0,-0.9942,0.0182,0.0187,-0.1041,-0.06,-0.25,0.63,0.03,-0.07,-0.14,3.0,3.0,3.0,1.0,-0.9963,0.0078,0.0059,-0.0853,-0.63,0.06,0.69,-0.01,-0.21,-0.16,1.0,3.0,3.0,1.0,-0.9955,0.011,0.0027,-0.0001,0.12,0.12,0.69,-0.23,0.51,-0.21,1.0,3.0,3.0,1.0,-0.0056,-0.0001,-0.0001,-0.0001,0.12,0.12,0.75,0.05,-0.01,-0.01,3.0,3.0,3.0,1.0,-0.9797,-0.0137,0.0115,-0.1999,-0.31,0.44,0.69,-0.05,0.23,-0.22,1.0,3.0,3.0,1.0
2602559.0,-0.9942,0.0182,0.0188,-0.1042,0.19,-0.06,-0.06,0.08,0.01,-0.17,3.0,3.0,3.0,1.0,-0.0119,-0.0001,-0.0001,-0.0001,-0.88,0.0,-0.81,0.0,-0.15,-0.22,1.0,3.0,3.0,1.0,-0.9955,0.011,0.0027,-0.0001,-0.75,-0.19,-0.63,0.09,-0.22,-0.17,1.0,3.0,3.0,1.0,-0.0056,-0.0001,-0.0001,-0.0001,0.25,0.06,-0.06,0.12,-0.01,-0.01,3.0,3.0,3.0,1.0,-0.9797,-0.0136,0.0114,-0.1998,-0.63,0.69,-0.44,0.08,-0.14,-0.12,1.0,3.0,3.0,1.0
2602609.0,-0.9942,0.0183,0.0189,-0.1042,0.25,-0.06,-0.06,0.16,-0.1,-0.2,3.0,3.0,3.0,1.0,-0.0119,-0.0001,-0.0001,-0.0001,-0.31,0.0,-0.69,0.14,-0.04,-0.08,1.0,3.0,3.0,1.0,-0.9955,0.0111,0.0027,-0.0001,-0.12,0.06,-0.69,0.11,-0.1,-0.23,1.0,3.0,3.0,1.0,-0.0056,-0.0001,-0.0001,-0.0001,0.19,0.0,-0.06,0.18,-0.01,-0.01,3.0,3.0,3.0,1.0,-0.9797,-0.0134,0.011,-0.1996,-0.06,0.88,-0.75,0.06,0.05,-0.22,1.0,3.0,3.0,1.0
