,sensor0,,,,,,,,,,,,,,sensor1,,,,,,,,,,,,,,sensor2,,,,,,,,,,,,,,sensor3,,,,,,,,,,,,,,sensor4
時刻(ms),相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag
1050863.0,0.9768,-0.0001,-0.0001,-0.0001,-0.19,-0.06,0.19,-0.05,-0.05,-0.04,3.0,3.0,3.0,3.0,0.9959,-0.0001,-0.0001,-0.0001,-0.06,0.19,0.12,-0.05,-0.06,0.03,3.0,3.0,3.0,3.0,0.9641,-0.0104,0.0234,0.2645,-0.06,0.12,-0.06,-0.03,-0.08,-0.02,1.0,3.0,3.0,3.0,0.9929,-0.0129,0.0255,0.1152,-0.25,0.12,-0.06,-0.03,-0.06,-0.01,1.0,3.0,3.0,3.0,0.9628,0.0036,0.01,0.2701,0.0,0.19,0.0,-0.18,0.04,-0.01,3.0,3.0,3.0,3.0
1050912.0,0.9768,-0.0001,-0.0001,-0.0001,-0.06,-0.12,0.0,-0.11,-0.01,-0.04,3.0,3.0,3.0,3.0,0.9959,-0.0001,-0.0001,-0.0001,0.06,0.06,-0.12,-0.14,-0.11,-0.02,3.0,3.0,3.0,3.0,0.9641,-0.0104,0.0234,0.2645,-0.06,-0.06,-0.06,-0.09,-0.09,-0.07,1.0,3.0,3.0,3.0,0.9929,-0.0129,0.0255,0.1152,0.0,0.0,-0.06,-0.1,0.01,0.0,1.0,3.0,3.0,3.0,0.9628,0.0036,0.01,0.2701,-0.06,-0.25,-0.06,0.01,0.0,-0.01,3.0,3.0,3.0,3.0
1050961.0,0.9768,-0.022,0.0124,0.2128,-0.19,0.0,0.06,-0.05,-0.03,-0.02,3.0,3.0,3.0,3.0,0.9959,-0.0001,-0.0001,-0.0001,-0.06,0.12,0.0,-0.03,-0.04,0.0,3.0,3.0,3.0,3.0,0.9641,-0.0104,0.0235,0.2645,0.0,0.19,0.19,-0.02,-0.07,-0.05,1.0,3.0,3.0,3.0,0.9929,-0.0129,0.0256,0.1152,0.0,0.12,0.06,-0.03,-0.04,-0.05,1.0,3.0,3.0,3.0,0.9628,0.0036,0.01,0.2701,0.06,0.06,-0.06,-0.07,-0.02,-0.11,3.0,3.0,3.0,3.0
1051008.0,0.9768,-0.022,0.0124,0.2128,0.12,0.0,0.06,-0.05,-0.03,-0.08,3.0,3.0,3.0,3.0,0.9959,-0.0063,0.0279,0.0857,0.06,0.0,-0.06,-0.03,-0.02,0.02,3.0,3.0,3.0,3.0,0.9641,-0.0105,0.0235,0.2645,-0.12,-0.06,-0.06,-0.01,-0.03,-0.05,1.0,3.0,3.0,3.0,0.9929,-0.0129,-0.0001,-0.0001,0.06,0.0,-0.06,0.0,0.02,-0.04,1.0,3.0,3.0,3.0,0.9628,0.0036,0.01,0.2701,-0.06,0.0,-0.06,0.06,0.05,-0.08,3.0,3.0,3.0,3.0
1051055.0,0.9768,-0.0001,-0.0001,-0.0001,0.0,0.12,0.0,0.0,-0.03,-0.02,3.0,3.0,3.0,3.0,0.9959,-0.0063,0.0279,0.0857,-0.06,-0.25,0.06,0.01,-0.09,0.02,3.0,3.0,3.0,3.0,0.9641,-0.0105,0.0235,-0.0001,-0.06,0.0,0.06,0.0,-0.04,-0.06,1.0,3.0,3.0,3.0,0.9929,-0.0129,-0.0001,-0.0001,0.0,0.06,0.12,0.02,-0.05,0.0,1.0,3.0,3.0,3.0,0.9628,0.0036,0.01,0.2701,0.0,-0.19,0.0,0.09,-0.03,-0.08,3.0,3.0,3.0,3.0
1051104.0,0.9768,-0.0001,-0.0001,-0.0001,0.19,-0.06,-0.06,0.0,-0.01,-0.03,3.0,3.0,3.0,3.0,0.9959,-0.0001,-0.0001,-0.0001,-0.06,0.31,-0.12,0.02,-0.01,0.01,3.0,3.0,3.0,3.0,0.9641,-0.0106,0.0235,-0.0001,-0.12,-0.12,0.0,0.0,-0.01,-0.01,1.0,3.0,3.0,3.0,0.9929,-0.0129,-0.0001,-0.0001,-0.19,0.12,-0.06,0.02,0.03,-0.04,1.0,3.0,3.0,3.0,0.9628,0.0036,0.01,0.2701,-0.06,0.12,-0.12,0.03,0.02,-0.1,3.0,3.0,3.0,3.0
1051154.0,0.9768,-0.0001,-0.0001,-0.0001,-0.12,-0.06,0.06,-0.04,-0.04,-0.07,3.0,3.0,3.0,3.0,0.9959,-0.0001,-0.0001,-0.0001,0.0,0.06,0.12,-0.03,-0.07,0.01,3.0,3.0,3.0,3.0,0.9641,-0.0106,0.0235,-0.0001,0.06,-0.06,-0.06,-0.02,-0.05,-0.07,1.0,3.0,3.0,3.0,0.9929,-0.0129,-0.0001,-0.0001,-0.06,0.0,0.06,-0.03,-0.02,-0.02,1.0,3.0,3.0,3.0,0.9628,0.0036,0.01,0.2701,0.06,0.06,0.0,0.01,0.03,-0.11,3.0,3.0,3.0,3.0
1051204.0,0.9768,-0.0001,-0.0001,-0.0001,0.12,0.06,-0.12,-0.05,-0.02,-0.02,3.0,3.0,3.0,3.0,0.9959,-0.0001,-0.0001,-0.0001,-0.12,-0.19,0.12,-0.03,-0.04,0.01,3.0,3.0,3.0,3.0,0.9641,-0.0106,0.0235,-0.0001,-0.06,0.12,-0.06,-0.03,-0.01,-0.06,1.0,3.0,3.0,3.0,0.9929,-0.0129,-0.0001,-0.0001,-0.12,-0.12,0.06,-0.03,-0.03,0.0,1.0,3.0,3.0,3.0,0.9628,0.0036,0.01,0.2701,0.0,0.0,-0.06,0.0,-0.05,-0.07,3.0,3.0,3.0,3.0
1051254.0,0.9768,-0.0001,-0.0001,-0.0001,-0.06,0.06,0.06,-0.06,-0.01,-0.05,3.0,3.0,3.0,3.0,0.9959,-0.0001,-0.0001,-0.0001,0.12,-0.12,0.06,-0.03,-0.03,0.0,3.0,3.0,3.0,3.0,0.9641,-0.0106,0.0235,-0.0001,0.0,0.12,0.06,-0.02,-0.02,-0.03,1.0,3.0,3.0,3.0,0.9929,-0.0129,-0.0001,-0.0001,0.19,-0.06,-0.06,-0.03,0.0,-0.03,1.0,3.0,3.0,3.0,0.9628,0.0036,0.01,0.2701,0.0,0.0,-0.06,0.0,0.04,-0.11,3.0,3.0,3.0,3.0
1051304.0,0.9768,-0.0001,-0.0001,-0.0001,0.19,-0.19,0.06,-0.04,-0.04,-0.03,3.0,3.0,3.0,3.0,0.9959,-0.0001,-0.0001,-0.0001,-0.12,-0.19,0.0,0.0,-0.1,0.02,3.0,3.0,3.0,3.0,0.9641,-0.0106,0.0236,-0.0001,-0.06,0.0,-0.06,-0.01,-0.06,-0.08,1.0,3.0,3.0,3.0,0.9929,-0.0129,-0.0001,-0.0001,0.0,0.0,0.06,0.0,-0.03,-0.02,1.0,3.0,3.0,3.0,0.9628,0.0036,0.01,0.2701,0.06,-0.06,0.0,0.06,-0.02,-0.1,3.0,3.0,3.0,3.0
