,sensor0,,,,,,,,,,,,,,sensor1,,,,,,,,,,,,,,sensor2,,,,,,,,,,,,,,sensor3,,,,,,,,,,,,,,sensor4
時刻(ms),相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag
211350.0,0.9613,-0.0092,-0.0155,-0.0001,0.31,-0.06,-0.06,-0.06,0.13,-0.01,3.0,3.0,3.0,3.0,0.9675,-0.01,-0.0184,0.2521,-0.12,0.12,0.0,0.01,0.0,-0.15,3.0,3.0,3.0,3.0,0.9704,-0.0125,-0.0001,-0.0001,0.44,-0.06,-0.06,0.15,0.12,-0.1,3.0,3.0,3.0,3.0,0.9567,-0.011,-0.0137,-0.0001,0.31,0.06,0.12,0.06,0.09,-0.05,3.0,3.0,3.0,3.0,0.9431,0.017,-0.0185,0.3315,0.12,0.5,-0.06,0.06,0.22,-0.03,2.0,3.0,3.0,3.0
211400.0,0.9613,-0.0092,-0.0155,-0.0001,0.25,0.0,0.06,0.04,0.07,-0.01,3.0,3.0,3.0,3.0,0.9675,-0.01,-0.0184,0.2521,-0.19,-0.5,0.19,0.17,0.0,-0.06,3.0,3.0,3.0,3.0,0.9704,-0.0125,-0.0001,-0.0001,-0.5,0.12,0.06,0.18,-0.08,-0.12,3.0,3.0,3.0,3.0,0.9567,-0.011,-0.0137,-0.0001,0.19,0.12,-0.06,0.1,-0.12,-0.06,3.0,3.0,3.0,3.0,0.9433,0.0172,-0.0186,0.3309,-0.19,0.25,-0.25,0.24,-0.15,-0.09,2.0,3.0,3.0,3.0
211448.0,0.9613,-0.0092,-0.0313,0.2737,0.5,-0.06,-0.06,0.21,-0.01,-0.01,3.0,3.0,3.0,3.0,0.9675,-0.0101,-0.0189,0.2521,-0.31,-0.63,-0.12,0.31,-0.11,-0.12,3.0,3.0,3.0,3.0,0.9704,-0.0126,-0.0001,-0.0001,0.19,0.06,-0.06,0.27,-0.01,-0.01,3.0,3.0,3.0,3.0,0.9567,-0.0112,-0.0139,-0.0001,0.5,-0.06,-0.06,0.18,-0.01,-0.01,3.0,3.0,3.0,3.0,0.9433,0.0173,-0.0195,0.3309,-0.31,0.06,-0.69,0.37,0.07,-0.09,3.0,3.0,3.0,3.0
211499.0,0.9613,-0.0092,-0.0321,0.2735,0.88,-0.06,-0.06,0.4,-0.01,-0.01,3.0,3.0,3.0,3.0,0.9675,-0.0097,-0.0202,0.252,-0.63,-0.69,-1.06,0.42,0.09,-0.16,3.0,3.0,3.0,3.0,0.9705,-0.0124,-0.0001,-0.0001,-0.19,0.19,-0.06,0.28,0.1,0.0,3.0,3.0,3.0,3.0,0.9568,-0.0109,-0.0142,-0.0001,1.06,0.12,-0.06,0.12,-0.12,-0.17,3.0,3.0,3.0,3.0,0.9434,0.0173,-0.0197,0.3306,-0.81,0.56,-1.75,0.56,0.45,-0.09,3.0,3.0,3.0,3.0
211549.0,0.9615,-0.0088,-0.0331,0.2728,0.81,-0.06,-0.06,0.2,-0.01,-0.01,3.0,3.0,3.0,3.0,0.9677,-0.0094,-0.0219,0.2512,-1.81,-1.06,-3.0,0.26,-0.05,-0.17,3.0,3.0,3.0,3.0,0.9706,-0.0125,-0.0154,0.2396,-1.75,0.75,-3.06,0.08,-0.11,-0.06,3.0,3.0,3.0,3.0,0.9572,-0.0112,-0.0144,0.289,0.56,0.25,-0.06,0.02,-0.01,-0.01,3.0,3.0,3.0,3.0,0.9437,0.0176,-0.0001,-0.0001,-2.0,2.5,-3.31,0.65,-0.36,0.46,3.0,3.0,3.0,3.0
211598.0,0.9619,-0.0092,-0.0338,0.271,-0.06,0.94,-0.06,-0.36,0.23,-0.01,3.0,3.0,3.0,3.0,0.9681,-0.0096,-0.0064,-0.0001,-1.12,1.81,-5.13,-0.68,-0.24,0.48,3.0,3.0,3.0,3.0,0.9711,-0.0128,-0.0151,0.2379,-0.37,0.69,-5.0,-0.33,-0.11,0.16,3.0,3.0,3.0,3.0,0.9577,-0.0115,-0.0142,0.2871,-0.25,1.06,-0.06,-0.26,0.19,0.0,3.0,3.0,3.0,3.0,0.9442,0.0166,-0.0001,-0.0001,1.12,7.13,-4.94,0.55,-0.49,0.01,3.0,3.0,3.0,3.0
211648.0,0.9623,-0.0093,-0.0333,0.2696,0.06,1.5,-2.0,-0.32,0.23,0.32,3.0,3.0,3.0,3.0,0.9684,-0.0096,-0.0057,-0.0001,2.0,1.19,-1.81,-0.22,0.04,-0.03,3.0,3.0,3.0,3.0,0.9714,-0.0123,-0.0148,0.2365,2.31,1.31,-1.75,-0.08,-0.01,-0.23,3.0,3.0,3.0,3.0,0.9581,-0.0115,-0.0138,0.2861,-0.06,0.69,-1.56,-0.13,0.12,-0.01,3.0,3.0,3.0,3.0,0.9446,-0.0001,-0.0001,-0.0001,2.38,-0.06,-0.06,0.59,-0.11,-0.15,3.0,3.0,3.0,3.0
211697.0,0.9625,-0.0093,-0.0328,0.269,0.37,0.81,-1.06,0.18,0.37,0.17,3.0,3.0,3.0,3.0,0.9686,-0.0092,-0.0051,-0.0001,1.06,1.44,-0.06,0.14,0.03,-0.01,3.0,3.0,3.0,3.0,0.9716,-0.0117,-0.0143,0.2359,1.56,0.75,-0.94,0.6,-0.06,-0.26,3.0,3.0,3.0,3.0,0.9582,-0.0112,-0.0137,0.2856,0.37,0.0,-0.69,0.98,0.68,-0.01,3.0,3.0,3.0,3.0,0.9443,-0.0001,-0.0001,-0.0001,1.5,-0.06,-0.06,-0.68,-0.01,-0.01,3.0,3.0,3.0,3.0
211746.0,0.9626,-0.0097,-0.0324,0.2689,-2.31,1.69,-0.63,1.2,-0.32,-0.05,3.0,3.0,3.0,3.0,0.9687,-0.0092,-0.0045,-0.0001,0.88,1.69,-0.06,1.03,-0.01,-0.01,3.0,3.0,3.0,3.0,0.9716,-0.0109,-0.014,0.2358,1.56,-0.88,-0.69,0.78,-0.41,0.01,3.0,3.0,3.0,3.0,0.9583,-0.0116,-0.0138,0.2855,-1.25,-0.37,-1.19,0.71,0.33,0.85,3.0,3.0,3.0,3.0,0.9439,0.0135,-0.0049,0.3298,2.5,2.25,-0.06,0.44,-0.01,-0.01,3.0,3.0,3.0,3.0
211795.0,0.9627,-0.011,-0.032,0.2684,2.06,-0.19,-1.69,-0.31,1.32,1.24,3.0,3.0,3.0,3.0,0.9688,-0.0089,-0.0194,0.2468,-0.5,0.0,-0.06,-0.48,-0.27,-0.11,3.0,3.0,3.0,3.0,0.9717,-0.0101,-0.0143,0.2354,1.06,-1.81,-0.37,0.54,-0.17,0.19,3.0,3.0,3.0,3.0,0.9584,-0.0123,-0.014,0.2849,2.63,0.69,0.19,-0.25,1.0,-0.98,3.0,3.0,3.0,3.0,0.9431,0.0142,-0.0049,0.3322,0.12,-0.06,-0.06,2.46,-0.01,-0.01,3.0,3.0,3.0,3.0
