,sensor0,,,,,,,,,,,,,,sensor1,,,,,,,,,,,,,,sensor2,,,,,,,,,,,,,,sensor3,,,,,,,,,,,,,,sensor4
時刻(ms),相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag
2750028.0,0.2327,-0.0301,0.0065,-0.972,-0.31,-0.12,0.88,0.28,-0.08,-0.05,3.0,3.0,3.0,3.0,0.0963,-0.0001,-0.0001,-0.0001,-0.69,0.81,0.75,0.23,0.11,-0.01,2.0,3.0,3.0,3.0,0.1714,-0.015,-0.0001,-0.0001,0.25,-0.12,0.88,0.22,0.04,0.05,3.0,3.0,3.0,3.0,0.2036,-0.0104,0.0037,-0.979,-0.25,-0.12,0.81,0.04,-0.03,0.06,3.0,3.0,3.0,3.0,-0.0072,-0.0001,-0.0001,-0.0001,0.63,7.5,2.38,0.51,0.06,-0.11,3.0,3.0,3.0,3.0
2750080.0,0.233,-0.0301,0.0065,-0.972,-0.31,-0.31,1.0,0.45,-0.02,-0.2,3.0,3.0,3.0,3.0,0.0966,-0.0212,0.0179,-0.9949,-0.44,0.56,0.88,0.19,0.0,0.07,2.0,3.0,3.0,3.0,0.1718,-0.0154,-0.0001,-0.0001,0.69,0.06,1.12,0.48,0.26,0.02,3.0,3.0,3.0,3.0,0.204,-0.0104,0.0037,-0.9789,-0.06,-0.19,1.0,0.29,-0.01,-0.01,3.0,3.0,3.0,3.0,-0.2115,0.0185,0.0056,-0.0001,0.63,8.88,0.56,-0.42,0.31,0.0,3.0,3.0,3.0,3.0
2750131.0,0.2332,-0.0302,0.0065,-0.9719,-0.12,-0.37,0.56,0.5,0.14,-0.01,3.0,3.0,3.0,3.0,0.0968,-0.0001,-0.0001,-0.0001,-0.37,-0.06,0.56,0.57,-0.01,-0.01,2.0,3.0,3.0,3.0,0.1719,-0.0001,-0.0001,-0.0001,0.19,-0.37,0.81,0.94,-0.12,0.08,3.0,3.0,3.0,3.0,0.2041,-0.0114,0.0038,-0.9789,-0.25,-0.56,0.69,0.89,0.18,-0.01,3.0,3.0,3.0,3.0,-0.2115,0.0159,0.0052,-0.0001,0.31,2.56,1.56,-0.42,-0.19,-0.37,3.0,3.0,3.0,3.0
2750181.0,0.2339,-0.0304,0.0063,-0.9717,-1.69,-0.94,2.81,0.71,0.46,-0.01,3.0,3.0,3.0,3.0,0.0975,-0.0001,-0.0001,-0.0001,0.06,-0.06,-0.06,0.69,0.02,-0.22,2.0,3.0,3.0,3.0,0.1727,-0.0001,-0.0001,-0.0001,-0.44,-2.38,3.19,0.74,0.0,-0.07,3.0,3.0,3.0,3.0,0.205,-0.0117,0.0037,-0.9787,-2.69,-1.69,3.06,0.65,0.02,-0.35,3.0,3.0,3.0,3.0,-0.2124,0.0157,0.0052,-0.0001,-0.12,-1.56,2.69,0.69,0.25,-0.12,3.0,3.0,3.0,3.0
2750230.0,0.2352,-0.0311,0.0065,-0.9714,-0.12,-1.94,2.63,0.75,-0.32,-0.36,3.0,3.0,3.0,3.0,0.0987,-0.0257,0.0173,-0.9946,-0.19,-1.69,2.38,0.77,0.0,0.29,2.0,3.0,3.0,3.0,0.1739,-0.0001,-0.0001,-0.0001,-0.63,-0.94,2.19,0.48,-0.06,-0.42,3.0,3.0,3.0,3.0,0.2062,-0.0123,0.0037,-0.9785,0.06,-0.94,2.31,0.53,-0.35,-0.38,3.0,3.0,3.0,3.0,-0.2134,0.0164,0.0051,-0.0001,-0.69,-1.69,2.06,0.99,-0.68,-0.2,3.0,3.0,3.0,3.0
2750280.0,0.2358,-0.0313,0.006,-0.9713,1.75,0.56,1.0,0.61,-0.02,0.46,3.0,3.0,3.0,3.0,0.0993,-0.0264,0.0169,-0.9946,1.63,0.81,0.81,0.42,-0.01,-0.01,2.0,3.0,3.0,3.0,0.1746,-0.0001,-0.0001,-0.0001,1.56,0.25,0.94,0.67,-0.33,-0.06,3.0,3.0,3.0,3.0,0.2067,-0.0121,0.0033,-0.9783,2.69,0.69,0.81,0.77,-0.04,0.97,3.0,3.0,3.0,3.0,-0.2139,0.0165,0.0057,-0.0001,2.31,0.5,0.12,0.45,0.42,-0.37,3.0,3.0,3.0,3.0
2750329.0,0.2362,-0.0312,0.0062,-0.9712,-1.19,0.69,-0.31,1.56,-0.13,-0.56,3.0,3.0,3.0,3.0,0.0997,-0.0262,0.0165,-0.9946,0.56,0.69,-0.06,1.63,0.85,0.38,2.0,3.0,3.0,3.0,0.1749,-0.0001,-0.0001,-0.0001,-0.25,-1.0,-0.81,0.66,-0.34,0.41,3.0,3.0,3.0,3.0,0.2069,-0.0123,0.0036,-0.9783,-1.25,0.69,-1.44,0.58,0.15,0.95,3.0,3.0,3.0,3.0,-0.214,0.0163,0.0059,-0.0001,0.69,-0.06,-0.06,0.99,0.0,0.2,3.0,3.0,3.0,3.0
2750377.0,0.2352,-0.0309,0.007,-0.9714,-0.12,0.37,-3.31,0.62,0.1,-1.01,3.0,3.0,3.0,3.0,0.0986,-0.0256,0.0163,-0.9947,1.06,1.31,-3.38,0.21,-0.01,-0.01,2.0,3.0,3.0,3.0,0.1738,-0.0001,-0.0001,-0.0001,-0.56,-0.25,-3.31,0.75,-0.52,0.29,3.0,3.0,3.0,3.0,0.2057,-0.0123,0.0042,-0.9785,1.56,1.31,-3.19,0.59,-0.12,0.46,3.0,3.0,3.0,3.0,-0.2128,0.0162,0.0063,-0.0001,1.12,-0.06,-0.06,0.79,0.12,-0.44,3.0,3.0,3.0,3.0
2750428.0,0.2341,-0.0302,0.0068,-0.9717,6.0,3.56,-3.69,-0.09,0.25,0.78,3.0,3.0,3.0,3.0,0.0972,-0.0245,0.0156,-0.9948,1.31,1.75,-3.69,-0.04,0.14,-0.01,2.0,3.0,3.0,3.0,0.1725,-0.0001,-0.0001,-0.0001,5.06,4.13,-0.06,-0.66,-0.01,-0.01,3.0,3.0,3.0,3.0,0.2043,-0.011,0.0033,-0.9788,1.88,1.69,-4.0,1.35,0.01,-1.28,3.0,3.0,3.0,3.0,-0.2111,0.0158,0.0072,-0.0001,3.94,1.12,-0.06,0.0,-0.01,-0.01,3.0,3.0,3.0,3.0
2750477.0,0.2328,-0.0142,-0.0001,-0.0001,-1.56,0.0,-4.13,1.18,-0.06,-0.31,3.0,3.0,3.0,3.0,0.0958,-0.0248,0.015,-0.995,0.12,-1.88,-4.56,0.73,1.34,-0.01,2.0,3.0,3.0,3.0,0.171,-0.0001,-0.0001,-0.0001,1.63,-0.06,-0.06,-0.23,0.96,-1.57,3.0,3.0,3.0,3.0,0.2032,-0.0113,0.0035,-0.9791,1.88,-0.88,-5.81,0.39,-0.2,0.95,3.0,3.0,3.0,3.0,-0.0066,-0.0001,-0.0001,-0.0001,3.56,-0.06,-0.06,0.14,0.08,0.49,3.0,3.0,3.0,3.0
2750526.0,0.2304,-0.0302,0.0062,-0.9726,1.88,-0.5,-4.56,-0.07,1.07,0.65,3.0,3.0,3.0,3.0,0.0933,-0.0248,0.0142,-0.9952,5.25,0.25,-4.5,0.11,-0.27,0.55,2.0,3.0,3.0,3.0,0.1686,-0.0191,0.0205,-0.0001,2.13,-0.06,-0.06,0.66,-0.01,-0.01,3.0,3.0,3.0,3.0,0.2008,-0.0123,0.0031,-0.9796,1.75,-1.63,-4.56,0.19,-0.45,0.18,3.0,3.0,3.0,3.0,-0.2074,0.019,0.0095,0.978,2.19,-12.56,-0.06,-1.54,0.19,-0.01,3.0,3.0,3.0,3.0
2750574.0,0.2287,-0.03,0.0082,-0.973,-8.31,5.13,-4.19,0.5,-0.83,1.9,3.0,3.0,3.0,3.0,0.092,-0.0238,0.0133,-0.9954,4.88,3.75,-4.63,-0.08,0.0,-0.53,2.0,3.0,3.0,3.0,0.1669,-0.0196,0.0193,-0.9856,4.0,2.19,-4.81,-1.06,1.04,-0.01,3.0,3.0,3.0,3.0,0.199,-0.0132,0.0054,-0.9799,-5.38,2.19,-4.81,0.0,0.3,1.34,3.0,3.0,3.0,3.0,-0.2053,0.024,0.0116,0.9783,2.0,-13.69,-6.19,-0.34,0.78,0.5,3.0,3.0,3.0,3.0
2750621.0,0.2265,-0.0297,0.0074,-0.9735,5.25,-1.31,-5.25,0.6,0.46,-0.28,3.0,3.0,3.0,3.0,0.0898,-0.0239,0.0125,-0.9956,0.81,-0.06,-0.06,0.81,0.06,-0.01,2.0,3.0,3.0,3.0,0.165,-0.0001,-0.0001,-0.0001,-1.37,3.75,-4.19,0.95,0.0,0.04,3.0,3.0,3.0,3.0,0.1968,-0.0129,0.0034,-0.9803,8.56,2.38,-4.19,1.22,1.37,-2.11,3.0,3.0,3.0,3.0,-0.2041,0.0276,-0.0001,-0.0001,-2.75,-4.75,-0.06,2.25,-0.9,-0.97,3.0,3.0,3.0,3.0
