,sensor0,,,,,,,,,,,,,,sensor1,,,,,,,,,,,,,,sensor2,,,,,,,,,,,,,,sensor3,,,,,,,,,,,,,,sensor4
時刻(ms),相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag
2965446.0,0.2052,-0.0001,-0.0001,-0.0001,0.19,0.0,2.5,0.43,0.16,-0.06,3.0,3.0,3.0,2.0,0.1148,-0.0229,0.0167,-0.993,-0.19,0.19,2.63,0.41,-0.04,-0.13,3.0,3.0,3.0,2.0,0.1857,-0.0176,0.0215,-0.9822,0.31,-0.69,2.81,0.52,0.0,-0.15,3.0,3.0,3.0,2.0,0.1873,-0.0125,-0.0001,-0.0001,-0.31,-0.12,2.75,0.62,0.13,-0.1,3.0,3.0,3.0,2.0,-0.2581,0.0225,-0.0001,-0.0001,0.31,1.63,3.31,0.26,-0.01,-0.01,3.0,3.0,3.0,2.0
2965496.0,0.2064,-0.0001,-0.0001,-0.0001,0.31,-0.06,-0.06,0.51,0.28,-0.03,3.0,3.0,3.0,2.0,0.1162,-0.0247,0.0165,-0.9928,1.37,-0.19,3.94,0.57,-0.02,0.05,3.0,3.0,3.0,2.0,0.187,-0.0206,0.0212,-0.9819,1.75,-1.44,4.63,0.77,-0.09,-0.08,3.0,3.0,3.0,2.0,0.1887,-0.0001,-0.0001,-0.0001,-0.06,-0.81,4.19,0.78,0.29,-0.18,3.0,3.0,3.0,2.0,-0.2596,0.0235,-0.0001,-0.0001,1.75,0.31,4.63,0.6,-0.01,-0.01,3.0,3.0,3.0,2.0
2965547.0,0.2083,-0.0001,-0.0001,-0.0001,0.69,0.06,5.63,0.59,0.28,0.01,3.0,3.0,3.0,2.0,0.1184,-0.0267,0.0157,-0.9925,2.06,-0.19,6.0,0.73,0.47,0.01,3.0,3.0,3.0,2.0,0.1891,-0.0245,0.02,-0.9814,0.25,-0.94,5.69,0.37,0.35,0.88,3.0,3.0,3.0,2.0,0.1909,-0.0001,-0.0001,-0.0001,-0.5,-1.0,6.19,0.2,-0.22,-0.28,3.0,3.0,3.0,2.0,-0.0118,-0.0001,-0.0001,-0.0001,1.69,0.88,6.44,1.0,0.98,-0.01,3.0,3.0,3.0,2.0
2965597.0,0.2106,-0.0001,-0.0001,-0.0001,0.63,-0.06,-0.06,0.3,-0.18,-0.14,3.0,3.0,3.0,2.0,0.1204,-0.0269,0.0156,-0.9922,-0.63,-0.75,5.38,0.49,0.0,-0.16,3.0,3.0,3.0,2.0,0.1915,-0.0246,0.02,-0.981,0.25,-1.31,5.06,0.65,-0.21,-0.55,3.0,3.0,3.0,2.0,0.1933,-0.0001,-0.0001,-0.0001,-0.75,-0.31,5.44,0.42,-0.23,-0.31,3.0,3.0,3.0,2.0,-0.0143,-0.0001,-0.0001,-0.0001,-0.31,5.06,7.06,0.94,-0.01,-0.01,3.0,3.0,3.0,2.0
2965647.0,0.2128,-0.0001,-0.0001,-0.0001,0.25,-0.06,-0.06,0.57,-0.14,-0.19,3.0,3.0,3.0,2.0,0.1225,-0.0278,0.0156,-0.9919,1.06,-0.31,5.13,0.55,-0.53,-0.18,3.0,3.0,3.0,2.0,0.1935,-0.0251,0.0193,-0.9806,2.44,-2.5,5.19,1.02,-0.58,0.37,3.0,3.0,3.0,2.0,0.1954,-0.0001,-0.0001,-0.0001,-0.37,-1.81,5.13,0.56,-0.36,0.27,3.0,3.0,3.0,2.0,-0.2669,0.019,-0.0001,-0.0001,2.25,6.13,7.56,0.34,-0.01,-0.01,3.0,3.0,3.0,2.0
2965697.0,0.215,-0.0397,0.0007,-0.0001,0.69,0.06,5.38,1.04,-0.42,-0.17,3.0,3.0,3.0,2.0,0.1248,-0.0277,0.0149,-0.9917,1.69,0.06,5.19,1.61,1.47,-0.54,3.0,3.0,3.0,2.0,0.1959,-0.0251,0.0186,-0.9802,2.25,0.19,3.44,0.27,0.52,-0.65,3.0,3.0,3.0,2.0,0.1978,-0.0001,-0.0001,-0.0001,0.31,0.37,5.13,0.32,-0.37,0.25,3.0,3.0,3.0,2.0,-0.269,0.0167,-0.0001,-0.0001,1.37,5.31,2.88,-0.17,0.48,-0.64,3.0,3.0,3.0,2.0
2965747.0,0.2158,-0.0397,0.0007,-0.0001,0.37,0.44,0.31,0.39,-0.09,-0.48,3.0,3.0,3.0,2.0,0.126,-0.0276,0.0144,-0.9915,1.0,0.0,0.31,0.52,-0.38,0.04,3.0,3.0,3.0,2.0,0.1965,-0.0254,0.0183,-0.98,0.75,-1.06,-0.06,0.02,0.07,0.29,3.0,3.0,3.0,2.0,0.1985,-0.0001,-0.0001,-0.0001,0.5,0.12,0.37,-0.11,-0.86,-0.81,3.0,3.0,3.0,2.0,-0.2691,0.0157,-0.0001,-0.0001,0.44,0.31,0.12,1.59,-0.88,-0.03,3.0,3.0,3.0,2.0
2965797.0,0.2154,-0.0392,0.0021,-0.0001,-7.06,-0.06,-0.06,0.3,-1.53,0.07,3.0,3.0,3.0,2.0,0.1257,-0.0266,0.0135,-0.9916,4.13,7.56,-3.19,-1.24,-0.82,-0.39,3.0,3.0,3.0,2.0,0.1959,-0.0255,0.0173,-0.9802,5.06,-0.75,-2.56,-0.87,0.81,-0.01,3.0,3.0,3.0,2.0,0.1978,-0.0001,-0.0001,-0.0001,-8.44,0.63,-0.06,-0.43,-0.19,1.48,3.0,3.0,3.0,2.0,-0.0147,-0.0001,-0.0001,-0.0001,6.44,5.75,-0.06,0.63,-0.01,-0.01,3.0,3.0,3.0,2.0
2965848.0,0.2141,-0.0001,-0.0001,-0.0001,0.56,-0.06,-0.06,1.26,-0.01,-0.01,3.0,3.0,3.0,2.0,0.1243,-0.0258,0.0132,-0.9918,-5.94,0.0,-2.88,1.09,-1.03,-0.62,3.0,3.0,3.0,2.0,0.1946,-0.0252,0.0158,-0.9804,-0.56,-0.75,-2.63,-0.1,0.85,0.61,3.0,3.0,3.0,2.0,0.1965,-0.0001,-0.0001,-0.0001,-1.88,-1.69,-2.5,-0.72,-0.69,1.18,3.0,3.0,3.0,2.0,-0.2611,0.0105,-0.0001,-0.0001,-4.25,-0.06,-0.06,-8.46,0.82,1.01,3.0,3.0,3.0,2.0
2965898.0,0.2116,-0.0001,-0.0001,-0.0001,-0.81,-0.06,-9.5,-0.05,-0.84,1.74,3.0,3.0,3.0,2.0,0.1217,-0.0262,0.014,-0.9921,-2.75,0.56,-10.06,-0.75,-1.56,0.93,3.0,3.0,3.0,2.0,0.1918,-0.0252,0.0173,-0.981,0.37,-0.69,-10.13,0.01,0.12,1.12,3.0,3.0,3.0,2.0,0.1935,-0.0001,-0.0001,-0.0001,-5.0,-0.06,-0.06,-0.34,0.3,1.49,3.0,3.0,3.0,2.0,-0.0046,-0.0001,-0.0001,-0.0001,1.12,-0.06,-0.06,0.07,0.73,0.35,3.0,3.0,3.0,2.0
2965948.0,0.2075,-0.0001,-0.0001,-0.0001,1.06,-0.06,-0.06,-1.01,-0.01,-0.01,3.0,3.0,3.0,2.0,0.1176,-0.0269,0.0157,-0.9926,7.19,-2.63,-7.69,1.49,-3.36,6.13,3.0,3.0,3.0,2.0,0.1877,-0.0252,0.0189,-0.9817,1.25,-0.81,-8.19,-1.56,3.13,0.21,3.0,3.0,3.0,2.0,0.1895,-0.0001,-0.0001,-0.0001,5.63,-0.06,-0.06,0.52,0.09,0.36,3.0,3.0,3.0,2.0,-0.0146,-0.0001,-0.0001,-0.0001,-5.69,-0.06,-0.06,0.21,-4.1,1.91,3.0,3.0,3.0,2.0
2965998.0,0.2038,-0.0402,0.003,-0.9782,-0.31,-1.44,-8.0,3.61,-1.22,-2.67,3.0,3.0,3.0,2.0,0.1138,-0.0273,0.0156,-0.993,-0.69,3.81,-6.06,3.87,-0.86,1.94,3.0,3.0,3.0,2.0,0.184,-0.0261,0.019,-0.9824,1.56,3.44,-6.63,3.33,-0.96,-0.45,3.0,3.0,3.0,2.0,0.1813,-0.024,0.0,-0.0144,-5.44,-0.06,-0.06,1.52,-0.2,5.41,3.0,3.0,3.0,2.0,-0.2437,0.0085,0.0068,0.9698,-0.69,8.88,-0.06,-0.73,-0.54,-1.2,3.0,3.0,3.0,2.0
2966048.0,0.2009,-0.0391,0.0038,-0.9788,0.0,0.25,-6.56,-0.15,0.33,3.27,3.0,3.0,3.0,2.0,0.111,-0.0264,0.0145,-0.9933,3.5,0.31,-5.5,0.01,-1.16,-0.5,3.0,3.0,3.0,2.0,0.1812,-0.0258,0.0179,-0.9829,-2.0,4.31,-4.75,0.86,-2.64,0.95,3.0,3.0,3.0,2.0,0.1758,-0.0235,-0.0001,-0.0154,8.06,4.81,-4.56,-0.34,0.75,2.3,3.0,3.0,3.0,2.0,-0.0062,-0.0001,-0.0001,-0.0001,0.31,-11.5,-7.06,1.2,-0.49,-0.69,3.0,3.0,3.0,2.0
2966098.0,0.1993,-0.0392,0.0013,-0.9791,-6.44,-0.06,-0.06,-0.01,-2.28,15.97,3.0,3.0,3.0,2.0,0.1094,-0.0269,0.0134,-0.9935,-3.13,11.38,-2.88,-5.1,-2.72,-0.35,3.0,3.0,3.0,2.0,0.1797,-0.0253,0.0177,-0.9832,-5.63,0.69,-2.56,0.8,-0.6,-0.11,3.0,3.0,3.0,2.0,0.1703,-0.0001,-0.0001,-0.0001,-8.81,3.38,-0.06,-0.64,1.32,-1.02,3.0,3.0,3.0,2.0,-0.238,0.015,-0.0001,-0.0001,-0.88,-8.94,-0.94,0.51,0.85,3.91,3.0,3.0,3.0,2.0
