,sensor0,,,,,,,,,,,,,,sensor1,,,,,,,,,,,,,,sensor2,,,,,,,,,,,,,,sensor3,,,,,,,,,,,,,,sensor4
時刻(ms),相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag
3717553.0,0.9803,-0.0114,-0.0262,0.1951,0.06,0.06,-0.5,0.2,0.01,-0.06,3.0,3.0,3.0,3.0,0.9834,-0.0146,-0.0001,-0.0001,-0.56,0.06,-0.06,0.29,-0.01,-0.01,2.0,3.0,3.0,3.0,0.9706,-0.0241,-0.0138,0.2393,-0.37,0.44,-0.44,0.26,0.0,-0.01,3.0,3.0,3.0,3.0,0.9759,-0.0059,-0.0058,-0.0001,0.06,0.31,-0.06,0.28,-0.01,-0.01,3.0,3.0,3.0,3.0,-0.0149,-0.0001,-0.0001,-0.0001,-0.63,2.63,-0.06,0.33,0.0,-0.15,3.0,3.0,3.0,3.0
3717603.0,0.9803,-0.0112,-0.0267,0.1951,0.12,-0.31,-0.31,0.26,0.1,-0.05,3.0,3.0,3.0,3.0,0.9833,-0.0149,-0.0001,-0.0001,-0.88,-0.25,-0.37,0.34,-0.01,-0.01,2.0,3.0,3.0,3.0,0.9706,-0.024,-0.0144,0.2393,-0.75,0.56,-0.19,0.35,0.05,-0.02,3.0,3.0,3.0,3.0,0.9759,-0.0056,-0.0067,0.2181,0.19,0.31,-0.06,0.36,0.04,-0.01,3.0,3.0,3.0,3.0,-0.0149,-0.0001,-0.0001,-0.0001,-0.81,2.94,-0.06,0.13,-0.06,-0.16,3.0,3.0,3.0,3.0
3717653.0,0.9803,-0.0107,-0.0276,0.1951,0.31,-0.31,0.0,0.45,0.09,-0.06,3.0,3.0,3.0,3.0,0.9833,-0.0153,-0.0001,-0.0001,-0.94,-0.19,0.19,0.48,-0.01,-0.01,2.0,3.0,3.0,3.0,0.9705,-0.024,-0.0159,0.2392,-0.75,0.37,0.31,0.5,-0.07,-0.03,3.0,3.0,3.0,3.0,0.9759,-0.0049,-0.0084,0.2181,0.06,0.12,0.12,0.51,0.07,-0.01,3.0,3.0,3.0,3.0,-0.0149,-0.0001,-0.0001,-0.0001,-0.63,0.69,0.44,0.43,-0.16,-0.24,3.0,3.0,3.0,3.0
3717703.0,0.9803,-0.0101,-0.0294,0.1951,0.5,-0.37,0.31,0.5,0.0,-0.13,3.0,3.0,3.0,3.0,0.9833,-0.0153,-0.0001,-0.0001,-0.56,-0.44,0.5,0.57,-0.01,-0.01,2.0,3.0,3.0,3.0,0.9705,-0.0236,-0.0178,0.2391,-0.44,-0.12,0.44,0.48,0.03,-0.15,3.0,3.0,3.0,3.0,0.9759,-0.0044,-0.0106,0.2181,0.44,0.06,0.5,0.54,-0.01,-0.01,3.0,3.0,3.0,3.0,-0.0148,-0.0001,-0.0001,-0.0001,-0.44,0.5,0.31,0.48,-0.24,-0.11,3.0,3.0,3.0,3.0
3717753.0,0.9802,-0.0096,-0.0316,0.195,0.81,0.31,0.25,0.15,0.07,0.32,3.0,3.0,3.0,3.0,0.9833,-0.0151,-0.0001,-0.0001,0.5,0.37,0.19,0.13,-0.01,-0.01,3.0,3.0,3.0,3.0,0.9705,-0.0233,-0.0191,0.2391,1.0,0.25,0.25,0.13,-0.01,0.11,3.0,3.0,3.0,3.0,0.9758,-0.0001,-0.0001,-0.0001,0.25,0.12,0.25,0.16,-0.01,-0.01,3.0,3.0,3.0,3.0,-0.0144,-0.0001,-0.0001,-0.0001,1.0,1.25,-0.12,0.37,0.13,-0.15,3.0,3.0,3.0,3.0
3717804.0,0.9802,-0.0095,-0.0317,0.1951,0.0,0.12,0.69,0.22,-0.07,0.16,3.0,3.0,3.0,3.0,0.9832,-0.0148,-0.0001,-0.0001,0.75,0.37,0.69,0.06,0.06,-0.01,3.0,3.0,3.0,3.0,0.9705,-0.0228,-0.0191,0.2393,1.25,0.5,0.56,0.17,0.19,-0.29,3.0,3.0,3.0,3.0,0.9758,-0.0038,-0.012,0.2181,2.0,0.25,0.63,0.29,0.08,0.47,3.0,3.0,3.0,3.0,-0.0143,-0.0001,-0.0001,-0.0001,0.94,3.19,0.25,0.67,0.05,-0.42,3.0,3.0,3.0,3.0
3717854.0,0.9802,-0.0092,-0.0316,0.1951,2.5,0.0,-0.06,0.38,0.19,0.1,3.0,3.0,3.0,3.0,0.983,-0.0146,-0.0001,-0.0001,1.94,-0.06,-0.06,0.5,0.49,-0.01,3.0,3.0,3.0,3.0,0.9705,-0.0225,-0.0189,0.2393,1.0,-1.44,0.06,0.37,-0.03,-0.25,3.0,3.0,3.0,3.0,0.9758,-0.0032,-0.0118,0.2182,1.63,-0.56,-0.06,0.48,0.11,0.09,3.0,3.0,3.0,3.0,-0.0138,-0.0001,-0.0001,-0.0001,1.44,3.75,1.0,0.7,-0.01,-0.01,3.0,3.0,3.0,3.0
3717903.0,0.9802,-0.0081,-0.0325,0.1952,-0.88,-0.44,1.19,0.29,-0.16,-0.52,3.0,3.0,3.0,3.0,0.983,-0.0142,-0.006,-0.0001,1.69,-0.06,-0.06,0.44,-0.01,-0.01,3.0,3.0,3.0,3.0,0.9705,-0.0001,-0.0001,-0.0001,1.69,-1.19,1.0,0.51,0.08,0.81,3.0,3.0,3.0,3.0,0.9758,-0.0029,-0.0127,0.2184,-0.63,-1.25,1.0,0.5,-0.01,-0.01,3.0,3.0,3.0,3.0,-0.0134,-0.0001,-0.0001,-0.0001,1.56,4.44,2.75,0.51,0.53,-0.93,3.0,3.0,3.0,3.0
3717954.0,0.9801,-0.0081,-0.0327,0.1957,2.81,-1.25,0.81,0.74,-0.2,0.07,3.0,3.0,3.0,3.0,0.9829,-0.0142,-0.0001,-0.0001,-1.88,-2.31,0.81,0.95,0.36,-0.01,3.0,3.0,3.0,3.0,0.9704,-0.0211,-0.0195,0.2399,-1.31,-3.13,-0.06,0.4,0.4,-1.49,3.0,3.0,3.0,3.0,0.9757,-0.0026,-0.0128,0.2187,-1.37,-0.81,0.37,0.24,-0.73,-0.82,3.0,3.0,3.0,3.0,-0.0127,-0.0001,-0.0001,-0.0001,-0.37,-6.5,-0.06,2.31,-0.01,-0.01,3.0,3.0,3.0,3.0
3718003.0,0.9801,-0.0001,-0.0001,-0.0001,-0.31,4.13,0.5,-1.22,-1.07,0.47,3.0,3.0,3.0,3.0,0.9828,-0.0132,-0.0212,0.1827,1.5,3.31,2.06,-1.21,-0.01,-0.01,3.0,3.0,3.0,3.0,0.9703,-0.0001,-0.0001,-0.0001,2.38,-0.81,2.63,-0.22,-0.22,0.98,3.0,3.0,3.0,3.0,0.9756,-0.0025,-0.0128,0.2192,0.81,-0.37,2.56,-0.96,-0.63,-0.47,3.0,3.0,3.0,3.0,-0.0126,-0.0001,-0.0001,-0.0001,1.94,-0.06,-0.06,1.79,0.17,0.02,3.0,3.0,3.0,3.0
