,sensor0,,,,,,,,,,,,,,sensor1,,,,,,,,,,,,,,sensor2,,,,,,,,,,,,,,sensor3,,,,,,,,,,,,,,sensor4
時刻(ms),相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag
3269302.0,-0.1642,-0.0063,-0.0001,-0.0001,0.06,0.06,-0.06,0.0,0.03,-0.01,0.0,3.0,3.0,3.0,-0.0156,-0.0001,-0.0001,-0.0001,0.06,0.25,-0.06,0.14,0.01,0.11,0.0,3.0,3.0,3.0,-0.0136,-0.0001,-0.0001,-0.0001,0.25,0.37,-0.75,0.12,0.02,0.02,3.0,3.0,3.0,3.0,0.3741,-0.0112,-0.0051,-0.0001,0.06,0.06,-0.06,0.22,0.07,0.07,0.0,3.0,3.0,3.0,-0.4305,-0.0262,0.0004,-0.9022,-0.19,3.38,-0.94,0.61,-0.18,0.0,1.0,3.0,3.0,3.0
3269352.0,-0.1644,-0.0063,-0.0001,-0.0001,0.12,-0.06,-0.06,0.08,0.02,-0.03,0.0,3.0,3.0,3.0,-0.1409,-0.0162,0.0082,-0.0001,0.0,0.25,-0.06,0.14,0.14,0.04,0.0,3.0,3.0,3.0,-0.0138,-0.0001,-0.0001,-0.0001,0.63,0.63,-0.75,0.18,0.09,0.09,3.0,3.0,3.0,3.0,0.3739,-0.0115,-0.0054,-0.0001,0.06,0.0,-0.06,0.28,-0.06,0.1,0.0,3.0,3.0,3.0,-0.4309,-0.0255,0.0001,-0.902,0.06,6.0,-1.31,0.22,-0.01,-0.17,1.0,3.0,3.0,3.0
3269402.0,-0.1649,-0.0067,-0.0001,-0.0001,0.0,0.12,-0.06,0.28,-0.1,-0.02,0.0,3.0,3.0,3.0,-0.1415,-0.0171,0.008,-0.0001,-0.69,0.19,-0.06,0.37,0.0,0.1,0.0,3.0,3.0,3.0,-0.0143,-0.0001,-0.0001,-0.0001,0.06,0.81,-1.81,0.25,0.0,0.03,3.0,3.0,3.0,3.0,0.3734,-0.0122,-0.0001,-0.0001,0.31,-0.06,-0.06,0.35,-0.28,0.06,0.0,3.0,3.0,3.0,-0.4313,-0.0237,-0.0007,-0.9019,0.25,5.56,-2.13,0.59,-0.02,-0.17,1.0,3.0,3.0,3.0
3269452.0,-0.1658,-0.0237,0.0096,-0.0001,0.25,-0.06,-0.06,0.57,-0.31,-0.08,0.0,3.0,3.0,3.0,-0.1426,-0.0189,0.0081,-0.0001,-0.69,0.31,-0.06,0.66,0.08,0.0,0.0,3.0,3.0,3.0,-0.0153,-0.0001,-0.0001,-0.0001,0.44,0.69,-3.69,0.48,0.15,0.0,3.0,3.0,3.0,3.0,0.3723,-0.0139,-0.0001,-0.0001,0.25,0.0,-0.06,0.67,-0.18,0.01,0.0,3.0,3.0,3.0,-0.4321,-0.0217,-0.0016,-0.9016,-0.31,7.31,-1.94,0.95,0.07,-0.07,1.0,3.0,3.0,3.0
3269502.0,-0.1675,-0.0237,0.0096,-0.0001,0.31,0.06,-0.06,1.1,-0.36,-0.07,0.0,3.0,3.0,3.0,-0.004,-0.0001,-0.0001,-0.0001,-1.19,-0.19,-5.94,1.22,0.16,-0.01,0.0,3.0,3.0,3.0,-0.3141,-0.011,0.0145,-0.9492,0.31,1.37,-6.13,0.81,0.08,0.01,3.0,3.0,3.0,3.0,0.3701,-0.0001,-0.0001,-0.0001,0.5,0.19,-0.06,1.02,-0.2,0.01,0.0,3.0,3.0,3.0,-0.434,-0.0201,-0.0025,-0.9007,-0.75,7.19,-5.94,0.44,-0.01,0.05,1.0,3.0,3.0,3.0
3269553.0,-0.0142,-0.0001,-0.0001,-0.0001,-0.31,0.0,-0.06,1.39,-0.12,-0.14,0.0,3.0,3.0,3.0,-0.0072,-0.0001,-0.0001,-0.0001,-1.56,0.44,-8.88,1.34,0.07,0.12,0.0,3.0,3.0,3.0,-0.0045,-0.0001,-0.0001,-0.0001,-0.19,0.44,-9.06,1.15,-0.05,-0.11,3.0,3.0,3.0,3.0,0.3669,-0.0001,-0.0001,-0.0001,-0.19,0.5,-9.25,1.17,-0.05,0.06,0.0,3.0,3.0,3.0,-0.4371,-0.0183,-0.0034,-0.8992,-0.37,2.69,-9.63,1.1,0.06,-0.2,1.0,3.0,3.0,3.0
3269603.0,-0.1743,-0.0255,0.01,-0.0156,-0.06,-0.12,-10.13,0.99,-0.21,0.0,0.0,3.0,3.0,3.0,-0.152,-0.0067,-0.0001,-0.0001,-0.88,0.06,-10.56,1.09,-0.01,-0.01,0.0,3.0,3.0,3.0,-0.321,-0.0123,0.0151,-0.9469,-0.19,0.25,-10.5,0.99,-0.07,-0.14,3.0,3.0,3.0,3.0,0.3629,-0.0001,-0.0001,-0.0001,0.44,0.37,-10.5,0.88,-0.2,-0.19,0.0,3.0,3.0,3.0,-0.441,-0.0176,-0.0036,-0.8973,-0.63,1.25,-10.44,0.49,-0.39,-0.17,1.0,3.0,3.0,3.0
3269653.0,-0.0069,-0.0001,-0.0001,-0.0001,0.37,0.06,-11.31,0.4,-0.2,0.08,0.0,3.0,3.0,3.0,-0.1567,-0.0237,0.01,-0.0001,-0.25,-0.44,-11.56,0.67,-0.01,-0.01,0.0,3.0,3.0,3.0,-0.0129,-0.0001,-0.0001,-0.0001,-0.5,-0.25,-11.75,0.31,-0.09,0.33,3.0,3.0,3.0,3.0,0.3584,-0.0237,-0.0074,-0.0001,1.19,0.25,-11.94,0.23,-0.14,0.21,0.0,3.0,3.0,3.0,-0.4453,-0.0178,-0.0035,-0.8952,-0.63,-1.5,-12.19,0.21,0.16,0.2,1.0,3.0,3.0,3.0
3269703.0,-0.012,-0.0001,-0.0001,-0.0001,-0.06,-0.5,-12.75,0.18,-0.43,-0.07,0.0,3.0,3.0,3.0,-0.0057,-0.0001,-0.0001,-0.0001,-1.37,-1.56,-13.38,0.4,0.15,0.0,0.0,3.0,3.0,3.0,-0.3304,-0.0137,0.0158,-0.9436,-0.56,-0.75,-13.88,0.04,0.27,-0.17,3.0,3.0,3.0,3.0,0.3532,-0.0238,-0.0076,-0.0001,-0.5,-1.12,-14.44,0.05,-0.57,0.07,0.0,3.0,3.0,3.0,-0.4503,-0.0182,-0.0027,-0.8927,-0.88,-1.94,-14.31,0.0,-0.26,-0.09,1.0,3.0,3.0,3.0
3269753.0,-0.1902,-0.0328,0.0128,-0.0124,-1.94,0.06,-17.19,0.46,-1.03,0.17,0.0,3.0,3.0,3.0,-0.0125,-0.0001,-0.0001,-0.0001,-0.37,-0.44,-18.25,0.58,-0.01,-0.01,0.0,3.0,3.0,3.0,-0.3367,-0.0142,0.0162,-0.9413,-0.31,-0.44,-18.56,0.29,-0.2,-0.2,3.0,3.0,3.0,3.0,0.3463,-0.0243,-0.0073,-0.0001,0.12,-0.44,-19.19,0.23,-0.59,0.16,0.0,3.0,3.0,3.0,-0.4569,-0.0196,-0.0016,-0.8893,-1.06,-3.75,-18.81,0.19,-0.52,-0.19,1.0,3.0,3.0,3.0
