,sensor0,,,,,,,,,,,,,,sensor1,,,,,,,,,,,,,,sensor2,,,,,,,,,,,,,,sensor3,,,,,,,,,,,,,,sensor4
時刻(ms),相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag
3643964.0,0.0378,0.0168,-0.0001,-0.0001,0.25,0.06,-0.06,0.57,0.01,0.06,0.0,3.0,3.0,3.0,0.0668,-0.0001,-0.0001,-0.0001,-0.19,0.19,-2.31,0.55,0.04,0.03,0.0,3.0,3.0,3.0,0.1333,0.0091,-0.0098,0.991,0.37,0.37,-0.06,0.47,0.01,-0.01,1.0,3.0,3.0,3.0,-0.4775,0.0103,0.0116,0.8785,-0.37,-0.06,-2.25,0.45,-0.02,-0.05,0.0,3.0,3.0,3.0,0.3949,-0.0001,-0.0001,-0.0001,0.25,2.56,-0.06,0.01,0.04,-0.12,0.0,3.0,3.0,3.0
3644013.0,0.0388,0.0189,-0.0001,-0.0001,-0.19,0.5,-0.06,0.36,-0.01,-0.01,0.0,3.0,3.0,3.0,0.0678,0.017,-0.0001,-0.0001,-0.12,0.12,-2.5,0.11,0.02,0.07,0.0,3.0,3.0,3.0,0.1343,0.01,-0.0098,0.9908,-0.69,-0.5,-2.88,0.07,0.0,0.08,1.0,3.0,3.0,3.0,-0.0078,-0.0001,-0.0001,-0.0001,0.31,0.19,-2.81,-0.07,0.06,0.04,0.0,3.0,3.0,3.0,0.3958,-0.0001,-0.0001,-0.0001,-0.19,-1.69,-2.19,-0.41,0.01,-0.13,0.0,3.0,3.0,3.0
3644063.0,0.04,0.0189,-0.0001,-0.0001,-0.44,0.25,-0.06,-0.48,0.05,-0.11,0.0,3.0,3.0,3.0,0.069,0.017,-0.0001,-0.0001,-0.12,-0.06,-2.31,-0.76,-0.16,0.12,0.0,3.0,3.0,3.0,0.1354,0.0101,-0.0101,0.9907,-0.69,-0.12,-2.19,-0.52,0.08,0.08,1.0,3.0,3.0,3.0,-0.0068,-0.0001,-0.0001,-0.0001,0.75,0.63,-2.06,-0.67,0.0,0.45,0.0,3.0,3.0,3.0,0.3965,-0.0001,-0.0001,-0.0001,-0.37,-2.81,-2.19,0.4,0.13,-0.07,0.0,3.0,3.0,3.0
3644113.0,0.0408,0.0189,-0.0001,-0.0001,-0.19,0.31,-0.06,-0.45,0.14,-0.05,0.0,3.0,3.0,3.0,0.0698,0.017,-0.0001,-0.0001,-0.19,0.37,-1.31,-0.46,0.1,0.04,0.0,3.0,3.0,3.0,0.1361,0.0095,-0.01,0.9906,0.19,0.81,-0.06,-0.39,0.08,0.03,1.0,3.0,3.0,3.0,-0.4749,0.0108,0.0118,0.8799,0.44,0.0,-1.44,-0.25,0.15,-0.17,0.0,3.0,3.0,3.0,0.3972,-0.0001,-0.0001,-0.0001,-0.25,1.12,-0.06,-0.58,-0.02,-0.14,0.0,3.0,3.0,3.0
3644164.0,0.0413,0.0173,-0.0001,-0.0001,0.0,0.0,-0.06,-0.32,0.14,0.01,0.0,3.0,3.0,3.0,0.0702,0.0159,-0.0001,-0.0001,-0.19,-0.25,-0.44,-0.37,-0.03,0.07,0.0,3.0,3.0,3.0,0.1365,0.0086,-0.0098,0.9905,-0.31,-0.31,-0.44,-0.33,0.0,0.06,1.0,3.0,3.0,3.0,-0.0059,-0.0001,-0.0001,-0.0001,-0.19,0.25,-0.25,-0.34,0.14,-0.05,0.0,3.0,3.0,3.0,0.3975,-0.0001,-0.0001,-0.0001,-0.25,-0.44,-0.56,-0.21,-0.13,0.01,0.0,3.0,3.0,3.0
3644214.0,0.0414,0.0161,-0.0001,-0.0001,-0.06,-0.12,0.06,-0.34,0.07,0.02,0.0,3.0,3.0,3.0,0.0702,-0.0001,-0.0001,-0.0001,-0.06,-0.06,0.25,-0.31,-0.05,0.04,0.0,3.0,3.0,3.0,0.1365,0.0079,-0.0098,0.9905,0.0,0.06,0.44,-0.27,-0.04,0.04,1.0,3.0,3.0,3.0,-0.0059,-0.0001,-0.0001,-0.0001,0.0,0.0,0.5,-0.24,0.03,0.06,0.0,3.0,3.0,3.0,0.3975,-0.0001,-0.0001,-0.0001,0.0,0.25,0.44,-0.43,-0.08,-0.04,0.0,3.0,3.0,3.0
3644264.0,0.0414,-0.0001,-0.0001,-0.0001,0.0,-0.06,-0.06,-0.16,-0.08,0.0,0.0,3.0,3.0,3.0,0.0702,-0.0001,-0.0001,-0.0001,0.12,-0.06,-0.06,-0.2,-0.01,0.05,0.0,3.0,3.0,3.0,0.1365,0.0072,-0.0097,0.9906,-0.19,-0.25,0.37,-0.26,-0.01,0.03,1.0,3.0,3.0,3.0,-0.0059,-0.0001,-0.0001,-0.0001,0.0,-0.19,0.31,-0.27,-0.09,0.01,0.0,3.0,3.0,3.0,0.3975,-0.0001,-0.0001,-0.0001,0.12,-0.06,-0.06,-0.02,0.01,-0.02,0.0,3.0,3.0,3.0
3644314.0,0.0414,-0.0001,-0.0001,-0.0001,0.06,-0.06,-0.06,-0.02,-0.07,0.0,0.0,3.0,3.0,3.0,0.0702,-0.0001,-0.0001,-0.0001,-0.12,0.0,0.06,-0.03,0.0,0.03,0.0,3.0,3.0,3.0,0.1365,0.0068,-0.0096,0.9906,0.19,-0.19,0.25,-0.11,0.02,0.02,1.0,3.0,3.0,3.0,-0.0059,-0.0001,-0.0001,-0.0001,0.0,-0.06,-0.19,-0.07,-0.04,0.02,0.0,3.0,3.0,3.0,0.3975,-0.0001,-0.0001,-0.0001,-0.06,0.0,-0.12,0.02,0.01,-0.05,0.0,3.0,3.0,3.0
3644364.0,0.0414,-0.0001,-0.0001,-0.0001,0.0,-0.06,-0.06,0.02,0.0,0.0,0.0,3.0,3.0,3.0,0.0702,-0.0001,-0.0001,-0.0001,-0.19,0.0,-0.06,0.04,-0.01,0.05,0.0,3.0,3.0,3.0,0.1365,0.0068,-0.0096,0.9906,0.06,-0.06,-0.19,0.08,-0.01,-0.01,1.0,3.0,3.0,3.0,-0.0059,-0.0001,-0.0001,-0.0001,0.06,-0.19,-0.19,0.08,0.02,0.02,0.0,3.0,3.0,3.0,0.3975,-0.0001,-0.0001,-0.0001,-0.06,0.44,-0.12,0.12,0.0,-0.06,0.0,3.0,3.0,3.0
3644414.0,0.0414,-0.0001,-0.0001,-0.0001,0.19,0.12,-0.06,0.13,0.03,0.0,0.0,3.0,3.0,3.0,0.0702,-0.0001,-0.0001,-0.0001,-0.06,-0.06,0.0,0.17,0.0,0.04,0.0,3.0,3.0,3.0,0.1365,0.0069,-0.0096,0.9906,0.0,0.06,-0.12,0.18,0.0,0.01,1.0,3.0,3.0,3.0,-0.0059,-0.0001,-0.0001,-0.0001,0.06,0.0,0.06,0.17,0.02,0.0,0.0,3.0,3.0,3.0,0.3975,-0.0001,-0.0001,-0.0001,0.06,0.25,0.06,0.23,0.0,-0.04,0.0,3.0,3.0,3.0
