,sensor0,,,,,,,,,,,,,,sensor1,,,,,,,,,,,,,,sensor2,,,,,,,,,,,,,,sensor3,,,,,,,,,,,,,,sensor4
時刻(ms),相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag
588735.0,-0.0812,0.0193,-0.0004,0.9965,0.12,0.0,-0.31,-0.02,0.0,0.05,2.0,3.0,3.0,2.0,-0.0823,0.0181,-0.0027,0.9965,-2.94,-0.31,0.06,0.18,-0.65,-0.1,0.0,3.0,3.0,2.0,0.1895,0.0092,-0.0098,0.9818,-0.12,-0.12,-0.06,-0.01,-0.04,0.0,3.0,3.0,3.0,2.0,0.0463,0.009,0.0056,0.9989,0.12,0.12,-0.19,-0.03,0.03,-0.01,3.0,3.0,3.0,2.0,0.104,-0.0001,-0.0001,-0.0001,-0.06,-0.44,-0.31,0.12,-0.01,-0.01,0.0,3.0,3.0,2.0
588784.0,-0.0812,0.0193,-0.0004,0.9965,0.0,0.06,0.06,-0.05,0.1,0.0,2.0,3.0,3.0,2.0,-0.0823,0.0168,-0.0013,0.9965,-1.75,-1.69,0.12,0.49,-0.59,-0.06,0.0,3.0,3.0,2.0,0.1895,0.0092,-0.0098,0.9818,0.12,0.44,0.12,0.03,-0.04,0.01,3.0,3.0,3.0,2.0,0.0463,0.009,0.0056,0.9988,0.06,-0.12,0.31,0.04,0.1,-0.03,3.0,3.0,3.0,2.0,0.104,0.0259,0.0043,0.9942,-0.06,0.5,0.25,0.07,0.0,-0.01,0.0,3.0,3.0,2.0
588833.0,-0.0812,0.0193,-0.0001,-0.0001,-0.12,-0.06,0.5,0.07,0.06,0.01,2.0,3.0,3.0,2.0,-0.0823,0.0165,-0.0001,-0.0001,0.0,0.31,0.63,0.18,-0.01,-0.01,0.0,3.0,3.0,2.0,0.1895,0.0092,-0.0098,0.9818,0.0,0.19,0.63,0.13,0.01,0.03,3.0,3.0,3.0,2.0,0.0463,-0.0001,-0.0001,-0.0001,-0.19,0.0,0.44,0.14,0.03,-0.05,3.0,3.0,3.0,2.0,0.1039,0.0259,0.0043,0.9943,-0.31,0.25,0.75,0.15,-0.01,-0.09,0.0,3.0,3.0,2.0
588879.0,-0.0814,0.0193,-0.0001,-0.0001,0.12,0.0,0.63,0.12,0.0,0.02,2.0,3.0,3.0,2.0,-0.0825,0.0166,-0.0013,0.9965,0.06,0.0,0.75,0.14,0.0,0.03,0.0,3.0,3.0,2.0,0.1892,-0.0001,-0.0001,-0.0001,-0.12,0.06,0.69,0.2,-0.06,0.02,3.0,3.0,3.0,2.0,0.0463,-0.0001,-0.0001,-0.0001,0.12,-0.06,-0.06,0.21,0.01,-0.05,3.0,3.0,3.0,2.0,0.1037,0.0261,0.0043,0.9943,-0.19,0.94,0.63,0.33,-0.09,-0.08,0.0,3.0,3.0,2.0
588929.0,-0.0818,0.0193,-0.0001,-0.0001,0.12,-0.06,-0.06,0.17,0.1,-0.01,2.0,3.0,3.0,2.0,-0.0828,0.0168,-0.0013,0.9964,0.12,-0.19,1.12,0.18,-0.06,0.01,0.0,3.0,3.0,2.0,0.1888,-0.0001,-0.0001,-0.0001,0.12,0.12,1.0,0.31,-0.06,0.01,3.0,3.0,3.0,2.0,0.046,-0.0001,-0.0001,-0.0001,0.31,-0.06,-0.06,0.34,0.19,-0.03,3.0,3.0,3.0,2.0,0.1033,-0.0001,-0.0001,-0.0001,0.12,1.63,1.37,0.37,-0.05,-0.1,0.0,3.0,3.0,2.0
588978.0,-0.0823,0.0196,0.0,0.9964,0.25,-0.06,-0.06,0.23,0.24,0.01,2.0,3.0,3.0,2.0,-0.0834,0.0172,-0.0013,0.9964,0.31,-0.06,2.13,0.27,0.0,0.02,0.0,3.0,3.0,2.0,0.1882,-0.0001,-0.0001,-0.0001,0.25,0.0,2.13,0.44,-0.01,-0.01,3.0,3.0,3.0,2.0,0.0452,-0.0001,-0.0001,-0.0001,-0.06,0.0,2.25,0.44,0.24,-0.05,3.0,3.0,3.0,2.0,0.1026,0.0267,0.004,0.9944,-0.06,1.75,2.5,0.17,0.01,-0.12,0.0,3.0,3.0,2.0
589028.0,-0.0834,0.0207,0.001,0.9963,0.25,-0.06,-0.06,0.42,0.27,0.0,2.0,3.0,3.0,2.0,-0.0845,0.0179,-0.0011,0.9963,0.12,-0.12,3.06,0.4,0.02,0.03,0.0,3.0,3.0,2.0,0.187,-0.0001,-0.0001,-0.0001,-0.19,-0.19,3.38,0.56,0.0,0.01,3.0,3.0,3.0,2.0,0.0439,-0.0001,-0.0001,-0.0001,0.31,-0.06,-0.06,0.56,0.25,-0.07,3.0,3.0,3.0,2.0,0.1013,0.0264,0.004,0.9945,0.12,-0.25,3.75,0.14,-0.06,-0.14,0.0,3.0,3.0,2.0
589077.0,-0.085,0.0222,0.0023,0.9962,0.0,-0.06,-0.06,0.32,0.23,-0.01,2.0,3.0,3.0,2.0,-0.0862,0.0189,-0.001,0.9961,-0.06,-0.25,4.5,0.31,0.06,0.0,0.0,3.0,3.0,2.0,0.1853,0.0148,-0.011,0.9825,-0.06,-0.19,4.88,0.41,0.04,-0.01,3.0,3.0,3.0,2.0,0.0422,0.0157,-0.0001,-0.0001,0.06,0.25,4.69,0.38,0.18,-0.06,3.0,3.0,3.0,2.0,0.0995,0.0271,0.0038,0.9947,0.0,-1.88,5.06,0.37,-0.05,-0.12,0.0,3.0,3.0,2.0
589128.0,-0.0872,0.0229,0.003,0.9959,0.25,0.0,5.69,0.17,0.19,0.0,2.0,3.0,3.0,2.0,-0.0884,0.0197,-0.0009,0.9959,-0.25,-0.31,6.13,0.23,-0.11,0.0,0.0,3.0,3.0,2.0,0.183,0.016,-0.0114,0.9829,-0.25,-0.06,6.0,0.36,-0.01,-0.01,3.0,3.0,3.0,2.0,0.0399,0.0171,-0.0001,-0.0001,0.12,0.06,5.94,0.28,0.16,-0.03,3.0,3.0,3.0,2.0,0.0965,0.0298,0.0033,0.9949,0.06,-1.44,6.5,0.62,0.03,-0.08,0.0,3.0,3.0,2.0
589178.0,-0.09,0.0235,0.0036,0.9957,0.5,-0.06,-0.06,0.24,0.16,0.02,2.0,3.0,3.0,2.0,-0.0913,0.0201,-0.001,0.9956,0.0,-0.06,7.44,0.33,-0.09,0.06,0.0,3.0,3.0,2.0,0.1801,0.0171,-0.0118,-0.0001,0.0,-0.06,-0.06,0.44,-0.01,-0.01,3.0,3.0,3.0,2.0,0.0369,0.0182,-0.0001,-0.0001,0.5,0.19,7.38,0.45,0.22,0.05,3.0,3.0,3.0,2.0,0.0941,0.0319,0.0027,0.9951,0.69,0.25,7.88,0.13,-0.16,-0.18,0.0,3.0,3.0,2.0
589228.0,-0.0934,0.0247,0.0046,0.9953,0.19,-0.06,-0.06,0.42,0.33,0.0,2.0,3.0,3.0,2.0,-0.0947,0.0211,-0.0009,0.9953,0.56,-0.56,8.94,0.46,0.06,0.04,0.0,3.0,3.0,2.0,0.1767,0.0193,-0.0124,0.984,0.44,-0.06,-0.06,0.65,0.01,-0.01,3.0,3.0,3.0,2.0,0.0333,0.0205,-0.0001,-0.0001,-0.37,-0.31,8.88,0.61,0.28,-0.01,3.0,3.0,3.0,2.0,0.0904,0.0324,0.0028,0.9954,1.56,-3.56,10.0,-1.03,-0.37,-0.49,0.0,3.0,3.0,2.0
589278.0,-0.0978,0.0256,0.0059,0.9949,1.56,0.0,-0.06,-0.81,-0.01,-0.01,2.0,3.0,3.0,2.0,-0.0994,0.0223,-0.0002,0.9948,7.19,-5.25,13.81,-0.79,0.32,1.44,0.0,3.0,3.0,2.0,0.1719,0.0214,-0.0137,-0.0001,-3.06,-4.81,-0.06,-0.31,-0.05,1.09,3.0,3.0,3.0,2.0,0.0281,0.0214,-0.0001,-0.0001,-1.06,-0.37,15.88,-1.13,-0.01,-0.01,3.0,3.0,3.0,2.0,0.0849,0.0361,0.003,0.9957,6.25,-3.88,12.63,2.94,1.63,0.13,0.0,3.0,3.0,2.0
589329.0,-0.1049,0.0261,0.0063,-0.0001,4.0,0.94,17.69,0.0,0.38,-0.01,2.0,3.0,3.0,2.0,-0.1065,0.0227,0.0013,0.9941,2.44,5.88,16.87,0.89,1.97,-0.12,0.0,3.0,3.0,2.0,0.1648,0.0215,-0.0123,-0.0001,4.5,6.25,17.31,-0.1,1.89,0.4,3.0,3.0,3.0,2.0,0.0209,0.0213,-0.0001,-0.0001,2.31,1.88,16.69,0.02,-0.52,0.28,3.0,3.0,3.0,2.0,0.0768,0.0338,0.004,0.9965,-0.12,6.88,15.19,0.52,0.36,-0.78,0.0,3.0,3.0,2.0
589379.0,-0.1113,0.0261,0.0062,-0.0001,0.06,-0.06,-0.06,1.19,-0.01,-0.01,2.0,3.0,3.0,2.0,-0.1128,0.0219,0.0004,0.9934,2.31,-0.44,13.69,1.65,0.41,-0.13,0.0,3.0,3.0,2.0,0.1588,0.0211,-0.0132,-0.0001,-2.5,1.5,-0.06,0.56,0.37,0.0,3.0,3.0,3.0,2.0,0.0149,0.0216,-0.0001,-0.0001,1.25,0.37,13.63,1.09,-1.46,-1.87,3.0,3.0,3.0,2.0,0.0712,0.0324,0.0034,0.9969,-1.94,1.56,11.94,0.86,0.06,-0.36,0.0,3.0,3.0,2.0
