,sensor0,,,,,,,,,,,,,,sensor1,,,,,,,,,,,,,,sensor2,,,,,,,,,,,,,,sensor3,,,,,,,,,,,,,,sensor4
時刻(ms),相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag
996383.0,-0.0154,-0.0001,-0.0001,-0.0001,0.25,-0.06,-0.06,0.28,0.01,0.03,0.0,3.0,3.0,3.0,-0.9998,0.003,0.0173,0.0081,0.31,0.25,-0.06,0.25,0.0,0.16,0.0,3.0,3.0,3.0,-0.9985,0.0053,0.0113,-0.0529,0.69,0.56,-0.37,0.33,0.0,-0.03,1.0,3.0,3.0,3.0,-0.9229,-0.0063,-0.0001,-0.0001,0.06,0.0,-0.5,0.33,0.01,-0.01,3.0,3.0,3.0,3.0,-0.0063,-0.0001,-0.0001,-0.0001,-0.12,3.13,-0.06,0.43,-0.1,-0.2,0.0,3.0,3.0,3.0
996433.0,-0.0154,-0.0001,-0.0001,-0.0001,-0.06,0.06,-0.06,0.26,0.01,0.04,0.0,3.0,3.0,3.0,-0.9998,0.003,0.0178,0.0081,-0.19,0.19,-0.06,0.29,0.06,0.06,0.0,3.0,3.0,3.0,-0.9985,0.0051,0.0116,-0.0529,0.69,1.0,-0.5,0.21,0.09,0.0,1.0,3.0,3.0,3.0,-0.9228,-0.0066,-0.0001,-0.0001,0.25,0.25,-0.56,0.23,0.0,0.0,3.0,3.0,3.0,3.0,-0.0062,-0.0001,-0.0001,-0.0001,-0.37,6.31,-0.06,0.46,0.03,-0.04,0.0,3.0,3.0,3.0
996484.0,-0.0154,-0.0001,-0.0001,-0.0001,-0.12,0.12,-0.06,0.13,0.0,0.03,0.0,3.0,3.0,3.0,-0.9998,0.0031,0.0183,0.0085,-0.88,0.19,-0.06,0.27,-0.01,-0.01,0.0,3.0,3.0,3.0,-0.9985,0.0052,0.0121,-0.0524,0.12,0.37,-0.94,0.04,0.04,0.05,1.0,3.0,3.0,3.0,-0.9225,-0.0068,-0.0001,-0.0001,-0.25,0.06,-0.81,0.11,-0.17,0.03,3.0,3.0,3.0,3.0,-0.0063,-0.0001,-0.0001,-0.0001,-0.37,7.63,-0.06,0.11,-0.08,-0.03,0.0,3.0,3.0,3.0
996533.0,-0.0154,-0.0001,-0.0001,-0.0001,0.06,0.06,-0.06,0.24,0.1,-0.04,0.0,3.0,3.0,3.0,-0.9998,0.0034,0.0189,0.009,-0.44,0.25,-0.06,0.29,-0.01,-0.01,0.0,3.0,3.0,3.0,-0.9985,0.0052,0.0126,-0.0519,0.37,0.44,-1.31,0.46,-0.01,0.11,1.0,3.0,3.0,3.0,-0.9224,-0.0073,-0.0001,-0.0001,-0.12,-0.12,-1.06,0.68,0.16,-0.11,3.0,3.0,3.0,3.0,-0.0066,-0.0001,-0.0001,-0.0001,-0.31,6.5,1.63,0.3,-0.24,-0.08,0.0,3.0,3.0,3.0
996584.0,-0.0153,-0.0001,-0.0001,-0.0001,-0.19,0.06,-0.06,1.01,0.17,-0.04,0.0,3.0,3.0,3.0,-0.9998,0.0038,0.019,-0.0001,-1.06,0.56,-0.06,1.06,-0.01,-0.01,0.0,3.0,3.0,3.0,-0.9986,0.0051,0.0126,-0.0514,0.5,0.44,-1.37,1.04,-0.08,-0.08,1.0,3.0,3.0,3.0,-0.922,-0.0073,-0.0001,-0.0001,0.25,0.5,-1.12,1.03,0.06,0.17,3.0,3.0,3.0,3.0,-0.0065,-0.0001,-0.0001,-0.0001,0.37,7.06,-0.06,0.6,-0.1,-0.23,0.0,3.0,3.0,3.0
996633.0,-0.0154,-0.0001,-0.0001,-0.0001,0.06,0.56,-0.06,1.17,0.02,0.15,0.0,3.0,3.0,3.0,-0.9998,0.0038,0.0189,0.0101,-0.44,0.81,-0.06,1.1,0.09,-0.01,0.0,3.0,3.0,3.0,-0.9986,0.0049,0.0142,-0.0507,0.5,0.31,-1.81,1.09,-0.01,-0.16,1.0,3.0,3.0,3.0,-0.922,-0.0079,0.0112,-0.0119,-0.5,-0.12,-1.75,1.13,-0.02,-0.37,3.0,3.0,3.0,3.0,-0.0064,-0.0001,-0.0001,-0.0001,0.44,2.88,-0.06,0.68,0.03,-0.18,0.0,3.0,3.0,3.0
996683.0,-0.0151,-0.0001,-0.0001,-0.0001,0.0,0.25,-0.06,1.0,-0.07,-0.02,0.0,3.0,3.0,3.0,-0.9996,0.0036,0.0266,0.011,-0.06,0.0,-2.19,0.99,0.08,0.0,0.0,3.0,3.0,3.0,-0.9985,0.0046,0.0209,-0.0497,0.31,0.5,-2.69,0.73,0.26,-0.05,1.0,3.0,3.0,3.0,-0.922,-0.0103,0.0183,-0.3865,0.31,0.12,-2.94,0.7,-0.2,-0.12,3.0,3.0,3.0,3.0,-0.0062,-0.0001,-0.0001,-0.0001,0.0,1.06,-0.06,0.51,-0.02,-0.13,0.0,3.0,3.0,3.0
996733.0,-0.015,-0.0001,-0.0001,-0.0001,-0.12,0.12,-0.06,0.59,-0.01,-0.01,0.0,3.0,3.0,3.0,-0.9994,0.0031,0.0316,0.0125,0.19,0.0,-0.06,0.57,-0.01,-0.01,0.0,3.0,3.0,3.0,-0.9985,0.0043,0.0238,-0.0482,-1.0,0.0,-4.25,0.61,-0.44,0.24,1.0,3.0,3.0,3.0,-0.9225,-0.011,0.0227,-0.3852,0.88,0.56,-4.19,0.55,-0.06,-0.14,3.0,3.0,3.0,3.0,-0.0058,-0.0001,-0.0001,-0.0001,-0.25,0.0,-0.06,1.09,-0.22,-0.04,0.0,3.0,3.0,3.0
996783.0,-0.015,-0.0001,-0.0001,-0.0001,-0.63,0.44,-0.06,0.65,0.15,-0.42,0.0,3.0,3.0,3.0,-0.9994,0.0033,0.0325,0.0144,-0.88,0.88,-4.31,0.45,-0.01,-0.01,0.0,3.0,3.0,3.0,-0.9986,0.0043,0.0235,-0.0466,0.44,0.69,-4.19,0.68,0.1,-0.25,1.0,3.0,3.0,3.0,-0.9226,-0.0116,0.0245,-0.3848,-0.12,0.56,-4.19,0.67,0.46,0.39,3.0,3.0,3.0,3.0,-0.0054,-0.0001,-0.0001,-0.0001,-0.19,0.37,-0.06,-0.32,-0.33,-0.11,0.0,3.0,3.0,3.0
996833.0,-0.015,-0.0001,-0.0001,-0.0001,-0.25,0.63,-0.06,0.27,0.09,0.45,0.0,3.0,3.0,3.0,-0.9993,0.0033,0.0342,0.0161,1.75,-0.94,-3.56,0.25,-0.01,-0.01,0.0,3.0,3.0,3.0,-0.9987,0.0045,0.025,-0.0447,-0.88,-0.63,-3.44,0.38,-0.4,0.11,1.0,3.0,3.0,3.0,-0.9224,-0.0115,0.0247,-0.3854,-0.12,0.12,-3.13,0.33,-0.25,-0.65,3.0,3.0,3.0,3.0,-0.0049,-0.0001,-0.0001,-0.0001,0.63,-0.06,-0.06,0.15,0.16,-0.09,0.0,3.0,3.0,3.0
