,sensor0,,,,,,,,,,,,,,sensor1,,,,,,,,,,,,,,sensor2,,,,,,,,,,,,,,sensor3,,,,,,,,,,,,,,sensor4
時刻(ms),相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag
1431680.0,-0.0071,-0.0001,-0.0001,-0.0001,0.06,-0.06,-0.06,0.03,-0.06,-0.02,3.0,3.0,3.0,3.0,-0.0067,-0.0001,-0.0001,-0.0001,-0.25,0.25,0.0,0.08,0.07,0.06,2.0,3.0,3.0,3.0,-0.998,0.006,0.0131,-0.0607,0.06,0.31,-0.19,0.06,0.03,0.01,0.0,3.0,3.0,3.0,-0.0067,-0.0001,-0.0001,-0.0001,-0.12,0.0,0.0,0.13,0.04,-0.02,0.0,3.0,3.0,3.0,-0.957,0.0,-0.0001,-0.0001,-0.12,0.19,-0.06,0.42,-0.04,-0.06,0.0,3.0,3.0,3.0
1431730.0,-0.0071,-0.0001,-0.0001,-0.0001,0.12,0.0,-0.06,0.28,-0.12,-0.02,3.0,3.0,3.0,3.0,-0.0071,-0.0001,-0.0001,-0.0001,0.19,0.0,-0.06,0.25,-0.01,-0.01,2.0,3.0,3.0,3.0,-0.0137,-0.0001,-0.0001,-0.0001,0.25,0.31,-0.37,0.28,-0.03,0.0,0.0,3.0,3.0,3.0,-0.0067,-0.0001,-0.0001,-0.0001,-0.06,-0.06,-0.25,0.27,-0.01,-0.1,0.0,3.0,3.0,3.0,-0.957,0.0001,-0.0001,-0.0001,-0.25,1.69,-0.06,-0.04,-0.11,-0.12,0.0,3.0,3.0,3.0
1431780.0,-0.0071,-0.0001,-0.0001,-0.0001,0.0,0.0,-0.06,0.27,-0.03,-0.03,3.0,3.0,3.0,3.0,-0.0074,-0.0001,-0.0001,-0.0001,0.44,0.12,-0.06,0.24,-0.01,-0.01,2.0,3.0,3.0,3.0,-0.0137,-0.0001,-0.0001,-0.0001,0.5,0.56,-0.56,0.21,0.01,0.03,0.0,3.0,3.0,3.0,-0.0067,-0.0001,-0.0001,-0.0001,0.06,0.0,-0.5,0.13,0.1,-0.03,0.0,3.0,3.0,3.0,-0.957,-0.0002,0.0259,0.2889,-0.06,2.38,-0.44,0.36,0.0,-0.1,0.0,3.0,3.0,3.0
1431830.0,-0.0071,-0.0001,-0.0001,-0.0001,-0.06,0.06,-0.06,0.09,-0.05,0.01,3.0,3.0,3.0,3.0,-0.0078,-0.0001,-0.0001,-0.0001,-0.06,0.06,-0.06,0.1,-0.01,-0.01,2.0,3.0,3.0,3.0,-0.0137,-0.0001,-0.0001,-0.0001,0.37,0.44,-0.37,0.1,-0.01,0.04,0.0,3.0,3.0,3.0,-0.0067,-0.0001,-0.0001,-0.0001,-0.06,0.06,-0.44,0.11,-0.04,-0.02,0.0,3.0,3.0,3.0,-0.957,-0.0002,0.0263,0.2889,-0.25,3.5,0.06,0.72,-0.18,-0.08,0.0,3.0,3.0,3.0
1431880.0,-0.0072,-0.0001,-0.0001,-0.0001,-0.06,0.0,-0.06,0.36,-0.23,0.04,3.0,3.0,3.0,3.0,-0.9769,-0.0023,0.0186,-0.2127,-0.37,0.0,-0.06,0.39,0.01,0.02,2.0,3.0,3.0,3.0,-0.998,0.006,0.0141,-0.0605,-0.56,-0.31,-1.25,0.27,-0.04,0.06,0.0,3.0,3.0,3.0,-0.0067,-0.0001,-0.0001,-0.0001,-0.19,-0.06,-1.44,0.24,-0.22,-0.24,0.0,3.0,3.0,3.0,-0.004,-0.0001,-0.0001,-0.0001,0.31,5.69,-0.94,0.56,0.13,-0.08,0.0,3.0,3.0,3.0
1431929.0,-0.0074,-0.0001,-0.0001,-0.0001,-0.19,0.12,-0.06,0.35,-0.04,-0.12,3.0,3.0,3.0,3.0,-0.9774,-0.0026,0.0193,-0.2104,-0.25,-0.12,-2.0,0.35,0.17,0.04,2.0,3.0,3.0,3.0,-0.0137,-0.0001,-0.0001,-0.0001,-0.56,0.19,-2.31,0.23,0.18,-0.01,0.0,3.0,3.0,3.0,-0.0064,-0.0001,-0.0001,-0.0001,0.0,-0.06,-2.56,0.22,0.09,-0.01,0.0,3.0,3.0,3.0,-0.0041,-0.0001,-0.0001,-0.0001,-0.31,9.25,1.0,1.45,0.0,-0.13,0.0,3.0,3.0,3.0
1431981.0,-0.0078,-0.0001,-0.0001,-0.0001,-0.31,-0.63,-2.25,0.83,-0.14,0.87,3.0,3.0,3.0,3.0,-0.9778,-0.0024,0.0198,-0.0001,-1.75,1.12,-0.06,0.89,0.12,0.0,2.0,3.0,3.0,3.0,-0.9982,0.0059,0.0146,-0.0588,0.63,0.37,-1.56,0.95,-0.06,-0.25,0.0,3.0,3.0,3.0,-0.9435,0.0034,0.0139,0.3309,0.44,-0.25,-1.81,1.21,0.95,0.0,0.0,3.0,3.0,3.0,-0.0042,-0.0001,-0.0001,-0.0001,0.5,10.56,-3.56,0.48,-0.21,-0.38,0.0,3.0,3.0,3.0
1432031.0,-0.9299,-0.0073,-0.0001,-0.0001,-0.06,-0.5,-1.06,1.34,0.12,-0.24,3.0,3.0,3.0,3.0,-0.978,-0.0022,0.0198,-0.0001,-0.25,1.0,-0.06,1.25,0.19,0.0,2.0,3.0,3.0,3.0,-0.9982,0.0058,0.0146,-0.0582,0.31,0.37,-1.12,1.19,0.18,-0.12,0.0,3.0,3.0,3.0,-0.9434,0.0035,0.0139,0.3315,-0.44,-0.06,-1.25,1.36,0.42,-0.19,0.0,3.0,3.0,3.0,-0.004,-0.0001,-0.0001,-0.0001,0.06,5.19,-1.69,0.88,0.18,-0.23,0.0,3.0,3.0,3.0
1432080.0,-0.9301,-0.0073,-0.0001,-0.0001,0.25,-0.06,-0.06,1.41,0.0,0.22,3.0,3.0,3.0,3.0,-0.9781,-0.0021,0.0198,-0.2072,-0.37,0.44,-0.06,1.45,0.21,0.0,2.0,3.0,3.0,3.0,-0.0139,-0.0001,-0.0001,-0.0001,-0.44,0.44,-1.75,1.26,0.17,0.0,0.0,3.0,3.0,3.0,-0.0056,-0.0001,-0.0001,-0.0001,0.0,0.44,-1.88,1.39,0.11,-0.07,0.0,3.0,3.0,3.0,-0.957,-0.0043,-0.0001,-0.0001,-0.63,2.06,-1.5,1.08,0.0,-0.09,0.0,3.0,3.0,3.0
1432130.0,-0.9304,-0.0082,0.0234,-0.0001,0.5,0.31,-0.06,0.97,0.65,0.12,3.0,3.0,3.0,3.0,-0.9781,-0.0038,0.0277,-0.0001,-1.0,-1.25,-1.81,0.77,-0.01,-0.01,2.0,3.0,3.0,3.0,-0.0137,-0.0001,-0.0001,-0.0001,-1.31,-1.69,-1.0,1.25,-0.31,-0.17,0.0,3.0,3.0,3.0,-0.0052,-0.0001,-0.0001,-0.0001,0.37,0.37,-1.06,1.26,0.81,0.11,0.0,3.0,3.0,3.0,-0.9568,-0.0042,-0.0001,-0.0001,-0.63,-2.75,-1.06,0.06,-0.75,0.01,0.0,3.0,3.0,3.0
