,sensor0,,,,,,,,,,,,,,sensor1,,,,,,,,,,,,,,sensor2,,,,,,,,,,,,,,sensor3,,,,,,,,,,,,,,sensor4
時刻(ms),相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag
2147125.0,-0.9224,-0.0046,-0.0001,-0.0001,0.06,0.25,0.06,-0.03,-0.03,0.01,3.0,3.0,3.0,3.0,-0.9991,0.0009,0.0155,-0.0396,0.12,0.06,0.0,-0.05,0.04,0.05,0.0,3.0,3.0,3.0,-0.9818,0.0067,0.015,-0.1896,0.06,-0.06,-0.06,-0.08,0.03,0.04,2.0,3.0,3.0,3.0,-0.0043,-0.0001,-0.0001,-0.0001,0.12,-0.06,-0.06,-0.12,-0.05,0.0,0.0,3.0,3.0,3.0,-0.9901,-0.0026,0.0291,0.137,0.06,0.12,-0.19,-0.02,0.08,-0.03,0.0,3.0,3.0,3.0
2147175.0,-0.9225,-0.0046,0.019,-0.3855,0.12,-0.06,-0.06,-0.04,-0.01,0.02,3.0,3.0,3.0,3.0,-0.9991,0.0009,0.0155,-0.0396,-0.06,0.19,0.0,0.0,0.0,0.03,0.0,3.0,3.0,3.0,-0.9818,0.0067,0.015,-0.1896,0.0,0.0,0.06,-0.02,0.03,0.01,2.0,3.0,3.0,3.0,-0.0043,-0.0001,-0.0001,-0.0001,0.06,-0.06,-0.06,0.0,-0.01,-0.01,0.0,3.0,3.0,3.0,-0.9901,-0.0026,0.0291,0.137,0.0,0.63,-0.06,0.0,0.0,-0.03,0.0,3.0,3.0,3.0
2147225.0,-0.9225,-0.0046,-0.0001,-0.0001,0.06,-0.06,-0.06,-0.01,-0.01,0.0,3.0,3.0,3.0,3.0,-0.9991,0.0009,0.0155,-0.0396,-0.12,0.25,0.12,0.06,0.04,0.05,0.0,3.0,3.0,3.0,-0.9818,0.0067,0.015,-0.1896,0.06,0.19,-0.06,-0.01,0.04,0.03,2.0,3.0,3.0,3.0,-0.0043,-0.0001,-0.0001,-0.0001,0.0,-0.06,-0.06,-0.02,-0.03,0.01,0.0,3.0,3.0,3.0,-0.9901,-0.0026,0.0289,0.137,0.31,1.0,0.25,0.17,0.01,-0.04,0.0,3.0,3.0,3.0
2147275.0,-0.9225,-0.0046,-0.0001,-0.0001,-0.06,-0.12,-0.06,0.03,0.0,0.01,3.0,3.0,3.0,3.0,-0.9991,0.0009,0.0154,-0.0395,-0.25,0.63,-0.06,0.09,-0.01,0.06,0.0,3.0,3.0,3.0,-0.9818,0.0067,0.015,-0.1896,0.0,0.06,-0.06,0.09,0.0,0.0,2.0,3.0,3.0,3.0,-0.0043,-0.0001,-0.0001,-0.0001,-0.25,-0.06,-0.19,0.11,-0.01,-0.01,0.0,3.0,3.0,3.0,-0.9902,-0.0027,0.0285,0.137,0.19,1.75,0.06,0.21,-0.03,-0.04,0.0,3.0,3.0,3.0
2147325.0,-0.9225,-0.0046,-0.0001,-0.0001,-0.19,-0.25,0.0,0.26,-0.01,-0.01,3.0,3.0,3.0,3.0,-0.9991,0.0009,0.0152,-0.0395,-0.31,0.31,-0.06,0.25,-0.05,0.03,0.0,3.0,3.0,3.0,-0.9818,0.0067,0.015,-0.1896,0.06,0.12,-0.06,0.2,-0.01,-0.01,2.0,3.0,3.0,3.0,-0.0043,-0.0001,-0.0001,-0.0001,-0.25,0.12,-0.06,0.26,-0.01,-0.01,0.0,3.0,3.0,3.0,-0.9902,-0.0027,0.0282,0.1371,0.12,1.31,-0.56,0.69,0.06,-0.01,0.0,3.0,3.0,3.0
2147376.0,-0.9227,-0.0046,-0.0001,-0.0001,0.12,-0.06,-0.06,0.49,-0.01,-0.01,3.0,3.0,3.0,3.0,-0.9991,0.0009,0.016,-0.0394,0.06,0.37,-0.94,0.55,0.05,0.03,0.0,3.0,3.0,3.0,-0.9818,0.0065,0.0155,-0.1894,0.0,0.06,-1.06,0.31,0.06,0.05,2.0,3.0,3.0,3.0,-0.973,-0.0006,0.0179,0.2299,-0.12,-0.06,-1.06,0.36,-0.01,-0.01,0.0,3.0,3.0,3.0,-0.9901,-0.0029,0.027,0.1377,-0.12,4.63,-1.56,0.41,0.04,-0.11,0.0,3.0,3.0,3.0
2147424.0,-0.9229,-0.0046,0.0206,-0.3846,0.25,-0.06,-1.88,0.41,-0.17,0.02,3.0,3.0,3.0,3.0,-0.0147,-0.0001,-0.0001,-0.0001,0.0,0.37,-0.06,0.46,0.03,0.04,0.0,3.0,3.0,3.0,-0.9819,0.0063,0.0163,-0.1887,0.19,0.56,-2.06,0.28,0.0,0.01,2.0,3.0,3.0,3.0,-0.9728,0.0004,0.019,0.2307,0.19,0.19,-2.19,0.3,-0.16,0.04,0.0,3.0,3.0,3.0,-0.9901,-0.0032,0.026,0.1383,-0.06,3.06,-2.38,-0.04,-0.01,-0.1,0.0,3.0,3.0,3.0
2147467.0,-0.9232,-0.0048,0.0218,-0.3838,0.0,0.12,-2.75,0.33,-0.11,-0.01,3.0,3.0,3.0,3.0,-0.9991,0.0007,0.0178,-0.0378,-0.06,0.19,-2.88,0.34,0.0,0.02,0.0,3.0,3.0,3.0,-0.0133,-0.0001,-0.0001,-0.0001,-0.12,0.12,-2.75,0.21,0.0,0.03,2.0,3.0,3.0,3.0,-0.9727,0.0008,0.0195,-0.0001,0.0,0.31,-0.06,0.23,-0.2,-0.02,0.0,3.0,3.0,3.0,-0.9899,-0.0032,0.0256,0.1394,0.0,0.56,-3.31,0.42,0.12,-0.11,0.0,3.0,3.0,3.0
2147515.0,-0.9236,-0.0048,0.0232,-0.3826,0.0,0.19,-3.63,0.45,-0.24,-0.01,3.0,3.0,3.0,3.0,-0.0148,-0.0001,-0.0001,-0.0001,-0.31,0.06,-3.69,0.48,0.12,-0.03,0.0,3.0,3.0,3.0,-0.0135,-0.0001,-0.0001,-0.0001,-0.31,0.25,-0.06,0.19,0.15,0.0,2.0,3.0,3.0,3.0,-0.9723,0.0015,0.02,-0.0001,0.19,-0.06,-0.06,0.26,-0.01,-0.01,0.0,3.0,3.0,3.0,-0.9897,-0.0034,0.0247,0.1409,-0.19,3.63,-4.0,1.01,-0.01,0.0,0.0,3.0,3.0,3.0
2147564.0,-0.9243,-0.0045,0.0253,-0.3807,-0.37,0.12,-5.31,0.47,-0.27,-0.1,3.0,3.0,3.0,3.0,-0.0148,-0.0001,-0.0001,-0.0001,-0.5,0.63,-0.06,0.51,-0.08,0.1,0.0,3.0,3.0,3.0,-0.9827,0.0059,0.0179,-0.0123,-0.12,0.44,-0.06,0.36,-0.01,-0.01,2.0,3.0,3.0,3.0,-0.9717,0.0027,0.0209,0.2352,-0.12,0.25,-0.06,0.33,-0.01,-0.01,0.0,3.0,3.0,3.0,-0.9894,-0.0033,0.0249,0.1426,-0.12,5.88,-4.19,0.68,-0.03,-0.07,0.0,3.0,3.0,3.0
2147613.0,-0.9253,-0.0046,0.0275,-0.3782,-0.19,0.31,-6.75,0.47,-0.04,-0.07,3.0,3.0,3.0,3.0,-0.0149,-0.0001,-0.0001,-0.0001,-0.19,0.5,-0.06,0.55,-0.01,-0.01,0.0,3.0,3.0,3.0,-0.9832,0.0056,0.0192,-0.1815,0.31,0.44,-0.06,0.46,-0.01,-0.01,2.0,3.0,3.0,3.0,-0.9711,0.0037,0.0223,0.2379,-0.25,0.06,-7.06,0.48,-0.14,0.02,0.0,3.0,3.0,3.0,-0.9893,-0.0036,0.0229,0.1441,0.06,5.69,-4.56,0.35,-0.01,-0.09,0.0,3.0,3.0,3.0
2147659.0,-0.9264,-0.0052,0.0297,-0.3754,-0.94,0.69,-7.25,0.5,0.11,0.05,3.0,3.0,3.0,3.0,-0.9993,0.0007,0.024,-0.0289,-0.44,0.81,-7.31,0.6,0.0,0.13,0.0,3.0,3.0,3.0,-0.0148,-0.0001,-0.0001,-0.0001,-0.69,-0.75,-7.0,1.21,-0.74,0.02,2.0,3.0,3.0,3.0,-0.9704,0.0042,0.0237,0.2402,-0.63,0.12,-7.31,0.81,0.51,0.0,0.0,3.0,3.0,3.0,-0.9891,-0.0038,0.0215,0.1459,0.19,-0.19,-5.63,-1.13,-0.67,-0.31,0.0,3.0,3.0,3.0
2147706.0,-0.0052,-0.0001,-0.0001,-0.0001,-1.06,0.0,-0.06,-0.1,0.65,-0.01,3.0,3.0,3.0,3.0,-0.015,-0.0001,-0.0001,-0.0001,1.12,0.63,-2.81,0.24,0.02,0.76,0.0,3.0,3.0,3.0,-0.0152,-0.0001,-0.0001,-0.0001,-1.75,-0.75,-3.13,0.24,-0.17,0.39,2.0,3.0,3.0,3.0,-0.97,0.0044,0.0237,0.2421,-1.63,-0.19,-2.88,0.21,0.39,0.25,0.0,3.0,3.0,3.0,-0.9888,-0.0037,0.0227,0.1478,0.37,-2.0,-5.44,1.56,0.12,-0.41,0.0,3.0,3.0,3.0
2147755.0,-0.9275,-0.0047,-0.0001,-0.0001,0.5,-0.06,-0.06,0.61,-0.01,-0.01,3.0,3.0,3.0,3.0,-0.015,-0.0001,-0.0001,-0.0001,0.75,0.75,-0.06,0.72,0.21,0.19,0.0,3.0,3.0,3.0,-0.0154,-0.0001,-0.0001,-0.0001,0.63,1.63,-0.06,0.36,0.2,0.21,2.0,3.0,3.0,3.0,-0.9697,0.0042,0.0237,0.2433,2.31,0.31,-3.5,0.48,0.02,0.22,0.0,3.0,3.0,3.0,-0.9885,-0.0038,0.0215,0.1494,-0.75,5.25,-3.06,0.89,0.82,-0.09,0.0,3.0,3.0,3.0
2147805.0,-0.9282,-0.005,0.0295,-0.371,-0.56,0.31,-0.06,0.71,0.04,0.18,3.0,3.0,3.0,3.0,-0.015,-0.0001,-0.0001,-0.0001,-2.19,0.44,-0.06,0.94,0.45,0.02,0.0,3.0,3.0,3.0,-0.9845,0.0049,0.0212,-0.0001,0.12,0.81,-0.06,0.44,0.57,-0.01,2.0,3.0,3.0,3.0,-0.9692,0.0038,0.0236,0.2452,1.0,1.0,-5.5,0.5,0.06,-0.09,0.0,3.0,3.0,3.0,-0.9883,-0.0037,0.02,0.1512,-0.25,0.94,-6.19,-0.01,-0.23,-0.43,0.0,3.0,3.0,3.0
