,sensor0,,,,,,,,,,,,,,sensor1,,,,,,,,,,,,,,sensor2,,,,,,,,,,,,,,sensor3,,,,,,,,,,,,,,sensor4
時刻(ms),相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag
306507.0,-0.014,-0.0001,-0.0001,-0.0001,-0.44,0.37,0.37,-0.01,0.12,-0.02,3.0,3.0,3.0,3.0,-0.2568,0.004,-0.0301,0.966,-0.56,0.5,0.69,-0.03,0.01,-0.1,3.0,3.0,3.0,3.0,-0.2371,-0.0004,-0.0328,0.9709,-0.19,0.31,0.75,0.11,-0.16,0.01,3.0,3.0,3.0,3.0,-0.0041,-0.0001,-0.0001,-0.0001,-0.81,0.25,0.81,0.1,0.08,-0.08,3.0,3.0,3.0,3.0,0.3104,-0.0082,0.0065,-0.9506,-0.31,2.5,1.25,0.14,-0.15,-0.1,3.0,3.0,3.0,3.0
306557.0,-0.0144,-0.0001,-0.0001,-0.0001,-0.56,0.31,1.19,0.05,-0.14,0.04,3.0,3.0,3.0,3.0,-0.2573,0.0039,-0.0303,0.9659,0.31,0.37,1.19,-0.03,-0.12,-0.03,3.0,3.0,3.0,3.0,-0.2375,-0.0002,-0.033,0.9708,0.19,0.31,1.12,-0.05,-0.11,-0.06,3.0,3.0,3.0,3.0,-0.0045,-0.0001,-0.0001,-0.0001,-0.12,0.19,1.12,-0.01,-0.17,-0.05,3.0,3.0,3.0,3.0,0.3107,-0.0001,-0.0001,-0.0001,0.56,3.31,0.88,0.16,0.17,-0.09,3.0,3.0,3.0,3.0
306608.0,-0.0148,-0.0001,-0.0001,-0.0001,0.0,0.12,0.63,0.13,-0.05,-0.08,3.0,3.0,3.0,3.0,-0.2575,0.0039,-0.0303,0.9658,0.06,0.0,0.19,0.12,0.29,-0.13,3.0,3.0,3.0,3.0,-0.2378,-0.0003,-0.033,0.9708,0.31,0.12,0.37,0.12,0.33,0.03,3.0,3.0,3.0,3.0,-0.0048,-0.0001,-0.0001,-0.0001,-0.19,0.0,0.0,0.39,-0.01,-0.01,3.0,3.0,3.0,3.0,0.3099,-0.0001,-0.0001,-0.0001,-0.94,-12.44,-4.94,4.51,0.46,0.25,3.0,3.0,3.0,3.0
306657.0,-0.0144,-0.0001,-0.0001,-0.0001,-0.44,1.44,-0.06,-0.43,0.13,0.17,3.0,3.0,3.0,3.0,-0.2567,0.0038,-0.0311,0.966,-3.44,1.31,-3.19,-0.09,-0.68,-0.32,3.0,3.0,3.0,3.0,-0.2371,-0.0004,-0.0335,0.9709,-2.69,0.81,-0.06,0.75,-0.19,-0.21,3.0,3.0,3.0,3.0,-0.2539,-0.0035,-0.0151,-0.0001,-1.0,1.31,-0.06,0.89,0.3,-0.61,3.0,3.0,3.0,3.0,0.3076,0.0027,0.0105,-0.9515,-3.13,10.31,1.19,1.36,-0.21,-0.47,3.0,3.0,3.0,3.0
306707.0,-0.0137,-0.0001,-0.0001,-0.0001,-1.94,1.0,-0.06,1.45,0.43,-1.11,3.0,3.0,3.0,3.0,-0.256,0.0035,-0.0324,0.9661,-5.63,2.63,-2.19,1.47,-0.43,0.0,3.0,3.0,3.0,3.0,-0.2365,-0.0015,-0.0343,0.971,-2.25,2.75,-0.06,1.86,-0.44,1.11,3.0,3.0,3.0,3.0,-0.2534,-0.0042,-0.0001,-0.0001,-1.31,2.38,-0.06,2.17,0.54,0.18,3.0,3.0,3.0,3.0,0.3057,-0.0001,-0.0001,-0.0001,-5.31,11.31,-4.5,-0.15,1.29,-0.02,3.0,3.0,3.0,3.0
306757.0,-0.0131,-0.0001,-0.0001,-0.0001,-4.75,-0.06,-0.06,2.05,0.31,-0.06,3.0,3.0,3.0,3.0,-0.2554,0.0026,-0.0359,0.9662,-9.06,3.81,-1.75,1.72,0.56,-0.32,3.0,3.0,3.0,3.0,-0.2358,-0.0034,-0.0056,-0.0001,-8.0,-0.06,-0.06,1.77,0.82,0.07,3.0,3.0,3.0,3.0,-0.2527,-0.0059,-0.0001,-0.0001,-6.44,-0.06,-0.06,1.65,0.44,0.79,3.0,3.0,3.0,3.0,0.3038,-0.0001,-0.0001,-0.0001,-9.94,2.13,-3.31,1.73,0.66,-0.29,3.0,3.0,3.0,3.0
306807.0,-0.0121,-0.0001,-0.0001,-0.0001,-10.63,2.69,-0.06,1.28,0.38,-0.85,3.0,3.0,3.0,3.0,-0.2543,0.0025,-0.0405,0.9662,-11.0,3.5,-2.44,1.04,-0.19,0.22,3.0,3.0,3.0,3.0,-0.2347,-0.004,-0.0001,-0.0001,-11.06,3.13,-0.06,1.64,-0.32,-0.42,3.0,3.0,3.0,3.0,-0.2516,-0.0062,-0.0001,-0.0001,-12.63,-0.06,-0.06,1.48,0.56,-0.01,3.0,3.0,3.0,3.0,0.3007,-0.0001,-0.0001,-0.0001,-8.63,2.19,-0.75,-1.06,-2.59,-0.57,3.0,3.0,3.0,3.0
306857.0,-0.2459,0.0117,-0.015,-0.0001,-12.44,-0.06,-0.06,0.99,-1.15,0.64,3.0,3.0,3.0,3.0,-0.2538,0.0015,-0.0435,0.9662,-0.69,3.13,-0.25,0.18,-0.92,1.14,3.0,3.0,3.0,3.0,-0.0156,-0.0001,-0.0001,-0.0001,-2.44,-3.81,-0.44,2.11,-0.8,-0.58,3.0,3.0,3.0,3.0,-0.2513,-0.0048,-0.0001,-0.0001,-8.75,-2.81,-0.06,1.01,-0.01,-0.01,3.0,3.0,3.0,3.0,0.3,-0.0001,-0.0001,-0.0001,2.31,-21.37,11.13,-4.52,-2.92,-1.35,3.0,3.0,3.0,3.0
306908.0,-0.0125,-0.0001,-0.0001,-0.0001,-4.5,-0.06,-0.06,0.38,-0.22,-0.18,3.0,3.0,3.0,3.0,-0.2549,0.0005,-0.0416,0.9661,8.19,-1.88,7.19,-0.44,-0.11,0.14,3.0,3.0,3.0,3.0,-0.236,-0.0015,-0.0425,0.9708,5.25,-0.06,-0.06,-0.08,-1.04,1.05,3.0,3.0,3.0,3.0,-0.2535,-0.0032,-0.012,-0.0001,7.19,-0.06,-0.06,0.16,-0.01,-0.01,3.0,3.0,3.0,3.0,0.3011,0.0057,0.019,-0.9534,7.31,-8.44,6.81,0.36,2.32,0.02,3.0,3.0,3.0,3.0
306958.0,-0.0156,-0.0001,-0.0001,-0.0001,9.69,0.19,-0.06,0.7,-0.03,-1.17,3.0,3.0,3.0,3.0,-0.2581,0.0001,-0.0387,0.9653,2.0,-1.44,7.75,0.61,2.15,-1.36,3.0,3.0,3.0,3.0,-0.0048,-0.0001,-0.0001,-0.0001,2.19,6.44,-0.06,-0.35,2.29,-0.81,3.0,3.0,3.0,3.0,-0.0067,-0.0001,-0.0001,-0.0001,10.81,6.44,6.56,-0.05,0.15,-2.16,3.0,3.0,3.0,3.0,0.3044,0.0021,0.0175,-0.9524,-4.56,-11.56,3.88,0.86,2.24,-1.15,3.0,3.0,3.0,3.0
