,sensor0,,,,,,,,,,,,,,sensor1,,,,,,,,,,,,,,sensor2,,,,,,,,,,,,,,sensor3,,,,,,,,,,,,,,sensor4
時刻(ms),相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag
955361.0,-0.0184,-0.0059,-0.0001,-0.0001,-2.31,-1.06,1.19,0.36,0.13,-0.01,3.0,3.0,3.0,3.0,0.0279,0.004,0.0386,-0.0145,-1.5,-0.75,0.94,0.5,-0.19,-0.01,3.0,3.0,3.0,3.0,0.0513,-0.0001,-0.0001,-0.0001,-0.63,-0.88,1.19,0.59,-0.13,0.23,3.0,3.0,3.0,3.0,-0.0137,-0.0001,-0.0001,-0.0001,0.37,-0.44,1.31,0.16,0.05,-0.21,3.0,3.0,3.0,3.0,0.0258,0.0042,-0.0157,0.9995,-1.12,3.31,0.94,1.39,-0.2,0.0,3.0,3.0,3.0,3.0
955411.0,-0.0179,-0.006,-0.0001,-0.0001,0.63,-0.06,-0.06,0.08,-0.52,-0.2,3.0,3.0,3.0,3.0,0.0298,0.0039,-0.0001,-0.0001,-2.25,-0.19,0.37,0.36,-0.01,-0.01,3.0,3.0,3.0,3.0,0.0518,-0.0001,-0.0001,-0.0001,-0.56,0.69,0.0,-0.22,-0.11,-0.06,3.0,3.0,3.0,3.0,-0.0133,-0.0001,-0.0001,-0.0001,0.63,0.37,-0.19,-0.3,-0.5,-0.2,3.0,3.0,3.0,3.0,0.0264,-0.0002,-0.0156,0.9995,0.5,12.56,-1.94,0.6,0.01,-0.09,3.0,3.0,3.0,3.0
955461.0,-0.0182,-0.006,-0.0001,-0.0001,2.0,0.12,-1.81,0.31,-0.36,-0.69,3.0,3.0,3.0,3.0,0.0296,0.0038,-0.0001,-0.0001,-0.63,0.0,-0.06,0.51,0.27,0.0,3.0,3.0,3.0,3.0,0.0513,-0.0001,-0.0001,-0.0001,-0.37,1.69,-0.06,-0.07,0.28,-0.19,3.0,3.0,3.0,3.0,-0.0139,-0.0001,-0.0001,-0.0001,1.19,1.12,-2.94,0.14,-0.19,0.08,3.0,3.0,3.0,3.0,0.0281,-0.0059,-0.0154,0.9995,0.5,13.5,-3.69,0.23,-0.24,-0.15,3.0,3.0,3.0,3.0
955511.0,-0.0042,-0.0001,-0.0001,-0.0001,2.25,-0.06,-0.06,0.98,0.65,-1.0,3.0,3.0,3.0,3.0,0.0282,0.004,-0.0001,-0.0001,-3.0,0.69,-0.06,0.9,-0.01,-0.01,3.0,3.0,3.0,3.0,0.0495,-0.0001,-0.0001,-0.0001,-0.5,1.5,-0.06,1.74,-0.01,-0.01,3.0,3.0,3.0,3.0,-0.0156,-0.0001,-0.0001,-0.0001,2.25,0.88,-4.38,1.24,-0.12,0.49,3.0,3.0,3.0,3.0,0.03,-0.0094,-0.0154,0.9994,-0.63,6.0,-3.69,0.38,-0.61,-0.83,3.0,3.0,3.0,3.0
955561.0,-0.0059,-0.0001,-0.0001,-0.0001,0.5,0.12,-0.06,0.84,-0.11,0.24,3.0,3.0,3.0,3.0,0.0266,0.0041,-0.0001,-0.0001,0.0,-0.06,-0.06,0.93,-0.01,-0.01,3.0,3.0,3.0,3.0,0.0479,-0.0001,-0.0001,-0.0001,-1.25,-0.69,-3.75,0.98,-0.29,0.06,3.0,3.0,3.0,3.0,-0.0172,0.0148,-0.0001,-0.0001,0.5,-0.06,-3.69,0.56,-0.1,0.06,3.0,3.0,3.0,3.0,0.0317,-0.0101,-0.0154,0.9993,-0.81,-1.0,-4.5,0.41,0.16,-0.2,3.0,3.0,3.0,3.0
955612.0,-0.0074,-0.0001,-0.0001,-0.0001,-2.44,-0.19,-3.44,-0.17,0.18,0.02,3.0,3.0,3.0,3.0,0.0248,0.0035,-0.0001,-0.0001,-0.56,-0.88,-3.44,0.0,0.03,0.08,3.0,3.0,3.0,3.0,0.0464,-0.0001,-0.0001,-0.0001,-2.44,-1.06,-3.38,0.18,-0.11,0.15,3.0,3.0,3.0,3.0,-0.0186,0.0147,-0.0001,-0.0001,-3.0,-0.25,-3.06,0.13,0.42,-0.56,3.0,3.0,3.0,3.0,0.0334,-0.0095,-0.0162,0.9993,-1.69,-0.75,-3.13,0.55,-0.2,0.17,3.0,3.0,3.0,3.0
955662.0,-0.0242,-0.006,-0.0001,-0.0001,-1.37,1.25,-1.5,-0.03,0.72,-0.51,3.0,3.0,3.0,3.0,0.0226,0.0038,-0.0001,-0.0001,-0.69,1.25,-0.06,0.01,-0.01,-0.01,3.0,3.0,3.0,3.0,0.0454,-0.0001,-0.0001,-0.0001,-0.06,0.63,-0.06,0.51,-0.19,-0.48,3.0,3.0,3.0,3.0,-0.0195,0.0148,-0.0001,-0.0001,-2.0,0.19,-0.12,0.5,0.68,-0.47,3.0,3.0,3.0,3.0,0.0341,-0.0097,-0.0164,0.9992,0.69,1.5,-0.56,0.07,-0.44,-0.42,3.0,3.0,3.0,3.0
955712.0,-0.0243,-0.0054,-0.0001,-0.0001,-1.56,1.31,1.56,0.28,0.35,0.11,3.0,3.0,3.0,3.0,0.0219,0.0044,-0.0001,-0.0001,1.81,1.12,1.88,0.31,0.0,-0.01,3.0,3.0,3.0,3.0,0.0457,-0.0001,-0.0001,-0.0001,2.19,-0.06,-0.06,0.56,-0.04,-0.53,3.0,3.0,3.0,3.0,-0.0189,0.0146,-0.0001,-0.0001,-3.19,-2.56,2.25,0.49,0.15,-0.23,3.0,3.0,3.0,3.0,0.0336,-0.0095,-0.0156,0.9993,3.0,-2.44,2.38,-0.01,-0.39,-0.3,3.0,3.0,3.0,3.0
955762.0,-0.0077,-0.0001,-0.0001,-0.0001,-3.31,0.69,2.44,0.02,-0.56,-0.09,3.0,3.0,3.0,3.0,0.0228,0.0047,-0.0001,-0.0001,2.81,1.31,2.31,0.01,-0.01,-0.01,3.0,3.0,3.0,3.0,0.0467,-0.0001,-0.0001,-0.0001,0.81,-0.06,-0.06,-0.11,-0.38,0.63,3.0,3.0,3.0,3.0,-0.0179,0.0137,-0.0001,-0.0001,-3.44,-1.0,1.75,-0.29,-0.56,-0.02,3.0,3.0,3.0,3.0,0.0327,-0.0082,-0.0146,0.9993,0.69,-1.88,1.44,0.03,0.89,0.29,3.0,3.0,3.0,3.0
955812.0,-0.007,-0.0001,-0.0001,-0.0001,-3.25,0.56,0.63,0.07,0.02,0.26,3.0,3.0,3.0,3.0,0.0222,0.005,-0.0001,-0.0001,-2.19,0.5,0.25,0.13,0.64,-0.01,3.0,3.0,3.0,3.0,0.0472,-0.0001,-0.0001,-0.0001,-2.06,-0.25,-0.06,-0.04,0.65,-0.54,3.0,3.0,3.0,3.0,-0.0176,0.0137,-0.0001,-0.0001,-3.31,-0.88,-1.19,-0.1,0.19,-0.24,3.0,3.0,3.0,3.0,0.0326,-0.0076,-0.0156,0.9993,-3.13,-0.37,-1.31,0.22,0.63,-0.01,3.0,3.0,3.0,3.0
