,sensor0,,,,,,,,,,,,,,sensor1,,,,,,,,,,,,,,sensor2,,,,,,,,,,,,,,sensor3,,,,,,,,,,,,,,sensor4
時刻(ms),相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag
855236.0,0.9774,0.0115,0.0068,-0.2109,-0.37,0.69,-1.31,0.05,-0.02,0.02,3.0,3.0,3.0,3.0,-0.0049,-0.0001,-0.0001,-0.0001,0.63,1.19,-0.06,-0.29,-0.03,-0.21,3.0,3.0,3.0,3.0,-0.9848,-0.0047,-0.0001,-0.0001,0.88,0.44,-1.37,-0.15,0.05,-0.31,3.0,3.0,3.0,3.0,-0.0153,-0.0001,-0.0001,-0.0001,0.06,0.5,-0.06,-0.15,0.43,-0.01,3.0,3.0,3.0,3.0,0.9752,0.0374,-0.0001,-0.0001,1.12,20.81,1.12,-0.32,-0.38,-0.21,3.0,3.0,3.0,3.0
855286.0,0.9774,0.0115,0.0069,-0.2112,0.44,0.12,-0.31,-0.01,-0.25,-0.15,3.0,3.0,3.0,3.0,-0.0048,-0.0001,-0.0001,-0.0001,0.25,0.06,-0.06,0.35,-0.03,-0.4,3.0,3.0,3.0,3.0,-0.9847,-0.0049,-0.0095,0.1736,1.06,1.31,-0.19,0.64,-0.59,0.21,3.0,3.0,3.0,3.0,-0.0152,-0.0001,-0.0001,-0.0001,1.94,0.5,-0.06,-0.06,0.69,0.57,3.0,3.0,3.0,3.0,0.9752,-0.0001,-0.0001,-0.0001,0.12,-0.06,-0.06,0.46,-0.39,0.03,3.0,3.0,3.0,3.0
855336.0,0.9774,0.0117,0.007,-0.2109,0.0,1.31,1.25,0.99,0.08,0.21,3.0,3.0,3.0,3.0,-0.0049,-0.0001,-0.0001,-0.0001,-1.0,1.0,1.19,1.35,0.19,-0.25,3.0,3.0,3.0,3.0,-0.9848,-0.0055,-0.0098,0.1734,1.94,0.5,1.06,1.39,-0.07,-0.15,3.0,3.0,3.0,3.0,-0.0153,-0.0001,-0.0001,-0.0001,0.31,-0.06,-0.06,1.61,0.36,-0.01,3.0,3.0,3.0,3.0,0.9754,-0.0001,-0.0001,-0.0001,0.63,-0.06,-0.06,-1.83,0.2,-0.38,3.0,3.0,3.0,3.0
855387.0,0.9775,0.012,0.0074,-0.2106,1.56,1.0,0.25,0.84,-0.2,-0.19,3.0,3.0,3.0,3.0,-0.0052,-0.0001,-0.0001,-0.0001,2.31,0.19,0.37,0.93,0.04,0.01,3.0,3.0,3.0,3.0,-0.9849,-0.0061,-0.0001,-0.0001,0.12,-0.75,0.31,1.06,-0.24,0.05,3.0,3.0,3.0,3.0,-0.0153,-0.0001,-0.0001,-0.0001,2.19,0.56,0.56,0.79,0.64,-0.01,3.0,3.0,3.0,3.0,0.9754,-0.0001,-0.0001,-0.0001,2.0,-0.06,-0.06,0.25,-0.39,-0.23,3.0,3.0,3.0,3.0
855437.0,0.9776,0.0127,0.0078,-0.2098,2.56,1.12,2.75,-0.02,0.68,-0.35,3.0,3.0,3.0,3.0,-0.0053,-0.0001,-0.0001,-0.0001,3.81,0.69,2.75,0.0,-0.2,-0.27,3.0,3.0,3.0,3.0,-0.9849,-0.0067,-0.0098,0.1725,3.0,-0.31,2.94,0.36,-0.12,-0.4,3.0,3.0,3.0,3.0,-0.0155,-0.0001,-0.0001,-0.0001,2.06,0.44,3.19,0.38,0.31,-0.01,3.0,3.0,3.0,3.0,0.9756,-0.0001,-0.0001,-0.0001,3.88,-0.06,-0.06,1.78,-0.55,-0.14,3.0,3.0,3.0,3.0
855487.0,0.9779,0.0136,0.0079,-0.2085,1.81,1.63,5.19,0.51,0.11,-0.21,3.0,3.0,3.0,3.0,-0.0057,-0.0001,-0.0001,-0.0001,4.81,1.69,5.25,0.53,-0.01,-0.01,3.0,3.0,3.0,3.0,-0.9852,-0.0079,-0.0082,0.1709,5.56,0.25,5.0,0.31,0.09,0.0,3.0,3.0,3.0,3.0,-0.9691,-0.0101,-0.0073,-0.0001,1.25,0.31,5.06,0.29,-0.01,-0.01,3.0,3.0,3.0,3.0,0.9759,-0.0001,-0.0001,-0.0001,5.25,4.69,6.19,0.34,0.55,0.08,3.0,3.0,3.0,3.0
855537.0,0.9783,0.0139,0.0088,-0.2064,-2.0,2.31,2.88,0.52,-0.66,-0.18,3.0,3.0,3.0,3.0,-0.006,-0.0001,-0.0001,-0.0001,2.56,2.63,2.81,0.77,0.19,-0.04,3.0,3.0,3.0,3.0,-0.9855,-0.0103,-0.0078,-0.0001,4.0,1.19,2.19,0.12,0.41,0.03,3.0,3.0,3.0,3.0,-0.9695,-0.0098,-0.0073,-0.0001,-1.81,0.19,2.06,0.39,-0.01,-0.01,3.0,3.0,3.0,3.0,0.9761,-0.0001,-0.0001,-0.0001,1.75,2.69,1.19,-0.22,0.55,-0.5,3.0,3.0,3.0,3.0
855587.0,0.9783,0.0135,0.0098,-0.2065,-0.88,1.31,-2.81,0.91,-0.84,-0.15,3.0,3.0,3.0,3.0,-0.006,-0.0001,-0.0001,-0.0001,0.88,1.31,-0.06,0.95,0.17,-0.01,3.0,3.0,3.0,3.0,-0.9855,-0.011,-0.0078,0.1692,0.12,-1.06,-3.31,0.7,-0.36,-0.4,3.0,3.0,3.0,3.0,-0.9694,-0.0084,-0.0073,-0.0001,-0.81,0.5,-0.06,0.65,-0.01,-0.01,3.0,3.0,3.0,3.0,0.9758,0.0471,0.0222,-0.2122,1.44,-2.69,-4.5,-0.19,0.19,-0.28,3.0,3.0,3.0,3.0
855638.0,0.9778,0.0139,0.01,-0.2086,2.0,0.56,-6.06,-0.21,0.28,0.16,3.0,3.0,3.0,3.0,-0.0056,-0.0001,-0.0001,-0.0001,1.12,0.31,-0.06,0.04,-0.01,-0.01,3.0,3.0,3.0,3.0,-0.9851,-0.0109,-0.0079,0.1713,0.0,1.37,-6.06,0.51,-0.64,-0.33,3.0,3.0,3.0,3.0,-0.9688,-0.0089,-0.0074,-0.0001,0.69,0.56,-0.06,0.23,-0.01,-0.01,3.0,3.0,3.0,3.0,0.9753,0.0472,0.0221,-0.2144,0.25,3.56,-4.31,0.33,-0.7,-0.49,3.0,3.0,3.0,3.0
855688.0,0.9774,0.0155,0.0095,-0.2107,5.94,-1.31,-4.25,0.24,0.5,-0.01,3.0,3.0,3.0,3.0,-0.005,-0.0001,-0.0001,-0.0001,1.25,-0.06,-0.06,0.16,-0.01,-0.01,3.0,3.0,3.0,3.0,-0.9847,-0.0112,-0.0087,0.1733,0.63,1.81,-4.19,0.53,0.75,-0.05,3.0,3.0,3.0,3.0,-0.0151,-0.0001,-0.0001,-0.0001,8.06,0.44,-0.06,0.73,0.89,-0.01,3.0,3.0,3.0,3.0,0.9749,0.0477,-0.0001,-0.0001,0.56,6.38,-3.19,3.49,0.95,-0.15,3.0,3.0,3.0,3.0
855738.0,0.9772,0.0176,0.0084,-0.2114,-0.31,2.13,2.19,0.94,1.64,0.7,3.0,3.0,3.0,3.0,-0.0049,-0.0001,-0.0001,-0.0001,0.5,3.69,2.06,0.12,0.59,-0.01,3.0,3.0,3.0,3.0,-0.9847,-0.0127,-0.0097,0.1737,5.63,3.25,2.63,0.78,-0.16,-1.21,3.0,3.0,3.0,3.0,-0.0151,-0.0001,-0.0001,-0.0001,-4.13,-0.06,-0.06,1.18,1.03,1.04,3.0,3.0,3.0,3.0,0.9747,0.0492,-0.0001,-0.0001,4.0,5.19,1.69,0.76,-1.52,-0.41,3.0,3.0,3.0,3.0
855788.0,0.9777,0.017,0.0089,-0.2093,0.37,2.63,5.56,1.54,-1.21,0.11,3.0,3.0,3.0,3.0,-0.0053,-0.0001,-0.0001,-0.0001,7.88,0.06,5.75,1.7,-0.01,-0.01,3.0,3.0,3.0,3.0,-0.985,-0.0151,-0.0083,0.1717,7.69,-0.06,-0.06,0.95,0.4,-0.85,3.0,3.0,3.0,3.0,-0.9688,-0.0117,-0.0061,-0.0001,1.69,0.37,4.88,1.19,-0.01,-0.01,3.0,3.0,3.0,3.0,0.9749,0.0513,-0.0001,-0.0001,4.63,-2.63,3.56,1.14,0.4,-0.77,3.0,3.0,3.0,3.0
855838.0,0.9778,0.0172,0.0098,-0.2087,-4.56,2.81,-1.63,1.04,-0.32,0.15,3.0,3.0,3.0,3.0,-0.0054,-0.0001,-0.0001,-0.0001,2.63,3.19,-0.06,0.91,-0.01,-0.01,3.0,3.0,3.0,3.0,-0.985,-0.0167,-0.0075,0.1714,1.88,-1.75,-2.63,0.98,-0.13,-0.69,3.0,3.0,3.0,3.0,-0.9689,-0.0113,-0.006,-0.0001,-6.13,-0.06,-0.06,1.04,-0.01,-0.01,3.0,3.0,3.0,3.0,0.975,0.0528,-0.0001,-0.0001,2.19,-1.94,-1.94,1.29,-0.08,-1.32,3.0,3.0,3.0,3.0
