,sensor0,,,,,,,,,,,,,,sensor1,,,,,,,,,,,,,,sensor2,,,,,,,,,,,,,,sensor3,,,,,,,,,,,,,,sensor4
時刻(ms),相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag
1126403.0,-0.9647,-0.0119,-0.0001,-0.0001,0.5,0.19,0.44,0.14,0.01,-0.25,3.0,3.0,3.0,3.0,0.9673,-0.0027,0.0214,-0.2526,0.5,0.06,0.75,0.19,-0.02,-0.25,3.0,3.0,3.0,3.0,0.976,-0.0009,0.0137,-0.2175,0.5,0.31,0.75,0.2,0.0,-0.23,3.0,3.0,3.0,3.0,0.9598,-0.0001,-0.0001,-0.0001,0.25,0.37,0.75,0.21,0.0,-0.27,3.0,3.0,3.0,3.0,-0.954,-0.0332,-0.0121,0.2977,0.88,9.75,-0.12,1.02,-0.01,-0.01,3.0,3.0,3.0,3.0
1126452.0,-0.9648,-0.0121,-0.0001,-0.0001,0.63,0.25,0.94,-0.08,0.09,-0.13,3.0,3.0,3.0,3.0,0.9675,-0.0027,0.0213,-0.2521,0.5,0.12,1.37,-0.04,-0.03,-0.13,3.0,3.0,3.0,3.0,0.9761,-0.0001,-0.0001,-0.0001,0.63,0.25,1.44,-0.01,0.06,-0.23,3.0,3.0,3.0,3.0,0.96,0.0098,0.0253,-0.2787,0.63,0.37,1.44,0.03,0.12,-0.21,3.0,3.0,3.0,3.0,-0.954,-0.0349,-0.0162,0.2972,1.12,13.31,1.25,-0.2,-0.11,-0.25,3.0,3.0,3.0,3.0
1126499.0,-0.965,-0.0124,-0.0059,0.262,0.44,-0.06,-0.06,0.49,-0.01,-0.01,3.0,3.0,3.0,3.0,0.9676,-0.0027,0.0212,-0.2516,-0.19,0.12,1.94,0.57,0.03,0.01,3.0,3.0,3.0,3.0,0.9762,-0.0001,-0.0001,-0.0001,1.44,2.06,1.94,-0.26,0.16,-0.66,3.0,3.0,3.0,3.0,0.9602,0.0103,0.0251,-0.2779,2.75,0.94,1.75,0.39,0.63,0.98,3.0,3.0,3.0,3.0,-0.9543,-0.0055,-0.0001,-0.0001,0.19,7.25,7.13,-0.37,-0.19,-0.07,3.0,3.0,3.0,3.0
1126547.0,-0.9651,-0.0129,-0.0058,0.2612,2.38,0.31,2.06,0.86,-0.01,-0.01,3.0,3.0,3.0,3.0,0.9678,-0.0026,0.0214,-0.2507,0.31,0.19,2.0,1.12,0.08,-0.15,3.0,3.0,3.0,3.0,0.9764,0.0001,-0.0001,-0.0001,1.63,1.63,1.69,0.47,0.26,-0.01,3.0,3.0,3.0,3.0,0.9604,0.0109,0.0251,-0.2771,0.88,0.56,1.63,0.79,-0.1,-0.5,3.0,3.0,3.0,3.0,-0.9546,-0.0062,-0.0001,-0.0001,1.0,1.44,2.31,0.26,-0.05,-0.21,3.0,3.0,3.0,3.0
1126595.0,-0.9653,-0.0135,-0.0051,0.2607,1.94,0.12,1.12,0.48,0.01,-0.63,3.0,3.0,3.0,3.0,0.968,-0.0024,0.0197,-0.2502,1.5,0.5,1.06,0.68,-0.09,0.0,3.0,3.0,3.0,3.0,0.9765,0.0006,0.0136,-0.2151,1.63,0.5,1.19,0.41,-0.01,-0.01,3.0,3.0,3.0,3.0,0.9606,0.0115,0.0251,-0.2767,1.56,0.25,1.12,0.26,0.1,0.67,3.0,3.0,3.0,3.0,-0.9548,-0.038,-0.0222,0.2938,1.5,3.75,2.0,0.79,-0.01,-0.01,3.0,3.0,3.0,3.0
1126642.0,-0.0123,-0.0001,-0.0001,-0.0001,-0.56,0.37,0.63,0.45,-0.45,-0.5,3.0,3.0,3.0,3.0,0.9681,-0.0019,0.0191,-0.2498,1.5,1.0,0.5,0.53,0.13,-0.12,3.0,3.0,3.0,3.0,0.9766,0.0013,0.0136,-0.2147,1.56,-0.5,0.25,0.09,0.14,-0.18,3.0,3.0,3.0,3.0,0.9606,0.0117,0.0252,-0.2764,-1.12,-0.56,0.25,0.18,-0.56,-0.05,3.0,3.0,3.0,3.0,-0.9548,-0.039,-0.023,0.2938,1.88,0.56,-0.19,0.77,0.02,-0.09,3.0,3.0,3.0,3.0
1126689.0,-0.9654,-0.0137,-0.0053,-0.0001,-0.31,0.31,-0.06,0.62,-0.01,-0.01,3.0,3.0,3.0,3.0,0.9681,-0.0001,-0.0001,-0.0001,1.63,1.31,-2.19,0.52,0.12,-0.17,3.0,3.0,3.0,3.0,0.9765,0.002,-0.0001,-0.0001,2.0,-0.06,-0.06,0.2,0.03,-0.24,3.0,3.0,3.0,3.0,0.9605,0.0114,0.0251,-0.2769,-1.25,-0.5,-2.56,0.31,-0.47,-0.36,3.0,3.0,3.0,3.0,-0.9547,-0.0398,-0.0237,0.2941,2.0,1.63,-1.31,0.1,-0.23,-0.27,3.0,3.0,3.0,3.0
1126737.0,-0.965,-0.0122,-0.0048,0.2618,-0.25,0.75,-3.88,0.13,-0.15,-0.11,3.0,3.0,3.0,3.0,0.9677,-0.0001,-0.0001,-0.0001,2.0,1.19,-0.06,0.0,-0.01,-0.01,3.0,3.0,3.0,3.0,0.9762,0.0029,-0.0001,-0.0001,2.56,-0.06,-0.06,-0.02,-0.06,-0.13,3.0,3.0,3.0,3.0,0.9601,0.0103,0.0247,-0.2785,-0.31,-0.37,-4.13,-0.09,-0.2,-0.33,3.0,3.0,3.0,3.0,-0.9543,-0.041,-0.0242,0.2952,2.5,2.69,-4.19,-0.25,-0.06,-0.05,3.0,3.0,3.0,3.0
1126787.0,-0.9645,-0.0123,-0.0052,0.2636,0.19,1.12,-5.25,0.06,-0.51,-0.76,3.0,3.0,3.0,3.0,0.9672,-0.0002,0.0161,-0.2534,2.13,1.5,-0.06,0.09,0.24,-0.01,3.0,3.0,3.0,3.0,0.9758,0.004,0.0121,-0.2185,2.38,0.44,-0.06,-0.46,-0.05,-0.24,3.0,3.0,3.0,3.0,0.9594,0.0102,0.0248,-0.2806,-0.31,0.63,-6.88,-0.49,-0.73,-0.32,3.0,3.0,3.0,3.0,-0.9536,-0.0421,-0.0244,0.2972,2.38,-0.94,-5.94,-0.08,0.42,-0.13,3.0,3.0,3.0,3.0
1126833.0,-0.9639,-0.0125,-0.0057,0.2661,1.88,0.81,-9.31,-0.52,-0.38,-0.22,3.0,3.0,3.0,3.0,0.9663,0.0007,0.0165,-0.2568,0.94,1.94,-9.94,-0.06,0.05,-0.47,3.0,3.0,3.0,3.0,0.9752,0.0045,-0.0001,-0.0001,2.0,2.25,-10.13,-0.36,-0.48,-0.41,3.0,3.0,3.0,3.0,0.9585,-0.0001,-0.0001,-0.0001,1.94,1.37,-10.31,-0.56,-0.31,-0.11,3.0,3.0,3.0,3.0,-0.9523,-0.0428,-0.0252,0.301,1.44,3.56,-10.88,0.05,-0.02,-0.24,3.0,3.0,3.0,3.0
