,sensor0,,,,,,,,,,,,,,sensor1,,,,,,,,,,,,,,sensor2,,,,,,,,,,,,,,sensor3,,,,,,,,,,,,,,sensor4
時刻(ms),相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag
141053.0,-0.7242,0.032,-0.0001,-0.0001,0.25,0.0,0.25,-0.12,0.07,-0.01,0.0,3.0,3.0,3.0,0.6389,-0.0142,0.0612,-0.7667,0.06,0.12,0.19,-0.01,-0.12,0.0,2.0,3.0,3.0,3.0,0.5344,-0.0059,0.0601,-0.8431,0.12,0.25,0.44,-0.06,0.04,-0.06,0.0,3.0,3.0,3.0,0.6,0.0013,-0.0001,-0.0001,0.0,0.0,0.25,-0.03,-0.03,-0.02,3.0,3.0,3.0,3.0,0.4874,-0.0001,-0.0001,-0.0001,-0.12,0.06,0.44,-0.06,0.0,-0.02,0.0,3.0,3.0,3.0
141102.0,-0.7242,0.032,-0.0483,0.6872,0.06,-0.06,0.12,-0.05,-0.05,-0.03,0.0,3.0,3.0,3.0,0.6389,-0.0142,-0.0001,-0.0001,-0.12,0.31,-0.06,0.02,-0.17,-0.01,2.0,3.0,3.0,3.0,0.5344,-0.0059,0.0601,-0.8431,0.19,-0.06,0.12,-0.11,0.03,0.05,0.0,3.0,3.0,3.0,0.6,0.0013,-0.0001,-0.0001,0.12,0.31,0.19,-0.04,-0.01,0.0,3.0,3.0,3.0,3.0,0.4874,-0.0001,-0.0001,-0.0001,-0.12,0.94,0.0,0.09,0.14,-0.04,0.0,3.0,3.0,3.0
141151.0,-0.7242,0.032,-0.0483,0.6872,0.06,0.0,-0.12,-0.03,0.03,0.0,0.0,3.0,3.0,3.0,0.6389,-0.0142,-0.0001,-0.0001,0.06,0.25,-0.06,0.08,-0.05,0.04,2.0,3.0,3.0,3.0,0.5344,-0.0059,0.0601,-0.8431,0.12,0.0,-0.12,0.0,0.06,-0.08,0.0,3.0,3.0,3.0,0.6,0.0013,0.0579,-0.7979,0.12,-0.06,-0.31,0.06,0.07,-0.01,3.0,3.0,3.0,3.0,0.4874,-0.0001,-0.0001,-0.0001,-0.12,0.81,-0.06,-0.43,0.02,-0.11,0.0,3.0,3.0,3.0
141200.0,-0.7242,0.032,-0.0483,0.6872,-0.06,-0.06,0.06,-0.13,0.04,0.0,0.0,3.0,3.0,3.0,0.6389,-0.0142,-0.0001,-0.0001,-0.06,0.0,-0.06,-0.06,-0.11,0.02,2.0,3.0,3.0,3.0,0.5344,-0.0059,0.0601,-0.8431,-0.06,-0.44,0.06,-0.17,0.05,-0.08,0.0,3.0,3.0,3.0,0.6,0.0013,0.0579,-0.7979,-0.12,-0.06,0.12,-0.05,0.01,-0.01,3.0,3.0,3.0,3.0,0.4874,-0.0001,-0.0001,-0.0001,0.12,-0.06,-0.06,0.09,0.09,-0.01,0.0,3.0,3.0,3.0
141250.0,-0.7242,0.032,-0.0483,0.6872,-0.25,0.12,0.25,-0.09,0.0,-0.01,0.0,3.0,3.0,3.0,0.6389,-0.0142,-0.0001,-0.0001,-0.12,0.06,0.12,-0.01,-0.07,0.01,2.0,3.0,3.0,3.0,0.5344,-0.0059,0.0601,-0.8431,0.06,0.19,0.31,-0.07,0.09,-0.05,0.0,3.0,3.0,3.0,0.6,0.0013,0.0579,-0.7979,0.0,0.12,0.06,0.02,-0.01,-0.01,3.0,3.0,3.0,3.0,0.4874,-0.0001,-0.0001,-0.0001,-0.12,-0.25,0.06,1.29,0.23,0.13,0.0,3.0,3.0,3.0
141300.0,-0.7242,0.032,-0.0483,0.6872,0.69,0.06,-0.12,0.54,0.02,0.04,0.0,3.0,3.0,3.0,0.6389,-0.0142,-0.0001,-0.0001,0.06,0.12,0.0,0.67,0.01,-0.01,2.0,3.0,3.0,3.0,0.5344,-0.0058,0.0601,-0.8431,0.31,0.63,-0.06,0.29,-0.06,-0.03,0.0,3.0,3.0,3.0,0.6,0.0013,0.0579,-0.7979,0.56,0.25,-0.06,0.54,0.04,-0.01,3.0,3.0,3.0,3.0,0.4875,-0.0001,-0.0001,-0.0001,0.06,-0.06,-0.06,-0.03,-0.22,-0.01,0.0,3.0,3.0,3.0
141350.0,-0.7242,0.0316,-0.0479,0.6872,1.06,0.12,0.12,0.18,0.06,0.0,0.0,3.0,3.0,3.0,0.6389,-0.0142,-0.0001,-0.0001,0.19,0.12,-0.06,0.27,-0.01,-0.01,2.0,3.0,3.0,3.0,0.5344,-0.0056,0.0601,-0.8431,0.69,0.69,0.5,0.27,0.03,-0.01,0.0,3.0,3.0,3.0,0.6,0.0013,0.0571,-0.798,1.44,0.5,0.37,0.42,0.12,-0.1,3.0,3.0,3.0,3.0,0.4874,-0.0001,-0.0001,-0.0001,0.5,5.0,0.5,-0.15,0.02,-0.08,0.0,3.0,3.0,3.0
141400.0,-0.0056,-0.0001,-0.0001,-0.0001,1.88,0.25,0.75,0.42,0.17,-0.05,0.0,3.0,3.0,3.0,0.639,-0.0149,0.0605,-0.7666,0.37,0.0,0.75,0.48,-0.01,-0.01,2.0,3.0,3.0,3.0,0.5346,-0.0001,-0.0001,-0.0001,0.75,0.63,0.94,0.48,-0.01,-0.03,0.0,3.0,3.0,3.0,0.6002,0.0012,0.0553,-0.7979,2.0,0.75,0.94,0.56,0.18,-0.14,3.0,3.0,3.0,3.0,0.4877,-0.0014,0.039,-0.0128,0.81,2.81,1.0,-0.37,0.11,-0.01,0.0,3.0,3.0,3.0
141448.0,-0.0058,-0.0001,-0.0001,-0.0001,0.37,-0.12,1.12,0.19,0.04,-0.05,0.0,3.0,3.0,3.0,0.6393,-0.016,0.0598,-0.7664,0.31,-0.19,0.94,0.22,-0.01,-0.01,2.0,3.0,3.0,3.0,0.535,-0.0001,-0.0001,-0.0001,0.19,-0.06,-0.06,0.16,0.06,-0.07,0.0,3.0,3.0,3.0,0.6006,0.0014,0.0548,-0.7977,0.06,-0.5,1.06,0.29,0.07,-0.64,3.0,3.0,3.0,3.0,0.488,-0.0005,0.0391,-0.0126,0.44,-0.06,-0.06,0.45,0.05,-0.01,0.0,3.0,3.0,3.0
141496.0,-0.0062,-0.0001,-0.0001,-0.0001,2.94,-0.06,-0.06,0.16,0.32,-0.07,0.0,3.0,3.0,3.0,0.6398,-0.0164,0.0595,-0.7661,0.69,-0.06,1.69,0.11,-0.16,-0.01,2.0,3.0,3.0,3.0,0.5354,-0.0001,-0.0001,-0.0001,0.94,1.81,1.5,0.23,-0.01,-0.01,0.0,3.0,3.0,3.0,0.601,0.0021,0.0543,-0.7974,2.75,1.44,1.75,0.1,0.01,0.47,3.0,3.0,3.0,3.0,0.4884,0.0001,0.0392,-0.8718,1.06,3.13,-0.06,1.37,0.2,0.09,0.0,3.0,3.0,3.0
141546.0,-0.0067,-0.0001,-0.0001,-0.0001,2.94,0.44,1.81,0.45,-0.13,0.02,0.0,3.0,3.0,3.0,0.6403,-0.0172,0.059,-0.7656,2.31,-0.25,1.94,0.46,0.43,-0.01,2.0,3.0,3.0,3.0,0.536,-0.0001,-0.0001,-0.0001,2.0,6.06,2.13,0.23,0.05,-0.01,0.0,3.0,3.0,3.0,0.6016,0.0055,0.0528,-0.797,17.19,9.19,1.81,0.65,-0.67,-0.37,3.0,3.0,3.0,3.0,0.489,0.0015,0.0399,-0.8714,0.69,3.88,0.0,-1.92,-0.18,0.0,0.0,3.0,3.0,3.0
141597.0,-0.007,-0.0001,-0.0001,-0.0001,10.06,1.37,-0.06,0.47,0.31,-0.25,0.0,3.0,3.0,3.0,0.6404,-0.017,0.0585,-0.7656,0.06,-2.44,-0.06,0.13,-1.32,-1.62,2.0,3.0,3.0,3.0,0.536,-0.0001,-0.0001,-0.0001,-0.31,-5.88,-0.06,1.72,-0.01,-0.01,0.0,3.0,3.0,3.0,0.6016,0.0068,0.0515,-0.7971,-13.44,-9.63,0.37,1.33,-0.45,-3.4,3.0,3.0,3.0,3.0,0.4892,0.0027,0.0405,-0.8712,-0.81,5.0,1.19,1.23,-0.01,-0.01,0.0,3.0,3.0,3.0
141646.0,-0.0071,-0.0001,-0.0001,-0.0001,7.0,-0.06,-0.06,0.44,-0.15,-0.31,0.0,3.0,3.0,3.0,0.6403,-0.0175,0.0585,-0.7657,-3.38,-0.69,-2.13,0.58,0.75,-0.08,2.0,3.0,3.0,3.0,0.536,-0.0001,-0.0001,-0.0001,-0.94,7.94,-0.06,-0.22,0.66,-0.01,0.0,3.0,3.0,3.0,0.6014,0.0092,0.0503,-0.7973,10.81,5.56,-2.5,-0.27,-0.31,2.71,3.0,3.0,3.0,3.0,0.4879,0.0051,0.0424,-0.8719,-2.31,10.81,-0.06,2.11,0.5,0.29,0.0,3.0,3.0,3.0
141697.0,-0.0062,-0.0001,-0.0001,-0.0001,0.75,-0.06,-0.06,0.61,-0.1,-0.45,0.0,3.0,3.0,3.0,0.639,-0.0187,0.0602,-0.7666,-4.5,2.0,-0.06,0.64,-0.44,0.04,2.0,3.0,3.0,3.0,0.5347,-0.0001,-0.0001,-0.0001,-1.69,3.25,-0.06,0.64,-0.01,-0.01,0.0,3.0,3.0,3.0,0.6003,0.0099,0.0504,-0.7982,1.94,3.56,-3.5,0.86,-0.03,-0.41,3.0,3.0,3.0,3.0,0.4866,0.0103,0.0465,-0.8723,-0.88,16.87,-0.06,0.4,-1.3,-0.47,0.0,3.0,3.0,3.0
141747.0,-0.0052,-0.0001,-0.0001,-0.0001,4.13,0.81,-0.06,2.82,0.18,-0.83,0.0,3.0,3.0,3.0,0.6379,-0.0188,0.0614,-0.7674,-0.44,2.06,-2.56,2.62,-0.74,-0.65,2.0,3.0,3.0,3.0,0.5334,-0.0001,-0.0001,-0.0001,2.81,3.31,-0.06,2.76,-0.01,-0.01,0.0,3.0,3.0,3.0,0.5991,0.0118,0.0497,-0.799,6.19,2.63,-2.25,3.41,0.49,0.97,3.0,3.0,3.0,3.0,0.486,0.0145,0.0475,-0.8726,4.38,1.81,-0.06,0.48,-0.01,-0.01,0.0,3.0,3.0,3.0
