,sensor0,,,,,,,,,,,,,,sensor1,,,,,,,,,,,,,,sensor2,,,,,,,,,,,,,,sensor3,,,,,,,,,,,,,,sensor4
時刻(ms),相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag
3851516.0,0.6578,-0.0166,0.0351,-0.7521,-1.25,0.37,-1.0,0.09,0.35,-0.08,3.0,3.0,3.0,3.0,-0.6563,0.0144,-0.051,0.7527,0.94,-0.12,-1.19,0.11,-0.01,-0.01,3.0,3.0,3.0,3.0,-0.6431,0.0015,-0.0567,0.7637,-0.25,-1.0,-1.0,0.34,0.01,-0.04,3.0,3.0,3.0,3.0,-0.0046,-0.0001,-0.0001,-0.0001,-1.81,-0.75,-0.88,0.29,0.34,-0.01,3.0,3.0,3.0,3.0,-0.7131,-0.0059,-0.0001,-0.0001,0.12,-0.06,-0.06,0.37,0.06,-0.08,3.0,3.0,3.0,3.0
3851565.0,0.6578,-0.0171,0.0356,-0.7522,-2.0,-0.44,0.37,0.49,0.38,-0.16,3.0,3.0,3.0,3.0,-0.6563,0.0146,-0.0507,0.7527,0.31,-0.88,0.37,0.49,0.02,0.0,3.0,3.0,3.0,3.0,-0.6431,0.0024,-0.0556,0.7637,-0.12,-1.94,0.25,0.67,0.1,-0.36,3.0,3.0,3.0,3.0,-0.0047,-0.0001,-0.0001,-0.0001,-1.63,-1.75,0.56,0.62,0.39,-0.01,3.0,3.0,3.0,3.0,-0.7131,-0.0055,-0.0001,-0.0001,0.37,-0.06,-0.06,0.25,-0.01,-0.01,3.0,3.0,3.0,3.0
3851614.0,0.658,-0.0176,0.0356,-0.752,-1.63,-0.63,1.31,0.69,0.3,-0.43,3.0,3.0,3.0,3.0,-0.6565,0.0143,-0.0504,0.7525,2.25,-0.19,1.69,0.81,-0.09,0.21,3.0,3.0,3.0,3.0,-0.6435,0.0034,-0.0544,0.7635,1.37,-3.31,1.63,1.12,-0.19,-0.66,3.0,3.0,3.0,3.0,-0.6614,-0.0064,-0.0001,-0.0001,-2.75,-2.88,2.25,0.94,0.36,-0.01,3.0,3.0,3.0,3.0,-0.7133,-0.0049,-0.0001,-0.0001,3.06,-0.06,-0.06,0.0,-1.46,-0.27,3.0,3.0,3.0,3.0
3851664.0,0.6589,-0.0186,0.0336,-0.7513,-0.19,0.69,4.0,-0.04,-0.16,0.34,3.0,3.0,3.0,3.0,-0.6575,0.0129,-0.0494,0.7517,7.94,2.19,5.06,0.04,-0.71,0.14,3.0,3.0,3.0,3.0,-0.6445,0.0063,-0.0514,0.7629,7.19,-3.75,4.63,0.61,-0.49,0.68,3.0,3.0,3.0,3.0,-0.6628,-0.0056,-0.0001,-0.0001,2.25,-0.06,-0.06,0.5,-0.01,-0.01,3.0,3.0,3.0,3.0,-0.7146,-0.0048,-0.0287,0.6989,10.5,-11.5,5.38,-0.59,-0.84,-0.01,3.0,3.0,3.0,3.0
3851712.0,0.6608,-0.0157,0.032,-0.7497,13.63,4.13,6.5,-0.04,-0.97,-0.09,3.0,3.0,3.0,3.0,-0.004,-0.0001,-0.0001,-0.0001,9.75,2.63,6.81,-1.08,0.26,-0.71,3.0,3.0,3.0,3.0,-0.6465,0.0027,-0.0491,0.7613,9.81,9.13,6.56,-0.73,-0.02,-0.84,3.0,3.0,3.0,3.0,-0.6647,-0.0109,-0.0405,0.7459,16.69,9.81,5.38,-2.03,-0.01,-0.01,3.0,3.0,3.0,3.0,-0.7167,-0.0034,-0.022,0.697,6.25,-12.63,7.06,3.35,1.61,-0.01,3.0,3.0,3.0,3.0
3851761.0,0.6622,-0.0135,0.0309,-0.7486,-9.44,-2.75,3.56,0.12,-0.15,-0.29,3.0,3.0,3.0,3.0,-0.0055,-0.0001,-0.0001,-0.0001,1.94,-0.06,-0.06,0.08,0.61,-0.01,3.0,3.0,3.0,3.0,-0.6478,0.0018,-0.0477,0.7603,3.38,-5.69,3.38,0.41,0.79,1.07,3.0,3.0,3.0,3.0,-0.6658,-0.009,-0.0408,0.7449,-4.69,-0.69,2.81,-0.27,-0.52,-2.73,3.0,3.0,3.0,3.0,-0.0143,-0.0001,-0.0001,-0.0001,-3.13,2.25,3.56,0.03,0.7,-1.69,3.0,3.0,3.0,3.0
3851805.0,0.6625,-0.0139,0.0307,-0.7483,5.13,-1.5,-1.69,0.1,-0.21,-0.15,3.0,3.0,3.0,3.0,-0.662,0.0082,-0.0463,0.748,-1.5,-0.81,-1.94,0.21,0.05,0.82,3.0,3.0,3.0,3.0,-0.0074,-0.0001,-0.0001,-0.0001,-3.69,2.5,-2.13,-0.37,0.1,0.32,3.0,3.0,3.0,3.0,-0.6657,-0.0104,-0.0401,0.7451,5.81,2.38,-2.0,-0.11,-0.18,1.05,3.0,3.0,3.0,3.0,-0.7175,-0.0038,-0.0225,0.6962,-1.94,1.44,-0.06,0.03,-0.01,-0.01,3.0,3.0,3.0,3.0
3851852.0,0.6619,-0.0139,0.0308,-0.7489,-6.31,1.06,-2.5,-1.13,0.22,0.39,3.0,3.0,3.0,3.0,-0.0051,-0.0001,-0.0001,-0.0001,-2.13,3.06,-0.06,-0.76,-1.17,0.09,3.0,3.0,3.0,3.0,-0.0066,-0.0001,-0.0001,-0.0001,-1.12,-2.94,-2.13,-0.48,-0.54,-0.23,3.0,3.0,3.0,3.0,-0.6651,-0.009,-0.0412,0.7455,-7.44,-2.06,-0.56,-0.38,0.52,-1.66,3.0,3.0,3.0,3.0,-0.717,-0.0041,-0.0231,0.6967,0.0,1.69,-0.06,-0.97,-0.01,-0.01,3.0,3.0,3.0,3.0
3851901.0,0.6621,-0.0144,0.0327,-0.7485,-0.31,3.06,3.25,-1.43,0.3,0.28,3.0,3.0,3.0,3.0,-0.6617,0.007,-0.0001,-0.0001,3.38,2.88,3.31,-1.7,-0.44,0.12,3.0,3.0,3.0,3.0,-0.0073,-0.0001,-0.0001,-0.0001,4.56,-0.06,-0.06,-0.83,-0.01,-0.01,3.0,3.0,3.0,3.0,-0.6661,-0.0085,-0.0418,0.7447,-1.94,-0.19,4.94,-1.06,0.05,0.47,3.0,3.0,3.0,3.0,-0.7179,-0.0056,-0.0225,0.6958,5.25,0.69,3.5,-1.64,0.41,-0.42,3.0,3.0,3.0,3.0
3851949.0,0.6638,-0.0139,0.0336,-0.747,-0.5,1.12,6.44,-0.93,0.17,0.03,3.0,3.0,3.0,3.0,-0.6636,0.0054,-0.0466,0.7466,2.44,0.69,6.63,-0.8,-0.01,-0.01,3.0,3.0,3.0,3.0,-0.6499,0.0009,-0.0471,0.7585,1.5,-0.12,6.25,-1.17,-0.01,-0.01,3.0,3.0,3.0,3.0,-0.6677,-0.0083,-0.0421,0.7432,-0.81,0.37,6.44,-1.62,-0.48,0.33,3.0,3.0,3.0,3.0,-0.7194,-0.0062,-0.0001,-0.0001,1.25,-0.81,6.25,-2.34,2.13,-0.41,3.0,3.0,3.0,3.0
