,sensor0,,,,,,,,,,,,,,sensor1,,,,,,,,,,,,,,sensor2,,,,,,,,,,,,,,sensor3,,,,,,,,,,,,,,sensor4
時刻(ms),相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag
906478.0,0.5212,-0.0074,0.0481,-0.8521,0.56,0.19,-0.44,0.21,-0.04,0.17,3.0,3.0,3.0,3.0,0.5228,0.0038,-0.0001,-0.0001,-0.37,0.75,-0.19,0.03,0.0,-0.25,3.0,3.0,3.0,3.0,0.5196,-0.0001,-0.0001,-0.0001,-0.75,-3.81,13.5,0.08,-0.01,-0.01,3.0,3.0,3.0,2.0,0.5236,-0.0001,-0.0001,-0.0001,0.81,0.25,-0.06,0.03,0.31,-0.01,3.0,3.0,3.0,3.0,0.6133,-0.0001,-0.0001,-0.0001,0.19,1.37,-0.31,0.05,0.49,0.0,3.0,3.0,3.0,3.0
906528.0,0.5219,-0.0075,0.0479,-0.8517,0.12,0.19,0.19,-0.13,0.37,-0.11,3.0,3.0,3.0,3.0,0.5228,0.0038,-0.0001,-0.0001,-0.69,0.5,0.25,-0.09,0.18,-0.07,3.0,3.0,3.0,3.0,0.5203,-0.0001,-0.0001,-0.0001,4.13,4.81,4.31,0.05,0.14,-0.13,3.0,3.0,3.0,2.0,0.5236,-0.0001,-0.0001,-0.0001,0.19,0.5,0.25,0.01,0.36,-0.01,3.0,3.0,3.0,3.0,0.6135,-0.0001,-0.0001,-0.0001,-0.19,4.38,0.69,0.15,0.16,0.01,3.0,3.0,3.0,3.0
906578.0,0.5223,-0.007,0.0473,-0.8514,0.0,0.31,1.56,0.0,0.22,-0.07,3.0,3.0,3.0,3.0,0.5231,0.0035,-0.0001,-0.0001,-1.06,0.31,1.37,0.0,0.13,-0.03,3.0,3.0,3.0,3.0,0.522,0.0161,-0.0001,-0.0001,-1.63,5.19,3.81,0.14,0.0,-0.03,3.0,3.0,3.0,2.0,0.5239,0.0151,0.048,-0.0065,-0.12,0.88,1.69,-0.02,0.14,-0.01,3.0,3.0,3.0,3.0,0.6138,-0.0001,-0.0001,-0.0001,-0.75,4.88,1.44,-0.16,0.13,-0.07,3.0,3.0,3.0,3.0
906629.0,0.5231,-0.0067,0.0472,-0.8509,-0.19,0.44,1.75,-0.12,0.05,-0.06,3.0,3.0,3.0,3.0,0.5237,0.0032,-0.0001,-0.0001,-1.63,0.5,1.75,-0.15,0.08,-0.01,3.0,3.0,3.0,3.0,0.5235,0.0179,0.054,-0.0001,2.75,1.44,5.06,-0.01,-0.07,-0.07,3.0,3.0,3.0,2.0,0.5246,0.0157,0.0482,-0.0001,-0.25,1.19,1.94,-0.16,0.01,-0.01,3.0,3.0,3.0,3.0,0.6146,0.0143,0.0391,-0.7877,-1.06,4.44,1.44,-0.23,0.01,-0.09,3.0,3.0,3.0,3.0
906679.0,0.5242,-0.0066,0.0472,-0.8502,-0.19,0.37,1.81,0.03,0.12,-0.09,3.0,3.0,3.0,3.0,0.5244,0.0031,-0.0001,-0.0001,-1.75,0.5,1.75,0.04,0.04,-0.04,3.0,3.0,3.0,3.0,0.5269,0.0178,0.0546,-0.0001,-3.63,1.31,7.13,0.26,-0.11,-0.05,3.0,3.0,3.0,2.0,0.5252,0.0162,0.0484,-0.8494,0.0,0.94,1.88,0.12,0.14,-0.01,3.0,3.0,3.0,3.0,0.6151,0.0157,0.0406,-0.7873,-0.81,3.25,2.0,0.09,0.02,-0.04,3.0,3.0,3.0,3.0
906729.0,0.5255,-0.0065,0.0469,-0.8495,0.25,0.69,2.44,0.45,0.5,-0.18,3.0,3.0,3.0,3.0,0.5251,0.0027,-0.0001,-0.0001,-1.56,0.44,2.56,0.45,0.12,0.01,3.0,3.0,3.0,3.0,0.5275,0.0188,0.0541,-0.0001,0.25,-0.06,-0.06,0.69,-0.05,0.08,3.0,3.0,3.0,2.0,0.526,0.0167,0.0486,-0.0001,0.25,1.31,2.69,0.71,0.45,-0.14,3.0,3.0,3.0,3.0,0.6162,0.0165,0.0417,-0.7863,-1.06,1.88,4.06,0.68,0.08,0.08,3.0,3.0,3.0,3.0
906779.0,0.5272,-0.006,0.0472,-0.8484,0.25,1.75,5.13,0.58,0.77,0.1,3.0,3.0,3.0,3.0,0.5264,0.0028,-0.0001,-0.0001,-2.0,1.19,4.75,0.46,0.05,-0.09,3.0,3.0,3.0,3.0,0.5266,0.0204,-0.0001,-0.0001,-3.88,0.81,-12.13,0.92,-0.19,-0.31,3.0,3.0,3.0,2.0,0.5275,0.0175,0.049,-0.0001,0.31,2.63,5.25,0.84,0.84,-0.14,3.0,3.0,3.0,3.0,0.6177,0.0172,0.043,-0.785,-1.31,1.5,6.13,0.31,-0.07,-0.25,3.0,3.0,3.0,3.0
906829.0,0.53,-0.0053,0.0474,-0.8467,-0.44,1.12,9.44,0.14,0.91,-0.22,3.0,3.0,3.0,3.0,0.5289,0.0026,-0.0001,-0.0001,-0.81,0.44,-0.06,0.07,-0.14,-0.04,3.0,3.0,3.0,3.0,0.53,0.0198,-0.0001,-0.0001,-5.13,-0.06,-0.06,0.82,-0.23,-0.11,3.0,3.0,3.0,2.0,0.5304,0.0181,0.0477,-0.0001,-1.25,1.31,-0.06,0.72,0.89,-0.01,3.0,3.0,3.0,3.0,0.6208,0.0173,0.0435,-0.7826,-1.25,0.0,11.63,0.57,-0.25,-0.27,3.0,3.0,3.0,3.0
906880.0,0.5346,-0.0045,0.0455,-0.8439,3.19,0.0,14.44,1.01,0.9,-0.06,3.0,3.0,3.0,3.0,0.5331,0.0026,-0.0001,-0.0001,-0.63,-0.63,13.81,1.06,0.08,-0.21,3.0,3.0,3.0,3.0,0.5342,0.0177,-0.0001,-0.0001,4.13,4.06,3.19,1.41,-0.14,-0.76,3.0,3.0,3.0,2.0,0.535,0.0192,0.0473,-0.0151,3.25,1.56,-0.06,1.19,0.61,0.67,3.0,3.0,3.0,3.0,0.6255,0.0175,0.0435,-0.7788,0.94,0.12,15.13,0.17,-0.58,-0.6,3.0,3.0,3.0,3.0
906930.0,0.5409,-0.0038,0.0431,-0.84,4.06,-4.38,17.19,1.32,0.55,0.0,3.0,3.0,3.0,3.0,0.5389,0.0026,-0.0001,-0.0001,4.19,-0.06,-0.06,1.15,0.15,-0.32,3.0,3.0,3.0,3.0,0.5404,0.0169,0.0541,-0.8395,7.19,-0.06,-0.06,1.33,-0.23,0.55,3.0,3.0,3.0,2.0,0.5411,0.02,-0.0001,-0.0001,2.81,-0.06,-0.06,1.25,0.2,-0.01,3.0,3.0,3.0,3.0,0.6307,0.0171,0.0411,-0.7747,3.31,-7.25,15.38,1.54,0.83,0.54,3.0,3.0,3.0,3.0
906980.0,0.5475,-0.0029,0.0406,-0.8358,9.0,1.56,15.31,-1.3,-0.36,-0.56,3.0,3.0,3.0,3.0,0.545,0.0028,-0.0001,-0.0001,3.44,0.25,16.06,-1.06,0.56,1.72,3.0,3.0,3.0,3.0,0.5438,0.02,0.0546,-0.8372,-0.63,9.75,17.06,-1.38,0.55,0.92,3.0,3.0,3.0,2.0,0.5468,0.0226,-0.0001,-0.0001,9.81,7.69,-0.06,-1.39,-0.09,0.72,3.0,3.0,3.0,3.0,0.6356,0.0182,0.0416,-0.7708,-0.69,10.63,15.31,0.75,0.29,0.27,3.0,3.0,3.0,3.0
907031.0,0.5521,0.0004,0.04,-0.8328,1.5,4.25,10.63,0.59,-0.08,-0.01,3.0,3.0,3.0,3.0,0.5497,0.0043,-0.0001,-0.0001,-2.0,5.19,11.44,0.28,-0.45,-0.39,3.0,3.0,3.0,3.0,0.5488,0.0215,-0.0001,-0.0001,-2.88,-1.31,27.62,0.64,-0.5,-1.17,3.0,3.0,3.0,2.0,0.5507,-0.0001,-0.0001,-0.0001,-0.37,1.56,-0.06,0.86,0.19,0.66,3.0,3.0,3.0,3.0,0.6392,0.0217,0.0432,-0.7675,2.81,1.44,11.0,-1.95,-1.01,-1.51,3.0,3.0,3.0,3.0
907080.0,0.5575,0.0007,0.0408,-0.8292,-2.31,-2.5,13.63,-0.01,1.03,-1.08,3.0,3.0,3.0,3.0,0.5536,0.0057,-0.0001,-0.0001,4.19,-0.06,-0.06,0.91,-0.1,-1.17,3.0,3.0,3.0,3.0,0.5527,0.0198,0.0532,-0.0001,-0.63,-4.44,-0.06,2.18,-0.79,-0.44,3.0,3.0,3.0,2.0,0.5554,-0.0001,-0.0001,-0.0001,0.31,-0.06,-0.06,1.79,0.63,-0.01,3.0,3.0,3.0,3.0,0.6435,0.0226,0.0426,-0.7639,-1.31,3.94,17.87,0.57,0.09,-0.61,3.0,3.0,3.0,3.0
907130.0,0.5637,0.0012,0.0381,-0.8251,7.19,-2.44,16.37,0.76,0.16,-2.36,3.0,3.0,3.0,3.0,0.5591,0.0054,-0.0001,-0.0001,1.69,-0.06,-0.06,1.25,-0.61,0.9,3.0,3.0,3.0,3.0,0.5574,0.0219,-0.0001,-0.0001,1.37,-0.06,-0.06,0.21,-0.66,1.36,3.0,3.0,3.0,2.0,0.5612,-0.0001,-0.0001,-0.0001,2.75,5.56,17.44,0.5,0.33,-1.6,3.0,3.0,3.0,3.0,0.6486,0.0237,0.0432,-0.7595,2.31,3.25,16.62,7.64,-2.57,6.32,3.0,3.0,3.0,3.0
907181.0,0.571,0.0059,0.0398,-0.8199,-0.69,16.12,20.37,1.25,0.04,4.14,3.0,3.0,3.0,3.0,0.5656,-0.0001,-0.0001,-0.0001,-1.0,14.81,20.81,1.19,0.18,-0.59,3.0,3.0,3.0,3.0,0.5653,-0.0001,-0.0001,-0.0001,-5.25,-0.06,-0.06,-0.4,0.35,-0.58,3.0,3.0,3.0,2.0,0.5678,0.0322,-0.0001,-0.0001,3.25,-0.06,-0.06,0.35,-0.01,-0.01,3.0,3.0,3.0,3.0,0.6548,0.0306,0.0475,-0.7537,0.69,19.5,19.87,-0.79,1.27,-0.66,3.0,3.0,3.0,3.0
907231.0,0.5778,0.0077,0.0428,-0.8151,-0.31,4.25,16.25,0.26,-2.51,9.82,3.0,3.0,3.0,3.0,0.572,-0.0001,-0.0001,-0.0001,-3.44,3.94,17.0,0.86,0.19,-2.03,3.0,3.0,3.0,3.0,0.5701,-0.0001,-0.0001,-0.0001,3.88,6.56,17.06,0.16,1.57,-3.06,3.0,3.0,3.0,2.0,0.5734,0.0335,-0.0001,-0.0001,24.81,0.81,-0.06,1.44,-0.01,-0.01,3.0,3.0,3.0,3.0,0.66,0.0314,0.0486,-0.7491,-1.63,-5.19,13.25,-0.48,0.3,-1.61,3.0,3.0,3.0,3.0
907281.0,0.5816,0.007,0.037,-0.8126,-5.31,-8.56,5.81,2.2,1.57,-1.22,3.0,3.0,3.0,3.0,0.5759,-0.0001,-0.0001,-0.0001,2.38,-12.88,-0.06,2.77,1.38,-2.3,3.0,3.0,3.0,3.0,0.5715,0.0211,-0.0001,-0.0001,-3.63,-4.06,-0.06,1.18,-0.13,-2.95,3.0,3.0,3.0,2.0,0.576,-0.0001,-0.0001,-0.0001,-14.56,-0.06,-0.06,2.14,-0.01,-0.01,3.0,3.0,3.0,3.0,0.6619,0.0273,0.0447,-0.7477,1.06,-15.69,3.56,2.02,0.71,-1.59,3.0,3.0,3.0,3.0
907331.0,0.5833,0.001,0.0368,-0.8115,-1.31,-9.19,1.06,2.86,-1.13,1.46,3.0,3.0,3.0,3.0,0.5773,0.0051,-0.0001,-0.0001,3.44,-12.44,-0.06,3.46,-0.01,-0.01,3.0,3.0,3.0,3.0,0.5728,0.0174,0.054,-0.0001,-7.94,-0.06,-0.06,0.14,1.97,6.5,3.0,3.0,3.0,2.0,0.5765,-0.0001,-0.0001,-0.0001,9.06,6.63,-0.06,1.52,-0.01,-0.01,3.0,3.0,3.0,3.0,0.6617,0.0234,0.0419,-0.7482,-0.81,-5.75,-8.75,4.49,0.49,1.06,3.0,3.0,3.0,3.0
907381.0,0.5816,0.005,0.0369,-0.8126,2.44,15.44,-7.81,-0.92,-3.53,14.72,3.0,3.0,3.0,3.0,0.5758,0.007,-0.0001,-0.0001,2.81,-0.06,-0.06,-0.34,1.51,0.46,3.0,3.0,3.0,3.0,0.5694,0.0226,-0.0001,-0.0001,-6.69,-0.06,-0.06,3.42,-4.11,2.59,3.0,3.0,3.0,2.0,0.5735,0.0327,-0.0001,-0.0001,14.88,-0.06,-0.06,1.79,-0.01,-0.01,3.0,3.0,3.0,3.0,0.6591,0.0274,0.0448,-0.7502,2.56,19.81,-7.25,2.97,-1.01,-0.01,3.0,3.0,3.0,3.0
