,sensor0,,,,,,,,,,,,,,sensor1,,,,,,,,,,,,,,sensor2,,,,,,,,,,,,,,sensor3,,,,,,,,,,,,,,sensor4
時刻(ms),相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag
2110594.0,0.4973,-0.0102,0.0542,-0.8658,0.19,0.0,-0.5,0.0,0.08,-0.04,3.0,3.0,3.0,3.0,-0.5424,0.0069,-0.0656,0.8376,0.0,-0.06,-0.31,0.02,-0.1,0.02,3.0,3.0,3.0,3.0,-0.0141,-0.0001,-0.0001,-0.0001,0.5,0.25,-0.06,0.08,0.01,-0.01,3.0,3.0,3.0,3.0,-0.5117,-0.0087,-0.0554,0.8574,0.44,0.12,-0.44,0.14,0.26,-0.02,3.0,3.0,3.0,3.0,-0.5711,0.0048,-0.0001,-0.0001,-0.19,1.06,-0.06,0.21,0.13,-0.03,3.0,3.0,3.0,3.0
2110644.0,0.4973,-0.0103,0.0541,-0.8658,0.12,0.19,0.37,0.13,0.11,0.01,3.0,3.0,3.0,3.0,-0.5424,0.0069,-0.0656,0.8376,-0.5,0.06,0.56,0.17,-0.06,0.05,3.0,3.0,3.0,3.0,-0.0141,-0.0001,-0.0001,-0.0001,-0.19,0.5,0.5,0.2,0.0,-0.01,3.0,3.0,3.0,3.0,-0.5117,-0.0087,-0.0553,0.8574,0.0,0.25,0.63,0.0,-0.09,0.0,3.0,3.0,3.0,3.0,-0.5708,0.0044,-0.0001,-0.0001,-0.5,0.69,0.69,-0.06,-0.14,-0.04,3.0,3.0,3.0,3.0
2110695.0,0.4974,-0.0103,0.054,-0.8658,-0.06,0.06,0.56,0.24,0.17,-0.04,3.0,3.0,3.0,3.0,-0.5426,0.007,-0.0656,0.8374,-0.31,-0.5,0.69,0.14,-0.01,-0.01,3.0,3.0,3.0,3.0,-0.0142,-0.0001,-0.0001,-0.0001,-0.25,0.19,0.56,0.45,-0.35,-0.3,3.0,3.0,3.0,3.0,-0.5117,-0.0086,-0.0553,0.8573,0.5,0.12,1.44,0.73,0.57,-0.21,3.0,3.0,3.0,3.0,-0.5717,0.0049,-0.0001,-0.0001,-1.19,-3.63,8.63,0.72,0.08,0.66,3.0,3.0,3.0,3.0
2110746.0,0.4979,-0.0103,0.054,-0.8655,0.69,0.12,0.69,0.12,-0.28,-0.18,3.0,3.0,3.0,3.0,-0.543,0.0068,-0.0655,0.8371,-1.44,0.19,0.25,-0.17,0.02,-0.01,3.0,3.0,3.0,3.0,-0.0146,-0.0001,-0.0001,-0.0001,-0.12,1.19,0.5,-0.3,-0.39,0.25,3.0,3.0,3.0,3.0,-0.0122,-0.0001,-0.0001,-0.0001,-0.12,0.37,-0.19,-0.04,-0.38,-0.15,3.0,3.0,3.0,3.0,-0.5717,0.0007,-0.0001,-0.0001,0.88,-0.06,-0.06,-1.12,0.31,-0.02,3.0,3.0,3.0,3.0
2110796.0,0.4979,-0.0103,0.054,-0.8655,0.06,0.12,-0.19,0.1,0.01,-0.01,3.0,3.0,3.0,3.0,-0.543,0.007,-0.0657,0.8371,0.75,0.0,-0.19,0.2,0.08,0.41,3.0,3.0,3.0,3.0,-0.0146,-0.0001,-0.0001,-0.0001,-0.31,0.31,-0.06,0.18,0.05,-0.1,3.0,3.0,3.0,3.0,-0.0122,-0.0001,-0.0001,-0.0001,-0.19,-0.12,-0.25,0.16,0.21,-0.15,3.0,3.0,3.0,3.0,-0.572,-0.0005,-0.0078,-0.0001,-0.5,4.75,2.81,0.0,-0.06,-0.12,3.0,3.0,3.0,3.0
2110844.0,0.4979,-0.0103,0.054,-0.8655,0.25,0.37,0.25,0.02,-0.1,-0.01,3.0,3.0,3.0,3.0,-0.543,0.007,-0.0657,0.8371,0.25,0.31,0.12,-0.01,0.1,-0.02,3.0,3.0,3.0,3.0,-0.499,-0.0015,-0.0605,0.8644,0.12,0.5,0.06,-0.09,0.12,0.04,3.0,3.0,3.0,3.0,-0.0122,-0.0001,-0.0001,-0.0001,0.19,0.31,-0.06,-0.14,-0.02,-0.12,3.0,3.0,3.0,3.0,-0.5709,-0.0029,-0.0403,0.82,-0.12,5.19,1.5,-1.09,0.18,-0.13,3.0,3.0,3.0,3.0
2110894.0,0.4978,-0.0103,0.054,-0.8655,0.0,0.31,-0.81,-0.01,-0.01,-0.01,3.0,3.0,3.0,3.0,-0.543,0.007,-0.0656,0.8372,-0.56,-0.06,-0.81,-0.01,-0.06,-0.04,3.0,3.0,3.0,3.0,-0.499,-0.0018,-0.0605,0.8645,-0.75,0.0,-0.06,-0.07,0.0,-0.01,3.0,3.0,3.0,3.0,-0.012,-0.0001,-0.0001,-0.0001,0.0,0.25,-0.06,-0.08,0.0,0.01,3.0,3.0,3.0,3.0,-0.5709,-0.0033,-0.0406,0.8201,-0.37,-0.88,-0.75,0.15,-0.04,0.06,3.0,3.0,3.0,3.0
2110944.0,0.4975,-0.0102,0.0541,-0.8657,-0.12,0.12,-0.69,-0.12,-0.09,-0.06,3.0,3.0,3.0,3.0,-0.5428,0.007,-0.0657,0.8373,-0.56,0.12,-0.5,-0.07,-0.13,0.06,3.0,3.0,3.0,3.0,-0.4987,-0.0017,-0.0607,0.8646,-0.06,0.37,-0.06,-0.16,-0.04,-0.1,3.0,3.0,3.0,3.0,-0.0118,-0.0001,-0.0001,-0.0001,0.12,0.06,-0.06,-0.11,-0.06,-0.02,3.0,3.0,3.0,3.0,-0.5707,-0.0033,-0.0406,0.8201,-0.25,0.69,-0.69,-0.32,0.0,-0.09,3.0,3.0,3.0,3.0
2110994.0,0.4973,-0.0102,0.0542,-0.8658,0.0,0.06,-0.56,-0.1,-0.06,-0.02,3.0,3.0,3.0,3.0,-0.5426,0.007,-0.0658,0.8374,0.06,0.12,-0.75,-0.12,-0.04,0.02,3.0,3.0,3.0,3.0,-0.4985,-0.0019,-0.0608,0.8647,-0.19,0.06,-0.06,-0.22,0.1,-0.01,3.0,3.0,3.0,3.0,-0.5115,-0.0093,-0.0556,0.8574,0.0,0.19,-0.06,-0.16,0.03,-0.08,3.0,3.0,3.0,3.0,-0.0074,-0.0001,-0.0001,-0.0001,-0.12,-0.69,-0.69,0.25,0.04,0.02,3.0,3.0,3.0,3.0
2111044.0,0.4971,-0.0101,0.0543,-0.8659,0.0,-0.25,-0.5,0.11,0.42,0.03,3.0,3.0,3.0,3.0,-0.5424,0.007,-0.0659,0.8375,-0.44,-0.06,-0.44,0.05,-0.46,0.02,3.0,3.0,3.0,3.0,-0.4984,-0.002,-0.0139,-0.0001,-0.25,0.06,-0.06,0.36,-0.01,-0.01,3.0,3.0,3.0,3.0,-0.5113,-0.0093,-0.0556,0.8575,0.44,-0.06,-0.06,0.64,0.89,0.55,3.0,3.0,3.0,3.0,-0.0073,-0.0001,-0.0001,-0.0001,-0.63,-2.19,2.94,-0.61,0.0,-0.11,3.0,3.0,3.0,3.0
2111094.0,0.4974,-0.0102,0.0544,-0.8657,-0.31,0.06,3.63,0.07,0.92,-0.06,3.0,3.0,3.0,3.0,-0.5428,0.007,-0.0658,0.8372,-0.31,-0.56,3.69,0.72,0.35,-0.22,3.0,3.0,3.0,3.0,-0.015,-0.0001,-0.0001,-0.0001,-0.25,1.06,3.81,-0.02,0.9,-0.01,3.0,3.0,3.0,3.0,-0.0122,-0.0001,-0.0001,-0.0001,-0.69,0.5,3.75,0.35,0.27,0.16,3.0,3.0,3.0,3.0,-0.5713,-0.0024,-0.0403,0.8198,-0.63,-8.0,0.56,-0.72,0.21,-0.27,3.0,3.0,3.0,3.0
2111144.0,0.499,-0.0103,0.0546,-0.8648,-0.75,-0.37,3.5,0.03,-0.25,0.01,3.0,3.0,3.0,3.0,-0.5442,0.0071,-0.0661,0.8364,-0.37,-0.75,3.63,0.13,0.61,-0.52,3.0,3.0,3.0,3.0,-0.5006,-0.0018,-0.0147,-0.0001,-1.44,1.06,3.25,-1.21,-0.01,-0.01,3.0,3.0,3.0,3.0,-0.0135,-0.0001,-0.0001,-0.0001,-0.94,0.5,3.56,-1.18,-0.55,0.38,3.0,3.0,3.0,2.0,-0.572,0.0004,-0.0001,-0.0001,-3.19,-10.31,-0.19,2.68,-1.63,1.37,3.0,3.0,3.0,3.0
2111195.0,0.4994,-0.0108,0.055,-0.8646,-0.25,0.75,-1.31,-0.73,-0.74,-0.15,3.0,3.0,3.0,3.0,-0.0135,-0.0001,-0.0001,-0.0001,-1.81,0.19,-1.06,-0.71,-1.3,-0.89,3.0,3.0,3.0,3.0,-0.5007,-0.0012,-0.0151,-0.0001,1.5,1.88,-0.06,-0.27,-0.93,-0.01,3.0,3.0,3.0,3.0,-0.0135,-0.0001,-0.0001,-0.0001,2.63,0.5,-0.06,-0.43,0.07,0.53,3.0,3.0,3.0,2.0,-0.5716,0.0005,-0.0001,-0.0001,0.0,5.38,-0.88,3.86,0.7,0.41,3.0,3.0,3.0,3.0
2111245.0,0.499,-0.0106,0.0543,-0.8648,-0.81,-0.63,-1.81,0.63,-0.19,-0.22,3.0,3.0,3.0,3.0,-0.0132,-0.0001,-0.0001,-0.0001,-2.19,-0.19,-2.0,0.86,0.23,0.25,3.0,3.0,3.0,3.0,-0.5002,-0.0017,-0.0151,-0.0001,-0.56,0.31,-0.06,0.6,0.24,0.03,3.0,3.0,3.0,3.0,-0.013,-0.0001,-0.0001,-0.0001,-0.37,1.06,-0.06,0.41,-0.54,-0.43,3.0,3.0,3.0,2.0,-0.5715,-0.0057,-0.0001,-0.0001,-0.75,27.0,-0.94,1.41,-1.79,0.1,3.0,3.0,3.0,3.0
2111295.0,0.498,-0.0107,0.0543,-0.8654,0.88,1.44,-3.19,0.03,0.38,-0.48,3.0,3.0,3.0,3.0,-0.5433,0.0077,-0.0678,0.8368,-1.19,1.44,-2.56,1.64,-0.82,-0.36,3.0,3.0,3.0,3.0,-0.499,-0.0022,-0.0621,0.8644,2.31,-0.06,-0.06,2.37,-1.67,0.63,3.0,3.0,3.0,3.0,-0.0119,-0.0001,-0.0001,-0.0001,0.75,-0.06,-0.06,3.34,-1.7,-3.55,3.0,3.0,3.0,2.0,-0.0073,-0.0001,-0.0001,-0.0001,5.31,33.56,-3.0,-2.99,-0.81,0.31,3.0,3.0,3.0,3.0
2111345.0,0.4976,-0.0098,0.0536,-0.8657,2.31,5.13,0.06,3.31,0.36,-0.31,3.0,3.0,3.0,3.0,-0.5428,0.0063,-0.0001,-0.0001,4.81,3.81,0.12,2.5,0.22,-0.19,3.0,3.0,3.0,3.0,-0.4988,-0.0052,-0.0001,-0.0001,2.31,0.81,-0.06,2.44,0.34,-0.01,3.0,3.0,3.0,3.0,-0.5117,-0.011,-0.0552,0.8573,0.19,4.19,-0.06,1.31,0.69,0.54,3.0,3.0,3.0,2.0,-0.0072,-0.0001,-0.0001,-0.0001,3.63,-3.31,-0.81,0.52,0.19,-0.14,3.0,3.0,3.0,3.0
