,sensor0,,,,,,,,,,,,,,sensor1,,,,,,,,,,,,,,sensor2,,,,,,,,,,,,,,sensor3,,,,,,,,,,,,,,sensor4
時刻(ms),相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag
2066443.0,-0.7345,0.0232,-0.0001,-0.0001,-0.12,0.0,0.75,0.55,-0.52,0.01,0.0,3.0,3.0,3.0,-0.939,0.0153,0.0112,0.3434,0.06,0.37,0.75,0.49,-0.01,-0.02,3.0,3.0,3.0,3.0,-0.9223,0.0178,0.0103,0.3859,-0.31,-0.19,0.25,0.16,-0.23,-0.05,3.0,3.0,3.0,3.0,-0.0067,-0.0001,-0.0001,-0.0001,-0.37,-0.06,0.56,0.16,-0.66,-0.04,0.0,3.0,3.0,3.0,-0.9171,-0.0056,-0.0001,-0.0001,1.88,18.44,-1.56,-1.24,-0.01,-0.09,3.0,3.0,3.0,3.0
2066493.0,-0.7345,0.0232,-0.0001,-0.0001,0.0,-0.06,-0.06,0.96,-0.28,0.5,0.0,3.0,3.0,3.0,-0.9398,0.0161,-0.0001,-0.0001,0.25,0.75,-0.5,0.52,-0.23,-0.18,3.0,3.0,3.0,3.0,-0.9224,0.0176,0.0102,0.3859,-0.06,0.0,-1.06,0.49,0.0,-0.09,3.0,3.0,3.0,3.0,-0.0066,-0.0001,-0.0001,-0.0001,0.37,-0.06,-0.06,0.58,-0.01,-0.01,0.0,3.0,3.0,3.0,-0.9172,-0.0074,-0.0001,-0.0001,0.06,4.13,3.13,0.28,0.14,0.1,3.0,3.0,3.0,3.0
2066542.0,-0.7342,0.0232,0.011,0.6785,-0.12,-0.31,-1.31,1.39,-0.25,-0.02,0.0,3.0,3.0,3.0,-0.9401,0.0165,-0.0001,-0.0001,0.5,-0.06,-0.06,0.89,-0.41,0.08,3.0,3.0,3.0,3.0,-0.9221,0.0176,0.0101,0.3863,-0.56,0.12,-1.5,0.98,0.15,-0.04,3.0,3.0,3.0,3.0,-0.0062,-0.0001,-0.0001,-0.0001,0.75,0.0,-0.06,1.22,0.28,-0.01,0.0,3.0,3.0,3.0,-0.9173,-0.0075,-0.0001,-0.0001,-0.12,2.75,0.06,0.77,0.02,-0.22,3.0,3.0,3.0,3.0
2066592.0,-0.7338,0.0231,0.011,0.679,0.0,0.44,-1.56,1.26,0.11,-0.01,0.0,3.0,3.0,3.0,-0.9404,0.0167,-0.0001,-0.0001,-0.63,-0.06,-1.69,1.31,-0.08,0.14,3.0,3.0,3.0,3.0,-0.0156,-0.0001,-0.0001,-0.0001,0.31,0.37,-1.37,1.3,-0.43,0.13,3.0,3.0,3.0,3.0,-0.0058,-0.0001,-0.0001,-0.0001,-0.63,0.06,-0.06,1.22,-0.01,-0.01,0.0,3.0,3.0,3.0,-0.9169,-0.0079,0.0154,-0.0001,0.31,1.5,-2.19,1.7,-0.2,-0.2,3.0,3.0,3.0,3.0
2066642.0,-0.7333,0.0232,0.0109,0.6793,-1.56,0.5,-0.63,1.12,-0.05,0.18,0.0,3.0,3.0,3.0,-0.9412,0.018,0.0162,-0.0001,1.0,1.37,-0.69,0.85,0.43,-0.43,3.0,3.0,3.0,3.0,-0.9217,0.0176,0.0101,0.3874,1.75,1.44,-0.81,0.88,0.31,-0.34,3.0,3.0,3.0,3.0,-0.0054,-0.0001,-0.0001,-0.0001,-1.63,0.5,-0.06,0.82,-0.01,-0.01,0.0,3.0,3.0,3.0,-0.9168,-0.0081,0.0147,-0.0001,-0.12,3.13,0.25,2.23,0.21,0.31,3.0,3.0,3.0,3.0
2066693.0,-0.7328,0.0246,0.0124,0.6799,-0.12,-0.31,-2.63,2.11,-0.01,-0.01,0.0,3.0,3.0,3.0,-0.0047,-0.0001,-0.0001,-0.0001,-2.88,0.19,-0.06,2.87,-0.95,1.23,3.0,3.0,3.0,3.0,-0.9214,0.0174,0.0099,0.3881,0.44,1.69,-2.69,2.3,-0.4,0.6,3.0,3.0,3.0,3.0,-0.0048,-0.0001,-0.0001,-0.0001,-1.31,-0.75,-3.13,2.53,-0.01,-0.01,0.0,3.0,3.0,3.0,-0.9166,-0.0091,0.0121,-0.0001,-0.81,3.25,-2.69,0.33,-0.96,-0.7,3.0,3.0,3.0,3.0
2066743.0,-0.7319,0.0247,0.0124,0.6808,3.94,-1.0,-3.0,2.35,-1.43,5.06,0.0,3.0,3.0,3.0,-0.0045,-0.0001,-0.0001,-0.0001,6.13,1.37,-0.06,1.74,-1.41,-1.25,3.0,3.0,3.0,3.0,-0.9209,0.0175,0.01,0.3893,-2.88,-0.63,-3.19,1.85,-0.31,-0.79,3.0,3.0,3.0,3.0,-0.6757,0.0123,0.0038,0.7371,3.81,0.94,-0.06,0.77,-0.01,-0.01,0.0,3.0,3.0,3.0,-0.9159,-0.0096,0.0115,-0.0001,-0.37,3.0,-5.56,1.51,-0.61,1.17,3.0,3.0,3.0,3.0
2066793.0,-0.7309,0.025,0.0121,0.6819,-2.44,2.44,-3.5,1.79,-0.75,-1.57,0.0,3.0,3.0,3.0,-0.0041,-0.0001,-0.0001,-0.0001,1.81,0.31,-0.06,1.26,-0.38,-0.6,3.0,3.0,3.0,3.0,-0.9203,0.0172,0.0101,0.3907,4.31,2.69,-3.88,0.92,-1.26,1.78,3.0,3.0,3.0,3.0,-0.6744,0.0126,0.0034,0.7382,0.19,0.88,-0.06,2.11,0.19,0.75,0.0,3.0,3.0,3.0,-0.9151,-0.0098,0.0109,-0.0001,1.12,0.69,-5.31,0.74,0.09,-1.47,3.0,3.0,3.0,3.0
2066843.0,-0.7294,0.0248,0.0119,0.6836,-4.63,3.75,-4.38,1.36,-0.7,-4.32,0.0,3.0,3.0,3.0,-0.9409,0.0184,0.0157,-0.0001,0.81,4.56,-0.06,-0.33,1.04,2.01,3.0,3.0,3.0,3.0,-0.9194,0.0173,0.0101,0.3928,1.0,2.19,-4.69,-0.05,0.3,1.91,3.0,3.0,3.0,3.0,-0.6728,0.0127,0.003,0.7397,-4.0,-1.25,-4.94,-0.74,-0.01,-0.01,0.0,3.0,3.0,3.0,-0.9144,-0.0095,0.0116,0.4045,1.25,-1.44,-3.94,1.8,-0.48,-1.72,3.0,3.0,3.0,3.0
2066893.0,-0.7277,0.0249,0.0112,0.6853,-1.31,2.13,-5.88,0.19,0.13,-0.01,0.0,3.0,3.0,3.0,-0.9399,0.0182,-0.0001,-0.0001,1.37,1.37,-0.06,0.1,1.44,1.21,3.0,3.0,3.0,3.0,-0.9185,0.0172,-0.0001,-0.0001,4.31,-0.94,-6.06,-0.07,0.32,-1.89,3.0,3.0,3.0,3.0,-0.0148,-0.0001,-0.0001,-0.0001,0.25,1.12,-0.06,-0.86,-0.01,-0.01,0.0,3.0,3.0,3.0,-0.006,-0.0001,-0.0001,-0.0001,-0.81,-3.0,-4.81,-1.39,1.13,-0.91,3.0,3.0,3.0,3.0
