,sensor0,,,,,,,,,,,,,,sensor1,,,,,,,,,,,,,,sensor2,,,,,,,,,,,,,,sensor3,,,,,,,,,,,,,,sensor4
時刻(ms),相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag
2173118.0,0.7568,-0.0001,-0.0001,-0.0001,0.19,0.0,-0.06,0.48,0.1,0.02,3.0,3.0,3.0,3.0,0.311,-0.0001,-0.0001,-0.0001,-0.12,-0.25,-0.44,0.53,-0.05,-0.03,0.0,3.0,3.0,3.0,0.8109,-0.0009,-0.0161,0.585,0.0,-0.37,-0.31,0.59,-0.09,-0.06,3.0,3.0,3.0,3.0,0.8989,-0.002,-0.0095,0.438,0.19,-0.06,-0.06,0.62,0.14,-0.01,2.0,3.0,3.0,3.0,0.7887,-0.0001,-0.0001,-0.0001,0.44,5.19,0.0,0.55,0.0,0.04,3.0,3.0,3.0,3.0
2173168.0,0.7558,-0.0001,-0.0001,-0.0001,-0.06,0.0,0.31,0.49,0.19,0.0,3.0,3.0,3.0,3.0,0.311,0.0148,-0.0131,0.9502,-0.25,0.25,0.06,0.39,-0.09,-0.01,0.0,3.0,3.0,3.0,0.8109,0.0002,-0.0184,0.5849,0.06,-0.12,0.37,0.49,-0.15,-0.07,3.0,3.0,3.0,3.0,0.8994,-0.0003,-0.0117,0.437,0.0,0.06,0.44,0.45,0.04,-0.01,2.0,3.0,3.0,3.0,0.7887,-0.0001,-0.0001,-0.0001,0.5,5.81,-0.94,1.18,0.06,-0.04,3.0,3.0,3.0,3.0
2173218.0,0.7558,-0.0001,-0.0001,-0.0001,0.12,-0.06,-0.06,0.59,0.02,0.01,3.0,3.0,3.0,3.0,0.311,0.0169,-0.0137,0.9501,-0.12,-0.63,-0.06,0.69,0.18,-0.05,0.0,3.0,3.0,3.0,0.811,0.0013,-0.0196,0.5848,-0.12,-0.44,-0.25,0.44,0.26,-0.01,3.0,3.0,3.0,3.0,0.8997,0.0005,-0.0133,0.4365,0.06,-0.06,-0.06,0.52,-0.01,-0.01,2.0,3.0,3.0,3.0,0.7888,0.0216,-0.0094,0.6141,1.19,13.38,-0.75,1.79,0.04,0.17,3.0,3.0,3.0,3.0
2173268.0,0.7556,-0.0001,-0.0001,-0.0001,0.12,0.25,-0.06,0.36,-0.19,0.05,3.0,3.0,3.0,3.0,0.3112,0.0176,-0.014,0.9501,-0.37,0.56,-0.31,0.78,-0.17,0.12,0.0,3.0,3.0,3.0,0.811,0.0015,-0.0199,0.5847,0.5,0.19,-0.06,1.03,-0.01,-0.01,3.0,3.0,3.0,3.0,0.8998,0.0011,-0.0146,-0.0001,2.38,-0.06,-0.06,0.81,0.1,1.18,3.0,3.0,3.0,3.0,0.7886,0.0178,-0.004,0.6146,-0.94,16.5,10.19,-0.38,-0.75,0.42,3.0,3.0,3.0,3.0
2173319.0,0.7554,0.0156,-0.0001,-0.0001,3.0,-0.06,-0.06,2.58,1.26,0.06,3.0,3.0,3.0,3.0,0.311,0.0176,-0.0137,0.9501,-0.88,-0.37,0.63,2.84,0.55,0.02,0.0,3.0,3.0,3.0,0.8104,0.0023,-0.0192,0.5856,1.25,-0.06,-0.06,3.14,0.31,-0.01,3.0,3.0,3.0,3.0,0.9,0.0015,-0.0148,-0.0001,0.44,-0.06,-0.06,2.49,-0.09,-0.31,3.0,3.0,3.0,3.0,0.7879,0.0153,-0.0005,0.6156,3.25,-3.38,-2.0,0.26,1.41,-0.63,3.0,3.0,3.0,3.0
2173369.0,0.7552,0.016,-0.0001,-0.0001,0.56,-0.06,-0.06,1.19,-0.51,-1.08,3.0,3.0,3.0,3.0,0.3106,0.0182,-0.0135,0.9503,-2.19,-3.81,0.75,0.65,1.65,-0.25,0.0,3.0,3.0,3.0,0.8101,0.0024,-0.0195,0.5859,1.06,-2.13,0.88,0.43,-0.01,-0.01,3.0,3.0,3.0,3.0,0.9006,0.0016,-0.0146,-0.0001,-1.44,-0.19,1.06,0.26,-0.01,-0.01,3.0,3.0,3.0,3.0,0.7877,0.0164,-0.0022,0.6159,0.06,-4.56,0.37,0.73,-1.02,-0.01,3.0,3.0,3.0,3.0
2173418.0,0.7552,0.0166,-0.0001,-0.0001,-1.37,2.5,-0.06,0.33,0.66,-0.41,3.0,3.0,3.0,3.0,0.3107,0.0184,-0.0138,0.9503,-2.63,-2.75,0.37,0.49,-0.34,0.88,0.0,3.0,3.0,3.0,0.81,0.0018,-0.0209,0.5861,-8.81,-5.0,2.38,2.09,-4.2,1.05,3.0,3.0,3.0,3.0,0.9008,0.002,-0.0146,-0.0001,-3.56,-2.13,2.19,0.81,0.11,-4.88,3.0,3.0,3.0,3.0,0.788,0.0181,-0.004,0.6154,-2.81,-7.44,4.63,0.73,-1.97,-1.47,3.0,3.0,3.0,3.0
2173468.0,0.7546,0.0172,-0.0001,-0.0001,0.69,-0.06,-0.06,-0.68,1.21,-2.05,3.0,3.0,3.0,3.0,0.3097,0.0189,-0.0139,0.9506,0.56,-2.0,2.0,1.53,0.91,-1.93,0.0,3.0,3.0,3.0,0.8094,0.0023,-0.0203,0.5869,-1.37,-1.75,2.13,1.47,0.99,-0.01,3.0,3.0,3.0,3.0,0.9011,0.0026,-0.0142,-0.0001,-1.12,-3.88,2.06,1.06,0.52,-4.52,3.0,3.0,3.0,3.0,0.7875,0.02,-0.0062,0.6159,-1.88,-7.5,0.94,-0.88,0.42,1.05,3.0,3.0,3.0,3.0
2173518.0,0.7538,0.0174,-0.0001,-0.0001,-1.88,-3.81,3.31,0.24,0.97,-0.52,3.0,3.0,3.0,3.0,0.3084,0.019,-0.0134,0.951,-9.19,-2.63,1.88,-0.47,-2.05,-1.2,0.0,3.0,3.0,3.0,0.8086,0.0019,-0.0201,0.588,-0.56,-0.06,2.06,-0.3,0.41,-0.01,3.0,3.0,3.0,3.0,0.9011,0.0025,-0.0139,-0.0001,3.13,-0.06,-0.06,-0.03,-1.3,-1.41,3.0,3.0,3.0,3.0,0.7866,0.0219,-0.0098,0.6171,0.25,-10.63,-0.56,-0.92,1.9,0.43,3.0,3.0,3.0,3.0
2173569.0,0.754,0.0172,-0.0001,-0.0001,-3.0,-1.5,4.25,0.27,0.74,-0.74,3.0,3.0,3.0,3.0,0.3071,0.0193,-0.0142,0.9514,3.06,-1.37,3.38,1.44,2.01,1.29,0.0,3.0,3.0,3.0,0.8077,0.0018,-0.0203,0.5892,1.31,1.63,3.63,0.35,0.57,-0.01,3.0,3.0,3.0,3.0,0.9005,0.0028,-0.0139,-0.0001,8.69,-0.06,-0.06,0.94,0.86,-1.66,3.0,3.0,3.0,3.0,0.7854,0.025,-0.0145,0.6183,2.13,-10.63,1.5,1.59,1.61,-0.22,3.0,3.0,3.0,3.0
