,sensor0,,,,,,,,,,,,,,sensor1,,,,,,,,,,,,,,sensor2,,,,,,,,,,,,,,sensor3,,,,,,,,,,,,,,sensor4
時刻(ms),相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag
2330213.0,-0.0151,-0.0001,-0.0001,-0.0001,0.06,-0.06,-0.06,-0.03,0.05,0.02,3.0,3.0,3.0,3.0,-0.9404,0.0201,0.0178,-0.0001,0.37,0.69,0.06,0.06,0.17,0.01,0.0,3.0,3.0,3.0,-0.9667,0.02,0.0161,0.2545,-0.19,-0.31,-0.12,0.48,0.24,-0.01,3.0,3.0,3.0,3.0,-0.0141,-0.0001,-0.0001,-0.0001,-0.56,-0.31,0.06,0.89,-0.84,-0.19,3.0,3.0,3.0,3.0,-0.9601,0.0024,0.0333,0.2776,0.44,-1.25,-5.69,4.71,0.87,-0.07,3.0,3.0,3.0,3.0
2330260.0,-0.0148,-0.0001,-0.0001,-0.0001,0.75,0.06,-0.06,0.36,0.21,-0.03,3.0,3.0,3.0,3.0,-0.9402,0.0202,0.0178,0.3395,0.37,-0.12,-1.94,0.48,0.3,0.08,0.0,3.0,3.0,3.0,-0.0135,-0.0001,-0.0001,-0.0001,0.44,0.31,-2.13,0.39,0.25,-0.12,3.0,3.0,3.0,3.0,-0.0138,-0.0001,-0.0001,-0.0001,0.12,0.31,-0.06,0.46,0.07,-0.01,3.0,3.0,3.0,3.0,-0.9602,0.0002,0.0259,0.278,1.0,14.81,-6.25,1.33,-0.11,-0.08,3.0,3.0,3.0,3.0
2330309.0,-0.0143,-0.0001,-0.0001,-0.0001,-0.12,0.06,-0.06,0.61,-0.01,-0.01,3.0,3.0,3.0,3.0,-0.9398,0.0206,0.0184,0.3406,-0.06,0.06,-3.13,0.55,-0.3,-0.06,0.0,3.0,3.0,3.0,-0.0132,-0.0001,-0.0001,-0.0001,-0.75,-0.63,-3.0,0.4,-0.18,-0.46,3.0,3.0,3.0,3.0,-0.0131,-0.0001,-0.0001,-0.0001,-0.06,-0.25,-3.19,0.84,-0.01,-0.01,3.0,3.0,3.0,3.0,-0.9601,-0.0026,0.0181,0.279,-0.5,20.56,2.44,-0.86,0.13,-0.57,3.0,3.0,3.0,3.0
2330358.0,-0.0134,-0.0001,-0.0001,-0.0001,-1.06,-0.94,-3.0,2.36,-0.01,-0.01,3.0,3.0,3.0,3.0,-0.9393,0.0215,0.0192,0.342,3.31,2.0,-3.31,2.11,0.88,-0.32,0.0,3.0,3.0,3.0,-0.0128,-0.0001,-0.0001,-0.0001,8.19,5.75,-0.06,2.06,-0.01,-0.01,3.0,3.0,3.0,3.0,-0.0122,-0.0001,-0.0001,-0.0001,4.0,-0.06,-0.06,2.22,-0.01,-0.01,3.0,3.0,3.0,3.0,-0.007,-0.0001,-0.0001,-0.0001,1.31,-1.88,-7.44,-0.92,1.16,-0.51,3.0,3.0,3.0,3.0
2330407.0,-0.8405,0.0286,0.021,0.5406,-2.69,-0.44,-4.06,0.41,0.85,0.08,3.0,3.0,3.0,3.0,-0.9385,0.0215,0.0196,0.3439,3.5,0.94,-4.06,0.19,0.31,0.01,0.0,3.0,3.0,3.0,-0.0123,-0.0001,-0.0001,-0.0001,0.94,0.75,-0.06,-0.23,0.71,-0.77,3.0,3.0,3.0,3.0,-0.8236,0.0157,0.0073,0.5669,2.13,1.81,-0.06,-0.04,-0.01,-0.59,3.0,3.0,3.0,3.0,-0.9594,-0.0026,0.0174,0.2817,0.88,-10.25,-6.63,-0.06,-0.17,-0.27,3.0,3.0,3.0,3.0
2330460.0,-0.8396,0.0284,0.0211,-0.0001,0.44,-0.06,-0.06,-0.37,0.28,0.08,3.0,3.0,3.0,3.0,-0.938,0.0215,0.0197,0.3455,-1.06,0.06,-2.81,-0.67,-0.34,-0.71,0.0,3.0,3.0,3.0,-0.0118,-0.0001,-0.0001,-0.0001,0.44,0.0,-0.06,-0.34,0.12,-0.6,3.0,3.0,3.0,3.0,-0.8228,0.0158,0.0073,0.5681,-0.56,0.25,-0.06,-0.51,0.16,-0.01,3.0,3.0,3.0,3.0,-0.9587,-0.0013,0.0217,0.2836,-1.75,-8.63,1.25,0.56,-1.13,0.51,3.0,3.0,3.0,3.0
2330510.0,-0.8391,0.0285,0.0212,-0.0001,-0.12,-0.56,-1.56,-0.61,-0.14,-0.14,3.0,3.0,3.0,3.0,-0.9377,0.0218,0.0199,0.3462,0.12,0.0,-1.63,-0.79,0.12,0.1,0.0,3.0,3.0,3.0,-0.9648,0.0198,0.0175,-0.0001,-0.25,-0.31,-1.63,-0.44,-0.13,-0.2,3.0,3.0,3.0,3.0,-0.8224,0.0159,0.0073,0.5687,-1.69,-0.56,-1.69,-0.76,-0.36,-0.47,3.0,3.0,3.0,3.0,-0.9584,-0.0008,0.0231,0.2843,-0.69,0.25,-1.5,1.07,-0.1,-0.21,3.0,3.0,3.0,3.0
2330560.0,-0.8386,0.0289,0.021,-0.0001,-1.5,0.06,-0.06,0.16,-0.01,-0.01,3.0,3.0,3.0,3.0,-0.9373,0.0218,0.0199,0.3472,-0.75,-0.31,-3.44,0.07,-0.02,0.28,0.0,3.0,3.0,3.0,-0.9645,0.0199,0.0177,-0.0001,0.5,-1.31,-4.0,-0.09,-0.08,0.79,3.0,3.0,3.0,3.0,-0.8217,0.0165,0.0072,0.5697,-2.44,-1.12,-4.0,-0.21,-0.23,0.27,3.0,3.0,3.0,3.0,-0.9581,-0.0012,0.0222,0.2856,0.31,7.94,-3.69,0.6,-0.01,-0.26,3.0,3.0,3.0,3.0
2330610.0,-0.8376,0.0291,0.0209,-0.0001,0.06,-0.06,-0.06,0.51,-0.01,-0.01,3.0,3.0,3.0,3.0,-0.9367,0.0219,0.02,0.3489,0.44,-1.37,-5.0,0.54,0.39,0.07,0.0,3.0,3.0,3.0,-0.964,0.0195,0.0178,-0.0001,1.31,1.12,-6.0,0.62,-0.11,0.13,3.0,3.0,3.0,3.0,-0.8205,0.0164,0.0074,-0.0001,2.69,-0.06,-0.06,0.23,-0.01,-0.01,3.0,3.0,3.0,3.0,-0.9578,-0.0023,0.0187,0.2868,-0.5,7.19,-1.31,-1.42,-0.22,0.41,3.0,3.0,3.0,3.0
2330660.0,-0.0078,-0.0001,-0.0001,-0.0001,0.31,0.75,-9.56,0.24,-0.01,-0.01,3.0,3.0,3.0,3.0,-0.9355,0.022,0.0198,0.3521,-2.19,0.94,-10.31,0.25,-0.12,0.32,0.0,3.0,3.0,3.0,-0.9631,0.0192,0.0177,0.2679,-2.25,-0.12,-10.75,-0.06,-0.34,0.16,3.0,3.0,3.0,3.0,-0.0059,-0.0001,-0.0001,-0.0001,-1.0,0.31,-10.63,0.08,-0.01,-0.01,3.0,3.0,3.0,3.0,-0.9558,-0.0023,0.0178,0.2934,-1.94,-2.38,-8.0,-1.86,-1.34,0.58,3.0,3.0,3.0,3.0
