,sensor0,,,,,,,,,,,,,,sensor1,,,,,,,,,,,,,,sensor2,,,,,,,,,,,,,,sensor3,,,,,,,,,,,,,,sensor4
時刻(ms),相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag
856184.0,-0.2646,0.0359,0.0012,0.9637,0.63,-0.06,-0.06,0.34,0.35,-0.01,0.0,3.0,3.0,3.0,-0.4725,0.0305,0.0032,0.8807,0.06,-0.06,5.94,0.33,0.12,-0.03,0.0,3.0,3.0,3.0,-0.3302,0.0307,-0.0001,-0.0001,0.37,0.12,6.13,0.55,0.14,0.03,0.0,3.0,3.0,3.0,-0.5499,0.0188,0.0058,0.835,0.94,0.0,6.38,0.4,0.5,-0.01,0.0,3.0,3.0,3.0,-0.9193,-0.0004,0.0241,0.3928,0.5,15.5,9.44,0.56,0.67,-0.52,3.0,3.0,3.0,3.0
856235.0,-0.2673,0.0377,0.003,0.9629,-0.94,-1.06,7.25,1.78,-0.01,-0.01,0.0,3.0,3.0,3.0,-0.4751,0.0306,0.0028,0.8794,-1.0,-0.69,8.06,1.86,0.09,0.0,0.0,3.0,3.0,3.0,-0.0049,-0.0001,-0.0001,-0.0001,5.81,3.44,-0.06,0.8,-0.01,-0.01,0.0,3.0,3.0,3.0,-0.5525,0.019,0.0059,0.8333,0.56,-0.63,8.19,2.76,0.26,0.13,0.0,3.0,3.0,3.0,-0.9213,-0.0023,0.019,0.3884,-0.5,9.31,10.31,-0.69,-0.8,-0.56,3.0,3.0,3.0,3.0
856283.0,-0.2703,0.0379,0.0032,0.962,1.75,-0.06,-0.06,2.8,0.72,0.15,0.0,3.0,3.0,3.0,-0.478,0.0311,0.0021,0.8777,1.31,-2.13,8.63,2.9,-0.08,-0.35,0.0,3.0,3.0,3.0,-0.3361,0.0313,-0.0001,-0.0001,2.0,-0.06,-0.06,2.9,0.41,-0.01,0.0,3.0,3.0,3.0,-0.5552,0.0193,0.006,0.8314,-0.63,-0.25,8.88,2.39,1.26,0.37,0.0,3.0,3.0,3.0,-0.9226,-0.0025,0.0189,0.3853,-0.56,-2.63,9.63,1.99,-0.75,0.13,3.0,3.0,3.0,3.0
856333.0,-0.2739,0.0381,0.0029,0.961,-1.31,-0.75,8.81,0.68,0.02,0.33,0.0,3.0,3.0,3.0,-0.4815,0.0316,0.0023,0.8759,-2.56,-2.06,10.81,0.96,-0.18,-0.5,0.0,3.0,3.0,3.0,-0.3398,0.0323,-0.0024,0.9399,-0.56,-2.75,10.44,-0.6,0.16,-2.11,0.0,3.0,3.0,3.0,-0.5586,0.0198,0.0056,0.8292,-1.69,0.0,11.0,1.15,0.14,-1.79,0.0,3.0,3.0,3.0,-0.9241,-0.0018,0.0197,0.3815,-3.25,-1.25,13.63,1.83,-0.45,-2.08,3.0,3.0,3.0,3.0
856379.0,-0.2782,0.0388,0.0027,0.9597,-2.44,2.13,10.19,0.73,0.45,-2.24,0.0,3.0,3.0,3.0,-0.4847,0.0319,0.0027,0.8741,-3.06,1.12,10.06,0.55,-1.79,-0.16,0.0,3.0,3.0,3.0,-0.344,0.033,-0.0024,0.9384,-2.56,-2.0,10.88,0.67,-1.41,-0.43,0.0,3.0,3.0,3.0,-0.5616,0.0203,0.0058,0.8271,-3.5,0.06,10.13,-0.09,-0.27,2.5,0.0,3.0,3.0,3.0,-0.9258,-0.0017,0.0205,0.3774,-0.12,0.06,12.13,0.8,-0.1,-1.98,3.0,3.0,3.0,3.0
856426.0,-0.2819,0.0389,0.0023,0.9586,-0.63,4.94,-0.06,1.4,1.14,-1.63,0.0,3.0,3.0,3.0,-0.4888,0.0315,0.0031,0.8718,-3.0,3.19,9.75,0.51,0.96,-1.93,0.0,3.0,3.0,3.0,-0.3475,0.0331,-0.0001,-0.0001,0.37,0.31,9.81,-0.31,0.93,0.67,0.0,3.0,3.0,3.0,-0.5654,0.0208,0.0052,0.8245,-7.5,1.06,9.38,-0.49,-2.76,0.28,0.0,3.0,3.0,3.0,-0.927,-0.0013,0.0214,0.3745,1.88,-2.63,7.63,-0.14,1.46,-1.51,3.0,3.0,3.0,3.0
856473.0,-0.2858,0.0389,0.0019,0.9575,-0.12,0.37,-0.06,-0.11,-1.61,1.89,0.0,3.0,3.0,3.0,-0.4923,0.032,0.0029,0.8698,-4.56,-5.63,8.69,0.43,2.19,0.95,0.0,3.0,3.0,3.0,-0.3514,0.0334,-0.0023,0.9357,2.25,-0.06,-0.06,-2.69,2.77,-0.01,0.0,3.0,3.0,3.0,-0.5687,0.0204,0.0059,0.8223,11.69,-2.56,8.63,1.01,0.48,-1.94,0.0,3.0,3.0,3.0,-0.9283,0.0001,0.0237,0.371,-0.81,-9.38,7.38,-0.38,-0.51,-0.7,3.0,3.0,3.0,3.0
856521.0,-0.2889,0.0393,0.0015,0.9565,-2.69,-4.81,8.0,0.86,-0.76,-5.16,0.0,3.0,3.0,3.0,-0.4947,0.0318,0.0024,-0.0001,0.69,-2.63,8.19,2.18,-2.07,2.31,0.0,3.0,3.0,3.0,-0.3545,0.0339,-0.0025,0.9344,-3.19,-4.19,8.19,2.87,-2.55,-0.3,0.0,3.0,3.0,3.0,-0.5709,0.0213,0.0052,0.8207,-0.25,-6.19,8.06,0.75,0.0,4.84,0.0,3.0,3.0,3.0,-0.9293,0.0021,0.0292,0.368,0.44,-16.12,8.63,-1.34,-0.27,0.51,3.0,3.0,3.0,3.0
856570.0,-0.2917,0.0393,0.0016,0.9557,-3.31,-2.69,8.44,1.56,0.0,-5.96,0.0,3.0,3.0,3.0,-0.0134,-0.0001,-0.0001,-0.0001,-0.25,0.44,-0.06,0.38,-1.92,0.13,0.0,3.0,3.0,3.0,-0.3578,0.0334,-0.0023,0.9332,-0.06,4.25,7.06,-1.02,-3.5,-0.16,0.0,3.0,3.0,3.0,-0.5738,0.0211,0.0053,0.8187,-0.88,1.12,7.56,-1.23,-1.81,2.3,0.0,3.0,3.0,3.0,-0.9285,0.0045,0.0349,0.3696,0.44,-12.0,2.5,3.06,1.65,0.01,3.0,3.0,3.0,3.0
856619.0,-0.0134,-0.0001,-0.0001,-0.0001,-5.38,-0.06,-0.06,-0.33,0.06,0.19,0.0,3.0,3.0,3.0,-0.5004,0.0318,0.003,0.8652,0.44,1.25,6.5,1.18,-0.01,-0.01,0.0,3.0,3.0,3.0,-0.3601,0.0336,-0.0001,-0.0001,-2.5,0.31,5.88,0.74,-1.55,-0.94,0.0,3.0,3.0,3.0,-0.0137,-0.0001,-0.0001,-0.0001,-3.13,-0.5,5.94,0.24,-0.01,1.31,0.0,3.0,3.0,3.0,-0.9279,0.0052,0.0356,0.3712,1.12,4.56,6.13,0.4,-1.11,1.5,3.0,3.0,3.0,3.0
856666.0,-0.2969,0.0393,0.002,0.9541,4.56,-0.06,-0.06,0.73,-0.01,-0.01,0.0,3.0,3.0,3.0,-0.5025,0.0323,0.0025,0.864,-0.81,-3.38,5.94,0.42,-1.46,-0.53,0.0,3.0,3.0,3.0,-0.3624,0.0335,-0.0001,-0.0001,3.38,3.38,5.81,0.88,-1.7,0.07,0.0,3.0,3.0,3.0,-0.5782,0.02,0.006,0.8156,10.56,4.63,6.13,-3.14,-2.02,6.05,0.0,3.0,3.0,3.0,-0.0051,-0.0001,-0.0001,-0.0001,-0.12,-6.06,6.75,-0.41,-0.88,-0.04,3.0,3.0,3.0,3.0
856714.0,-0.299,0.0389,0.0027,0.9535,-3.5,4.06,5.38,-0.14,4.14,-6.64,0.0,3.0,3.0,3.0,-0.5044,0.0323,0.0025,0.8629,-0.94,4.5,5.88,-1.3,0.18,-2.52,0.0,3.0,3.0,3.0,-0.3644,0.0334,-0.0034,0.9307,-1.31,-0.5,5.44,1.37,-0.01,-0.01,0.0,3.0,3.0,3.0,-0.58,0.0203,0.0051,0.8143,-13.63,-2.19,5.56,-1.03,-3.83,-7.11,0.0,3.0,3.0,3.0,-0.0059,-0.0001,-0.0001,-0.0001,-1.44,0.25,6.63,0.32,-0.65,0.23,3.0,3.0,3.0,3.0
856763.0,-0.3011,0.0385,0.0015,0.9528,-10.63,5.75,5.06,-4.63,-4.36,14.58,0.0,3.0,3.0,3.0,-0.006,-0.0001,-0.0001,-0.0001,-1.63,-4.0,5.75,0.19,-1.97,-0.75,0.0,3.0,3.0,3.0,-0.3665,0.0337,-0.0042,0.9298,-4.69,-5.88,5.38,2.34,-0.01,-0.01,0.0,3.0,3.0,3.0,-0.5815,0.0207,0.0042,0.8133,15.0,-4.06,6.44,1.8,2.03,2.21,0.0,3.0,3.0,3.0,-0.0069,-0.0001,-0.0001,-0.0001,-2.44,8.06,-0.06,0.91,-0.71,1.16,3.0,3.0,3.0,3.0
856812.0,-0.303,0.0389,0.0028,0.9522,8.0,-6.38,3.75,2.44,0.78,-6.17,0.0,3.0,3.0,3.0,-0.0078,-0.0001,-0.0001,-0.0001,-2.13,-4.0,3.56,1.01,-0.69,1.81,0.0,3.0,3.0,3.0,-0.3683,0.0323,-0.0042,0.9291,6.13,8.0,3.56,0.61,2.63,0.49,0.0,3.0,3.0,3.0,-0.0051,-0.0001,-0.0001,-0.0001,24.75,0.19,3.94,0.0,-0.01,-0.01,0.0,3.0,3.0,3.0,-0.0074,-0.0001,-0.0001,-0.0001,0.12,-0.06,-0.06,-2.28,-0.01,-0.01,3.0,3.0,3.0,3.0
856862.0,-0.3038,0.0386,0.0033,0.952,-8.25,5.5,0.69,0.69,-0.83,9.32,0.0,3.0,3.0,3.0,-0.5087,0.0322,0.0018,0.8604,-0.88,1.63,1.31,-4.56,-4.35,0.0,0.0,3.0,3.0,3.0,-0.3691,0.0322,-0.0045,0.9288,-2.88,-4.75,0.63,1.24,-0.03,3.88,0.0,3.0,3.0,3.0,-0.0059,-0.0001,-0.0001,-0.0001,-10.44,0.31,0.69,1.66,-1.54,-6.01,0.0,3.0,3.0,3.0,-0.0078,-0.0001,-0.0001,-0.0001,0.94,6.88,0.12,2.97,1.09,-0.64,3.0,3.0,3.0,3.0
