,sensor0,,,,,,,,,,,,,,sensor1,,,,,,,,,,,,,,sensor2,,,,,,,,,,,,,,sensor3,,,,,,,,,,,,,,sensor4
時刻(ms),相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag
1110745.0,0.5835,-0.0327,-0.0099,-0.8114,-0.19,-0.12,-0.06,-0.1,-0.01,-0.04,0.0,3.0,3.0,3.0,0.9765,-0.0001,-0.0001,-0.0001,-0.12,0.25,-0.19,-0.1,0.06,0.06,3.0,3.0,3.0,3.0,0.93,-0.0223,-0.0167,-0.3665,-0.06,0.0,-0.12,-0.09,0.06,-0.01,3.0,3.0,3.0,3.0,0.8524,-0.0142,-0.0001,-0.0001,-0.19,0.06,0.0,-0.11,0.06,0.0,3.0,3.0,3.0,3.0,0.9265,-0.0001,-0.0001,-0.0001,0.06,0.69,-0.06,0.01,0.0,-0.04,3.0,3.0,3.0,3.0
1110795.0,0.5835,-0.0327,-0.0099,-0.8114,0.19,-0.06,0.19,-0.12,0.03,0.02,0.0,3.0,3.0,3.0,0.9765,-0.0001,-0.0001,-0.0001,0.06,0.19,0.25,-0.13,-0.09,0.01,3.0,3.0,3.0,3.0,0.93,-0.0223,-0.0167,-0.3665,-0.12,0.37,0.06,-0.03,-0.1,-0.02,3.0,3.0,3.0,3.0,0.8524,-0.0142,-0.0001,-0.0001,0.06,0.12,0.12,-0.03,0.08,0.06,3.0,3.0,3.0,3.0,0.9266,-0.0001,-0.0001,-0.0001,-0.06,0.94,0.44,-0.29,-0.12,-0.04,3.0,3.0,3.0,3.0
1110845.0,0.5835,-0.0327,-0.0099,-0.8114,-0.25,-0.44,0.56,0.42,-0.03,-0.02,0.0,3.0,3.0,3.0,0.9765,-0.0001,-0.0001,-0.0001,-0.19,-2.13,0.31,1.63,0.02,-0.07,3.0,3.0,3.0,3.0,0.93,-0.0223,-0.0167,-0.3665,-0.25,-0.75,0.37,1.53,-0.15,0.05,3.0,3.0,3.0,3.0,0.8524,-0.0142,-0.0001,-0.0001,-0.56,-1.0,0.37,1.34,-0.01,-0.01,3.0,3.0,3.0,3.0,0.9263,-0.0001,-0.0001,-0.0001,0.25,-0.06,-0.06,6.16,0.56,0.32,3.0,3.0,3.0,3.0
1110895.0,0.5835,-0.0001,-0.0001,-0.0001,0.5,-0.12,-0.75,0.05,0.17,0.2,0.0,3.0,3.0,3.0,0.9764,-0.0001,-0.0001,-0.0001,0.56,-0.12,-0.5,-0.03,-0.03,-0.08,3.0,3.0,3.0,3.0,0.93,-0.022,-0.0166,-0.3665,0.44,0.69,-0.81,0.0,0.19,-0.01,3.0,3.0,3.0,3.0,0.8523,-0.014,-0.0001,-0.0001,0.81,0.0,-0.06,-0.02,0.25,0.52,3.0,3.0,3.0,3.0,0.9288,0.0005,-0.0001,-0.0001,2.06,20.81,-0.06,-0.95,0.51,-0.2,3.0,3.0,3.0,3.0
1110945.0,0.5833,-0.0326,-0.0099,-0.8116,1.06,-0.25,-0.94,0.34,-0.55,-0.14,0.0,3.0,3.0,3.0,0.9764,-0.0001,-0.0001,-0.0001,0.44,-0.06,-0.75,0.06,0.03,-0.05,3.0,3.0,3.0,3.0,0.9299,-0.0221,-0.0165,-0.3669,0.81,0.37,-1.06,-0.1,0.17,-0.48,3.0,3.0,3.0,3.0,0.8521,-0.014,-0.0001,-0.0001,2.19,0.37,-0.06,0.25,0.53,0.66,3.0,3.0,3.0,3.0,0.9294,0.0032,-0.0001,-0.0001,-0.88,12.0,6.25,-1.23,-0.06,-0.21,3.0,3.0,3.0,3.0
1110994.0,0.583,-0.0326,-0.01,-0.8117,-0.37,-0.06,-1.5,0.35,0.08,-0.27,0.0,3.0,3.0,3.0,0.9763,-0.0001,-0.0001,-0.0001,-1.25,-0.19,-1.56,0.07,-0.01,-0.44,3.0,3.0,3.0,3.0,0.9297,-0.0215,-0.0164,-0.3674,1.88,2.69,-1.69,-0.12,0.43,-0.17,3.0,3.0,3.0,3.0,0.8519,-0.0141,-0.0001,-0.0001,-0.75,-0.06,-1.75,0.33,-0.01,-0.01,3.0,3.0,3.0,3.0,0.9294,0.0043,-0.0135,-0.0001,0.06,4.44,-0.06,0.32,0.84,-0.06,3.0,3.0,3.0,3.0
1111045.0,0.5823,-0.0327,-0.0101,-0.8123,0.19,-0.75,-3.63,0.87,-0.41,-0.36,0.0,3.0,3.0,3.0,0.9761,-0.0001,-0.0001,-0.0001,-0.75,0.31,-0.06,0.78,-0.24,0.08,3.0,3.0,3.0,3.0,0.9292,-0.0213,-0.0161,-0.3686,1.81,1.5,-4.25,0.6,-0.41,0.27,3.0,3.0,3.0,3.0,0.8513,-0.014,-0.0001,-0.0001,0.06,-0.06,-0.06,0.73,-0.01,-0.01,3.0,3.0,3.0,3.0,0.9289,0.0054,-0.0109,-0.3702,-0.06,10.19,-0.06,1.0,-0.56,0.28,3.0,3.0,3.0,3.0
1111095.0,0.5804,-0.0328,-0.0101,-0.8136,0.81,0.06,-9.88,2.61,-0.84,0.0,0.0,3.0,3.0,3.0,0.9755,-0.0001,-0.0001,-0.0001,-2.0,1.31,-8.63,2.81,-0.08,-0.77,3.0,3.0,3.0,3.0,0.928,-0.0201,-0.0162,-0.3718,0.69,-0.37,-11.13,1.83,0.19,-0.15,3.0,3.0,3.0,3.0,0.8497,-0.0141,-0.0001,-0.0001,0.75,-0.06,-0.06,1.85,-0.01,-0.01,3.0,3.0,3.0,3.0,0.9277,0.0067,-0.008,-0.0139,0.25,2.88,-10.75,0.79,0.27,-0.44,3.0,3.0,3.0,3.0
1111145.0,0.576,-0.0331,-0.0102,-0.8167,-0.44,-0.94,-16.19,2.18,-0.69,-0.98,0.0,3.0,3.0,3.0,0.9742,-0.0001,-0.0001,-0.0001,-2.5,-1.25,-15.63,2.3,-0.27,0.03,3.0,3.0,3.0,3.0,0.9256,-0.0204,-0.0168,-0.3776,-0.88,-1.94,-16.94,1.55,0.17,-0.26,3.0,3.0,3.0,3.0,0.8464,-0.0143,-0.0001,-0.0001,0.56,-0.06,-0.06,1.66,-1.47,-0.56,3.0,3.0,3.0,3.0,0.9254,0.006,-0.0086,-0.004,0.31,-0.06,-0.06,1.08,-0.38,0.43,3.0,3.0,3.0,3.0
1111195.0,0.5699,-0.0331,-0.0101,-0.821,-0.69,-1.94,-18.87,1.78,0.15,-3.39,0.0,3.0,3.0,3.0,0.9725,-0.0001,-0.0001,-0.0001,3.81,-0.06,-0.06,1.62,0.0,-0.85,3.0,3.0,3.0,3.0,0.9225,-0.0209,-0.0174,-0.3849,-3.81,-2.5,-19.75,0.86,-0.66,0.67,3.0,3.0,3.0,3.0,0.8423,-0.0142,-0.0001,-0.0001,2.25,-0.06,-0.06,0.68,-0.01,-0.01,3.0,3.0,3.0,3.0,0.9223,0.0051,-0.0117,-0.3862,1.31,-10.31,-19.44,1.75,1.07,-0.46,3.0,3.0,3.0,3.0
1111245.0,0.563,-0.0338,-0.0096,-0.8257,13.56,5.69,-21.44,-2.68,4.65,12.79,0.0,3.0,3.0,3.0,0.9705,-0.0001,-0.0001,-0.0001,3.25,3.81,-0.06,0.99,5.32,-0.08,3.0,3.0,3.0,3.0,0.9193,-0.0213,-0.0178,-0.3928,1.12,-0.63,-20.75,0.71,1.83,0.29,3.0,3.0,3.0,3.0,0.8376,-0.0143,-0.0001,-0.0001,7.44,6.0,-0.06,0.75,-0.01,-0.01,3.0,3.0,3.0,3.0,0.9191,0.0038,-0.0146,-0.0001,0.0,-0.06,-0.06,-0.67,0.62,-1.2,3.0,3.0,3.0,3.0
1111296.0,0.5557,-0.0331,-0.0107,-0.8306,-10.44,-1.56,-18.94,-0.14,1.18,-11.45,0.0,3.0,3.0,3.0,0.9684,-0.0001,-0.0001,-0.0001,2.13,-0.06,-0.06,-1.86,-2.32,-0.01,3.0,3.0,3.0,3.0,0.9158,-0.0223,-0.0186,-0.4006,-2.69,-8.25,-18.87,2.81,-1.68,-0.5,3.0,3.0,3.0,3.0,0.8327,-0.0147,-0.0001,-0.0001,-12.5,-0.06,-0.06,1.3,-0.01,-0.01,3.0,3.0,3.0,3.0,0.9155,0.0029,-0.0001,-0.0001,0.81,-11.5,-19.75,-2.61,0.57,2.05,3.0,3.0,3.0,3.0
1111346.0,0.5492,-0.0338,-0.0091,-0.835,-2.38,2.81,-17.5,2.03,0.68,2.06,0.0,3.0,3.0,3.0,0.9664,-0.0001,-0.0001,-0.0001,-12.0,3.25,-0.06,0.68,-0.01,-0.01,3.0,3.0,3.0,3.0,0.9127,-0.022,-0.0178,-0.4076,0.37,10.75,-17.25,-1.89,0.53,-1.2,3.0,3.0,3.0,3.0,0.8284,-0.0001,-0.0001,-0.0001,-5.19,-0.06,-0.06,1.9,0.78,3.78,3.0,3.0,3.0,3.0,0.9122,0.0002,-0.0001,-0.0001,-2.31,-16.06,-17.31,0.68,-0.14,-1.03,3.0,3.0,3.0,3.0
1111396.0,0.5432,-0.0342,-0.0091,-0.8389,10.81,-0.37,-15.56,1.12,1.52,-5.0,0.0,3.0,3.0,3.0,0.9645,-0.0001,-0.0001,-0.0001,0.0,-8.44,-16.37,2.78,-0.01,-0.01,3.0,3.0,3.0,3.0,0.9099,-0.0222,-0.0175,-0.4139,-0.94,5.94,-15.19,-0.91,0.19,0.2,3.0,3.0,3.0,3.0,0.8244,-0.0142,-0.0001,-0.0001,8.06,6.0,-15.31,-1.62,5.09,10.48,3.0,3.0,3.0,3.0,0.9094,-0.0001,-0.0001,-0.0001,-1.37,-4.69,-0.06,1.81,-0.96,-0.95,3.0,3.0,3.0,3.0
