,sensor0,,,,,,,,,,,,,,sensor1,,,,,,,,,,,,,,sensor2,,,,,,,,,,,,,,sensor3,,,,,,,,,,,,,,sensor4
時刻(ms),相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag
6504867.0,-0.0121,-0.0001,-0.0001,-0.0001,1.31,-0.63,-0.56,0.8,0.46,-1.09,3.0,3.0,3.0,3.0,0.018,0.0071,-0.0094,0.9998,-0.69,-1.06,0.0,0.5,-0.68,-0.31,0.0,3.0,3.0,3.0,0.1584,0.0026,-0.0132,-0.0001,-0.19,-0.25,0.25,1.12,-0.62,-0.29,0.0,3.0,3.0,3.0,-0.0176,-0.0033,-0.0035,0.9998,0.06,0.88,1.5,1.49,0.63,0.33,0.0,3.0,3.0,3.0,0.173,-0.0126,-0.013,-0.9847,0.88,14.44,6.25,1.65,-0.57,-0.43,3.0,3.0,3.0,3.0
6504918.0,-0.0128,-0.0001,-0.0001,-0.0001,-1.94,-0.12,4.56,2.28,0.49,0.44,3.0,3.0,3.0,3.0,0.017,0.007,-0.0095,0.9998,-0.06,0.31,4.38,1.92,0.48,1.0,0.0,3.0,3.0,3.0,0.1571,0.0026,-0.0126,-0.0001,1.81,-0.06,-0.06,2.01,-0.44,0.56,0.0,3.0,3.0,3.0,-0.0189,-0.0031,-0.0035,0.9998,-1.81,-1.75,4.38,2.37,0.72,-1.89,0.0,3.0,3.0,3.0,0.175,-0.0074,-0.0127,-0.9844,1.44,7.19,4.56,-0.42,0.34,-0.28,3.0,3.0,3.0,3.0
6504968.0,-0.0147,-0.0001,-0.0001,-0.0001,0.81,-1.31,6.13,2.13,0.23,0.29,3.0,3.0,3.0,3.0,0.0148,0.0071,-0.0101,0.9998,-2.69,-3.06,6.19,2.06,0.97,0.26,0.0,3.0,3.0,3.0,0.1549,0.0026,-0.0128,-0.0001,0.94,-0.06,-0.06,1.84,0.18,-2.59,0.0,3.0,3.0,3.0,-0.0056,-0.0001,-0.0001,-0.0001,-1.75,-3.06,5.25,1.67,0.14,-2.14,0.0,3.0,3.0,3.0,0.1772,-0.007,-0.0123,-0.9841,-0.75,-2.13,4.13,0.53,-0.57,2.62,3.0,3.0,3.0,3.0
6505018.0,-0.1577,0.0182,-0.0001,-0.0001,0.25,1.5,6.63,0.69,-0.31,1.23,3.0,3.0,3.0,3.0,0.0125,0.0076,-0.0096,0.9999,-0.81,-1.19,6.69,0.87,-2.08,0.94,0.0,3.0,3.0,3.0,0.1522,0.0032,-0.0134,-0.0001,-2.56,-3.88,8.63,1.16,0.57,1.4,0.0,3.0,3.0,3.0,-0.0238,-0.0028,-0.0037,0.9997,-1.75,-1.37,9.0,1.28,1.63,0.72,0.0,3.0,3.0,3.0,0.1815,-0.0079,-0.0125,-0.9833,-1.94,1.88,7.19,-0.21,-1.02,4.93,3.0,3.0,3.0,3.0
6505068.0,-0.0046,-0.0001,-0.0001,-0.0001,-4.19,-2.19,6.38,0.48,1.3,-3.13,3.0,3.0,3.0,3.0,0.0092,-0.0001,-0.0001,-0.0001,-0.88,-4.06,-0.06,1.04,-0.01,-0.01,0.0,3.0,3.0,3.0,0.1491,0.0034,-0.0132,-0.0001,-4.75,-0.06,-0.06,0.74,-2.18,-0.01,0.0,3.0,3.0,3.0,-0.027,-0.0025,-0.0031,0.9996,11.94,4.13,8.13,-3.44,-0.67,11.45,0.0,3.0,3.0,3.0,0.1866,-0.0098,-0.0134,-0.9823,0.19,-4.94,7.44,-0.67,0.08,2.3,3.0,3.0,3.0,3.0
6505118.0,-0.0078,-0.0001,-0.0001,-0.0001,-1.5,-1.06,6.5,0.34,-0.16,6.03,3.0,3.0,3.0,3.0,0.006,-0.0001,-0.0001,-0.0001,-4.56,-0.06,-0.06,0.68,0.67,0.7,0.0,3.0,3.0,3.0,0.1459,0.0027,-0.0126,-0.0001,4.0,-0.06,-0.06,-2.56,-0.01,-0.01,0.0,3.0,3.0,3.0,-0.0145,-0.0001,-0.0001,-0.0001,9.69,5.69,7.19,2.31,1.08,1.44,0.0,3.0,3.0,3.0,0.191,-0.0144,-0.0142,-0.9814,0.56,-12.38,7.25,-0.68,-0.25,-1.31,3.0,3.0,3.0,3.0
6505168.0,-0.1668,0.0187,-0.0001,-0.0001,-4.06,-1.63,7.13,-2.35,2.59,11.34,3.0,3.0,3.0,3.0,0.0032,-0.0001,-0.0001,-0.0001,-0.37,5.19,6.38,-1.07,-0.01,-0.01,0.0,3.0,3.0,3.0,0.1432,0.0031,-0.0126,-0.0001,2.94,1.44,5.13,-5.69,6.19,3.48,0.0,3.0,3.0,3.0,-0.033,-0.0039,-0.0005,0.9995,-6.44,-16.94,5.13,-1.3,-1.38,-8.65,0.0,3.0,3.0,3.0,0.1943,-0.0206,-0.0159,-0.9806,4.19,-10.63,-0.88,-2.94,3.28,2.98,3.0,3.0,3.0,3.0
6505219.0,-0.0134,-0.0001,-0.0001,-0.0001,14.38,-2.31,6.25,-0.31,1.96,1.69,3.0,3.0,3.0,3.0,0.0003,-0.0001,-0.0001,-0.0001,11.44,4.81,-0.06,-0.4,4.34,0.76,0.0,3.0,3.0,3.0,0.1403,0.003,-0.0124,-0.0001,4.75,-0.06,-0.06,-0.97,0.9,1.38,0.0,3.0,3.0,3.0,-0.0047,-0.0001,-0.0001,-0.0001,-2.44,0.69,5.19,3.52,3.85,-0.89,0.0,3.0,3.0,3.0,0.1969,-0.0206,-0.0162,-0.9801,3.25,9.94,4.06,-0.62,0.97,-3.12,3.0,3.0,3.0,3.0
6505269.0,-0.1722,0.0169,-0.0001,-0.0001,-1.69,-1.5,6.19,-0.11,0.39,-3.8,3.0,3.0,3.0,3.0,-0.0024,0.0085,-0.0001,-0.0001,2.75,-0.06,-0.06,1.21,0.94,-0.01,0.0,3.0,3.0,3.0,0.1375,0.0034,-0.0122,-0.0001,-3.0,-4.13,-0.06,0.09,0.32,-1.69,0.0,3.0,3.0,3.0,-0.0074,-0.0001,-0.0001,-0.0001,-5.44,-2.5,6.31,-0.76,0.2,0.14,0.0,3.0,3.0,3.0,0.1997,-0.0177,-0.0156,-0.9796,-1.0,2.38,7.75,-2.72,0.06,3.2,3.0,3.0,3.0,3.0
6505319.0,-0.1747,0.0168,-0.0001,-0.0001,0.44,-3.25,5.63,-0.05,0.3,-2.98,3.0,3.0,3.0,3.0,-0.0048,-0.0001,-0.0001,-0.0001,-4.25,-0.06,-0.06,-0.2,-2.7,-0.66,0.0,3.0,3.0,3.0,0.1351,0.0034,-0.0132,-0.0001,-5.25,-0.06,-0.06,0.42,-0.01,-0.01,0.0,3.0,3.0,3.0,-0.041,-0.003,-0.001,0.9991,-2.56,2.81,6.44,-1.54,-1.03,1.4,0.0,3.0,3.0,3.0,0.2018,-0.0198,-0.0157,-0.9791,-3.19,-5.69,6.63,-1.6,-0.44,2.36,3.0,3.0,3.0,3.0
