,sensor0,,,,,,,,,,,,,,sensor1,,,,,,,,,,,,,,sensor2,,,,,,,,,,,,,,sensor3,,,,,,,,,,,,,,sensor4
時刻(ms),相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag
6759316.0,-0.2183,0.0243,-0.0013,0.9756,-2.63,-0.37,2.44,1.07,-0.01,-0.01,3.0,3.0,3.0,3.0,-0.2368,0.0083,-0.0001,-0.0001,-1.12,-0.94,2.31,1.36,0.83,-0.07,3.0,3.0,3.0,3.0,-0.0063,-0.0001,-0.0001,-0.0001,-0.25,0.25,2.63,1.61,-0.01,-0.01,0.0,3.0,3.0,3.0,-0.1428,-0.0059,-0.0026,0.9897,0.25,0.63,2.69,0.99,0.04,-0.25,0.0,3.0,3.0,3.0,0.2724,-0.0001,-0.0001,-0.0001,-1.44,-0.5,5.06,0.99,-0.4,-1.27,3.0,3.0,3.0,3.0
6759366.0,-0.2194,0.0245,-0.0009,0.9753,2.63,-0.63,2.56,1.22,0.45,-2.11,3.0,3.0,3.0,3.0,-0.238,0.0083,-0.0001,-0.0001,0.06,1.37,2.63,0.82,-0.84,-1.6,3.0,3.0,3.0,3.0,-0.0075,-0.0001,-0.0001,-0.0001,0.37,-0.06,-0.06,1.18,-0.01,-0.01,0.0,3.0,3.0,3.0,-0.144,-0.0061,-0.0025,0.9896,-2.69,1.88,3.44,1.23,-0.13,-0.09,0.0,3.0,3.0,3.0,0.2732,-0.0001,-0.0001,-0.0001,1.06,0.94,0.69,0.55,-0.26,-0.76,3.0,3.0,3.0,3.0
6759415.0,-0.2211,0.0242,-0.0013,0.975,1.37,-0.44,5.0,0.75,0.68,-0.01,3.0,3.0,3.0,3.0,-0.0054,-0.0001,-0.0001,-0.0001,-2.25,-1.5,4.81,1.06,-0.01,-0.01,3.0,3.0,3.0,3.0,-0.1657,-0.0022,-0.0114,0.9861,0.88,-0.06,-0.06,1.16,0.7,-0.01,0.0,3.0,3.0,3.0,-0.1461,-0.006,-0.0022,0.9893,-0.31,-2.31,4.75,1.02,-0.33,0.14,0.0,3.0,3.0,3.0,0.2751,-0.0001,-0.0001,-0.0001,2.38,5.63,1.69,0.37,1.14,0.28,3.0,3.0,3.0,3.0
6759465.0,-0.2233,0.024,-0.0015,0.9745,1.5,-2.81,5.5,1.37,-0.03,-2.54,3.0,3.0,3.0,3.0,-0.0076,-0.0001,-0.0001,-0.0001,1.12,-0.06,-0.06,2.92,0.89,-0.01,3.0,3.0,3.0,3.0,-0.1679,-0.0023,-0.0117,0.9857,-4.31,-0.06,-0.06,1.45,-0.01,-0.01,0.0,3.0,3.0,3.0,-0.1483,-0.0064,-0.0019,0.989,-0.12,3.81,4.81,0.23,1.23,3.73,0.0,3.0,3.0,3.0,0.2773,-0.0001,-0.0001,-0.0001,1.0,-0.06,-0.06,1.16,0.12,-3.32,3.0,3.0,3.0,3.0
6759516.0,-0.2255,0.0237,-0.002,0.9739,-1.81,2.5,5.75,-0.2,-0.09,3.98,3.0,3.0,3.0,3.0,-0.2441,0.0076,-0.0001,-0.0001,-0.69,-0.94,6.31,-0.27,-1.06,-0.01,3.0,3.0,3.0,3.0,-0.0141,-0.0001,-0.0001,-0.0001,4.19,4.0,6.5,-0.26,2.83,0.48,0.0,3.0,3.0,3.0,-0.1508,-0.0065,-0.0015,0.9885,12.31,-0.12,6.56,0.63,1.0,1.65,0.0,3.0,3.0,3.0,0.279,-0.0001,-0.0001,-0.0001,1.0,-0.06,-0.06,-0.53,0.2,-1.72,3.0,3.0,3.0,3.0
6759566.0,-0.228,0.0236,-0.0014,0.9734,2.94,0.44,5.63,0.11,0.24,1.55,3.0,3.0,3.0,3.0,-0.0122,-0.0001,-0.0001,-0.0001,4.31,-0.06,-0.06,0.42,2.83,0.76,3.0,3.0,3.0,3.0,-0.1727,-0.0026,-0.0114,0.9849,1.12,-0.06,-0.06,0.87,0.3,-1.34,0.0,3.0,3.0,3.0,-0.1531,-0.0064,-0.0025,0.9882,-8.81,-3.06,5.5,-0.12,-1.08,-5.48,0.0,3.0,3.0,3.0,0.2809,-0.0102,-0.015,-0.0001,-1.19,-14.06,3.25,-1.95,-0.15,2.25,3.0,3.0,3.0,3.0
6759616.0,-0.2301,0.0235,-0.0007,0.9729,8.63,2.19,3.88,-0.92,-0.01,-0.01,3.0,3.0,3.0,3.0,-0.0142,-0.0001,-0.0001,-0.0001,-4.38,-0.06,-0.06,0.14,-0.01,-0.01,3.0,3.0,3.0,3.0,-0.1745,-0.0018,-0.0123,-0.0001,-3.69,-7.81,-0.06,2.33,-0.01,-0.01,0.0,3.0,3.0,3.0,-0.1549,-0.0062,-0.0029,0.9879,-12.63,-3.0,4.06,-2.83,0.46,-3.04,0.0,3.0,3.0,3.0,0.2822,-0.0001,-0.0001,-0.0001,0.88,-15.0,-0.31,7.39,1.35,0.25,3.0,3.0,3.0,3.0
6759666.0,-0.2321,0.0239,-0.0009,0.9724,7.81,-5.88,6.0,0.76,-0.24,-5.74,3.0,3.0,3.0,3.0,-0.2507,0.0081,-0.0001,-0.0001,-3.13,0.5,5.06,0.27,-0.01,-0.01,3.0,3.0,3.0,3.0,-0.0049,-0.0001,-0.0001,-0.0001,0.88,0.31,4.81,0.43,-0.01,-0.01,0.0,3.0,3.0,3.0,-0.1572,-0.0069,-0.0023,0.9875,-6.44,1.44,4.88,-0.34,-1.2,-1.19,0.0,3.0,3.0,3.0,0.2797,-0.0138,-0.0001,-0.0001,-0.19,13.0,3.31,-3.02,-0.64,2.55,3.0,3.0,3.0,3.0
6759716.0,-0.2341,0.0237,-0.0009,0.9719,-1.69,-0.31,4.5,-0.14,-0.24,-1.02,3.0,3.0,3.0,3.0,-0.2526,0.0079,-0.0001,-0.0001,0.31,-0.06,-0.06,0.37,0.69,0.63,3.0,3.0,3.0,3.0,-0.0068,-0.0001,-0.0001,-0.0001,-3.94,-1.44,3.81,1.28,0.35,-0.01,0.0,3.0,3.0,3.0,-0.1591,-0.0068,-0.002,0.9872,1.44,0.69,4.13,-0.25,-0.4,0.94,0.0,3.0,3.0,3.0,0.2819,-0.0117,-0.0153,-0.0001,0.37,-4.13,4.56,-0.9,0.38,-1.92,3.0,3.0,3.0,3.0
6759766.0,-0.2362,0.0235,0.0006,0.9714,6.88,-3.31,6.0,0.45,0.75,-4.36,3.0,3.0,3.0,3.0,-0.0047,-0.0001,-0.0001,-0.0001,1.56,-0.06,-0.06,0.45,-0.01,-0.01,3.0,3.0,3.0,3.0,-0.1808,-0.0035,-0.0114,0.9835,-1.69,-2.0,4.25,0.63,1.06,-0.01,0.0,3.0,3.0,3.0,-0.1613,-0.0078,-0.0009,0.9869,-4.88,-1.31,3.81,0.95,-0.64,-2.9,0.0,3.0,3.0,3.0,0.2839,-0.014,-0.0001,-0.0001,4.19,-5.5,0.0,2.09,1.4,-0.2,3.0,3.0,3.0,3.0
6759815.0,-0.2381,0.0223,0.0025,0.971,8.5,-1.56,5.19,-0.36,-0.36,-1.54,3.0,3.0,3.0,3.0,-0.2567,0.0076,-0.0063,0.9664,3.63,-0.06,-0.06,-0.84,-0.01,-0.01,3.0,3.0,3.0,3.0,-0.1829,-0.0049,-0.0113,0.983,7.19,1.31,6.25,-1.39,2.39,-1.48,0.0,3.0,3.0,3.0,-0.1631,-0.0093,0.001,0.9866,-4.63,-0.56,5.56,1.13,0.51,-5.17,0.0,3.0,3.0,3.0,0.2861,-0.014,-0.0001,-0.0001,-0.19,5.75,4.94,-1.13,2.12,2.07,3.0,3.0,3.0,3.0
6759866.0,-0.2401,0.0214,0.0034,0.9705,14.06,4.44,2.75,-0.12,-0.62,-0.14,3.0,3.0,3.0,3.0,-0.2584,0.0067,-0.0065,0.966,0.94,3.31,3.5,-0.48,-0.16,1.63,3.0,3.0,3.0,3.0,-0.1846,-0.0065,-0.0123,0.9827,-5.19,-0.06,-0.06,1.16,-0.01,-0.01,0.0,3.0,3.0,3.0,-0.1647,-0.0113,0.0019,0.9863,-3.5,-2.81,3.5,0.41,-1.18,-3.11,0.0,3.0,3.0,3.0,0.2874,-0.0114,-0.0158,-0.0045,0.69,3.31,3.19,-1.47,-1.21,-3.38,2.0,3.0,3.0,3.0
6759916.0,-0.2416,0.0201,0.0023,0.9702,4.0,4.0,3.25,-0.47,2.37,-0.06,2.0,3.0,3.0,3.0,-0.2599,0.0051,-0.0066,0.9656,-0.19,4.06,3.81,-0.62,-0.49,-0.59,3.0,3.0,3.0,3.0,-0.1861,-0.0079,-0.0121,0.9824,1.5,0.81,4.13,0.36,0.9,0.11,0.0,3.0,3.0,3.0,-0.1662,-0.0126,0.0012,0.986,-2.81,-5.38,4.44,2.55,-0.99,-5.54,0.0,3.0,3.0,3.0,0.2842,-0.0108,-0.0155,-0.0001,-0.75,2.69,7.38,-0.81,0.55,0.64,2.0,3.0,3.0,3.0
6759965.0,-0.2439,0.0186,0.0019,0.9696,4.31,3.13,7.25,0.81,0.9,-0.55,2.0,3.0,3.0,3.0,-0.2624,0.0037,-0.0068,0.9649,-1.56,4.81,7.13,0.44,-0.01,-0.01,3.0,3.0,3.0,3.0,-0.189,-0.0086,-0.0121,0.9819,4.94,-0.06,-0.06,2.62,-2.0,-0.01,0.0,3.0,3.0,3.0,-0.1689,-0.0131,-0.0001,-0.0001,-7.25,-0.94,8.81,2.45,0.05,-6.86,0.0,3.0,3.0,3.0,0.2822,-0.0087,-0.0154,-0.0001,2.56,-0.06,-0.06,1.52,-0.91,-1.31,2.0,3.0,3.0,3.0
6760014.0,-0.2478,0.0174,0.0015,0.9686,2.5,0.63,10.94,1.96,-0.62,-2.8,2.0,3.0,3.0,3.0,-0.2665,0.0024,-0.0066,0.9638,1.31,1.31,10.69,1.5,-0.01,-0.01,2.0,3.0,3.0,3.0,-0.1934,-0.0097,-0.0118,0.981,-1.56,-3.56,11.0,2.22,-0.88,-0.92,0.0,3.0,3.0,3.0,-0.1733,-0.014,-0.0004,0.9847,-14.38,0.88,10.69,1.7,1.73,-6.58,0.0,3.0,3.0,3.0,0.2834,-0.0001,-0.0001,-0.0001,0.69,-0.06,-0.06,1.91,0.32,-0.01,2.0,3.0,3.0,3.0
6760061.0,-0.2523,0.0165,0.0004,0.9675,0.63,-1.94,10.75,1.06,1.87,-8.07,2.0,3.0,3.0,3.0,-0.27,0.0013,-0.0069,0.9628,-1.56,2.94,11.56,-1.81,0.56,-1.7,2.0,3.0,3.0,3.0,-0.197,-0.0108,-0.0121,0.9803,3.5,8.38,12.75,-0.52,0.19,-1.9,0.0,3.0,3.0,3.0,-0.178,-0.0155,-0.0009,0.9839,-5.5,5.69,12.38,-1.69,0.16,4.84,0.0,3.0,3.0,3.0,0.285,-0.0015,-0.014,-0.9584,0.0,9.38,13.75,1.76,-1.04,-0.28,2.0,3.0,3.0,3.0
6760109.0,-0.2565,0.0156,-0.0001,0.9664,-4.44,3.13,13.19,0.66,0.03,5.37,1.0,3.0,3.0,3.0,-0.2752,-0.0005,-0.007,-0.0001,0.31,-0.06,-0.06,-0.97,-0.01,-0.01,2.0,3.0,3.0,3.0,-0.2024,-0.012,-0.0119,0.9792,1.94,4.5,13.69,1.33,-0.76,0.16,0.0,3.0,3.0,3.0,-0.1824,-0.016,-0.002,0.9831,25.56,5.56,14.5,0.36,4.64,9.74,0.0,3.0,3.0,3.0,0.2856,0.0012,-0.0137,-0.0001,2.0,6.5,13.75,-1.55,-1.12,-0.61,2.0,3.0,3.0,3.0
6760155.0,-0.2625,0.0141,-0.0004,0.9648,6.0,-0.37,15.81,0.14,1.15,-11.68,1.0,3.0,3.0,3.0,-0.2812,-0.0013,-0.006,0.9597,7.19,-1.06,15.69,0.14,-3.96,-1.06,2.0,3.0,3.0,3.0,-0.2086,-0.0131,-0.0112,0.9778,-4.81,-3.25,15.38,1.84,-1.52,0.17,0.0,3.0,3.0,3.0,-0.1886,-0.0177,-0.0004,0.9819,-1.12,4.94,15.25,1.87,1.69,-2.41,0.0,3.0,3.0,3.0,0.2882,0.0029,-0.0142,-0.0001,2.63,2.56,-0.06,-0.76,-0.01,-0.01,2.0,3.0,3.0,3.0
6760201.0,-0.2687,0.0121,-0.0006,0.9631,-4.19,8.81,15.25,-4.06,-1.52,11.92,1.0,3.0,3.0,3.0,-0.2862,-0.0029,-0.0056,0.9581,-1.37,1.94,14.25,-2.71,-5.65,0.35,2.0,3.0,3.0,3.0,-0.2136,-0.0148,-0.0107,0.9767,2.13,2.44,14.81,2.76,-5.39,-0.25,0.0,3.0,3.0,3.0,-0.1949,-0.0192,-0.0004,0.9807,9.75,0.63,14.5,3.36,0.02,-2.87,0.0,3.0,3.0,3.0,0.2908,0.0025,-0.0148,-0.9567,1.56,-3.44,14.75,0.12,-1.15,-1.02,2.0,3.0,3.0,3.0
6760247.0,-0.2736,0.0112,0.0002,-0.0001,5.94,-0.06,-0.06,-0.87,-1.43,3.63,1.0,3.0,3.0,3.0,-0.2921,-0.0045,-0.0055,0.9564,1.37,5.19,14.88,-1.45,-3.36,2.78,2.0,3.0,3.0,3.0,-0.2195,-0.0165,-0.011,0.9754,4.56,2.06,14.63,-0.81,2.93,1.8,0.0,3.0,3.0,3.0,-0.0123,-0.0001,-0.0001,-0.0001,-6.31,-0.06,-0.06,3.51,6.48,2.98,0.0,3.0,3.0,3.0,0.2917,0.0005,-0.0153,-0.0001,0.06,-8.38,12.25,0.31,0.59,1.06,2.0,3.0,3.0,3.0
