,sensor0,,,,,,,,,,,,,,sensor1,,,,,,,,,,,,,,sensor2,,,,,,,,,,,,,,sensor3,,,,,,,,,,,,,,sensor4
時刻(ms),相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag
1554102.0,0.051,-0.0001,-0.0001,-0.0001,-1.25,0.37,1.06,0.21,0.14,-0.14,1.0,3.0,3.0,3.0,-0.2858,0.0174,0.0029,0.9581,1.12,0.25,1.31,0.18,0.06,0.22,2.0,3.0,3.0,3.0,-0.2404,0.014,-0.0005,0.9706,-0.75,-0.25,0.94,-0.11,0.25,-0.01,1.0,3.0,3.0,3.0,-0.0178,0.0002,0.0057,0.9998,2.13,1.19,1.5,0.05,0.56,1.56,0.0,3.0,3.0,3.0,-0.0132,-0.0001,-0.0001,-0.0001,0.75,-2.13,0.56,0.67,0.48,-0.56,2.0,3.0,3.0,3.0
1554148.0,0.0516,-0.0213,0.0068,-0.9984,-0.69,-1.12,1.31,0.38,-0.01,-0.01,1.0,3.0,3.0,3.0,-0.2862,0.0176,0.0027,0.958,-1.31,-1.25,1.25,0.57,-0.34,0.07,2.0,3.0,3.0,3.0,-0.0064,-0.0001,-0.0001,-0.0001,-0.31,0.0,1.25,0.37,-0.22,0.62,1.0,3.0,3.0,3.0,-0.0184,0.0005,0.0054,0.9998,-0.63,-0.12,1.25,0.42,0.03,-0.15,0.0,3.0,3.0,3.0,-0.2169,0.0192,0.02,0.9758,-1.25,0.19,2.31,0.66,-0.01,-0.01,2.0,3.0,3.0,3.0
1554195.0,0.0522,-0.0212,0.007,-0.9984,1.0,1.06,1.69,-0.24,-0.27,1.54,1.0,3.0,3.0,3.0,-0.2868,0.0176,0.0026,0.9578,0.63,0.81,1.94,0.02,-0.51,-0.12,2.0,3.0,3.0,3.0,-0.0071,-0.0001,-0.0001,-0.0001,1.56,1.31,2.69,0.87,-0.01,-0.01,1.0,3.0,3.0,3.0,-0.019,0.0003,0.0057,0.9998,4.5,0.94,3.0,0.55,0.6,1.37,0.0,3.0,3.0,3.0,-0.2179,0.0187,0.0198,0.9756,0.06,0.94,4.13,0.03,-1.41,-0.02,2.0,3.0,3.0,3.0
1554242.0,0.053,-0.0001,-0.0001,-0.0001,0.37,1.44,2.13,-0.44,0.2,1.19,1.0,3.0,3.0,3.0,-0.2878,0.0173,0.0031,0.9575,0.06,0.31,2.25,-0.38,-0.01,-1.29,2.0,3.0,3.0,3.0,-0.2425,0.0137,0.0,0.97,0.44,-0.06,-0.06,0.14,0.7,0.19,1.0,3.0,3.0,3.0,-0.0201,0.0003,0.0062,0.9998,1.63,-1.44,2.69,0.03,0.17,-0.55,0.0,3.0,3.0,3.0,-0.2186,0.0186,0.0203,0.9754,-1.94,-0.31,2.94,-0.48,1.44,-0.17,2.0,3.0,3.0,3.0
1554291.0,0.054,-0.0001,-0.0001,-0.0001,-2.56,0.5,1.5,-0.12,-0.43,0.13,1.0,3.0,3.0,3.0,-0.2885,0.0178,0.0026,0.9573,-3.38,-0.12,0.75,-0.38,-0.68,-0.13,2.0,3.0,3.0,3.0,-0.243,0.014,-0.0007,0.9699,-1.37,-0.75,0.75,0.11,-1.0,-0.53,1.0,3.0,3.0,3.0,-0.0207,0.0003,0.0059,0.9998,-0.81,-0.12,0.75,-0.06,-0.08,-0.03,0.0,3.0,3.0,3.0,-0.2193,0.019,0.0199,0.9753,0.12,0.19,0.81,-0.17,-0.7,0.16,2.0,3.0,3.0,3.0
1554339.0,0.0545,-0.0001,-0.0001,-0.0001,0.06,-0.06,-0.06,0.03,0.49,-0.01,1.0,3.0,3.0,3.0,-0.0078,-0.0001,-0.0001,-0.0001,0.69,0.75,2.0,-0.22,0.07,-0.58,2.0,3.0,3.0,3.0,-0.2437,0.014,-0.0004,0.9698,0.88,-0.06,2.06,-0.14,0.4,-0.49,1.0,3.0,3.0,3.0,-0.0215,0.0004,0.006,0.9998,2.81,0.5,2.38,-0.1,0.78,0.23,0.0,3.0,3.0,3.0,-0.2199,0.0189,0.0201,0.9751,1.25,-0.06,-0.06,0.13,0.88,-0.31,3.0,3.0,3.0,3.0
1554390.0,0.0555,-0.0214,0.0063,-0.9982,0.12,-0.06,-0.06,-0.02,-0.25,-0.46,1.0,3.0,3.0,3.0,-0.29,0.0176,0.0029,0.9568,0.06,-0.44,2.38,-0.11,0.13,-0.06,2.0,3.0,3.0,3.0,-0.2446,0.0137,-0.0005,0.9695,-1.88,0.37,1.06,-0.41,-0.2,-0.43,1.0,3.0,3.0,3.0,-0.0224,0.0001,0.006,0.9998,0.63,0.25,0.94,-0.34,-0.3,0.86,0.0,3.0,3.0,3.0,-0.2208,0.0187,0.0197,0.9749,-0.31,1.63,0.69,-0.64,-0.26,-0.26,3.0,3.0,3.0,3.0
1554440.0,0.0562,-0.0215,0.007,-0.9982,-2.63,-0.88,1.94,0.4,0.16,0.6,1.0,3.0,3.0,3.0,-0.2905,0.0177,0.0024,0.9567,3.19,-0.19,1.5,0.26,0.38,-0.27,2.0,3.0,3.0,3.0,-0.2451,0.0142,-0.0006,0.9694,1.25,0.12,1.37,-0.04,0.78,-0.36,1.0,3.0,3.0,3.0,-0.023,0.0004,0.0056,0.9997,0.56,1.69,1.12,-0.56,-0.05,0.28,0.0,3.0,3.0,3.0,-0.2215,0.0188,0.0197,0.9748,0.75,-0.06,-0.06,0.49,1.22,-0.06,3.0,3.0,3.0,3.0
1554490.0,0.0567,-0.0214,0.0064,-0.9982,3.75,1.0,1.37,-0.49,0.79,-0.01,1.0,3.0,3.0,3.0,-0.2911,0.0176,0.0024,0.9565,0.31,0.12,1.56,-0.05,0.96,0.59,2.0,3.0,3.0,3.0,-0.2457,0.0137,-0.0008,0.9692,-0.94,0.25,1.12,-0.58,0.48,-0.03,1.0,3.0,3.0,3.0,-0.0236,0.0001,0.0054,0.9997,-4.5,-0.69,0.69,-0.56,-1.49,-1.91,0.0,3.0,3.0,3.0,-0.222,0.0187,0.0193,0.9747,-1.12,2.44,1.12,-0.57,-0.6,-0.59,3.0,3.0,3.0,3.0
1554540.0,0.0571,-0.0212,0.0071,-0.9981,-2.63,-0.31,1.31,-0.05,-0.46,1.1,1.0,3.0,3.0,3.0,-0.2914,0.0176,0.002,0.9564,0.56,-2.5,1.81,0.68,0.22,0.16,2.0,3.0,3.0,3.0,-0.2463,0.0142,-0.0009,0.9691,1.0,-0.94,1.94,0.49,0.13,0.0,1.0,3.0,3.0,3.0,-0.024,0.0005,0.0054,0.9997,2.06,-0.06,2.0,0.19,0.13,0.04,0.0,3.0,3.0,3.0,-0.2225,0.0184,0.0193,0.9745,-0.56,-1.63,2.06,0.61,-0.06,0.04,3.0,3.0,3.0,3.0
