,sensor0,,,,,,,,,,,,,,sensor1,,,,,,,,,,,,,,sensor2,,,,,,,,,,,,,,sensor3,,,,,,,,,,,,,,sensor4
時刻(ms),相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag
568573.0,0.1511,-0.0157,0.0051,-0.9884,-0.63,-0.19,-3.88,1.17,-0.39,-0.15,0.0,3.0,3.0,3.0,0.0661,0.0018,0.0116,-0.9977,-0.69,-0.56,-3.81,1.5,0.15,0.0,3.0,3.0,3.0,3.0,0.0352,0.0041,-0.0001,-0.0001,-0.75,-0.19,-3.75,0.88,-0.04,-0.28,2.0,3.0,3.0,3.0,0.0811,0.008,0.0057,-0.0123,-0.31,-0.37,-4.56,0.93,-0.01,-0.01,0.0,3.0,3.0,3.0,0.0552,0.0054,-0.0001,-0.0001,0.5,-0.06,-0.06,1.96,0.01,-0.01,3.0,3.0,3.0,3.0
568623.0,0.1491,-0.0157,0.0051,-0.9887,0.63,-0.75,-4.56,0.94,-0.09,-0.32,0.0,3.0,3.0,3.0,0.0641,0.0017,0.0117,-0.9979,-0.25,-0.88,-4.88,1.22,-0.26,-0.12,3.0,3.0,3.0,3.0,0.0333,0.004,-0.0001,-0.0001,0.0,0.06,-4.69,0.6,0.25,-0.73,2.0,3.0,3.0,3.0,0.079,0.0079,0.0056,-0.0125,0.19,-0.06,-0.06,1.27,-0.01,-0.01,0.0,3.0,3.0,3.0,0.0563,-0.0001,-0.0001,-0.0001,0.0,-0.06,-0.06,-0.22,0.25,-0.01,3.0,3.0,3.0,3.0
568673.0,0.1475,-0.0179,0.0046,-0.9889,0.44,-0.69,-5.44,1.42,-0.14,0.32,0.0,3.0,3.0,3.0,0.0624,0.0016,0.0117,-0.998,0.12,-0.75,-5.06,1.47,-0.72,-0.18,3.0,3.0,3.0,3.0,0.0313,0.0044,-0.0001,-0.0001,4.56,4.38,-4.38,2.11,0.28,-0.63,2.0,3.0,3.0,3.0,0.0768,0.0076,0.0051,-0.0126,1.69,-0.06,-0.06,1.84,0.35,-0.01,0.0,3.0,3.0,3.0,0.0578,-0.0001,-0.0001,-0.0001,0.69,-0.06,-0.06,-0.4,1.05,-0.01,3.0,3.0,3.0,3.0
568723.0,0.145,-0.0181,0.0045,-0.9893,0.0,0.0,-7.06,0.73,-0.02,0.43,0.0,3.0,3.0,3.0,0.06,0.001,0.0117,-0.9981,-0.81,-0.63,-6.94,1.56,-0.62,0.44,3.0,3.0,3.0,3.0,0.0287,0.0038,-0.0001,-0.0001,0.88,0.94,-6.44,-0.12,1.49,0.15,2.0,3.0,3.0,3.0,0.0739,0.0075,0.0054,-0.0129,-2.69,-0.56,-8.0,0.24,0.05,0.33,0.0,3.0,3.0,3.0,0.0608,-0.0001,-0.0001,-0.0001,0.31,-0.06,-0.06,-0.24,-0.48,0.28,3.0,3.0,3.0,3.0
568773.0,0.1409,-0.0182,0.0051,-0.9899,2.75,-0.37,-9.19,0.27,-1.16,1.61,0.0,3.0,3.0,3.0,0.0566,0.001,0.0117,-0.9984,0.5,0.19,-9.06,0.67,-0.71,0.69,3.0,3.0,3.0,3.0,0.0253,0.0033,-0.0001,-0.0001,1.19,1.25,-8.63,0.25,0.22,0.1,2.0,3.0,3.0,3.0,0.07,0.0072,0.0055,-0.0131,2.44,-0.06,-0.06,0.32,0.01,0.42,0.0,3.0,3.0,3.0,0.065,0.0033,-0.0001,-0.0001,-0.88,-16.94,-8.94,0.42,-0.51,-1.04,3.0,3.0,3.0,3.0
568823.0,0.1367,-0.0185,0.0057,-0.9904,-1.88,0.31,-10.69,0.18,-0.69,-0.02,0.0,3.0,3.0,3.0,0.0524,0.0008,0.0116,-0.9985,-0.25,0.37,-11.0,0.1,-0.03,-0.33,3.0,3.0,3.0,3.0,0.0211,0.0029,-0.0001,-0.0001,-0.81,0.12,-10.56,-0.17,0.19,-0.96,2.0,3.0,3.0,3.0,0.0655,0.0068,0.0062,-0.0134,0.12,0.31,-11.44,-0.34,-0.91,-0.01,0.0,3.0,3.0,3.0,0.0694,-0.0001,-0.0001,-0.0001,-1.88,-12.75,-0.06,0.43,-0.3,0.15,3.0,3.0,3.0,3.0
568873.0,0.1313,-0.0186,0.0059,-0.9911,0.94,-0.06,-14.38,-0.5,-0.52,1.15,0.0,3.0,3.0,3.0,0.0473,0.0007,0.0115,-0.9988,-2.5,-0.19,-14.38,-0.54,-1.09,-0.72,3.0,3.0,3.0,3.0,0.0159,0.0026,-0.0001,-0.0001,-1.56,0.25,-14.06,-0.1,-0.73,0.12,2.0,3.0,3.0,3.0,0.0597,0.0065,0.0062,-0.0138,0.31,-0.06,-0.06,-0.28,-0.3,-1.64,0.0,3.0,3.0,3.0,0.0752,-0.0001,-0.0001,-0.0001,0.06,-0.06,-0.06,1.89,-0.56,0.38,3.0,3.0,3.0,3.0
568924.0,0.1255,-0.019,0.0052,-0.9919,1.44,-1.88,-13.44,-0.06,0.5,-0.72,0.0,3.0,3.0,3.0,0.0414,0.0002,-0.0001,-0.0001,0.56,-0.75,-13.56,0.13,0.2,0.15,2.0,3.0,3.0,3.0,0.0101,0.0025,-0.0001,-0.0001,0.63,-0.06,-0.06,-1.09,1.18,-0.8,1.0,3.0,3.0,3.0,0.0538,0.0063,0.0056,-0.0142,1.56,-0.06,-0.06,-0.3,0.03,-0.01,0.0,3.0,3.0,3.0,0.0809,-0.0001,-0.0001,-0.0001,0.12,6.25,-14.13,0.8,0.09,-0.41,3.0,3.0,3.0,3.0
568974.0,0.1198,-0.0193,0.0048,-0.9926,0.63,0.0,-12.63,-0.58,0.16,0.83,0.0,3.0,3.0,3.0,0.0355,-0.0002,0.0115,-0.015,-0.56,0.25,-13.0,0.27,-0.47,-0.37,2.0,3.0,3.0,3.0,0.0044,0.0024,-0.0001,-0.0001,0.88,0.88,-12.06,0.26,0.1,-0.68,1.0,3.0,3.0,3.0,0.0481,0.006,0.0052,-0.0145,0.63,-0.06,-0.06,0.69,0.87,-1.46,0.0,3.0,3.0,3.0,0.0859,-0.0001,-0.0001,-0.0001,-1.75,8.88,-9.44,-0.61,-0.92,0.39,3.0,3.0,3.0,3.0
569024.0,0.1152,-0.0193,0.0055,-0.9932,-3.44,1.31,-9.56,-0.37,0.7,0.32,0.0,3.0,3.0,3.0,0.0305,-0.0004,0.0117,-0.0151,-1.0,1.19,-10.19,-0.08,-1.15,-0.49,2.0,3.0,3.0,3.0,-0.0001,0.002,-0.0001,-0.0001,0.0,-0.06,-0.06,0.38,0.31,-0.2,1.0,3.0,3.0,3.0,0.0436,0.0058,0.0062,-0.0146,-3.44,-1.0,-8.81,0.43,0.74,-0.01,0.0,3.0,3.0,3.0,0.09,-0.0001,-0.0001,-0.0001,0.31,0.25,-9.44,0.89,-0.31,-0.07,3.0,3.0,3.0,3.0
569073.0,0.1127,-0.019,0.007,-0.9934,-7.94,2.63,-5.81,-0.03,0.33,-0.84,0.0,3.0,3.0,3.0,0.027,0.0003,0.0117,-0.9996,-1.94,2.63,-6.25,0.22,-0.55,0.14,1.0,3.0,3.0,3.0,-0.0032,0.0018,-0.0001,-0.0001,-0.94,-0.12,-6.06,0.0,-0.18,-0.05,1.0,3.0,3.0,3.0,0.0406,0.0055,-0.0001,-0.0001,-8.88,-0.94,-6.06,-0.08,-0.07,0.07,0.0,3.0,3.0,3.0,0.0931,-0.0001,-0.0001,-0.0001,-0.69,-1.63,-4.38,0.44,-1.1,0.03,3.0,3.0,3.0,3.0
569123.0,0.11,-0.0178,0.0112,-0.9937,-8.19,4.0,-4.69,0.23,0.29,0.15,0.0,3.0,3.0,3.0,0.0247,0.0017,0.0118,-0.9996,-3.25,3.44,-4.25,0.72,-0.12,-0.43,1.0,3.0,3.0,3.0,-0.0054,-0.0001,-0.0001,-0.0001,-1.75,-2.38,-4.81,0.0,-0.35,-0.28,1.0,3.0,3.0,3.0,0.0385,0.0051,-0.0001,-0.0001,-10.31,-1.0,-4.06,0.51,-0.01,-0.01,0.0,3.0,3.0,3.0,0.0947,-0.0001,-0.0001,-0.0001,-0.31,-2.5,-2.31,-0.59,0.06,-0.01,3.0,3.0,3.0,3.0
569174.0,0.1091,-0.0172,0.0129,-0.9938,-4.38,2.75,-0.81,0.79,0.05,-0.02,0.0,3.0,3.0,3.0,0.0235,0.0029,0.0121,-0.9996,0.69,2.75,-1.0,-0.23,0.13,0.11,1.0,3.0,3.0,3.0,-0.0063,-0.0001,-0.0001,-0.0001,0.31,2.31,-0.06,1.15,-0.31,0.67,1.0,3.0,3.0,3.0,0.0377,0.0052,0.0135,-0.0148,-3.88,0.75,-0.06,0.8,1.01,-0.01,0.0,3.0,3.0,3.0,0.0947,-0.0001,-0.0001,-0.0001,0.19,1.06,-0.06,2.18,0.06,0.02,3.0,3.0,3.0,3.0
569224.0,0.1091,-0.0001,-0.0001,-0.0001,0.88,3.63,2.06,0.55,0.28,-1.15,0.0,3.0,3.0,3.0,0.0235,0.0041,0.0121,-0.9996,-2.88,2.88,1.25,0.41,-0.5,-1.14,1.0,3.0,3.0,3.0,-0.0062,-0.0001,-0.0001,-0.0001,1.31,4.5,2.0,0.5,0.06,-0.41,0.0,3.0,3.0,3.0,0.038,0.0065,0.0137,-0.0148,-1.56,3.69,2.56,0.6,0.0,-0.01,0.0,3.0,3.0,3.0,0.0983,-0.0001,-0.0001,-0.0001,1.81,-0.06,-0.06,0.62,-0.27,0.4,3.0,3.0,3.0,3.0
569274.0,0.1106,-0.0148,-0.0001,-0.0001,2.13,2.13,6.31,0.88,0.58,-0.59,0.0,3.0,3.0,3.0,0.0252,0.0056,0.012,-0.9996,1.25,3.94,5.88,0.25,-0.36,-0.57,1.0,3.0,3.0,3.0,-0.0043,-0.0001,-0.0001,-0.0001,-0.37,2.13,6.31,0.79,0.09,-1.1,0.0,3.0,3.0,3.0,0.0402,0.008,0.0129,-0.0147,4.63,3.88,7.0,1.01,0.63,0.34,0.0,3.0,3.0,3.0,0.0978,0.0049,-0.0001,-0.0001,0.63,6.56,7.06,0.34,0.5,-0.92,3.0,3.0,3.0,3.0
