,sensor0,,,,,,,,,,,,,,sensor1,,,,,,,,,,,,,,sensor2,,,,,,,,,,,,,,sensor3,,,,,,,,,,,,,,sensor4
時刻(ms),相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag
1202709.0,0.0348,-0.0196,0.007,-0.9992,-0.56,-0.19,-4.81,0.55,-0.11,-0.35,0.0,3.0,3.0,3.0,0.0612,-0.0087,0.0098,-0.0137,0.44,0.06,-5.13,0.69,0.45,0.07,3.0,3.0,3.0,3.0,-0.0051,-0.0001,-0.0001,-0.0001,0.19,-0.06,-0.06,0.42,0.25,-0.21,2.0,3.0,3.0,3.0,0.1265,0.0061,0.0051,-0.0001,-0.44,-0.25,-5.44,0.45,-0.01,-0.01,0.0,3.0,3.0,3.0,0.0034,-0.0001,-0.0001,-0.0001,0.25,6.19,-7.69,1.29,-0.05,-0.21,3.0,3.0,3.0,3.0
1202758.0,0.0322,-0.0205,0.0074,-0.9993,-0.88,0.19,-6.63,1.12,-0.38,-0.13,0.0,3.0,3.0,3.0,0.0587,-0.0087,0.0101,-0.0138,-0.63,-0.19,-6.44,1.06,-0.06,-0.26,3.0,3.0,3.0,3.0,-0.0078,-0.0001,-0.0001,-0.0001,-0.12,0.06,-0.06,0.8,0.05,-0.28,2.0,3.0,3.0,3.0,0.1238,0.0054,0.0054,-0.9923,0.06,0.19,-0.06,0.87,-0.01,-0.01,0.0,3.0,3.0,3.0,0.0065,-0.0001,-0.0001,-0.0001,0.44,19.69,-6.0,1.65,-0.38,-0.14,3.0,3.0,3.0,3.0
1202808.0,0.029,-0.0223,0.0079,-0.9993,-0.25,-0.37,-8.81,1.6,-0.78,-1.49,0.0,3.0,3.0,3.0,0.0555,-0.0105,0.0097,-0.014,0.12,-0.06,-0.06,0.71,-0.5,-0.53,3.0,3.0,3.0,3.0,-0.0112,-0.0029,0.0122,-0.0155,0.69,1.69,-9.75,1.86,-1.11,0.19,2.0,3.0,3.0,3.0,0.1201,0.0054,0.0052,-0.9927,1.19,-0.06,-0.06,1.95,-0.01,-0.01,0.0,3.0,3.0,3.0,0.009,0.0034,0.0126,0.9999,-1.25,15.5,-6.0,-0.31,0.08,0.03,3.0,3.0,3.0,3.0
1202860.0,0.0248,-0.0225,0.0077,-0.9994,2.94,-0.88,-10.63,3.69,0.03,-1.54,0.0,3.0,3.0,3.0,0.0515,-0.0104,0.0106,-0.0142,-2.19,1.5,-10.06,3.37,-0.29,-0.11,3.0,3.0,3.0,3.0,-0.0153,-0.0001,-0.0001,-0.0001,0.69,0.31,-10.94,2.82,0.31,-0.38,2.0,3.0,3.0,3.0,0.1159,0.0049,0.0056,-0.9932,-3.81,0.12,-11.06,2.54,-1.32,-0.43,0.0,3.0,3.0,3.0,0.0142,0.0007,0.0124,0.9998,0.5,-2.81,-11.31,1.09,1.07,-0.7,3.0,3.0,3.0,3.0
1202910.0,0.0201,-0.0224,0.0082,-0.9995,0.56,0.81,-11.19,1.46,0.78,-0.06,0.0,3.0,3.0,3.0,0.0468,-0.0107,0.0101,-0.0144,1.25,1.56,-11.94,0.28,0.67,-0.12,3.0,3.0,3.0,3.0,-0.0045,-0.0001,-0.0001,-0.0001,1.06,1.56,-11.81,1.38,0.19,-0.22,2.0,3.0,3.0,3.0,0.111,0.005,0.0057,-0.9938,-2.38,0.19,-13.13,0.47,-0.31,0.48,0.0,3.0,3.0,3.0,0.0198,0.0035,0.0121,0.9998,0.94,-6.31,-15.38,1.87,1.6,0.49,3.0,3.0,3.0,3.0
1202960.0,0.0146,-0.0225,0.0083,-0.9996,0.81,-1.5,-12.44,0.86,0.65,-1.52,0.0,3.0,3.0,3.0,0.0413,-0.0106,0.0103,-0.0146,0.5,-0.5,-12.31,0.65,-0.15,-0.14,3.0,3.0,3.0,3.0,-0.0256,-0.0035,0.0127,-0.0152,-2.13,-1.88,-12.94,0.84,-0.94,-0.54,2.0,3.0,3.0,3.0,0.1054,0.0048,0.0061,-0.9944,-6.38,-0.06,-0.06,1.12,-1.51,-3.99,0.0,3.0,3.0,3.0,0.0303,0.0056,0.0117,0.9995,-0.5,-3.88,-14.56,0.11,-0.02,0.42,3.0,3.0,3.0,3.0
1203010.0,0.009,-0.0226,0.0084,-0.9997,-3.31,1.37,-13.63,0.02,-0.67,0.8,0.0,3.0,3.0,3.0,0.0358,-0.0107,0.0103,-0.0149,-2.75,1.31,-13.5,-0.14,-0.14,0.24,3.0,3.0,3.0,3.0,-0.0156,-0.0001,-0.0001,-0.0001,1.94,1.88,-13.44,0.89,-0.81,0.27,2.0,3.0,3.0,3.0,0.0998,0.0052,0.0046,-0.995,11.81,3.19,-13.06,0.1,0.49,2.43,0.0,3.0,3.0,3.0,0.0403,0.0082,0.0116,0.9991,-0.56,-8.0,-11.63,-0.25,-0.28,-1.6,3.0,3.0,3.0,3.0
1203060.0,0.0034,-0.0228,0.0076,-0.9997,3.38,0.31,-13.25,-1.43,0.18,0.81,0.0,3.0,3.0,3.0,0.0302,-0.0108,0.0101,-0.0151,3.19,2.25,-13.13,-1.0,-1.89,-1.26,3.0,3.0,3.0,3.0,-0.0056,-0.0001,-0.0001,-0.0001,2.5,-0.06,-0.06,1.36,-0.29,0.47,2.0,3.0,3.0,3.0,0.0942,0.0046,0.0051,-0.9955,-4.5,-0.06,-0.06,0.15,-0.01,-0.01,0.0,3.0,3.0,3.0,0.0448,0.0121,0.0114,0.9988,-0.19,-14.31,-13.25,-0.12,0.45,0.11,3.0,3.0,3.0,3.0
1203109.0,-0.002,-0.0232,0.0071,-0.9997,-3.06,-2.63,-11.81,0.15,0.15,-4.01,0.0,3.0,3.0,3.0,0.0248,-0.0112,0.0098,-0.0152,1.31,-0.06,-0.06,-1.15,0.53,-0.17,3.0,3.0,3.0,3.0,-0.0421,-0.0041,-0.0001,-0.0001,-2.81,-7.19,-0.06,0.97,-0.36,0.11,2.0,3.0,3.0,3.0,0.0891,0.0046,0.004,-0.996,3.63,1.44,-12.13,0.52,-1.25,0.18,0.0,3.0,3.0,3.0,0.0512,0.0195,0.0111,0.9984,-0.88,-13.5,-12.31,2.57,1.01,-1.58,3.0,3.0,3.0,3.0
1203160.0,-0.0072,-0.0237,0.0065,-0.9997,2.19,-0.56,-12.75,-0.95,0.56,0.82,0.0,3.0,3.0,3.0,0.0197,-0.012,-0.0001,-0.0001,-2.38,0.31,-12.56,-0.48,1.16,0.1,3.0,3.0,3.0,3.0,-0.0473,-0.0042,-0.0001,-0.0001,-1.19,-0.75,-12.56,0.72,-0.62,0.31,2.0,3.0,3.0,3.0,0.0837,0.0042,0.0031,-0.0121,4.75,-0.06,-0.06,0.59,-0.01,-0.01,0.0,3.0,3.0,3.0,0.0563,0.0212,0.011,0.9981,1.12,0.5,-12.25,-1.62,0.53,-1.83,3.0,3.0,3.0,3.0
