,sensor0,,,,,,,,,,,,,,sensor1,,,,,,,,,,,,,,sensor2,,,,,,,,,,,,,,sensor3,,,,,,,,,,,,,,sensor4
時刻(ms),相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag
1514528.0,-0.127,-0.0168,0.0101,-0.0001,-0.06,-0.37,2.31,0.35,0.17,-0.01,0.0,3.0,3.0,3.0,-0.4005,-0.0031,0.014,-0.9162,-1.5,-0.31,1.81,0.22,-0.35,-0.16,0.0,3.0,3.0,3.0,-0.1019,-0.0001,0.0134,-0.9947,-0.63,-0.75,2.0,0.54,-0.57,-0.26,0.0,3.0,3.0,3.0,0.0347,0.0062,0.0038,-0.9994,-0.25,-0.37,2.06,0.53,-0.01,-0.01,0.0,3.0,3.0,3.0,0.1155,0.0182,-0.0001,-0.0001,0.19,6.25,3.5,1.03,-0.62,-0.14,3.0,3.0,3.0,3.0
1514577.0,-0.1258,-0.0172,0.0101,-0.9919,0.0,-0.06,-0.06,0.54,0.27,-0.01,0.0,3.0,3.0,3.0,-0.3994,-0.0031,0.0143,-0.9166,0.25,-0.37,3.19,0.55,-0.01,-0.01,0.0,3.0,3.0,3.0,-0.0071,-0.0001,-0.0001,-0.0001,0.75,-0.37,3.81,0.8,-0.12,-0.17,0.0,3.0,3.0,3.0,0.0361,0.006,0.0038,-0.9993,0.0,-0.63,4.0,0.7,0.22,-0.2,0.0,3.0,3.0,3.0,0.1137,-0.0001,-0.0001,-0.0001,1.69,-0.06,-0.06,1.77,0.06,-0.01,3.0,3.0,3.0,3.0
1514625.0,-0.124,-0.0198,0.0097,-0.992,0.0,-0.19,4.19,0.55,0.14,-0.01,0.0,3.0,3.0,3.0,-0.3979,-0.0031,0.0142,-0.9173,-0.25,-0.37,3.88,0.68,0.27,-0.11,0.0,3.0,3.0,3.0,-0.0055,-0.0001,-0.0001,-0.0001,-0.25,-0.37,3.69,0.73,0.59,-0.48,0.0,3.0,3.0,3.0,0.0376,0.0035,0.0032,-0.9993,-0.75,-0.81,3.81,0.59,-0.29,-1.22,0.0,3.0,3.0,3.0,0.1119,0.0074,-0.0001,-0.0001,1.06,17.75,3.25,0.57,-0.01,-0.01,3.0,3.0,3.0,3.0
1514675.0,-0.1226,-0.02,0.0096,-0.9922,-0.94,-1.25,3.88,1.56,-0.01,-0.01,0.0,3.0,3.0,3.0,-0.3965,-0.0029,0.0147,-0.9179,-0.06,0.19,4.13,1.78,0.11,-0.04,0.0,3.0,3.0,3.0,-0.0041,-0.0001,-0.0001,-0.0001,3.81,2.0,3.94,0.83,0.72,-1.03,0.0,3.0,3.0,3.0,0.0391,0.0032,0.0032,-0.9992,1.31,-0.06,4.06,2.52,0.25,-1.72,0.0,3.0,3.0,3.0,0.1093,0.0035,-0.0001,-0.0001,0.19,3.06,7.69,-1.68,-0.97,-0.01,3.0,3.0,3.0,3.0
1514725.0,-0.1207,-0.0201,0.0095,-0.9924,-0.88,0.12,4.69,1.18,-0.01,-0.01,0.0,3.0,3.0,3.0,-0.395,-0.0034,0.0145,-0.9186,2.81,-0.88,4.56,0.79,-0.35,-0.51,0.0,3.0,3.0,3.0,-0.0961,-0.0005,0.0125,-0.9953,-1.06,-1.12,4.25,0.88,-0.49,-0.03,0.0,3.0,3.0,3.0,0.0413,0.0032,0.0026,-0.9991,3.38,1.69,4.5,0.34,0.72,1.61,0.0,3.0,3.0,3.0,0.1085,0.0052,-0.0001,-0.0001,-0.44,-7.25,-0.06,-0.45,0.05,0.67,3.0,3.0,3.0,3.0
1514775.0,-0.1189,-0.0203,0.0096,-0.9927,0.31,-0.69,3.94,0.16,0.55,-0.01,0.0,3.0,3.0,3.0,-0.3934,-0.0038,0.0141,-0.9193,2.25,0.12,3.63,0.3,0.68,0.36,0.0,3.0,3.0,3.0,-0.0945,-0.0009,0.0127,-0.9954,0.94,-0.06,-0.06,0.62,0.29,-0.95,0.0,3.0,3.0,3.0,0.043,0.0028,0.003,-0.9991,-2.19,-0.25,3.81,0.29,-0.25,0.84,0.0,3.0,3.0,3.0,0.1072,-0.0001,-0.0001,-0.0001,0.44,-14.44,-0.06,0.44,-0.01,-0.01,3.0,3.0,3.0,3.0
1514824.0,-0.1172,-0.0203,0.0098,-0.9929,-0.75,-0.75,4.19,-0.16,-0.46,0.88,0.0,3.0,3.0,3.0,-0.3919,-0.004,0.0143,-0.9199,1.69,-0.94,4.31,0.17,-0.12,1.29,0.0,3.0,3.0,3.0,-0.0148,-0.0001,-0.0001,-0.0001,1.31,1.12,4.13,-0.47,0.61,0.53,0.0,3.0,3.0,3.0,0.0444,0.0027,0.0031,-0.999,1.06,-1.31,4.5,0.3,-0.17,-1.97,0.0,3.0,3.0,3.0,0.1057,0.0157,-0.0001,-0.0001,-0.81,-13.13,-0.06,0.71,-1.62,-0.79,3.0,3.0,3.0,3.0
1514874.0,-0.1157,-0.0204,0.0099,-0.993,-4.5,-1.44,3.25,0.32,-0.01,-0.01,0.0,3.0,3.0,3.0,-0.3906,-0.0039,0.0141,-0.9205,-0.06,0.06,3.38,-0.21,-0.81,-0.62,0.0,3.0,3.0,3.0,-0.0134,-0.0001,-0.0001,-0.0001,4.56,0.31,3.56,0.67,-0.01,-0.01,0.0,3.0,3.0,3.0,0.0459,0.0023,0.0034,-0.999,2.5,0.63,4.13,0.31,-0.01,-0.8,0.0,3.0,3.0,3.0,0.1046,0.0204,-0.0001,-0.0001,-2.06,-11.44,6.31,-0.57,-1.11,-0.01,3.0,3.0,3.0,3.0
1514926.0,-0.1146,-0.0204,0.01,-0.9932,-2.06,1.81,0.63,-0.99,-0.9,2.06,0.0,3.0,3.0,3.0,-0.3898,-0.0042,0.0141,-0.9208,0.44,0.37,0.81,-1.51,-1.55,-0.24,0.0,3.0,3.0,3.0,-0.0128,-0.0001,-0.0001,-0.0001,-2.44,-2.25,1.19,-1.32,0.37,-1.09,0.0,3.0,3.0,3.0,0.047,0.002,0.0035,-0.9989,0.69,0.19,2.25,-1.34,1.09,-0.14,0.0,3.0,3.0,3.0,0.1047,-0.0001,-0.0001,-0.0001,-1.44,-4.31,-0.06,3.09,-0.01,-0.01,3.0,3.0,3.0,3.0
1514975.0,-0.1138,-0.0209,0.0101,-0.9932,3.0,-0.94,0.63,-0.15,0.08,-2.01,1.0,3.0,3.0,3.0,-0.3893,-0.0046,0.0142,-0.921,-0.81,1.12,-0.12,-0.25,-0.23,0.19,0.0,3.0,3.0,3.0,-0.0123,-0.0001,-0.0001,-0.0001,-5.31,-0.06,-0.06,-0.16,-1.54,1.48,0.0,3.0,3.0,3.0,0.0475,0.0016,0.0031,-0.9988,-8.69,-0.5,0.63,-0.24,-0.94,-1.89,0.0,3.0,3.0,3.0,0.1044,-0.0001,-0.0001,-0.0001,-2.88,-1.44,1.0,-2.42,-0.01,-0.01,3.0,3.0,3.0,3.0
1515024.0,-0.1136,-0.0212,0.0107,-0.9932,-4.31,-0.06,-0.5,-0.6,0.78,-3.12,1.0,3.0,3.0,3.0,-0.3893,-0.005,0.0145,-0.921,-3.94,-2.25,-2.31,-0.31,-2.28,-0.34,0.0,3.0,3.0,3.0,-0.0126,-0.0001,-0.0001,-0.0001,-5.31,-0.06,-0.06,1.15,-0.01,-0.01,0.0,3.0,3.0,3.0,0.0475,0.0015,0.0037,-0.0145,4.88,-1.0,-1.94,-0.96,0.53,5.05,0.0,3.0,3.0,3.0,0.1047,-0.0001,-0.0001,-0.0001,2.5,3.69,-0.06,-0.65,-0.01,-0.01,3.0,3.0,3.0,3.0
1515073.0,-0.0043,-0.0001,-0.0001,-0.0001,2.31,-1.37,1.12,0.25,-0.82,1.81,1.0,3.0,3.0,3.0,-0.3895,-0.0051,0.0142,-0.9209,3.63,1.88,-0.12,-0.28,0.81,-0.99,0.0,3.0,3.0,3.0,-0.0908,-0.0026,0.0128,-0.9958,2.38,0.25,-0.06,-0.62,1.46,-0.01,1.0,3.0,3.0,3.0,0.0475,0.0011,0.0038,-0.9988,-1.31,-2.19,-1.5,0.63,-1.15,-0.93,0.0,3.0,3.0,3.0,0.1055,0.0213,-0.0001,-0.0001,1.94,-0.06,-0.06,1.32,0.03,1.0,3.0,3.0,3.0,3.0
1515124.0,-0.1148,-0.0217,0.0111,-0.9931,-1.19,-0.69,-3.06,0.52,0.28,-0.85,1.0,3.0,3.0,3.0,-0.3908,-0.0051,0.0148,-0.9203,0.19,-1.81,-2.5,0.42,-0.5,-0.48,0.0,3.0,3.0,3.0,-0.014,-0.0001,-0.0001,-0.0001,5.0,1.31,-0.06,0.35,0.06,-0.01,1.0,3.0,3.0,3.0,0.0463,0.0005,0.0041,-0.9989,-0.69,0.12,-1.5,0.66,0.36,-0.51,0.0,3.0,3.0,3.0,0.1058,-0.0001,-0.0001,-0.0001,0.44,-0.06,-0.06,0.1,-0.01,-0.01,3.0,3.0,3.0,3.0
1515173.0,-0.1155,-0.0217,0.0113,-0.993,-2.19,1.88,-1.75,1.29,0.04,-0.66,2.0,3.0,3.0,3.0,-0.3914,-0.0051,0.0144,-0.9201,-0.5,1.63,-2.13,1.12,0.48,1.28,0.0,3.0,3.0,3.0,-0.093,-0.0028,0.0129,-0.9956,-2.19,3.0,-0.06,0.61,0.04,-0.01,1.0,3.0,3.0,3.0,0.0456,0.0004,0.0048,-0.999,-2.06,2.19,-2.19,1.33,-0.42,0.34,0.0,3.0,3.0,3.0,0.1065,-0.0001,-0.0001,-0.0001,-1.31,11.69,-0.06,0.52,-0.01,-0.01,3.0,3.0,3.0,3.0
1515224.0,-0.1164,-0.0203,0.0116,-0.9929,-2.81,3.88,-1.94,1.27,0.73,-2.83,2.0,3.0,3.0,3.0,-0.3923,-0.0039,0.014,-0.9197,-3.19,1.94,-2.38,1.04,-1.92,1.39,0.0,3.0,3.0,3.0,-0.094,-0.0016,0.0129,-0.9955,-3.31,4.44,-0.06,1.62,-1.36,-0.91,1.0,3.0,3.0,3.0,0.0446,0.0015,0.0051,-0.0146,-3.81,3.25,-1.69,0.89,0.19,0.45,0.0,3.0,3.0,3.0,0.1064,0.005,-0.0001,-0.0001,0.88,-0.06,-0.06,0.26,-0.01,-0.01,3.0,3.0,3.0,3.0
1515274.0,-0.1168,-0.0182,0.0112,-0.9929,-0.06,7.25,-0.69,0.77,-0.1,3.4,2.0,3.0,3.0,3.0,-0.3929,-0.0023,0.0129,-0.9195,0.12,5.06,-0.81,-0.09,-0.18,-0.93,0.0,3.0,3.0,3.0,-0.0945,-0.0001,0.0118,-0.9954,-1.0,3.25,-0.06,1.39,0.03,0.4,1.0,3.0,3.0,3.0,0.0442,0.0031,0.0053,-0.0146,1.69,4.63,0.0,1.42,0.85,0.09,0.0,3.0,3.0,3.0,0.1067,0.003,-0.0001,-0.0001,0.94,2.38,0.5,0.03,-0.01,-0.01,3.0,3.0,3.0,3.0
1515324.0,-0.1169,-0.0165,0.011,-0.993,-2.63,3.13,0.56,0.8,-0.49,2.62,2.0,3.0,3.0,3.0,-0.393,-0.001,0.0115,-0.9194,0.25,4.0,0.25,2.52,1.86,-0.51,0.0,3.0,3.0,3.0,-0.0945,0.0009,0.011,-0.9955,0.31,-0.06,-0.06,2.06,-0.01,-0.01,1.0,3.0,3.0,3.0,0.0442,0.0048,0.0055,-0.0146,-6.56,2.56,0.5,0.68,0.47,1.53,0.0,3.0,3.0,3.0,0.1066,0.0027,-0.0001,-0.0001,1.44,0.94,1.31,0.68,0.49,0.45,3.0,3.0,3.0,3.0
1515374.0,-0.1164,-0.0149,0.0113,-0.993,-2.06,5.31,1.31,0.51,-1.22,-3.17,2.0,3.0,3.0,3.0,-0.3928,0.0003,-0.0001,-0.0001,4.13,3.56,0.75,2.1,-2.67,1.22,0.0,3.0,3.0,3.0,-0.0942,0.0021,0.0106,-0.9955,1.75,2.75,0.94,0.86,-0.01,-0.01,2.0,3.0,3.0,3.0,0.0446,0.006,0.0053,-0.0146,-7.25,3.5,1.25,-0.14,0.41,1.06,0.0,3.0,3.0,3.0,0.1064,0.0026,-0.0001,-0.0001,2.5,0.81,0.5,1.1,-1.36,-0.48,3.0,3.0,3.0,3.0
1515424.0,-0.1157,-0.0128,0.0115,-0.9931,-0.63,5.63,1.44,-2.32,-0.35,9.99,2.0,3.0,3.0,3.0,-0.3923,0.0017,0.0095,-0.9198,5.88,11.75,1.5,-0.98,-4.71,-0.68,0.0,3.0,3.0,3.0,-0.0936,0.0031,0.0098,-0.9955,2.56,0.69,1.25,2.84,-1.36,0.3,2.0,3.0,3.0,3.0,0.0453,0.0074,0.0065,-0.9989,8.44,0.44,1.37,-1.27,-0.81,0.15,0.0,3.0,3.0,3.0,0.1064,0.0023,-0.0001,-0.0001,1.81,0.75,-0.06,1.51,0.74,-0.31,3.0,3.0,3.0,3.0
1515474.0,-0.1154,-0.0111,0.0115,-0.9932,-3.0,5.94,0.94,-0.07,0.34,-8.62,2.0,3.0,3.0,3.0,-0.392,0.0034,0.0081,-0.9199,-2.0,10.31,0.19,0.14,-3.01,-2.35,0.0,3.0,3.0,3.0,-0.0934,0.0046,0.009,-0.9955,3.69,3.25,0.37,2.44,-0.01,-0.01,2.0,3.0,3.0,3.0,0.0457,-0.0001,-0.0001,-0.0001,-3.31,3.19,0.25,-2.17,-1.28,-2.14,0.0,3.0,3.0,3.0,0.1063,0.0024,-0.0001,-0.0001,2.31,-0.06,-0.06,-0.81,-0.01,-0.01,3.0,3.0,3.0,3.0
1515524.0,-0.1153,-0.0089,0.0114,-0.9932,-0.12,4.06,0.12,1.32,0.43,1.46,2.0,3.0,3.0,3.0,-0.392,0.0064,0.0069,-0.9199,6.38,7.13,0.19,-0.63,0.57,1.4,0.0,3.0,3.0,3.0,-0.0935,0.0067,0.0089,-0.9955,-7.88,-0.06,-0.06,-3.2,1.7,-1.62,3.0,3.0,3.0,3.0,0.0457,-0.0001,-0.0001,-0.0001,-0.88,8.19,0.06,1.95,-1.41,-3.26,0.0,3.0,3.0,3.0,0.111,0.004,-0.0001,-0.0001,-0.63,-6.25,-0.06,0.35,-0.01,-0.01,3.0,3.0,3.0,3.0
1515574.0,-0.1154,-0.0071,0.0118,-0.9932,-1.88,6.31,-0.81,-1.8,-0.99,2.2,2.0,3.0,3.0,3.0,-0.3923,0.0085,0.0068,-0.9198,-2.75,3.88,-1.06,1.02,-1.16,0.6,0.0,3.0,3.0,3.0,-0.0939,0.0086,0.0083,-0.9955,1.06,3.5,-0.06,0.08,3.21,3.53,3.0,3.0,3.0,3.0,0.0454,-0.0001,-0.0001,-0.0001,-3.38,3.75,-0.88,-0.28,1.55,1.45,0.0,3.0,3.0,3.0,0.1136,0.0065,-0.0001,-0.0001,-1.19,-5.94,-0.06,-0.33,0.37,0.19,3.0,3.0,3.0,3.0
1515624.0,-0.1158,-0.0047,0.0113,-0.9932,2.69,8.31,-1.63,-0.52,2.08,-0.01,2.0,3.0,3.0,3.0,-0.3928,0.0102,0.0062,-0.9196,-6.13,2.56,-1.31,1.73,2.93,-0.3,0.0,3.0,3.0,3.0,-0.0944,0.0107,0.0085,-0.9954,2.5,1.44,-0.06,-2.77,4.28,-0.01,3.0,3.0,3.0,3.0,0.045,-0.0001,-0.0001,-0.0001,-7.06,-0.06,-0.06,0.7,-0.92,0.15,1.0,3.0,3.0,3.0,0.1146,-0.0001,-0.0001,-0.0001,0.31,-0.06,-0.06,2.17,0.24,3.23,3.0,3.0,3.0,3.0
1515674.0,-0.0068,-0.0001,-0.0001,-0.0001,0.75,6.0,-0.94,-0.13,1.64,-3.7,1.0,3.0,3.0,3.0,-0.3933,0.0115,0.0053,-0.9193,-3.13,6.31,-1.5,-0.7,-0.85,1.17,0.0,3.0,3.0,3.0,-0.095,0.0134,0.0085,-0.9954,2.0,7.81,-1.19,-0.21,-0.23,-2.91,3.0,3.0,3.0,3.0,0.0446,0.0172,0.0065,-0.0145,4.75,7.81,-1.0,-1.02,-0.81,-4.49,1.0,3.0,3.0,3.0,0.1157,0.0078,-0.0001,-0.0001,-1.37,10.44,-0.06,2.2,0.59,-0.01,3.0,3.0,3.0,3.0
1515724.0,-0.1166,-0.0003,0.0118,-0.9931,0.31,1.0,-1.12,1.42,-0.82,-3.98,1.0,3.0,3.0,3.0,-0.3939,0.0149,0.0052,-0.919,0.5,7.81,-1.63,0.12,1.22,-1.04,0.0,3.0,3.0,3.0,-0.0956,0.0159,0.0095,-0.9952,-11.75,4.5,-0.06,1.7,-0.01,-0.01,3.0,3.0,3.0,3.0,0.0441,0.0187,-0.0001,-0.0001,-7.69,-0.06,-0.06,0.27,-2.16,-5.4,2.0,3.0,3.0,3.0,0.1163,0.004,-0.0001,-0.0001,-0.94,4.0,1.5,-0.53,-0.19,-2.0,3.0,3.0,3.0,3.0
1515774.0,-0.117,0.002,0.0115,-0.993,-7.19,10.94,-0.37,-3.11,-1.81,1.81,0.0,3.0,3.0,3.0,-0.3943,0.0173,0.0046,-0.9188,-6.75,4.38,-0.88,-0.56,-1.5,3.59,0.0,3.0,3.0,3.0,-0.0961,0.0184,0.0083,-0.9952,-0.37,2.44,-0.06,0.33,-1.44,2.29,3.0,3.0,3.0,3.0,0.0436,0.0222,-0.0001,-0.0001,-11.06,4.5,-0.06,-2.04,2.78,2.61,2.0,3.0,3.0,3.0,0.1169,0.0016,-0.0001,-0.0001,-0.37,8.06,-0.06,-2.21,-0.01,-0.01,3.0,3.0,3.0,3.0
1515824.0,-0.0076,-0.0001,-0.0001,-0.0001,-3.0,10.0,0.37,-0.66,0.17,-0.76,0.0,3.0,3.0,3.0,-0.3943,0.02,0.0028,-0.9188,-3.19,6.19,-0.25,-2.51,-0.94,0.46,0.0,3.0,3.0,3.0,-0.0961,0.0213,0.0078,-0.9951,6.81,5.31,0.12,-0.48,-1.7,-5.76,3.0,3.0,3.0,3.0,0.0436,-0.0001,-0.0001,-0.0001,-1.88,10.94,0.0,-0.78,-2.52,-3.05,2.0,3.0,3.0,3.0,0.1169,-0.0001,-0.0001,-0.0001,0.44,7.56,2.06,0.02,-0.01,-0.01,3.0,3.0,3.0,3.0
