,sensor0,,,,,,,,,,,,,,sensor1,,,,,,,,,,,,,,sensor2,,,,,,,,,,,,,,sensor3,,,,,,,,,,,,,,sensor4
時刻(ms),相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag
7511018.0,0.4807,-0.0001,-0.0001,-0.0001,-0.44,0.12,-0.06,0.26,0.12,-0.31,0.0,3.0,3.0,3.0,0.2043,-0.0144,-0.0001,-0.0001,-0.5,-0.06,-6.5,0.46,-0.21,0.13,3.0,3.0,3.0,3.0,0.3524,-0.0001,-0.0001,-0.0001,-0.37,-0.25,-6.44,0.47,-0.27,-0.3,3.0,3.0,3.0,3.0,0.3434,0.0051,0.0068,-0.9391,0.56,0.12,-6.25,0.53,0.08,-0.31,0.0,3.0,3.0,3.0,-0.0076,-0.0001,-0.0001,-0.0001,-0.06,4.81,-0.06,0.45,-0.01,-0.01,3.0,3.0,3.0,3.0
7511068.0,0.4784,-0.0001,-0.0001,-0.0001,0.69,0.06,-0.06,0.61,0.3,-0.26,0.0,3.0,3.0,3.0,0.2017,-0.0147,-0.0001,-0.0001,-0.56,-0.06,-6.81,0.57,-0.07,-0.51,3.0,3.0,3.0,3.0,0.3499,-0.0001,-0.0001,-0.0001,-0.37,-0.37,-6.69,0.41,0.13,-0.35,3.0,3.0,3.0,3.0,0.3408,0.0046,0.0064,-0.9401,0.56,0.0,-6.88,0.4,0.13,0.15,0.0,3.0,3.0,3.0,-0.0054,-0.0001,-0.0001,-0.0001,-0.5,3.81,-0.06,0.34,0.67,-0.01,3.0,3.0,3.0,3.0
7511118.0,0.4758,-0.0001,-0.0001,-0.0001,0.0,-0.06,-0.06,0.41,0.13,-0.14,0.0,3.0,3.0,3.0,0.1987,-0.015,-0.0001,-0.0001,-0.63,0.0,-0.06,0.34,-0.18,-0.15,3.0,3.0,3.0,3.0,0.3472,-0.0001,-0.0001,-0.0001,-1.12,0.12,-7.63,0.38,-0.52,-0.05,3.0,3.0,3.0,3.0,0.338,0.0036,0.0055,-0.9411,0.75,-0.31,-7.56,0.47,-0.03,-0.5,0.0,3.0,3.0,3.0,-0.2213,0.0033,0.0159,0.975,0.37,3.63,-8.19,0.32,-0.01,-0.01,3.0,3.0,3.0,3.0
7511169.0,0.4731,-0.0001,-0.0001,-0.0001,2.13,-0.06,-0.06,0.42,0.42,-0.25,0.0,3.0,3.0,3.0,0.1959,-0.015,-0.0001,-0.0001,-0.75,0.06,-5.75,0.36,-0.08,-0.78,3.0,3.0,3.0,3.0,0.3445,-0.0001,-0.0001,-0.0001,1.19,0.94,-5.25,1.03,-0.09,-0.84,3.0,3.0,3.0,3.0,0.3355,0.0041,0.0047,-0.942,3.13,0.5,-5.19,0.53,0.65,0.89,0.0,3.0,3.0,3.0,-0.2189,0.0017,0.0157,0.9756,1.06,3.56,-0.06,0.51,0.12,-0.73,3.0,3.0,3.0,3.0
7511219.0,0.4715,-0.0001,-0.0001,-0.0001,-0.56,-0.75,-2.69,0.17,1.13,-0.05,0.0,3.0,3.0,3.0,0.1945,-0.0152,-0.0001,-0.0001,0.12,-0.06,-0.06,0.31,0.35,-0.07,3.0,3.0,3.0,3.0,0.3431,-0.0001,-0.0001,-0.0001,0.0,1.75,-1.69,0.66,0.43,-0.84,3.0,3.0,3.0,3.0,0.3345,0.004,0.0046,-0.9424,-0.63,-0.63,-0.75,0.58,0.59,-1.65,0.0,3.0,3.0,3.0,-0.0149,-0.0001,-0.0001,-0.0001,0.0,2.13,0.06,0.7,-0.01,-0.01,3.0,3.0,3.0,3.0
7511269.0,0.4715,-0.0001,-0.0001,-0.0001,0.5,1.75,1.44,0.56,0.42,-0.48,0.0,3.0,3.0,3.0,0.1946,-0.0151,-0.0001,-0.0001,-0.81,1.25,1.56,0.38,-0.16,-1.7,3.0,3.0,3.0,3.0,0.3432,-0.0001,-0.0001,-0.0001,1.56,0.37,1.69,1.37,-0.87,-1.4,3.0,3.0,3.0,3.0,0.3349,0.0042,0.0046,-0.9423,-1.19,-0.12,1.88,1.05,0.5,-0.01,0.0,3.0,3.0,3.0,-0.0153,-0.0001,-0.0001,-0.0001,-0.12,2.69,3.19,0.39,0.34,-1.3,3.0,3.0,3.0,3.0
7511319.0,0.4724,-0.0001,-0.0001,-0.0001,-1.06,1.19,3.0,1.43,-0.04,-1.15,0.0,3.0,3.0,3.0,0.1957,-0.0156,-0.0001,-0.0001,-2.56,-1.56,2.94,0.96,0.67,0.91,3.0,3.0,3.0,3.0,0.3442,-0.0001,-0.0001,-0.0001,-1.06,0.94,2.25,0.28,-1.15,1.09,3.0,3.0,3.0,3.0,0.336,0.0038,0.0046,-0.9418,-1.63,-0.94,2.38,-0.25,-0.45,3.93,0.0,3.0,3.0,3.0,-0.2195,-0.0008,0.0155,0.9755,2.75,1.0,1.25,0.99,1.01,-0.55,3.0,3.0,3.0,3.0
7511369.0,0.4734,-0.0001,-0.0001,-0.0001,3.13,-0.06,-0.06,2.01,2.14,-1.4,0.0,3.0,3.0,3.0,0.1968,-0.0154,-0.0001,-0.0001,1.56,-0.06,-0.06,0.43,3.32,1.62,3.0,3.0,3.0,3.0,0.3453,-0.0001,-0.0001,-0.0001,3.0,0.63,4.25,-0.4,1.94,-0.56,3.0,3.0,3.0,3.0,0.3372,0.0041,0.0039,-0.9414,2.5,3.25,4.38,-0.89,0.56,0.56,0.0,3.0,3.0,3.0,-0.2211,-0.0003,0.0157,0.9751,-0.25,-5.13,-0.06,1.43,-1.82,-0.1,3.0,3.0,3.0,3.0
7511419.0,0.4749,-0.0001,-0.0001,-0.0001,-1.37,-1.19,3.88,0.18,-0.5,0.95,0.0,3.0,3.0,3.0,0.1984,-0.0154,-0.0001,-0.0001,-1.69,-2.75,4.25,0.28,2.62,0.62,3.0,3.0,3.0,3.0,0.347,-0.0001,-0.0001,-0.0001,5.31,2.56,5.94,1.65,0.84,-1.17,3.0,3.0,3.0,3.0,0.3389,0.0038,0.0044,-0.9408,-2.5,-0.56,5.63,-0.13,1.16,-0.34,0.0,3.0,3.0,3.0,-0.0043,-0.0001,-0.0001,-0.0001,-2.38,-2.38,11.88,1.57,-1.99,-0.32,3.0,3.0,3.0,3.0
7511470.0,0.4766,-0.0001,-0.0001,-0.0001,2.69,-0.06,-0.06,0.63,-0.48,-2.98,0.0,3.0,3.0,3.0,0.2003,-0.0154,-0.0001,-0.0001,-3.56,-3.5,2.81,0.18,-2.87,1.3,3.0,3.0,3.0,3.0,0.3488,-0.0001,-0.0001,-0.0001,2.94,1.25,5.0,0.32,0.29,0.67,3.0,3.0,3.0,3.0,0.3406,0.0043,0.0034,-0.9402,-0.31,-1.12,4.06,1.42,0.96,-1.83,0.0,3.0,3.0,3.0,-0.0057,-0.0001,-0.0001,-0.0001,-2.75,-1.94,7.38,0.22,-0.67,0.53,3.0,3.0,3.0,3.0
