,sensor0,,,,,,,,,,,,,,sensor1,,,,,,,,,,,,,,sensor2,,,,,,,,,,,,,,sensor3,,,,,,,,,,,,,,sensor4
時刻(ms),相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag
616379.0,-0.0079,-0.0176,0.0062,-0.9998,-0.44,0.06,4.25,0.21,0.05,0.11,0.0,3.0,3.0,3.0,-0.2905,0.0182,0.0031,0.9567,-0.63,-0.56,4.25,0.43,-0.08,0.11,0.0,3.0,3.0,3.0,-0.004,-0.0001,-0.0001,-0.0001,-0.06,-1.06,4.06,0.59,-0.05,0.17,2.0,3.0,3.0,3.0,0.1078,0.0011,0.0054,-0.0001,-1.75,-0.12,4.31,0.54,-0.09,-0.36,0.0,3.0,3.0,3.0,-0.0055,-0.0001,-0.0001,-0.0001,0.31,-0.06,-0.06,-0.31,0.18,-0.16,3.0,3.0,3.0,3.0
616429.0,-0.0061,-0.0177,0.0065,-0.9998,-0.31,-0.69,4.63,0.63,-0.01,-0.01,0.0,3.0,3.0,3.0,-0.2923,0.0187,0.003,0.9561,0.12,-0.06,-0.06,0.5,0.03,-0.01,0.0,3.0,3.0,3.0,-0.0059,-0.0001,-0.0001,-0.0001,0.31,0.5,4.38,0.19,0.09,-0.37,2.0,3.0,3.0,3.0,0.106,0.001,0.0051,-0.0001,0.5,0.63,4.44,0.24,-0.12,0.03,0.0,3.0,3.0,3.0,-0.0073,-0.0001,-0.0001,-0.0001,0.37,-0.06,-0.06,0.53,-0.17,-0.41,3.0,3.0,3.0,3.0
616478.0,-0.0043,-0.0182,0.006,-0.9998,3.69,-1.5,3.94,0.23,0.22,-0.23,0.0,3.0,3.0,3.0,-0.0127,-0.0001,-0.0001,-0.0001,-0.25,-1.75,3.75,0.46,0.36,-0.01,0.0,3.0,3.0,3.0,-0.0076,-0.0001,-0.0001,-0.0001,0.94,0.94,3.94,0.0,0.71,-0.06,2.0,3.0,3.0,3.0,0.1042,0.0011,0.0059,-0.0001,0.94,0.31,3.88,-0.08,-0.55,-0.64,0.0,3.0,3.0,3.0,-0.1339,0.0209,0.0167,0.9907,-0.63,1.0,3.44,0.23,0.1,-0.21,3.0,3.0,3.0,3.0
616529.0,-0.0031,-0.0182,0.0058,-0.9998,-1.69,-0.25,2.63,0.0,0.28,0.23,0.0,3.0,3.0,3.0,-0.0139,-0.0001,-0.0001,-0.0001,-1.06,0.88,2.94,0.07,0.01,-0.02,0.0,3.0,3.0,3.0,-0.1963,0.0143,-0.0001,-0.0001,0.37,0.12,3.44,0.02,0.0,-0.05,2.0,3.0,3.0,3.0,0.103,0.0012,0.0057,-0.0001,0.31,0.63,4.0,0.29,0.32,-0.06,0.0,3.0,3.0,3.0,-0.1351,0.0208,0.0166,0.9905,-0.31,0.5,3.69,0.46,-0.28,-0.15,3.0,3.0,3.0,3.0
616580.0,-0.0012,-0.0182,0.0059,-0.9998,0.81,0.0,5.69,-0.01,-0.5,0.77,0.0,3.0,3.0,3.0,-0.2971,0.0196,0.0027,0.9547,0.63,-0.56,6.13,0.26,-0.32,-0.15,0.0,3.0,3.0,3.0,-0.1983,0.0142,-0.0001,-0.0001,0.25,-1.31,6.13,0.3,-0.61,-0.1,2.0,3.0,3.0,3.0,0.1008,0.0013,0.0056,-0.0001,-1.12,-1.88,6.25,0.33,-0.84,-1.25,0.0,3.0,3.0,3.0,-0.0126,-0.0001,-0.0001,-0.0001,0.44,3.31,6.06,0.46,0.44,-0.14,3.0,3.0,3.0,3.0
616630.0,0.0013,-0.0185,0.0058,-0.9998,1.12,-0.56,5.38,0.33,0.28,-0.1,0.0,3.0,3.0,3.0,-0.2994,0.02,0.0029,0.9539,-0.88,-1.37,5.31,0.78,0.32,0.42,0.0,3.0,3.0,3.0,-0.0132,-0.0001,-0.0001,-0.0001,-1.56,-0.19,5.0,0.48,0.36,0.21,2.0,3.0,3.0,3.0,0.0984,0.0015,0.0058,-0.0001,0.12,0.81,4.88,0.46,-0.2,-0.84,0.0,3.0,3.0,3.0,-0.015,-0.0001,-0.0001,-0.0001,-0.75,3.5,5.94,0.78,0.01,0.23,3.0,3.0,3.0,3.0
616680.0,0.0034,-0.0001,-0.0001,-0.0001,-0.31,-0.06,4.75,-0.13,0.08,-0.15,0.0,3.0,3.0,3.0,-0.0046,-0.0001,-0.0001,-0.0001,-1.12,-0.5,5.13,-0.43,-0.65,0.22,0.0,3.0,3.0,3.0,-0.0153,-0.0001,-0.0001,-0.0001,0.12,0.88,5.63,-0.69,-0.25,-0.27,2.0,3.0,3.0,3.0,0.0963,0.0012,0.0059,-0.0001,0.25,-0.75,6.13,-0.14,0.07,0.7,0.0,3.0,3.0,3.0,-0.1424,0.0162,0.0157,0.9896,0.12,8.25,7.19,1.08,-0.99,0.22,3.0,3.0,3.0,3.0
616730.0,0.006,-0.0188,0.006,-0.9998,-0.88,0.5,6.75,0.71,-0.01,-0.01,0.0,3.0,3.0,3.0,-0.0071,-0.0001,-0.0001,-0.0001,0.06,0.44,6.63,0.75,0.68,-0.88,0.0,3.0,3.0,3.0,-0.2054,0.0142,-0.0001,-0.0001,1.56,2.44,5.94,0.53,0.12,0.24,2.0,3.0,3.0,3.0,0.0935,0.0013,0.0057,-0.0001,-0.25,-1.37,5.19,0.72,0.35,0.59,0.0,3.0,3.0,3.0,-0.0048,-0.0001,-0.0001,-0.0001,0.56,-0.06,-0.06,-0.5,1.16,0.5,3.0,3.0,3.0,3.0
616779.0,0.0083,-0.019,0.0058,-0.9998,0.88,-1.0,5.13,0.48,0.43,-0.01,0.0,3.0,3.0,3.0,-0.3062,0.0205,0.002,-0.0001,-1.12,-0.88,5.5,0.84,0.38,0.08,0.0,3.0,3.0,3.0,-0.0045,-0.0001,-0.0001,-0.0001,-0.44,0.5,5.25,1.12,-0.13,0.56,2.0,3.0,3.0,3.0,0.0913,0.0015,0.0055,-0.0001,2.44,0.94,6.25,0.89,0.68,-0.01,0.0,3.0,3.0,3.0,-0.1486,0.0079,-0.0001,-0.0001,0.37,5.63,4.75,0.01,0.08,0.08,3.0,3.0,3.0,3.0
616829.0,0.0112,-0.019,0.0058,-0.9998,-1.75,1.0,8.13,0.73,-0.38,0.1,0.0,3.0,3.0,3.0,-0.0121,-0.0001,-0.0001,-0.0001,-0.25,-0.75,7.88,0.57,-0.01,-0.01,0.0,3.0,3.0,3.0,-0.0073,-0.0001,-0.0001,-0.0001,1.12,-0.06,-0.06,0.65,0.22,-0.14,2.0,3.0,3.0,3.0,0.0883,0.0014,0.0054,-0.0001,-2.94,-0.81,7.94,0.6,-0.98,-1.79,0.0,3.0,3.0,3.0,-0.1516,0.0069,-0.0001,-0.0001,-1.19,1.31,6.75,0.95,0.01,-0.39,3.0,3.0,3.0,3.0
