,sensor0,,,,,,,,,,,,,,sensor1,,,,,,,,,,,,,,sensor2,,,,,,,,,,,,,,sensor3,,,,,,,,,,,,,,sensor4
時刻(ms),相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag
3087166.0,0.961,-0.0127,-0.0001,-0.0001,0.69,0.0,0.12,0.0,0.0,-0.14,3.0,3.0,3.0,2.0,0.9672,-0.0148,-0.0001,-0.0001,-0.06,0.12,0.19,0.0,0.03,-0.01,3.0,3.0,3.0,3.0,0.9601,-0.0201,-0.0079,0.2789,0.06,0.19,0.12,0.0,-0.02,-0.19,3.0,3.0,3.0,2.0,0.9572,-0.0093,-0.0038,0.2892,0.69,0.37,0.31,-0.02,-0.05,0.02,3.0,3.0,3.0,2.0,0.9492,0.0041,-0.0177,0.3143,0.12,-0.06,0.19,-0.2,0.0,-0.22,3.0,3.0,3.0,3.0
3087215.0,0.961,-0.0126,-0.0001,-0.0001,-0.31,-0.06,0.0,-0.12,0.06,-0.15,3.0,3.0,3.0,2.0,0.9672,-0.0148,-0.0001,-0.0001,-0.19,0.0,-0.06,-0.06,0.07,-0.01,3.0,3.0,3.0,3.0,0.9601,-0.0201,-0.0079,0.2789,0.06,-0.69,0.06,-0.02,0.01,-0.16,3.0,3.0,3.0,2.0,0.9572,-0.0094,-0.0039,0.2892,-1.19,-0.69,-0.06,0.09,-0.05,-0.59,3.0,3.0,3.0,2.0,0.9492,0.0041,-0.0178,0.3143,0.06,-0.44,-0.12,0.06,-0.03,-0.21,3.0,3.0,3.0,3.0
3087265.0,0.961,-0.0128,-0.0001,-0.0001,0.06,0.25,0.06,0.01,0.02,-0.16,3.0,3.0,3.0,2.0,0.9672,-0.0148,-0.0001,-0.0001,-0.06,0.0,-0.06,0.07,-0.01,-0.01,3.0,3.0,3.0,3.0,0.9601,-0.0001,-0.0001,-0.0001,0.0,0.69,0.06,0.09,-0.08,-0.17,3.0,3.0,3.0,2.0,0.9572,-0.0095,-0.004,-0.0001,0.88,0.19,0.12,0.06,-0.02,-0.18,3.0,3.0,3.0,2.0,0.9492,0.0041,-0.0178,0.3143,0.12,0.44,0.06,0.18,0.01,-0.2,3.0,3.0,3.0,3.0
3087314.0,0.961,-0.0126,-0.0001,-0.0001,0.88,-0.06,-0.06,-0.05,0.02,-0.18,3.0,3.0,3.0,2.0,0.9672,-0.0148,-0.0179,0.2529,0.06,0.12,0.0,0.0,-0.01,-0.01,3.0,3.0,3.0,3.0,0.9601,-0.0001,-0.0001,-0.0001,0.31,1.0,0.25,-0.03,-0.05,-0.18,3.0,3.0,3.0,2.0,0.9572,-0.0092,-0.0038,0.2892,1.25,0.63,0.19,-0.04,-0.01,-0.19,3.0,3.0,3.0,2.0,0.9492,0.004,-0.0175,0.3143,0.06,1.0,0.25,0.04,-0.07,-0.2,3.0,3.0,3.0,3.0
3087366.0,0.961,-0.0121,-0.0001,-0.0001,1.37,0.0,0.25,0.01,0.04,-0.18,3.0,3.0,3.0,2.0,0.9672,-0.0148,-0.0179,0.2529,0.0,0.31,0.12,0.04,0.02,-0.01,3.0,3.0,3.0,3.0,0.9601,-0.0001,-0.0001,-0.0001,0.44,1.25,0.44,0.05,-0.05,-0.17,3.0,3.0,3.0,2.0,0.9572,-0.0087,-0.0034,0.2892,1.56,0.75,0.25,0.08,-0.01,-0.26,3.0,3.0,3.0,2.0,0.9492,0.0038,-0.017,0.3143,0.37,1.31,0.12,0.03,-0.01,-0.14,3.0,3.0,3.0,3.0
3087417.0,0.961,-0.0114,-0.0317,0.2745,2.13,0.12,0.25,0.0,0.1,-0.14,3.0,3.0,3.0,2.0,0.9672,-0.0148,-0.0179,0.2529,0.31,0.06,0.37,0.0,0.02,-0.01,3.0,3.0,3.0,3.0,0.9601,-0.0203,-0.0067,0.279,0.63,0.75,0.44,0.03,0.09,-0.16,3.0,3.0,3.0,2.0,0.9572,-0.008,-0.0027,0.2892,1.37,0.5,0.44,0.0,-0.05,-0.13,3.0,3.0,3.0,2.0,0.9492,0.0037,-0.0164,0.3143,0.0,1.25,0.37,-0.35,0.14,-0.24,3.0,3.0,3.0,3.0
3087467.0,0.961,-0.0111,-0.0316,0.2745,0.37,0.06,0.06,-0.21,-0.03,-0.15,3.0,3.0,3.0,2.0,0.9672,-0.0148,-0.0179,0.2529,-0.12,-0.19,-0.12,-0.19,-0.02,-0.22,3.0,3.0,3.0,3.0,0.9601,-0.0203,-0.0066,0.279,0.06,0.0,-0.25,-0.28,-0.01,-0.16,3.0,3.0,3.0,2.0,0.9572,-0.008,-0.0027,0.2892,-0.25,0.0,-0.12,-0.24,-0.16,-0.28,3.0,3.0,3.0,2.0,0.9492,0.0036,-0.0162,0.3143,-0.31,0.06,-0.37,-0.21,0.0,-0.18,3.0,3.0,3.0,3.0
3087517.0,0.961,-0.0111,-0.0316,0.2745,-0.06,-0.19,-0.37,-0.02,-0.02,-0.18,3.0,3.0,3.0,2.0,0.9672,-0.0148,-0.0179,0.2529,-0.19,0.19,-0.06,-0.05,-0.1,-0.18,3.0,3.0,3.0,3.0,0.9601,-0.0204,-0.0063,0.279,0.25,-0.06,-0.44,0.05,-0.03,-0.17,3.0,3.0,3.0,2.0,0.9572,-0.0083,-0.0026,0.2892,-0.12,0.0,-0.5,0.06,-0.07,-0.27,3.0,3.0,3.0,2.0,0.9492,0.0035,-0.0161,0.3143,-0.31,0.88,-0.56,0.14,-0.02,-0.2,3.0,3.0,3.0,3.0
3087567.0,0.961,-0.0111,-0.0316,0.2744,0.31,0.0,-0.63,0.14,0.03,-0.16,3.0,3.0,3.0,2.0,0.9673,-0.0147,-0.0001,-0.0001,-0.06,0.12,-0.06,0.18,0.26,-0.01,3.0,3.0,3.0,3.0,0.9601,-0.0204,-0.0064,0.2789,0.12,0.25,-1.0,-0.07,0.46,-0.22,3.0,3.0,3.0,2.0,0.9573,-0.0084,-0.0026,0.2891,0.25,0.06,-1.06,0.33,0.2,-0.47,3.0,3.0,3.0,2.0,0.9492,0.0034,-0.0156,0.3141,-0.25,1.63,0.06,0.31,-1.31,-0.11,3.0,3.0,3.0,3.0
3087617.0,0.9611,-0.011,-0.0316,0.2741,1.06,0.0,0.19,0.0,0.42,-0.01,3.0,3.0,3.0,2.0,0.9673,-0.0147,-0.0001,-0.0001,1.37,-0.06,-0.06,0.1,0.88,-0.01,3.0,3.0,3.0,3.0,0.9601,-0.0001,-0.0001,-0.0001,-0.31,-0.44,0.5,-0.27,0.23,-0.16,3.0,3.0,3.0,2.0,0.9573,-0.0082,-0.0025,0.289,0.5,0.56,0.81,-0.29,-0.07,-0.24,3.0,3.0,3.0,2.0,0.9492,0.0034,-0.0156,0.3141,0.75,-1.81,-0.19,-0.34,-0.02,-0.26,3.0,3.0,3.0,3.0
3087667.0,0.9611,-0.0112,-0.0317,0.2743,-0.37,0.0,1.0,0.11,-0.13,-0.05,3.0,3.0,3.0,2.0,0.9673,-0.0146,-0.0178,0.2526,1.0,-0.06,-0.06,0.15,0.58,0.0,3.0,3.0,3.0,3.0,0.9601,-0.0202,-0.0065,0.279,-0.44,0.06,0.31,-0.05,0.06,-0.18,3.0,3.0,3.0,2.0,0.9572,-0.0085,-0.0027,0.2892,0.37,0.19,0.56,0.18,-0.24,-0.15,3.0,3.0,3.0,2.0,0.9492,0.0037,-0.0159,0.3144,0.69,-0.37,-0.37,0.05,0.81,-0.29,3.0,3.0,3.0,2.0
3087717.0,0.9611,-0.0112,-0.0317,0.2744,-0.25,-0.06,-0.19,0.13,0.01,-0.18,3.0,3.0,3.0,2.0,0.9673,-0.0146,-0.0178,0.2525,-0.25,0.06,-0.06,0.26,0.16,-0.01,3.0,3.0,3.0,3.0,0.9601,-0.0001,-0.0001,-0.0001,-1.0,-0.44,-0.88,0.31,-0.63,-0.2,3.0,3.0,3.0,2.0,0.9573,-0.0085,-0.0027,0.2891,0.12,0.06,-0.94,0.29,0.12,-0.34,3.0,3.0,3.0,2.0,0.9492,0.0037,-0.0159,0.3142,0.37,-0.37,-1.37,0.31,0.19,-0.01,3.0,3.0,3.0,2.0
3087768.0,0.9611,-0.0112,-0.0317,0.2742,0.56,0.12,-0.12,-0.16,0.34,-0.15,3.0,3.0,3.0,2.0,0.9673,-0.0147,-0.0179,0.2523,-0.12,0.25,-0.06,-0.14,-0.15,-0.2,3.0,3.0,3.0,3.0,0.9601,-0.0203,-0.0066,0.2788,-0.31,0.31,0.12,0.09,-0.25,-0.15,3.0,3.0,3.0,2.0,0.9573,-0.0085,-0.0027,0.2889,0.06,0.12,0.44,-0.06,0.02,-0.24,3.0,3.0,3.0,2.0,0.9492,0.0037,-0.0159,0.3142,0.19,-0.06,0.37,-0.13,0.32,-0.26,3.0,3.0,3.0,2.0
