,sensor0,,,,,,,,,,,,,,sensor1,,,,,,,,,,,,,,sensor2,,,,,,,,,,,,,,sensor3,,,,,,,,,,,,,,sensor4
時刻(ms),相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag
2905061.0,-0.3133,0.0315,-0.0,3.0,3.0,3.0,2.0,-0.0043,-0.0001,-0.0001,-0.0001,-0.12,0.06,0.25,0.06,0.23,-0.47,3.0,3.0,3.0,2.0,2905061.0,-0.3133,0.0315,-0.0125,0.949,-0.12,-0.12,0.06,-0.03,-0.02,-0.06,3.0,3.0,3.0,2.0,-0.3073,0.0139,-0.0085,0.9515,0.19,-0.12,0.19,0.07,0.11,-0.17,3.0,3.0,3.0,2.0,-0.3209,0.013,-0.0119,0.947,0.19,0.06,0.0,-0.01,0.13,-0.19,3.0,3.0,3.0,2.0,-0.3212,0.0107,-0.0108,0.9469,0.12,0.0
2905111.0,-0.3133,0.0315,-0.0125,0.949,0.06,0.0,0.12,-0.03,0.0,-0.01,3.0,3.0,3.0,2.0,-0.3073,0.0139,-0.0085,0.9515,0.31,0.12,0.25,0.09,0.18,-0.15,3.0,3.0,3.0,2.0,-0.3209,0.0131,-0.012,0.947,0.37,0.06,0.12,-0.09,0.2,-0.19,3.0,3.0,3.0,2.0,-0.3212,0.0107,-0.0108,0.9469,0.12,0.06,0.25,-0.07,0.0,-0.21,3.0,3.0,3.0,2.0,-0.0044,-0.0001,-0.0001,-0.0001,-0.12,-0.19,0.56,0.02,0.15,-0.24,3.0,3.0,3.0,2.0
2905160.0,-0.3133,0.0315,-0.0125,0.949,-0.12,0.06,0.12,-0.01,0.0,-0.01,3.0,3.0,3.0,2.0,-0.3073,0.0139,-0.0085,0.9515,0.12,-0.06,0.0,0.08,0.1,-0.18,3.0,3.0,3.0,2.0,-0.3209,0.0131,-0.012,0.947,0.0,0.06,-0.06,-0.07,0.14,-0.18,3.0,3.0,3.0,2.0,-0.3212,0.0107,-0.0108,0.9469,-0.19,0.12,0.25,-0.02,-0.01,-0.18,3.0,3.0,3.0,2.0,-0.0044,-0.0001,-0.0001,-0.0001,-0.19,-0.06,0.31,0.0,0.0,-0.23,3.0,3.0,3.0,2.0
2905210.0,-0.3133,0.0315,-0.0125,0.949,0.0,0.12,0.0,0.01,0.02,-0.01,3.0,3.0,3.0,2.0,-0.3073,0.0139,-0.0085,0.9515,0.25,-0.31,0.0,0.04,0.12,-0.18,3.0,3.0,3.0,2.0,-0.3209,0.0131,-0.012,0.947,0.25,0.12,0.06,-0.07,0.18,-0.16,3.0,3.0,3.0,2.0,-0.3212,0.0107,-0.0108,0.9469,0.06,-0.06,-0.06,0.0,0.04,-0.19,3.0,3.0,3.0,2.0,-0.0044,-0.0001,-0.0001,-0.0001,0.0,-0.06,-0.06,0.0,0.16,-0.23,3.0,3.0,3.0,2.0
2905261.0,-0.3133,0.0315,-0.0125,0.949,0.06,-0.19,-0.06,0.02,0.0,-0.17,3.0,3.0,3.0,2.0,-0.3073,0.0139,-0.0085,0.9515,0.19,-0.06,-0.06,0.04,0.04,-0.17,3.0,3.0,3.0,2.0,-0.3209,0.0131,-0.012,0.947,0.0,0.12,-0.06,-0.02,0.06,-0.2,3.0,3.0,3.0,2.0,-0.3212,0.0107,-0.0108,0.9469,-0.12,0.06,0.19,0.01,-0.01,-0.21,3.0,3.0,3.0,2.0,-0.0044,-0.0001,-0.0001,-0.0001,0.0,-0.06,-0.06,0.0,0.01,-0.22,3.0,3.0,3.0,2.0
2905311.0,-0.3133,0.0315,-0.0125,0.949,0.12,-0.12,0.25,0.0,0.02,-0.17,3.0,3.0,3.0,2.0,-0.3073,0.0139,-0.0085,0.9515,0.25,0.0,0.12,0.06,0.04,-0.18,3.0,3.0,3.0,2.0,-0.3209,0.013,-0.012,0.947,0.25,0.12,-0.12,-0.03,0.13,-0.17,3.0,3.0,3.0,2.0,-0.3212,0.0107,-0.0108,0.9469,0.0,0.06,0.19,0.01,0.0,-0.19,3.0,3.0,3.0,2.0,-0.0044,-0.0001,-0.0001,-0.0001,0.0,0.12,0.19,-0.03,0.11,-0.24,3.0,3.0,3.0,2.0
2905361.0,-0.3133,0.0315,-0.0125,0.949,0.0,0.06,0.06,-0.02,0.0,-0.01,3.0,3.0,3.0,2.0,-0.3073,0.0139,-0.0085,0.9515,0.12,-0.06,-0.06,0.01,-0.01,-0.17,3.0,3.0,3.0,2.0,-0.3209,0.013,-0.012,0.947,0.0,0.25,-0.12,-0.04,-0.02,-0.18,3.0,3.0,3.0,2.0,-0.3212,0.0107,-0.0108,0.9469,-0.19,0.0,0.06,0.0,-0.02,-0.19,3.0,3.0,3.0,2.0,-0.0044,-0.0001,-0.0001,-0.0001,0.06,0.12,0.12,0.0,0.03,-0.2,3.0,3.0,3.0,2.0
2905411.0,-0.3133,0.0315,-0.0125,0.949,0.06,0.06,0.06,0.0,0.03,-0.01,3.0,3.0,3.0,2.0,-0.3073,0.0139,-0.0085,0.9515,0.06,0.0,0.0,0.04,0.01,-0.19,3.0,3.0,3.0,2.0,-0.3209,0.013,-0.012,0.947,0.06,0.19,-0.19,-0.02,0.03,-0.18,3.0,3.0,3.0,2.0,-0.3212,0.0107,-0.0108,0.9469,0.12,-0.06,-0.06,0.01,0.0,-0.17,3.0,3.0,3.0,2.0,-0.0044,-0.0001,-0.0001,-0.0001,0.06,-0.06,-0.06,-0.04,0.04,-0.21,3.0,3.0,3.0,2.0
2905461.0,-0.3133,0.0315,-0.0125,0.949,0.12,0.12,0.0,-0.02,0.0,-0.17,3.0,3.0,3.0,2.0,-0.3073,0.0139,-0.0085,0.9515,0.06,-0.06,-0.06,0.03,0.0,-0.17,3.0,3.0,3.0,2.0,-0.3209,0.013,-0.012,0.947,-0.06,-0.06,-0.12,0.0,-0.06,-0.19,3.0,3.0,3.0,2.0,-0.3212,0.0107,-0.0108,0.9469,0.0,0.12,0.12,0.0,0.0,-0.19,3.0,3.0,3.0,2.0,-0.0044,-0.0001,-0.0001,-0.0001,0.06,-0.06,-0.06,-0.02,0.03,-0.22,3.0,3.0,3.0,2.0
2905510.0,-0.3133,0.0315,-0.0125,0.949,-0.06,-0.12,0.06,0.01,0.01,-0.17,3.0,3.0,3.0,2.0,-0.3073,0.0139,-0.0085,0.9515,0.0,-0.06,-0.06,0.06,0.04,-0.2,3.0,3.0,3.0,2.0,-0.3209,0.013,-0.012,0.947,0.0,0.19,-0.12,-0.01,-0.02,-0.15,3.0,3.0,3.0,2.0,-0.3212,0.0107,-0.0108,0.9469,-0.12,0.06,0.0,0.0,0.0,-0.18,3.0,3.0,3.0,2.0,-0.0044,-0.0001,-0.0001,-0.0001,0.0,0.0,-0.06,0.0,0.0,-0.22,3.0,3.0,3.0,2.0
2905561.0,-0.3133,0.0315,-0.0125,0.949,0.06,0.0,-0.06,-0.02,0.01,-0.14,3.0,3.0,3.0,2.0,-0.3073,0.0139,-0.0085,0.9515,0.06,-0.06,-0.06,0.03,-0.01,-0.01,3.0,3.0,3.0,2.0,-0.3209,0.013,-0.012,0.947,-0.19,0.12,0.06,0.0,-0.02,-0.18,3.0,3.0,3.0,2.0,-0.3212,0.0107,-0.0108,0.9469,0.06,-0.06,-0.06,0.0,0.0,-0.19,3.0,3.0,3.0,2.0,-0.0044,-0.0001,-0.0001,-0.0001,0.0,0.0,-0.06,-0.01,0.0,-0.23,3.0,3.0,3.0,2.0
2905611.0,-0.3133,0.0315,-0.0125,0.949,0.06,0.06,0.0,-0.03,0.01,-0.16,3.0,3.0,3.0,2.0,-0.3073,0.0139,-0.0085,0.9515,-0.06,0.0,-0.06,0.03,0.01,-0.01,3.0,3.0,3.0,2.0,-0.3209,0.013,-0.012,0.947,-0.19,0.12,-0.12,0.0,-0.01,-0.17,3.0,3.0,3.0,2.0,-0.3212,0.0107,-0.0108,0.9469,0.06,0.06,-0.06,0.0,0.0,-0.17,3.0,3.0,3.0,2.0,-0.0044,-0.0001,-0.0001,-0.0001,0.0,-0.06,-0.06,0.0,-0.03,-0.22,3.0,3.0,3.0,2.0
2905661.0,-0.3133,0.0315,-0.0125,0.949,0.06,-0.25,0.06,0.0,0.0,-0.15,3.0,3.0,3.0,2.0,-0.3073,0.0139,-0.0085,0.9515,-0.12,-0.19,-0.19,0.03,-0.01,-0.01,3.0,3.0,3.0,2.0,-0.3209,0.013,-0.012,0.947,-0.06,0.0,-0.06,-0.02,-0.03,-0.15,3.0,3.0,3.0,2.0,-0.3212,0.0107,-0.0108,0.9469,0.12,-0.06,-0.06,-0.02,-0.01,-0.18,3.0,3.0,3.0,2.0,-0.0044,-0.0001,-0.0001,-0.0001,-0.06,0.0,0.0,-0.01,0.0,-0.21,3.0,3.0,3.0,2.0
