,sensor0,,,,,,,,,,,,,,sensor1,,,,,,,,,,,,,,sensor2,,,,,,,,,,,,,,sensor3,,,,,,,,,,,,,,sensor4
時刻(ms),相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag
951665.0,-0.0139,-0.0001,-0.0001,-0.0001,-0.75,-0.25,0.19,-0.03,-0.1,-0.17,3.0,3.0,3.0,1.0,0.9789,-0.008,-0.0068,-0.0001,0.06,0.19,0.25,0.04,-0.01,-0.01,2.0,3.0,3.0,1.0,0.9626,-0.0084,-0.0116,0.2707,-0.12,-0.44,0.25,0.05,-0.03,-0.05,3.0,3.0,3.0,1.0,0.967,-0.0001,-0.0001,-0.0001,-0.69,-0.5,0.12,0.03,-0.08,-0.34,3.0,3.0,3.0,1.0,0.8685,0.0172,-0.0135,-0.0001,0.0,0.44,0.25,0.18,-0.02,-0.25,0.0,3.0,3.0,1.0
951715.0,-0.0139,-0.0001,-0.0001,-0.0001,1.0,0.19,0.19,0.0,-0.11,-0.11,3.0,3.0,3.0,1.0,0.9789,-0.008,-0.0068,-0.0001,-0.06,0.19,0.19,0.08,-0.01,-0.01,2.0,3.0,3.0,1.0,0.9626,-0.0085,-0.0115,0.2707,0.12,0.75,0.37,0.02,-0.07,-0.09,3.0,3.0,3.0,1.0,0.967,-0.0001,-0.0001,-0.0001,1.19,0.81,0.31,0.0,-0.01,0.27,3.0,3.0,3.0,1.0,0.8685,0.0171,-0.0134,-0.0001,0.06,0.12,0.44,-0.08,-0.02,-0.27,0.0,3.0,3.0,1.0
951766.0,-0.0139,-0.0001,-0.0001,-0.0001,-0.31,0.0,0.25,0.01,-0.09,-0.09,3.0,3.0,3.0,1.0,0.9789,-0.008,-0.0068,-0.0001,0.0,0.25,0.12,0.07,0.0,-0.01,2.0,3.0,3.0,1.0,0.9626,-0.0085,-0.0114,0.2707,0.0,-0.44,0.19,0.03,0.01,-0.07,3.0,3.0,3.0,1.0,0.967,-0.0001,-0.0001,-0.0001,-0.5,-0.56,0.25,-0.02,-0.08,-0.15,3.0,3.0,3.0,1.0,0.8685,0.0171,-0.0134,-0.0001,0.0,-0.06,0.12,0.08,0.03,-0.26,0.0,3.0,3.0,1.0
951816.0,-0.0139,-0.0001,-0.0001,-0.0001,0.31,0.06,-0.06,0.0,-0.16,-0.09,3.0,3.0,3.0,1.0,0.9789,-0.008,-0.0068,-0.0001,-0.12,0.0,0.06,0.05,-0.01,-0.01,2.0,3.0,3.0,1.0,0.9626,-0.0085,-0.0114,0.2707,0.06,0.37,0.06,0.05,-0.08,-0.05,3.0,3.0,3.0,1.0,0.967,-0.0001,-0.0001,-0.0001,0.5,0.25,0.0,0.08,-0.12,-0.26,3.0,3.0,3.0,1.0,0.8685,0.017,-0.0133,-0.0001,-0.06,1.06,0.06,0.16,-0.07,-0.24,0.0,3.0,3.0,1.0
951863.0,-0.967,-0.0064,0.0226,-0.2535,2.0,-0.06,-0.19,0.06,-0.08,-0.07,3.0,3.0,3.0,1.0,0.9789,-0.008,-0.0224,0.2028,-0.25,0.31,-0.06,0.1,-0.01,-0.01,2.0,3.0,3.0,1.0,0.9626,-0.0086,-0.011,0.2707,0.37,1.56,0.06,0.12,-0.03,-0.08,3.0,3.0,3.0,1.0,0.967,-0.0001,-0.0001,-0.0001,2.19,1.06,-0.06,0.09,0.01,-0.01,3.0,3.0,3.0,1.0,0.8685,0.0168,-0.0128,0.4952,0.06,1.19,0.19,0.11,-0.07,-0.26,0.0,3.0,3.0,1.0
951911.0,-0.967,-0.0072,0.0224,-0.2535,1.5,0.0,0.06,-0.05,0.01,-0.04,3.0,3.0,3.0,1.0,0.9789,-0.008,-0.0224,0.2028,-0.12,0.06,0.37,-0.01,-0.16,-0.01,2.0,3.0,3.0,1.0,0.9626,-0.0087,-0.0105,0.2707,0.31,0.94,0.37,0.06,-0.07,-0.08,3.0,3.0,3.0,1.0,0.967,-0.0001,-0.0001,-0.0001,1.37,0.63,0.31,0.03,-0.01,-0.01,3.0,3.0,3.0,1.0,0.8685,0.0165,-0.0124,-0.0001,-0.12,1.0,0.44,-0.1,-0.11,-0.25,0.0,3.0,3.0,1.0
951965.0,-0.0139,-0.0001,-0.0001,-0.0001,1.19,0.12,0.44,-0.1,0.01,-0.09,3.0,3.0,3.0,1.0,0.9789,-0.008,-0.0224,0.2029,-0.06,0.0,0.69,-0.04,-0.08,0.01,2.0,3.0,3.0,1.0,0.9625,-0.0089,-0.0101,0.2709,0.44,0.63,1.0,0.02,-0.06,-0.08,3.0,3.0,3.0,1.0,0.967,-0.0001,-0.0001,-0.0001,0.81,0.37,0.63,0.01,-0.03,-0.4,3.0,3.0,3.0,1.0,0.8684,0.0163,-0.012,0.4955,0.12,1.5,0.81,0.34,-0.01,-0.01,0.0,3.0,3.0,1.0
952010.0,-0.9669,-0.0084,0.0221,-0.254,2.94,0.37,1.06,0.03,-0.13,-0.08,3.0,3.0,3.0,1.0,0.9788,-0.008,-0.0224,0.2032,0.12,0.0,0.94,0.13,0.01,-0.05,2.0,3.0,3.0,1.0,0.9624,-0.0089,-0.0095,0.2714,0.75,2.69,1.19,0.04,0.08,-0.06,3.0,3.0,3.0,1.0,0.9669,0.0107,-0.0002,0.255,4.06,2.38,1.12,-0.15,-0.05,0.73,3.0,3.0,3.0,1.0,0.8683,0.0157,-0.0109,0.4957,-0.19,4.06,0.37,0.44,0.09,-0.24,0.0,3.0,3.0,1.0
952057.0,-0.0137,-0.0001,-0.0001,-0.0001,-0.75,-0.31,0.81,0.36,-0.52,-0.11,3.0,3.0,3.0,1.0,0.9788,-0.008,-0.0068,-0.0001,0.19,-0.06,-0.06,0.38,0.06,0.04,2.0,3.0,3.0,1.0,0.9623,-0.0087,-0.009,0.2717,0.81,0.0,0.56,-0.02,0.08,-0.01,3.0,3.0,3.0,1.0,0.9668,-0.0001,-0.0001,-0.0001,-0.25,-0.19,0.31,0.12,-0.46,-0.45,3.0,3.0,3.0,1.0,0.8683,0.0154,-0.01,0.4956,-0.19,3.81,-0.31,-0.45,-0.41,-0.26,0.0,3.0,3.0,1.0
952107.0,-0.9669,-0.0093,0.022,-0.0001,1.12,0.12,-0.06,0.23,-0.39,0.05,3.0,3.0,3.0,1.0,0.9788,-0.0081,-0.0228,0.2032,-0.5,0.19,-0.06,0.24,-0.01,-0.01,2.0,3.0,3.0,1.0,0.9623,-0.0084,-0.0087,0.2715,1.0,0.12,-0.94,0.15,-0.03,-0.02,3.0,3.0,3.0,1.0,0.9669,-0.0001,-0.0001,-0.0001,-0.56,-0.31,-0.75,0.01,-0.51,-0.5,3.0,3.0,3.0,1.0,0.8685,-0.0001,-0.0001,-0.0001,-0.12,0.63,-1.56,-0.43,0.11,-0.4,0.0,3.0,3.0,1.0
