,sensor0,,,,,,,,,,,,,,sensor1,,,,,,,,,,,,,,sensor2,,,,,,,,,,,,,,sensor3,,,,,,,,,,,,,,sensor4
時刻(ms),相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag
2392047.0,0.1207,-0.0264,0.0236,-0.0001,0.0,0.06,-0.19,0.0,-0.03,-0.29,3.0,3.0,3.0,3.0,0.121,-0.018,0.0322,-0.9919,-0.19,-0.19,-0.06,0.0,-0.05,-0.18,3.0,3.0,3.0,3.0,0.1613,-0.0145,0.0319,-0.9863,-0.12,-0.12,-0.06,-0.03,0.01,-0.2,3.0,3.0,3.0,3.0,0.1436,-0.0001,-0.0001,-0.0001,0.06,0.0,-0.06,0.0,0.0,-0.2,3.0,3.0,3.0,3.0,0.1647,-0.0266,-0.0018,-0.986,-0.12,-0.06,0.06,0.11,-0.01,-0.01,3.0,3.0,3.0,3.0
2392097.0,0.1207,-0.0264,0.0236,-0.0001,-0.06,-0.06,-0.12,-0.02,-0.06,-0.27,3.0,3.0,3.0,3.0,0.121,-0.018,0.0322,-0.9919,-0.19,0.06,-0.06,0.0,0.03,-0.17,3.0,3.0,3.0,3.0,0.1613,-0.0145,0.032,-0.9863,0.12,0.25,0.0,-0.07,0.01,-0.25,3.0,3.0,3.0,3.0,0.1436,-0.0001,-0.0001,-0.0001,0.25,-0.06,-0.06,0.0,-0.1,-0.18,3.0,3.0,3.0,3.0,0.1647,-0.0266,-0.0018,-0.986,-0.25,0.44,0.0,-0.08,-0.14,-0.03,3.0,3.0,3.0,3.0
2392147.0,0.1207,-0.0264,0.0236,-0.0001,0.0,0.0,-0.06,-0.11,-0.01,-0.28,3.0,3.0,3.0,3.0,0.121,-0.0179,0.0322,-0.9919,0.0,0.12,-0.06,-0.11,0.0,-0.18,3.0,3.0,3.0,3.0,0.1613,-0.0144,-0.0001,-0.0001,-0.06,-0.12,-0.06,-0.12,-0.01,-0.19,3.0,3.0,3.0,3.0,0.1436,-0.0001,-0.0001,-0.0001,0.0,0.19,-0.12,-0.02,0.0,-0.2,3.0,3.0,3.0,3.0,0.1647,-0.0266,-0.0018,-0.986,-0.06,-0.06,-0.06,0.01,0.1,0.0,3.0,3.0,3.0,3.0
2392198.0,0.1207,-0.0264,0.0236,-0.0001,0.06,0.0,-0.06,0.0,-0.08,-0.25,3.0,3.0,3.0,3.0,0.121,-0.0179,0.0322,-0.9919,-0.06,-0.06,-0.19,-0.03,-0.07,-0.17,3.0,3.0,3.0,3.0,0.1613,-0.0143,0.032,-0.9863,-0.25,0.0,0.0,-0.04,-0.05,-0.22,3.0,3.0,3.0,3.0,0.1436,-0.0001,-0.0001,-0.0001,0.0,0.06,-0.25,-0.03,-0.09,-0.23,3.0,3.0,3.0,3.0,0.1647,-0.0266,-0.0018,-0.986,0.06,-0.06,-0.06,0.01,-0.01,-0.01,3.0,3.0,3.0,3.0
2392248.0,0.1207,-0.0264,0.0236,-0.0001,-0.19,0.06,0.06,-0.04,0.01,-0.26,3.0,3.0,3.0,3.0,0.121,-0.0179,0.0322,-0.9919,0.12,-0.19,0.12,-0.02,0.04,-0.18,3.0,3.0,3.0,3.0,0.1613,-0.0143,0.032,-0.9863,-0.06,0.12,0.06,-0.07,0.07,-0.23,3.0,3.0,3.0,3.0,0.1436,-0.0001,-0.0001,-0.0001,0.06,-0.06,-0.06,-0.03,-0.02,-0.2,3.0,3.0,3.0,3.0,0.1647,-0.0266,-0.0018,-0.986,-0.06,0.19,-0.06,-0.08,0.0,-0.01,3.0,3.0,3.0,3.0
2392298.0,0.1207,-0.0264,0.0236,-0.0001,-0.06,-0.12,0.0,-0.09,-0.09,-0.26,3.0,3.0,3.0,3.0,0.121,-0.0179,0.0322,-0.9919,-0.12,-0.06,0.0,-0.07,-0.04,-0.17,3.0,3.0,3.0,3.0,0.1613,-0.0143,0.0321,-0.9863,-0.12,0.0,-0.12,-0.06,-0.07,-0.23,3.0,3.0,3.0,3.0,0.1436,-0.0001,-0.0001,-0.0001,0.06,0.0,-0.25,0.0,-0.07,-0.2,3.0,3.0,3.0,3.0,0.1647,-0.0266,-0.0018,-0.986,0.06,0.0,0.0,-0.01,-0.04,-0.04,3.0,3.0,3.0,3.0
2392348.0,0.1207,-0.0264,0.0236,-0.0001,-0.06,-0.06,0.06,-0.06,-0.03,-0.26,3.0,3.0,3.0,3.0,0.121,-0.0178,0.0322,-0.9919,-0.12,0.06,0.0,-0.05,0.01,-0.19,3.0,3.0,3.0,3.0,0.1613,-0.0142,0.0321,-0.9863,0.06,0.06,0.0,-0.07,0.0,-0.21,3.0,3.0,3.0,3.0,0.1436,-0.0001,-0.0001,-0.0001,0.0,0.12,-0.06,-0.05,-0.05,-0.2,3.0,3.0,3.0,3.0,0.1647,-0.0266,-0.0018,-0.986,0.06,0.06,0.06,0.03,-0.07,-0.02,3.0,3.0,3.0,3.0
2392398.0,0.1207,-0.0264,0.0236,-0.0001,0.0,0.0,-0.06,-0.05,-0.04,-0.26,3.0,3.0,3.0,3.0,0.121,-0.0178,0.0322,-0.9919,0.12,0.12,0.06,-0.04,0.0,-0.18,3.0,3.0,3.0,3.0,0.1613,-0.0142,0.0322,-0.9863,0.0,-0.06,0.0,-0.06,-0.01,-0.26,3.0,3.0,3.0,3.0,0.1436,-0.0001,-0.0001,-0.0001,0.06,0.12,0.0,0.0,-0.04,-0.18,3.0,3.0,3.0,3.0,0.1647,-0.0266,-0.0018,-0.986,0.0,-0.06,-0.06,1.13,-0.7,-1.78,3.0,3.0,3.0,3.0
2392448.0,0.1207,-0.0265,0.0234,-0.0001,1.63,-0.06,-0.06,-0.22,-0.25,-0.85,3.0,3.0,3.0,3.0,0.1212,-0.0001,-0.0001,-0.0001,7.81,2.56,4.31,0.04,-0.02,0.86,3.0,3.0,3.0,3.0,0.1616,-0.0139,-0.0001,-0.0001,1.12,0.88,4.88,-0.26,-0.22,0.25,3.0,3.0,3.0,3.0,0.1442,-0.0001,-0.0001,-0.0001,-1.69,-0.5,4.69,-0.39,0.34,-0.12,3.0,3.0,3.0,3.0,0.1652,-0.0262,-0.0027,-0.9859,2.5,0.88,2.13,3.26,3.25,-0.72,3.0,3.0,3.0,3.0
2392499.0,0.1223,-0.0262,0.0235,-0.0001,0.06,-0.06,-0.06,0.25,-0.92,-0.25,3.0,3.0,3.0,3.0,0.1227,-0.0001,-0.0001,-0.0001,-6.25,-0.12,-2.5,0.25,-0.04,-0.67,3.0,3.0,3.0,3.0,0.1628,-0.0132,0.0314,-0.9861,-3.56,0.25,-3.44,-0.06,-0.15,-0.17,3.0,3.0,3.0,3.0,0.145,-0.0001,-0.0001,-0.0001,-0.06,-0.25,-2.94,0.0,-1.61,-0.08,3.0,3.0,3.0,3.0,0.1658,-0.0001,-0.0001,-0.0001,1.19,-0.06,-0.06,4.23,0.99,0.54,3.0,3.0,3.0,3.0
2392548.0,0.1212,-0.0267,0.0233,-0.0001,0.12,-0.06,-0.06,0.95,0.51,-1.3,3.0,3.0,3.0,3.0,0.1213,-0.0001,-0.0001,-0.0001,-11.25,6.44,-2.13,3.41,0.85,1.37,3.0,3.0,3.0,3.0,0.1615,-0.0128,-0.0001,-0.0001,13.38,8.19,-2.0,1.75,2.5,-0.14,3.0,3.0,3.0,3.0,0.1437,-0.0001,-0.0001,-0.0001,-0.75,-5.44,-2.38,3.51,-0.24,2.71,3.0,3.0,3.0,3.0,0.1662,-0.0001,-0.0001,-0.0001,3.38,21.87,-0.06,-3.0,-0.62,-0.43,3.0,3.0,3.0,3.0
2392598.0,0.1201,-0.0264,0.0231,-0.0001,-1.31,2.38,-0.06,3.41,-0.92,-0.28,3.0,3.0,3.0,3.0,0.1201,-0.0156,-0.0001,-0.0001,5.31,1.19,-6.0,3.21,2.52,0.98,3.0,3.0,3.0,3.0,0.1602,-0.0117,0.0294,-0.9866,-0.12,0.37,-7.56,1.76,1.66,0.47,3.0,3.0,3.0,3.0,0.142,-0.0001,-0.0001,-0.0001,-2.06,-0.12,-6.56,1.63,-1.0,-0.15,3.0,3.0,3.0,3.0,0.164,-0.0001,-0.0001,-0.0001,-0.69,-1.56,-6.13,3.25,-0.56,-0.17,3.0,3.0,3.0,3.0
2392648.0,0.1163,-0.026,0.0237,-0.9926,-1.75,2.44,-13.06,4.01,-1.18,-2.06,3.0,3.0,3.0,3.0,0.1156,-0.0151,-0.0001,-0.0001,-0.12,5.19,-14.19,4.75,-0.71,-2.34,3.0,3.0,3.0,3.0,0.1553,-0.0117,0.0293,-0.9874,1.88,0.88,-14.38,4.06,-0.76,-1.67,3.0,3.0,3.0,3.0,0.1367,-0.0001,-0.0001,-0.0001,-8.69,0.69,-14.5,4.28,-0.99,-0.97,3.0,3.0,3.0,3.0,0.1582,-0.0001,-0.0001,-0.0001,-0.19,2.81,-14.81,4.19,0.05,-1.72,3.0,3.0,3.0,3.0
2392698.0,0.1099,-0.0239,0.0295,-0.9932,-5.0,-0.06,-0.06,3.1,-0.88,2.24,3.0,3.0,3.0,3.0,0.1089,-0.0121,-0.0001,-0.0001,-3.38,2.38,-21.25,2.92,-0.73,0.34,3.0,3.0,3.0,3.0,0.1483,-0.0118,-0.0001,-0.0001,-0.75,2.13,-21.62,3.11,-0.62,-0.39,3.0,3.0,3.0,3.0,0.1291,-0.0001,-0.0001,-0.0001,6.88,1.94,-21.69,3.47,-0.22,1.47,3.0,3.0,3.0,3.0,0.15,-0.0001,-0.0001,-0.0001,-0.94,1.81,-0.06,2.04,1.26,-1.46,3.0,3.0,3.0,3.0
