,sensor0,,,,,,,,,,,,,,sensor1,,,,,,,,,,,,,,sensor2,,,,,,,,,,,,,,sensor3,,,,,,,,,,,,,,sensor4
時刻(ms),相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag
2881951.0,0.2391,-0.0001,-0.0001,-0.0001,-0.12,0.0,-0.06,-0.08,-0.03,-0.25,3.0,3.0,3.0,3.0,0.2248,-0.0075,0.0303,-0.9739,0.06,0.0,0.19,-0.07,-0.06,-0.17,3.0,3.0,3.0,3.0,0.2626,-0.0001,-0.0001,-0.0001,0.0,0.12,-0.06,0.0,-0.05,-0.21,3.0,3.0,3.0,3.0,0.2397,-0.0018,0.0273,-0.9705,0.0,-0.19,0.0,-0.03,0.0,-0.22,3.0,3.0,3.0,3.0,0.288,-0.0001,-0.0001,-0.0001,0.0,0.12,0.0,0.01,-0.01,-0.01,3.0,3.0,3.0,3.0
2882001.0,0.2391,-0.0001,-0.0001,-0.0001,0.06,0.06,0.06,-0.01,-0.05,-0.27,3.0,3.0,3.0,3.0,0.2248,-0.0075,0.0303,-0.9739,0.06,-0.19,-0.06,-0.03,-0.05,-0.16,3.0,3.0,3.0,3.0,0.2626,-0.0001,-0.0001,-0.0001,-0.06,0.0,0.0,0.0,-0.03,-0.22,3.0,3.0,3.0,3.0,0.2397,-0.0018,0.0273,-0.9705,-0.12,-0.12,-0.06,-0.06,-0.04,-0.18,3.0,3.0,3.0,3.0,0.288,-0.0001,-0.0001,-0.0001,0.0,0.0,-0.06,0.0,-0.01,-0.01,3.0,3.0,3.0,3.0
2882052.0,0.2391,-0.0001,-0.0001,-0.0001,-0.06,0.0,-0.06,-0.03,-0.03,-0.26,3.0,3.0,3.0,3.0,0.2248,-0.0001,-0.0001,-0.0001,-0.06,0.06,-0.12,0.0,-0.07,-0.18,3.0,3.0,3.0,3.0,0.2626,-0.0001,-0.0001,-0.0001,0.0,0.0,-0.06,0.05,-0.03,-0.22,3.0,3.0,3.0,3.0,0.2397,-0.0018,0.0273,-0.9705,-0.06,0.06,0.0,0.0,0.0,-0.21,3.0,3.0,3.0,3.0,0.288,-0.0001,-0.0001,-0.0001,-0.06,-0.06,0.0,-0.05,-0.05,-0.02,3.0,3.0,3.0,3.0
2882102.0,0.2391,-0.0001,-0.0001,-0.0001,0.06,-0.06,-0.06,-0.05,-0.03,-0.25,3.0,3.0,3.0,3.0,0.2248,-0.0001,-0.0001,-0.0001,0.0,0.0,-0.06,-0.01,-0.03,-0.15,3.0,3.0,3.0,3.0,0.2626,-0.0001,-0.0001,-0.0001,0.06,0.12,-0.06,0.0,-0.02,-0.22,3.0,3.0,3.0,3.0,0.2397,-0.0018,0.0273,-0.9705,-0.12,0.25,0.06,-0.04,-0.05,-0.21,3.0,3.0,3.0,3.0,0.288,-0.0001,-0.0001,-0.0001,0.06,0.12,0.06,-0.03,-0.03,-0.02,3.0,3.0,3.0,3.0
2882152.0,0.2391,-0.0001,-0.0001,-0.0001,0.12,-0.06,-0.06,-0.05,-0.07,-0.23,3.0,3.0,3.0,3.0,0.2248,-0.0001,-0.0001,-0.0001,-0.06,-0.19,0.0,-0.05,-0.05,-0.15,3.0,3.0,3.0,3.0,0.2626,-0.0001,-0.0001,-0.0001,0.0,0.06,-0.06,0.0,-0.05,-0.21,3.0,3.0,3.0,3.0,0.2397,-0.0018,0.0273,-0.9705,-0.06,0.06,0.0,-0.05,-0.04,-0.22,3.0,3.0,3.0,3.0,0.288,-0.0001,-0.0001,-0.0001,0.06,-0.06,-0.06,0.03,-0.01,-0.01,3.0,3.0,3.0,3.0
2882202.0,0.2391,-0.0001,-0.0001,-0.0001,0.12,-0.06,-0.06,-0.01,0.02,-0.01,3.0,3.0,3.0,3.0,0.2248,-0.0001,-0.0001,-0.0001,-0.12,0.06,0.0,-0.06,-0.03,-0.15,3.0,3.0,3.0,3.0,0.2626,-0.0001,-0.0001,-0.0001,0.06,-0.06,-0.06,0.06,-0.01,-0.01,3.0,3.0,3.0,3.0,0.2397,-0.0018,0.0273,-0.9705,-0.06,0.06,-0.06,0.0,0.06,-0.19,3.0,3.0,3.0,3.0,0.288,-0.0001,-0.0001,-0.0001,0.0,-0.06,-0.06,0.03,-0.01,-0.01,3.0,3.0,3.0,3.0
2882252.0,0.2391,-0.0067,-0.0001,-0.0001,-0.06,0.0,0.19,-0.04,-0.01,-0.26,3.0,3.0,3.0,3.0,0.2248,-0.0001,-0.0001,-0.0001,0.06,-0.06,0.25,-0.02,-0.06,-0.17,3.0,3.0,3.0,3.0,0.2626,-0.0001,-0.0001,-0.0001,-0.06,0.06,0.25,0.01,-0.03,-0.21,3.0,3.0,3.0,3.0,0.2397,-0.0018,0.0273,-0.9705,-0.19,0.0,0.37,-0.04,-0.1,-0.21,3.0,3.0,3.0,3.0,0.288,-0.0001,-0.0001,-0.0001,-0.06,0.0,0.31,-0.04,-0.07,-0.03,3.0,3.0,3.0,3.0
2882302.0,0.2391,-0.0001,-0.0001,-0.0001,0.06,0.0,0.0,-0.05,-0.1,-0.25,3.0,3.0,3.0,3.0,0.2248,-0.0001,-0.0001,-0.0001,0.0,-0.12,-0.06,-0.04,-0.03,-0.18,3.0,3.0,3.0,3.0,0.2626,-0.0001,-0.0001,-0.0001,0.0,-0.06,-0.06,0.0,0.0,-0.22,3.0,3.0,3.0,3.0,0.2397,-0.0018,0.0273,-0.9705,0.12,0.0,-0.12,-0.04,0.0,-0.19,3.0,3.0,3.0,3.0,0.288,-0.0001,-0.0001,-0.0001,0.0,0.0,-0.06,-0.01,-0.02,-0.01,3.0,3.0,3.0,3.0
2882353.0,0.2391,-0.0001,-0.0001,-0.0001,0.06,-0.06,-0.06,-0.05,0.01,-0.01,3.0,3.0,3.0,3.0,0.2248,-0.0001,-0.0001,-0.0001,0.0,0.0,-0.19,-0.03,-0.05,-0.15,3.0,3.0,3.0,3.0,0.2626,-0.0001,-0.0001,-0.0001,0.0,-0.06,-0.06,0.08,-0.06,-0.21,3.0,3.0,3.0,3.0,0.2397,-0.0018,0.0273,-0.9705,0.12,-0.19,-0.12,-0.02,-0.02,-0.21,3.0,3.0,3.0,3.0,0.288,-0.0001,-0.0001,-0.0001,0.12,-0.06,-0.06,0.01,-0.01,-0.01,3.0,3.0,3.0,3.0
2882403.0,0.2391,-0.0001,-0.0001,-0.0001,0.12,-0.06,-0.06,-0.02,-0.08,-0.27,3.0,3.0,3.0,3.0,0.2248,-0.0001,-0.0001,-0.0001,0.0,0.44,-0.06,-0.02,-0.04,-0.16,3.0,3.0,3.0,3.0,0.2626,-0.0001,-0.0001,-0.0001,0.06,0.12,0.0,0.13,-0.01,-0.42,3.0,3.0,3.0,3.0,0.2397,-0.0018,0.0273,-0.9705,0.0,0.12,0.0,0.0,-0.04,-0.21,3.0,3.0,3.0,3.0,0.288,-0.0001,-0.0001,-0.0001,0.0,0.12,0.12,0.01,-0.23,-0.18,3.0,3.0,3.0,3.0
