,sensor0,,,,,,,,,,,,,,sensor1,,,,,,,,,,,,,,sensor2,,,,,,,,,,,,,,sensor3,,,,,,,,,,,,,,sensor4
時刻(ms),相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag
418244.0,-0.9782,-0.008,0.0205,-0.2064,0.0,-0.12,0.37,-0.07,0.12,-0.02,3.0,3.0,3.0,3.0,-0.9787,-0.0053,-0.0001,-0.0001,0.12,0.06,0.25,-0.01,0.14,-0.01,3.0,3.0,3.0,3.0,-0.9703,-0.0038,0.0099,-0.2418,0.06,0.06,0.25,-0.09,0.24,0.05,3.0,3.0,3.0,3.0,-0.0058,-0.0001,-0.0001,-0.0001,-0.06,0.0,0.25,-0.16,0.0,0.01,3.0,3.0,3.0,3.0,-0.9715,-0.0313,0.0205,-0.0152,-0.19,0.0,0.44,-0.01,0.09,-0.01,0.0,3.0,3.0,3.0
418294.0,-0.9782,-0.008,0.0205,-0.2064,0.06,-0.12,-0.25,-0.02,-0.08,0.0,3.0,3.0,3.0,3.0,-0.9787,-0.0053,-0.0001,-0.0001,-0.19,-0.06,-0.19,-0.03,-0.17,0.01,3.0,3.0,3.0,3.0,-0.9703,-0.0038,0.0099,-0.2418,0.19,0.12,-0.19,0.01,-0.05,-0.04,3.0,3.0,3.0,3.0,-0.0058,-0.0001,-0.0001,-0.0001,0.0,0.0,-0.06,0.01,0.05,0.04,3.0,3.0,3.0,3.0,-0.9715,-0.0313,0.0205,-0.0152,-0.12,0.06,-0.06,-0.03,-0.2,-0.08,0.0,3.0,3.0,3.0
418343.0,-0.9782,-0.008,0.0205,-0.2064,0.06,0.12,0.06,0.04,0.2,0.0,3.0,3.0,3.0,3.0,-0.9787,-0.0053,-0.0001,-0.0001,0.06,0.25,-0.06,0.08,0.18,0.01,3.0,3.0,3.0,3.0,-0.9703,-0.0038,0.0099,-0.2418,-0.12,0.12,-0.06,0.08,0.18,0.0,3.0,3.0,3.0,3.0,-0.0058,-0.0001,-0.0001,-0.0001,-0.06,0.12,-0.06,0.04,0.17,0.04,3.0,3.0,3.0,3.0,-0.9715,-0.0313,0.0205,-0.2339,-0.19,0.12,0.06,0.07,0.05,-0.01,0.0,3.0,3.0,3.0
418394.0,-0.9782,-0.008,0.0205,-0.2064,-0.19,0.06,0.12,0.0,-0.08,0.0,3.0,3.0,3.0,3.0,-0.9787,-0.0053,-0.0001,-0.0001,-0.12,-0.06,0.12,0.06,-0.01,-0.01,3.0,3.0,3.0,3.0,-0.9703,-0.0038,0.0099,-0.2418,0.19,-0.06,0.25,0.03,-0.07,-0.03,3.0,3.0,3.0,3.0,-0.0058,-0.0001,-0.0001,-0.0001,-0.12,0.0,0.0,0.0,-0.09,0.06,3.0,3.0,3.0,3.0,-0.9715,-0.0313,0.0205,-0.2339,0.06,-0.06,-0.06,0.0,0.0,-0.01,0.0,3.0,3.0,3.0
418444.0,-0.9782,-0.008,0.0205,-0.2064,0.0,0.0,-0.06,-0.01,0.1,0.0,3.0,3.0,3.0,3.0,-0.9787,-0.0053,-0.0001,-0.0001,0.06,0.12,-0.06,-0.01,0.11,0.03,3.0,3.0,3.0,3.0,-0.9703,-0.0038,0.0099,-0.2418,-0.12,0.12,0.06,0.0,0.06,0.01,3.0,3.0,3.0,3.0,-0.0058,-0.0001,-0.0001,-0.0001,0.0,-0.06,-0.06,-0.05,0.08,0.03,3.0,3.0,3.0,3.0,-0.9715,-0.0313,0.0205,-0.2339,-0.06,0.12,0.0,-0.03,0.1,-0.01,0.0,3.0,3.0,3.0
418494.0,-0.9782,-0.008,0.0205,-0.2064,-0.12,0.0,0.0,-0.07,0.0,0.01,3.0,3.0,3.0,3.0,-0.9787,-0.0053,-0.0001,-0.0001,0.06,-0.06,-0.06,-0.07,-0.08,0.03,3.0,3.0,3.0,3.0,-0.9703,-0.0038,0.0099,-0.2418,0.19,0.0,0.12,0.03,-0.09,0.01,3.0,3.0,3.0,3.0,-0.0058,-0.0001,-0.0001,-0.0001,-0.12,0.25,-0.06,-0.02,0.04,0.02,3.0,3.0,3.0,3.0,-0.9715,-0.0313,0.0205,-0.2339,0.0,-0.06,-0.06,-0.01,0.0,-0.01,0.0,3.0,3.0,3.0
418544.0,-0.9782,-0.008,0.0205,-0.2064,-0.12,0.06,0.12,0.0,0.05,0.01,3.0,3.0,3.0,3.0,-0.9787,-0.0053,-0.0001,-0.0001,-0.12,-0.06,0.0,0.05,0.08,0.02,3.0,3.0,3.0,3.0,-0.9703,-0.0038,0.0099,-0.2418,-0.06,0.0,0.0,0.03,0.07,-0.02,3.0,3.0,3.0,3.0,-0.0058,-0.0001,-0.0001,-0.0001,-0.06,-0.06,0.12,0.0,0.03,0.05,3.0,3.0,3.0,3.0,-0.9715,-0.0313,0.0205,-0.0152,-0.12,-0.06,0.06,0.03,-0.01,-0.01,0.0,3.0,3.0,3.0
418594.0,-0.9782,-0.008,0.0205,-0.2064,0.0,0.0,0.0,0.01,-0.01,0.0,3.0,3.0,3.0,3.0,-0.9787,-0.0053,-0.0001,-0.0001,-0.06,0.12,-0.06,0.04,-0.01,-0.01,3.0,3.0,3.0,3.0,-0.9703,-0.0038,0.0099,-0.2418,0.25,-0.12,0.06,0.04,-0.01,-0.01,3.0,3.0,3.0,3.0,-0.0058,-0.0001,-0.0001,-0.0001,-0.06,0.12,0.0,0.0,0.09,0.06,3.0,3.0,3.0,3.0,-0.9715,-0.0313,0.0205,-0.0152,0.06,0.0,0.0,0.01,-0.01,-0.01,0.0,3.0,3.0,3.0
418644.0,-0.9782,-0.008,0.0205,-0.2064,0.12,-0.06,0.0,-0.01,0.04,-0.01,3.0,3.0,3.0,3.0,-0.9787,-0.0053,-0.0001,-0.0001,0.0,0.06,0.0,0.01,0.08,0.04,3.0,3.0,3.0,3.0,-0.9703,-0.0038,0.0099,-0.2418,-0.12,-0.12,0.06,0.08,-0.03,0.13,3.0,3.0,3.0,3.0,-0.0058,-0.0001,-0.0001,-0.0001,-0.12,0.0,0.0,-0.02,-0.15,-0.15,3.0,3.0,3.0,3.0,-0.9716,-0.0156,-0.0001,-0.0001,-0.06,1.12,-0.06,7.46,-0.01,-0.01,0.0,3.0,3.0,3.0
418693.0,-0.9783,-0.0081,0.0207,-0.2062,0.44,-1.37,-2.56,1.58,-0.77,-0.47,3.0,3.0,3.0,3.0,-0.9788,-0.0061,0.0089,-0.2048,5.63,1.94,-3.0,0.72,3.37,0.47,3.0,3.0,3.0,3.0,-0.9704,-0.004,-0.0001,-0.0001,-4.75,-0.69,-6.63,0.52,-0.63,0.63,3.0,3.0,3.0,3.0,-0.0059,-0.0001,-0.0001,-0.0001,1.75,-0.06,-0.06,0.9,-0.01,-0.01,3.0,3.0,3.0,3.0,-0.9716,-0.029,0.0156,-0.2343,-0.75,15.13,2.06,-2.16,-0.01,-0.01,0.0,3.0,3.0,3.0
