,sensor0,,,,,,,,,,,,,,sensor1,,,,,,,,,,,,,,sensor2,,,,,,,,,,,,,,sensor3,,,,,,,,,,,,,,sensor4
時刻(ms),相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag
1377853.0,-0.0135,-0.0001,-0.0001,-0.0001,-0.06,0.19,-0.06,0.02,-0.07,-0.27,3.0,3.0,3.0,3.0,-0.0129,-0.0001,-0.0001,-0.0001,0.06,-0.06,-0.06,0.03,0.0,-0.15,3.0,3.0,3.0,3.0,-0.9761,0.0339,0.0104,-0.2141,-0.06,0.0,-0.12,0.01,0.02,-0.01,3.0,3.0,3.0,3.0,-0.9795,0.0251,0.002,-0.0123,0.12,0.06,0.0,0.02,-0.03,-0.23,3.0,3.0,3.0,3.0,-0.0058,-0.0001,-0.0001,-0.0001,0.0,0.12,-0.06,0.03,0.03,0.0,3.0,3.0,3.0,3.0
1377903.0,-0.0135,-0.0001,-0.0001,-0.0001,-0.06,0.06,-0.19,0.02,0.05,-0.27,3.0,3.0,3.0,3.0,-0.9816,0.033,-0.0001,-0.0001,0.06,-0.06,-0.06,0.01,0.01,-0.18,3.0,3.0,3.0,3.0,-0.9761,0.0339,0.0104,-0.2141,0.0,0.0,0.0,0.07,0.03,-0.01,3.0,3.0,3.0,3.0,-0.9795,0.0251,0.002,-0.0123,0.06,0.12,-0.06,-0.02,0.06,-0.21,3.0,3.0,3.0,3.0,-0.0058,-0.0001,-0.0001,-0.0001,0.12,-0.06,-0.06,0.03,0.03,0.0,3.0,3.0,3.0,3.0
1377953.0,-0.0135,-0.0001,-0.0001,-0.0001,-0.12,0.12,0.06,0.0,0.0,-0.24,3.0,3.0,3.0,3.0,-0.9816,0.033,0.0107,-0.0156,-0.19,0.12,0.06,0.02,0.0,-0.16,3.0,3.0,3.0,3.0,-0.9761,0.0339,0.0104,-0.2141,0.0,-0.12,0.25,0.0,0.02,-0.01,3.0,3.0,3.0,3.0,-0.9795,0.0251,0.002,-0.0123,0.0,-0.06,-0.06,0.0,-0.05,-0.2,3.0,3.0,3.0,3.0,-0.0058,-0.0001,-0.0001,-0.0001,0.06,0.25,0.19,-0.04,0.03,-0.02,3.0,3.0,3.0,3.0
1378003.0,-0.0135,-0.0001,-0.0001,-0.0001,0.0,0.06,-0.06,0.0,-0.05,-0.26,3.0,3.0,3.0,3.0,-0.9816,0.033,0.0107,-0.0156,0.06,-0.06,-0.06,0.0,0.0,-0.14,3.0,3.0,3.0,3.0,-0.9761,0.0339,0.0104,-0.2141,-0.06,-0.19,0.0,-0.03,0.03,-0.01,3.0,3.0,3.0,3.0,-0.9795,0.0251,0.002,-0.0123,0.0,0.06,0.06,0.0,0.0,-0.19,3.0,3.0,3.0,3.0,-0.0058,-0.0001,-0.0001,-0.0001,-0.12,0.12,0.0,0.03,0.05,-0.01,3.0,3.0,3.0,3.0
1378054.0,-0.0135,-0.0001,-0.0001,-0.0001,0.06,0.12,-0.06,0.02,0.0,-0.24,3.0,3.0,3.0,3.0,-0.9816,0.033,0.0107,-0.1875,-0.12,0.06,-0.06,0.0,0.0,-0.11,3.0,3.0,3.0,3.0,-0.9761,0.0339,0.0104,-0.2141,0.12,0.06,-0.06,0.02,0.02,-0.01,3.0,3.0,3.0,3.0,-0.9795,0.0251,0.002,-0.0123,0.0,0.06,-0.06,0.0,0.03,-0.22,3.0,3.0,3.0,3.0,-0.0058,-0.0001,-0.0001,-0.0001,-0.06,-0.19,-0.06,0.06,0.0,0.0,3.0,3.0,3.0,3.0
1378104.0,-0.0135,-0.0001,-0.0001,-0.0001,-0.12,0.0,0.12,0.02,0.0,-0.24,3.0,3.0,3.0,3.0,-0.9816,0.033,0.0107,-0.1875,0.12,-0.06,-0.06,0.01,0.0,-0.17,3.0,3.0,3.0,3.0,-0.9761,0.0339,0.0104,-0.2141,0.12,0.25,0.19,0.02,0.03,-0.01,3.0,3.0,3.0,3.0,-0.9795,0.0251,0.002,-0.0123,0.0,0.0,0.06,0.0,-0.01,-0.22,3.0,3.0,3.0,3.0,-0.0058,-0.0001,-0.0001,-0.0001,0.06,0.19,0.12,-0.03,0.07,-0.01,3.0,3.0,3.0,3.0
1378154.0,-0.0135,-0.0001,-0.0001,-0.0001,-0.12,-0.06,-0.06,0.0,-0.02,-0.23,3.0,3.0,3.0,3.0,-0.9816,0.033,0.0107,-0.1875,-0.06,-0.06,0.0,0.0,0.0,-0.15,3.0,3.0,3.0,3.0,-0.9761,0.0339,0.0104,-0.2141,-0.06,0.0,0.0,-0.01,0.01,-0.01,3.0,3.0,3.0,3.0,-0.9795,0.0251,0.002,-0.0123,0.0,0.06,-0.06,-0.01,-0.02,-0.21,3.0,3.0,3.0,3.0,-0.0058,-0.0001,-0.0001,-0.0001,0.0,-0.06,-0.06,0.0,0.02,0.0,3.0,3.0,3.0,3.0
1378204.0,-0.0135,-0.0001,-0.0001,-0.0001,0.0,0.06,0.0,0.02,0.0,-0.24,3.0,3.0,3.0,3.0,-0.9816,0.033,0.0107,-0.1875,0.12,0.12,-0.06,0.01,0.0,-0.01,3.0,3.0,3.0,3.0,-0.9761,0.0339,0.0104,-0.2141,-0.06,-0.12,0.0,0.01,-0.03,-0.15,3.0,3.0,3.0,3.0,-0.9795,0.0251,0.002,-0.0123,0.06,0.0,0.06,-0.24,-0.47,0.19,3.0,3.0,3.0,3.0,-0.9589,-0.001,0.0234,-0.2827,-0.19,-2.44,0.31,-3.04,0.3,-0.24,3.0,3.0,3.0,3.0
1378252.0,-0.0135,-0.0001,-0.0001,-0.0001,0.75,-0.06,-0.06,-1.38,-0.17,-0.56,3.0,3.0,3.0,3.0,-0.9817,0.0323,0.011,-0.1874,3.69,-0.69,-1.0,-1.28,0.2,0.28,3.0,3.0,3.0,3.0,-0.9762,0.0342,0.0107,-0.214,0.44,-0.75,-1.44,-1.48,0.31,-0.35,3.0,3.0,3.0,3.0,-0.9796,0.025,0.0018,-0.0121,1.25,-0.06,-0.06,-0.69,-0.01,-0.01,3.0,3.0,3.0,3.0,-0.959,-0.0014,0.0247,-0.2821,0.37,3.94,-0.81,2.53,-0.29,0.65,3.0,3.0,3.0,3.0
1378298.0,-0.9823,0.0319,0.0215,-0.1832,-1.69,-0.5,-1.0,1.23,-0.19,0.45,3.0,3.0,3.0,3.0,-0.9818,0.0327,0.0107,-0.187,0.75,0.88,-0.88,0.57,-0.19,-0.03,3.0,3.0,3.0,3.0,-0.9763,0.0341,0.0108,-0.2135,-1.12,-1.37,-0.81,0.92,0.03,-0.18,3.0,3.0,3.0,3.0,-0.9796,0.0251,0.0022,-0.1992,1.94,0.19,-0.5,0.81,0.51,-0.08,3.0,3.0,3.0,3.0,-0.9592,-0.0012,0.0236,-0.2819,0.19,0.06,-2.44,8.1,1.09,0.81,3.0,3.0,3.0,3.0
